|序号|图片|标题|单词数量|文件大小|背诵人数|下载地址|id|标签|
|55|![外研社版初中英语-九年级下册](https://nos.netease.com/ydschool-online/reciteWord_1545032534322_WaiYanSheChuZhong_6.png)|外研社版初中英语-九年级下册|128|72801|495|[本地地址](book/reciteWord_1545032534071_WaiYanSheChuZhong_6.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_1545032534071_WaiYanSheChuZhong_6.zip)|WaiYanSheChuZhong_6|外研社版|
|56|![人教版高中英语-必修1](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_1.jpg)|人教版高中英语-必修1|311|145874|114721|[本地地址](book/1521164674793_PEPGaoZhong_1.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164674793_PEPGaoZhong_1.zip)|PEPGaoZhong_1|人教版|
|57|![人教版高中英语-必修2](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_2.jpg)|人教版高中英语-必修2|319|148700|24566|[本地地址](book/1521164678610_PEPGaoZhong_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164678610_PEPGaoZhong_2.zip)|PEPGaoZhong_2|人教版|
|58|![人教版高中英语-必修3](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_3.jpg)|人教版高中英语-必修3|366|162383|47142|[本地地址](book/1521164676690_PEPGaoZhong_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164676690_PEPGaoZhong_3.zip)|PEPGaoZhong_3|人教版|
|59|![人教版高中英语-必修4](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_4.jpg)|人教版高中英语-必修4|307|129777|16866|[本地地址](book/1521164657462_PEPGaoZhong_4.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164657462_PEPGaoZhong_4.zip)|PEPGaoZhong_4|人教版|
|60|![人教版高中英语-必修5](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_5.jpg)|人教版高中英语-必修5|357|162923|24188|[本地地址](book/1521164657147_PEPGaoZhong_5.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164657147_PEPGaoZhong_5.zip)|PEPGaoZhong_5|人教版|
|61|![人教版高中英语-选修6](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_6.jpg)|人教版高中英语-选修6|391|172125|12203|[本地地址](book/1521164629184_PEPGaoZhong_6.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164629184_PEPGaoZhong_6.zip)|PEPGaoZhong_6|人教版|
|62|![人教版高中英语-选修7](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_7.jpg)|人教版高中英语-选修7|384|174623|8576|[本地地址](book/1521164648940_PEPGaoZhong_7.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164648940_PEPGaoZhong_7.zip)|PEPGaoZhong_7|人教版|
|63|![人教版高中英语-选修8](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_8.jpg)|人教版高中英语-选修8|420|187484|7481|[本地地址](book/1521164666266_PEPGaoZhong_8.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164666266_PEPGaoZhong_8.zip)|PEPGaoZhong_8|人教版|
|64|![人教版高中英语-选修9](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_9.jpg)|人教版高中英语-选修9|352|145854|3759|[本地地址](book/1521164670293_PEPGaoZhong_9.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164670293_PEPGaoZhong_9.zip)|PEPGaoZhong_9|人教版|
|65|![人教版高中英语-选修10](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_10.jpg)|人教版高中英语-选修10|361|140211|3470|[本地地址](book/1521164634796_PEPGaoZhong_10.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164634796_PEPGaoZhong_10.zip)|PEPGaoZhong_10|人教版|
|66|![人教版高中英语-选修11](https://nos.netease.com/ydschool-online/3_youdao_PEPGaoZhong_11.jpg)|人教版高中英语-选修11|309|120512|4450|[本地地址](book/1521164639915_PEPGaoZhong_11.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164639915_PEPGaoZhong_11.zip)|PEPGaoZhong_11|人教版|
|67|![初中英语词汇（正序版）](https://nos.netease.com/ydschool-online/youdao_ChuZhong_2.jpg)|初中英语词汇（正序版）|1420|912718|82677|[本地地址](book/1521164647926_ChuZhong_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164647926_ChuZhong_2.zip)|ChuZhong_2|有道|
|68|![高中英语词汇（正序版）](https://nos.netease.com/ydschool-online/youdao_GaoZhong_2.jpg)|高中英语词汇（正序版）|3668|1999328|172704|[本地地址](book/1521164675301_GaoZhong_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164675301_GaoZhong_2.zip)|GaoZhong_2|人教版|
|69|![商务英语词汇](https://nos.netease.com/ydschool-online/youdao_BEC_2.jpg)|商务英语词汇|2753|1494016|300528|[本地地址](book/1521164626760_BEC_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164626760_BEC_2.zip)|BEC_2|BEC|
|70|![新东方BEC词汇](https://nos.netease.com/ydschool-online/newOriental_BEC_3.jpg)|新东方BEC词汇|2825|1502966|4659|[本地地址](book/1521164649506_BEC_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1521164649506_BEC_3.zip)|BEC_3|新东方、BEC|
|71|![北师大版高中必修一](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_1.jpg)|北师大版高中必修一|226|111762|5571|[本地地址](book/reciteWord_BeiShiGaoZhong_1.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_BeiShiGaoZhong_1.zip)|BeiShiGaoZhong_1|北师版|
|72|![北师大版高中必修二](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_2.jpg)|北师大版高中必修二|244|128789|1822|[本地地址](book/1530101085958_BeiShiGaoZhong_2.zip) [原始地址](http://ydschool-online.nos.netease.com/1530101085958_BeiShiGaoZhong_2.zip)|BeiShiGaoZhong_2|北师版|
|73|![北师大版高中必修三](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_3.jpg)|北师大版高中必修三|295|150496|1437|[本地地址](book/1530101089143_BeiShiGaoZhong_3.zip) [原始地址](http://ydschool-online.nos.netease.com/1530101089143_BeiShiGaoZhong_3.zip)|BeiShiGaoZhong_3|北师版|
|74|![北师大版高中必修四](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_4.jpg)|北师大版高中必修四|336|163541|1294|[本地地址](book/reciteWord_BeiShiGaoZhong_4.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_BeiShiGaoZhong_4.zip)|BeiShiGaoZhong_4|北师版|
|75|![北师大版高中必修五](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_5.jpg)|北师大版高中必修五|327|166181|1515|[本地地址](book/reciteWord_BeiShiGaoZhong_5.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_BeiShiGaoZhong_5.zip)|BeiShiGaoZhong_5|北师版|
|76|![北师大版高中选修六](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_6.jpg)|北师大版高中选修六|271|121058|1071|[本地地址](book/reciteWord_BeiShiGaoZhong_6.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_BeiShiGaoZhong_6.zip)|BeiShiGaoZhong_6|北师版|
|77|![北师大版高中选修七](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_7.jpg)|北师大版高中选修七|334|166699|880|[本地地址](book/1530101082895_BeiShiGaoZhong_7.zip) [原始地址](http://ydschool-online.nos.netease.com/1530101082895_BeiShiGaoZhong_7.zip)|BeiShiGaoZhong_7|北师版|
|78|![北师大版高中选修八](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_8.jpg)|北师大版高中选修八|364|171446|796|[本地地址](book/reciteWord_BeiShiGaoZhong_8.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_BeiShiGaoZhong_8.zip)|BeiShiGaoZhong_8|北师版|
|79|![北师大版高中选修九](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_9.jpg)|北师大版高中选修九|299|122391|493|[本地地址](book/reciteWord_BeiShiGaoZhong_9.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_BeiShiGaoZhong_9.zip)|BeiShiGaoZhong_9|北师版|
|80|![北师大版高中选修十](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_10.jpg)|北师大版高中选修十|267|108057|485|[本地地址](book/reciteWord_BeiShiGaoZhong_10.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_BeiShiGaoZhong_10.zip)|BeiShiGaoZhong_10|北师版|
|81|![北师大版高中选修十一](https://nos.netease.com/ydschool-online/reciteWord_BeiShiGaoZhong_11.jpg)|北师大版高中选修十一|330|139130|739|[本地地址](book/reciteWord_BeiShiGaoZhong_11.zip) [原始地址](http://ydschool-online.nos.netease.com/reciteWord_BeiShiGaoZhong_11.zip)|BeiShiGaoZhong_11|北师版|
