abandonment	 n. 放弃
footnote	 n. 注脚
forecast	 n. 预报，预测
format	 n. 形式
formidable	 adj. 可怕的；令人敬畏的，令人惊叹的
foster	 v. 促进；培养
foundation	 n. 基金会
frankly	 adv. 坦率地
frantic	 adj. 疯狂的
fresh	 adj. 新颖的，新奇的
frighten	 v. 使害怕
frontier	 n. 边境
frustrate	 v. 使挫败，使沮丧
fulfill	 v. 实现
furious	 adj. 生气的；激烈的
fuss	 n. 小题大做
gallery	 n. 美术馆
gap	 n. 差距
garage	 n. 车库
gender	 n. 性别
generate	 v. 产生
generous	 adj. 慷慨的
genetic	 adj. 基因的
genius	 n. 天才
genuine	 adj. 真的；由衷的
geology	 n. 地质学
gesture	 n. 姿势，手势
glamorous	 adj. 有魅力的，迷人的
glory	 n. 光荣，荣誉
govern	 v. 管理
grand	 adj. 壮丽的，极好的
grasp	 v. 抓住，理解
gratitude	 n. 感激
grocery	 n. 杂货店
guarantee	 v. 保证
guard	 v. 保护
guesstimate	 n. 大概估计，瞎猜估计
habitual	 adj. 习惯的
handgun	 n. 手枪
handle	 n. 把手
hardship	 n. 艰难
harsh	 adj. 严酷的，严峻的
hatch	 v. 孵化
hazard	 n. 危险
hesitate	 v. 犹豫
hinder	 v. 阻碍
hospitality	 n. 友好
host	 v. 主持
hostile	 adj. 有敌意的
household	 n. 家庭，一家人
humanistic	 adj. 人文的
humorous	 adj. 幽默的
hypothesis	 n. 假设，假说
identify	 v. 认出，识别
ideologically	 adv. 意识形态上地
ideology	 n. 意识形态
ignore	 v. 忽视
imbalance	 n. 不平衡
immense	 adj. 巨大的
immensely	 adv. 非常，极大地
immigrant	 n. 移民
imminent	 adj. 即将来临的
impact	 n. 影响
impose	 v. 强加于
imprison	 v. 监禁
inadequate	 adj. 不足的
incentive	 n. 刺激
incidence	 n. 发生率
incompetence	 n. 无能
index	 n. 指数
indicate	 v. 表明
indicative	 adj. 指示的
indifferent	 adj. 冷漠的
indiscriminately	 adv. 不加选择地，不加区分地
indispensable	 adj. 必不可少的
indulge	 v. 放纵
industrious	 adj. 勤奋的
ineffective	 adj. 无效的
inevitable	 adj. 不可避免的
inexhaustible	 adj. 用不完的，无穷无尽的
infant	 n. 婴儿
infect	 v. 感染
inflation	 n. 通货膨胀
influential	 adj. 有影响力的
inhale	 v. 吸入
inherit	 v. 继承
initiative	 n. 主动性
injustice	 n. 不公正
innovation	 n. 创新，革新
inspire	 v. 鼓励
instant	 adj. 立即的
instinctively	 adv. 本能地
institution	 n. 机构
insufficient	 adj. 不足的
integrity	 n. 正直
intelligent	 adj. 聪明的
intensely	 adv. 强烈地
interact	 v. 互动
interaction	 n. 互动
interference	 n. 干涉
interpretation	 n. 解释，理解
interracial	 adj. 种族间的
intervene	 v. 干涉
intervention	 n. 干涉
intriguing	 adj. 有趣的
invasion	 n. 入侵
irony	 n. 讽刺
irrelevant	 adj. 无关的
irritate	 v. 激怒
isolation	 n. 隔绝，隔离
judicial	 adj. 司法的
jury	 n. 陪审团
justifiable	 adj. 理所应当的
justified	 adj. 正当的
keen	 adj. 浓厚的；敏锐的
kidnap	 v. 绑架
lack	 v. 缺少
lag	 v. 落后
launch	 v. 发布，推出
lawn	 n. 草坪
layman	 n. 门外汉
layout	 n. 陈列
legend	 n. 传奇
legislation	 n. 立法
legislator	 n. 立法者
lest	 conj. 以免
lobby	 n. 游说
luxurious	 adj. 奢侈的，豪华的
magnify	 v. 放大
maintenance	 n. 维修
majority	 n. 大多数
mall	 n. 商场
manifest	 v. 表明
manufacture	 v. 生产，制造
marine	 adj. 海洋的
markedly	 adv. 显著地
mask	 n. 面具 v. 掩饰 掩盖
material	 n. 材料
materialize	 v. 实现
matter	 v. 重要；要紧
maturity	 n. 成熟
measure	 n. 措施
mechanism	 n. 机制
melt	 v. 融化
memo	 n. 备忘录
memorable	 adj. 值得纪念的
mention	 v. 提及
merit	 v. 值得 n. 优点
migrate	 v. 移民，迁徙
milestone	 n. 里程碑
minimal	 adj. 最低的，最小限度的
mining	 n. 矿产
minor	 adj. 次要的，小的
minority	 n. 少数，少数民族
miracle	 n. 奇迹
misfortune	 n. 不幸地
misinterpret	 v. 误解
mobility	 n. 活动
modernize	 v. 现代化
moist	 adj. 潮湿的
monopoly	 n. 垄断
mortality	 n. 死亡率
motel	 n. 汽车旅馆
motivation	 n. 激励，刺激
mount	 v. 增加
mourn	 v. 哀悼
municipal	 adj. 政府的
narrow	 v. 变窄，缩小
necessity	 n. 必须，必要性
needy	 adj. 贫穷的
neglect	 v. 忽视
negotiation	 n. 协商
neighborhood	 n. 附近
neutrality	 n. 中立
nightmare	 n. 噩梦
nominate	 v. 提名
notion	 n. 想法，观点
numerous	 adj. 无数的
nutritious	 adj. 有营养的
obesity	 n. 肥胖
objective	 n. 目标，目的
oblige	 v. 迫使
obstacle	 n. 阻碍
occur	 v. 发生
offense	 n. 冒犯
oppose	 v. 反对
opposition	 n. 反对
optimistic	 adj. 乐观的
organic	 adj. 有机的
orient	 v. 使适应，使确定方向
outcome	 n. 结果
outdated	 adj. 过时的
outlive	 v. 比……活的时间长
outnumber	 v. 超过
outsource	 v. 外包
outweigh	 v. 超过
overcharge	 v. 多收钱
overexcited	 adj. 过于激烈的
overwhelm	 v. 压倒，战胜
owe	 v. 欠钱
owl	 n. 猫头鹰
panic	 adj. 恐慌的
paradise	 n. 天堂
paralyze	 v. 瘫痪，麻痹
pasture	 n. 牧场
pattern	 n. 模式
pause	 n. 暂停，迟疑
pave	 v. 铺路
payroll	 n. 工资总额
peculiar	 adj. 特有的，奇怪的
penalty	 n. 惩罚
pension	 n. 养老金
perish	 v. 死亡
perspective	 n. 视角，观点
pessimist	 n. 悲观主义者
phenomenon	 n. 现象
philosopher	 n. 哲学家
plot	 n. 情节
poetry	 n. 诗歌
polar	 n. （南、北）极
poll	 n. 民意测验
ponder	 v. 仔细考虑
portion	 n. 部分
pose	 v. 形成
position	 v. 定位，安放； n. 位置，职位
possession	 n. 拥有
potential	 adj. 潜在的 n. 潜力
potentially	 adv. 潜在地
practical	 adj. 实践的；实用的
precedent	 n. 先例
precision	 n. 精确性
predict	 v. 预测
predominantly	 adv. 占主导地位地
preference	 n. 偏爱
preindustrial	 adj. 工业化以前的
prejudice	 n. 偏见
premium	 n. 奖金
prescribe	 v. 开处方
present	 v. 呈现，给予
presentation	 n. 展示，讲话
presidency	 n. 总统任期
prestige	 n. 名声，声望
previous	 adj. 之前的
priceless	 adj. 无价的，难以用价格衡量的
primitive	 adj. 原始的，简单的
principle	 n. 原则
prior	 adj. 优先的，先前的
private	 adj. 私人的
procedure	 n. 程序
productivity	 n. 生产力
profitable	 adj. 有利可图的，有利益的
profound	 adj. 深刻的，博学的
prolonged	 adj. 长时间的
promote	 v. 促进
promotion	 n. 促销
prompt	 v. 敦促
property	 n. 财产
propose	 v. 提出
prospect	 n. 前景
prosperity	 n. 繁荣
publicity	 n. 宣传
publicize	 v. 宣传
purchase	 n. 购买
pursue	 v. 追求
puzzling	 adj. 迷惑的，困扰的
quantifiable	 adj. 可量化的
qualification	 n. 资格
qualify	 v. 使有资格
quantity	 n. 数量
quicken	 v. 加快
quota	 n. 配额，销售额
quote	 v. 引用
rally	 n. 集会
randomly	 adv. 随机地
rank	 v. 排列，分级
rape	 n. 强奸
rare	 adj. 罕见的，稀少的
rate	 n. 费用
realm	 n. 领域，方面
reap	 v. 收割，收货
recall	 v. 回忆起，想起
receipt	 n. 发票
reception	 n. 接待
recipe	 n. 秘方，食谱
reckless	 adj. 鲁莽的
reckon	 v. 认为，评价
reconcile	 v. 使和解，使一致；调解
recruit	 v. 招聘
recurrence	 n. 再次发生
reflect	 v. 思考，反映，反射
reflective	 adj. 深思熟虑的；反映的，反射的
refreshing	 adj. 新鲜的
regain	 v. 重新获得
registration	 n. 注册，登记
regulation	 n. 管理，规则
reimbursement	 n. 返还费用
reinforce	 v. 增强，提高
release	 v. 释放，发布
relevant	 adj. 相关的
reliable	 adj. 可靠的
relieve	 v. 减轻，缓解
relieved	 adj. 轻松的，缓解的
reluctance	 n. 勉强，不情愿
remarkable	 adj. 显著的，杰出的
remove	 v. 消除，移除；更新
replacement	 n. 代替
representative	 n. 代表
reproduction	 n. 繁殖
reservation	 n. 预定
resident	 n. 居民
resign	 v. 辞职
resist	 v. 抵制
resolute	 adj. 坚定的
resort	 n. 度假胜地
respective	 adj. 各自的
responsibility	 n. 责任
responsive	 adj. 灵敏的，反应的
restrict	 v. 限制
resume	 n. 简历
retailer	 n. 零售商
reunion	 n. 团聚
reveal	 v. 揭露
revenue	 n. 收入
reverse	 adj. 相反的
revive	 v. 复苏
revolutionize	 v. 革命化
rewarding	 adj. 有回报的
ridiculous	 adj. 滑稽的，可笑的
rigorous	 adj. 严格的
ritual	 n. 仪式
robbery	 n. 抢劫
romantic	 adj. 爱情的
ruin	 v. 毁坏
rustle	 v. 发出沙沙声
sample	 n. 样本，样品
scandal	 n. 丑闻
scarcity	 n. 缺乏
scare	 n. 恐吓，惊恐
scent	 n. 味道
schedule	 n. 时间表
sculpture	 n. 雕塑
sector	 n. 部门
sensible	 adj. 理智的
server	 n. 服务器
session	 n. 会议，学年
severity	 n. 严重性
sexism	 n. 性别歧视
shade	 v. 掩盖
shady	 adj. 阴凉的
shareholder	 n. 股东
shed	 v. 流出
sheer	 adj. 纯粹的
shepherd	 v. 引导，带领
shift	 v. 转变
shot	 n. 照相，照片
shrewd	 adj. 精明的
shrink	 v. 缩减，缩小
shrug	 v. 耸肩
shuttle	 n. 航天飞机
signal	 v. 标志
significant	 adj. 重要的
signify	 v. 表明，象征
simultaneous	 adj. 同步的
skeptical	 adj. 怀疑的
skip	 v. 跳过
skyrocket	 v. 猛增
skyscraper	 n. 摩天大楼
slack	 adj. 疲软的，萧条的
slash	 v. 削减
slight	 adj. 轻微的
slim	 adj. 苗条的
smuggle	 v. 走私
solid	 adj. 坚实的，稳固的
solution	 n. 解决，溶液
soothe	 v. 安慰，减轻
sophisticated	 adj. 复杂的，老于世故的
spacious	 adj. 宽敞的
specialist	 n. 专家
species	 n. 物种
specific	 adj. 具体的
specification	 n. 说明书
spectacle	 n. 景象
sponsor	 v. 赞助, 赞助商
spot	 n. 点 v. 发现
spread	 v. 传播，扩散
squalor	 n. 肮脏
standardize	 v. 标准化
startle	 v. 使惊讶
steady	 adj. 稳定的
stereotype	 n. 刻板印象，固有印象
stimulate	 v. 刺激，激励
stockbroker	 n. 股票经理人
stove	 n. 炉子
straightforward	 adj. 直接的
strain	 n. 压力
strategy	 n. 策略
stray	 n. 迷路，流浪
stress	 v. 强调
strike	 n. 罢工
strip	 n. 狭长的一块
stuff	 n. 材料，东西
submerge	 v. 淹没
submit	 v. 提交
subsidy	 n. 补助
substance	 n. 物质
subtle	 adj. 微妙的
suburban	 adj. 郊区的
supervisor	 n. 督导
surgical	 adj. 手术的
suspect	 v. 怀疑 n. 嫌疑犯
suspicious	 adj. 怀疑的
sway	 v. 影响
switch	 v. 转换
sympathetic	 adj. 同情的
symptom	 n. 症状
tackle	 v. 解决，处理
tangled	 adj. 复杂的，纠缠的
tank	 n. 水箱
temptation	 n. 诱惑
testify	 v. 证明，检验
testimony	 n. 证词
texture	 v. 质地
therapy	 n. 疗法
threat	 n. 威胁
threaten	 v. 威胁
threshold	 n. 门槛
tough	 adj. 困难的，粗暴的
trace	 v. 追踪
track	 v. 追踪 n. 轨迹，踪迹
tragedy	 n. 悲剧
trap	 v. 捕捉
trend	 n. 趋势
trigger	 v. 引发，引起
tropical	 adj. 热带的
tuition	 n. 学费
turbulence	 n. 喧嚣；气流
turtle	 n. 海龟
tutor	 v. 辅导
twist	 v. 扭曲
typical	 adj. 典型的
uncertain	 adj. 不确定的
undecided	 adj. 不确定的
underestimate	 v. 低估
underfunded	 adj. 资金不足的
underlying	 adj. 潜在的，基础的
undertake	 v. 承担；着手，开始
undertaking	 n. 任务，事情
undocumented	 adj. 无证明的
unethical	 adj. 不道德的
uneven	 adj. 不均衡的
unexpected	 adj. 意想不到的
unified	 adj. 统一的
unprecedented	 adj. 史无前例的
unrealistic	 adj. 不现实的
unstable	 adj. 不稳定的
untiring	 adj. 不知疲倦的
untrustworthy	 adj. 不值得信任的，怀疑的
urban	 adj. 城市的，都市的
urbanization	 n. 城市化
urge	 v. 催促
urgent	 adj. 急迫的
utilization	 n. 利用
validity	 n. 有效性，真实性
variation	 n. 变化
vary	 v. 变化
vegetarian	 n. 素食主义者
vehicle	 n. 车辆
vessel	 n. 血管
victim	 n. 受害者
view	 v. 看待
viewpoint	 n. 观点
violation	 n. 违反
violent	 adj. 暴力的
virtual	 adj. 实际的，虚拟的
virtually	 adv. 几乎
virus	 n. 病毒
vitamin	 n. 维他命
vulnerable	 adj. 脆弱的, 易受影响的
welfare	 n. 福利
widespread	 adj. 广泛传播的
wildfire	 n. 森林大火
wildlife	 n. 野生动物
wishful	 adj. 一厢情愿的
wonder	 v. 想知道，好奇
workload	 n. 工作量
yield	 v. 产生
deposit	 v. 存放 n. 存款
receptionist	 n. 接待员
particle	 n. 粒子，微粒
furnish	 v. 提供
elaborately	 adv. 复杂地，精心设计地
infectious	 adj. 感染的，传染的
diagnose	 v. 诊断
cripple	 n. 残疾，跛子
aggressive	 adj. 挑衅的
aptly	 adv. 适当地
assimilate	 v. 同化
consistent	 adj. 一致的
suspend	 v. 暂停
ingenuity	 n. 创造力
reserved	 adj. 保留意见的；矜持的
unbiased	 adj. 公正的
disposal	 n. 支配；处理
inferior	 adj. 比……差
stabilize	 v. 使稳固，使安定
fertility	 n. 多产，肥沃
bleak	 adj. 荒凉的
soar	 v. 高飞
optimism	 n. 乐观
ambition	 n. 野心，报复
pragmatic	 adj. 务实的，讲求实际的
compromise	 v. 妥协；危害
perpetual	 adj. 永久的
dispensable	 adj. 可有可无的
assault	 n. 攻击
transcend	 v. 超越
inherent	 adj. 固有的
baffle	 v. 使迷惑，困惑
stain	 n. 污渍，污点
peer	 n. 同龄人
isolate	 v. 使隔离
abolition	 n. 废除
slavery	 n. 奴隶制度
script	 n. 脚本，剧本
manuscript	 n. 手稿
trait	 n. 特点
deviate	 v. 偏离
overwhelming	 adj. 压倒性的
successively	 adv. 接连着地，继续地
visualize	 v. 想象
underrepresented	 adj. 未被充分代表的
tap	 v. 轻敲, 导出
extinguish	 v. 熄灭；使消亡
toxic	 adj. 有毒的
postdoctoral	 adj. 博士后的
recommend	 v. 推荐
consultation	 n. 商议
determine	 v. 决定
confidential	 adj. 机密的
curriculum	 n. 课程
cafeteria	 n. 自助餐厅
trim	 v. 修剪
expel	 v. 开除，驱逐
refine	 v. 精炼；使……文雅
suicide	 n. 自杀
manual	 adj. 手工的；体力的
alphabetical	 adj. 按字母表顺序的
bloom	 v. 开花，茂盛
fertilizer	 n. 肥料
plough	 n. 犁
affiliate	 v. 使隶属于
hazardous	 adj. 危险的
instantaneous	 adj. 即时的，瞬间的
intrinsic	 adj. 本质的，固有的
paradox	 n. 悖论
grateful	 adj. 感激的
modify	 v. 改变
consent	 n. 同意
intuitive	 adj. 直觉的
scaffolding	 n. 脚手架
outperform	 v. 胜过
discern	 v. 识别
lawsuit	 n. 诉讼
ruling	 n. 裁定
designate	 v. 指定，委派
endorsement	 n. 支持
tasteless	 adj. 没有味道的
brilliant	 adj. 才华横溢的；极好的
fabric	 n. 布料
vocational	 adj. 职业的
carpentry	 n. 木工业
ventilate	 v. 使通风
embody	 v. 体现
tedious	 adj. 冗长的
deduction	 n. 扣款
fluctuate	 v. 波动
simultaneously	 adv. 同步地，同时地
craft	 n. 手艺 v. 精巧地制作
facilitate	 v. 使便利；促进
deteriorate	 v. 恶化
hasten	 v. 加速
specialize	 v. 专业从事
liberation	 n. 解放
pursuit	 n. 追求
bemoan	 v. 抱怨；惋惜
evolve	 v. 进化
fluently	 adv. 流利地
composition	 n. 作文
literal	 adj. 字面的
honorary	 adj. 荣誉的
hurl	 v. 猛投
confer	 v. 授予
notoriously	 adv. 臭名昭著地
validation	 n. 证实
jeopardize	 v. 危害，危及
allegedly	 adv. 据说
vigorous	 adj. 积极的；精力充沛的
fake	 n. 假货
contestant	 n. 参赛者
column	 n. 专栏
hasty	 adj. 匆忙的
linger	 v. 逗留，徘徊
inheritance	 n. 继承；遗产
worldly	 adj. 世间的，尘世的
dimension	 n. 尺寸；维
eligible	 adj. 适合的；胜任的
permanent	 adj. 永久的
memorize	 v. 熟记
evaluation	 n. 评价
literacy	 n. 教育；文化
enviable	 adj. 值得羡慕的
bipartisan	 adj. 两党的
amend	 v. 修订
interpret	 v. 解释；口译
access	 v. 取得，获取
champion	 v. 支持，拥护
navigate	 v. 航行，驾驶
intertwine	 v. 交织，纠缠
collaborate	 v. 合作
evaluate	 v. 评价
domain	 n. 领域
accumulate	 v. 积累
persistent	 adj. 坚持不懈的，持续的
boast	 v. 自夸
assume	 v. 假定，认为
forthcoming	 adj. 即将来临的
mysteriously	 adv. 神秘地
spoil	 v. 溺爱
complement	 n. 补充
immersive	 adj. 沉浸的，身临其境的
cognitive	 adj. 认知的
rhetorical	 adj. 修辞的
impair	 v. 损害
competent	 adj. 能胜任的，有能力的
undermine	 v. 暗中削弱
incompatibility	 n. 不兼容
superficial	 adj. 表面的
endanger	 v. 使……危险
practice	 n. 做法
decode	 v. 解码
immigration	 n. 移民
inescapable	 adj. 不可避免的
utterly	 adv. 完全地，彻底地
inanimate	 adj. 无生命的
irreversible	 adj. 不可逆的；不可取消的
incalculable	 adj. 不可估量的，无法计算的
bump	 v. 颠簸
demonstration	 n. 展示；游行
desert	 v. 放弃，抛弃
jail	 n. 监狱
cozy	 adj. 舒适的
lounge	 n. 休息室
worship	 v. 崇拜，喜爱
seasick	 adj. 晕船的
interfere	 adj. 干涉，妨碍
tension	 n. 紧张
transition	 n. 过渡
accidentally	 adv. 偶然地，意外地
exertion	 n. 运用
impart	 v. 传授，教授
provoke	 v. 激怒
assumption	 n. 假设
formula	 n. 公式
overlap	 v. 重叠
thrive	 v. 繁荣，兴旺
chronic	 adj. 长期的；慢性的
adversity	 n. 逆境
endure	 v. 忍受
assert	 v. 主张，断言
chew	 v. 咀嚼；深思
tradeoff	 n. 权衡，交易
commentator	 n. 评论员
vice	 n. 恶意，恶习
attribute	 v. 归因于
vivid	 adj. 生动的
upgrade	 v. 升级
prospective	 adj. 未来的，预期的
regime	 n. 制度，管理体制
appeal	 n. 请求，呼吁, 上诉
weave	 v. 织布，编织
sew	 v. 缝上，缝纫
nap	 n. 小睡
row	 v. 划船
helicopter	 n. 直升飞机
conquer	 v. 征服
memorandum	 n. 备忘录
clarity	 n. 清晰，清楚
carpenter	 n. 木匠
drummer	 n. 鼓手
discrimination	 n. 歧视
uninformed	 adj. 无知的，未受过教育的
entitle	 v. 使具有资格
imitate	 v. 模仿
subordinate	 adj. 次要的，从属的
suppress	 v. 镇压，压制
throne	 n. 王位
athletics	 n. 体育运动
coach	 n. 教练
biodiversity	 n. 生物多样性
accommodate	 v. 适应，容纳
ultimate	 adj. 最终的
invasive	 adj. 入侵的
underscore	 v. 强调
ongoing	 adj. 持续的，不间断的
greedy	 adj. 贪婪的
lessen	 v. 减少
incur	 v. 引起，导致
integral	 adj. 完整的
merge	 v. 合并
unintentionally	 adv. 无意地
grave	 adj. 严重的
