textbook	 n. 教科书；课本
washroom	 n. 洗手间；厕所
bathroom	 n. 洗手间；浴室
quick	 adj. 快的；迅速的 adv. 快速地；迅速地
rush	 v. 仓促；急促 n. 冲，奔
suggest	 v. 建议；提议
staff	 n. 全体职员；职工
grape	 n. 葡萄
central	 adj. 中心的；中央的
mail	 n. 邮件；信件 v. 邮寄；发电子邮件
east	 adj. 东方的；东部的 adv. 向东；朝东 n. 东；东方
fascinating	 adj. 迷人的；极有吸引力的
convenient	 adj. 便利的；方便的
mall	 n. 商场；购物中心
clerk	 n. 职员
corner	 n. 角；拐角；角落
polite	 adj. 有礼貌的；客气的
politely	 adv. 礼貌地；客气地
speaker	 n. 发言者；讲（某种语言）的人
request	 n. 要求；请求
choice	 n. 选择；挑选
direction	 n. 方向；方位
correct	 adj. 正确的；恰当的
direct	 adj. 直接的；直率的
whom	 pron. 谁；什么人
address	 n. 住址； 地址；通讯处
faithfully	 adv. 忠实地；忠诚地
Italian	 adj. 意大利（人）的； n. 意大利人；意大利语
Kevin	 凯文（男名）
Tim	 蒂姆（男名）
humorous	 adj. 有幽默感的；滑稽有趣的
silent	 adj. 不说话的；沉默的
helpful	 adj. 有用的；有帮助的
from time to time	 时常；有时
score	 n. 得分 v. 打分
background	 n. 背景
interview	 v. 采访；面试 n. 面试；访谈
Asian	 adj. 亚洲的；亚洲人的 n. 亚洲人
deal with	 对付；应付
dare	 v. 敢于；胆敢
private	 adj. 私人的
guard	 n. 警卫；看守 v. 守卫；保卫
require	 v. 需要；要求
European	 adj. 欧洲的；欧洲人的
British	 adj. 英国的；英国人的
speech	 n. 讲话；言语能力；演讲
ant	 n. 蚂蚁
insect	 n. 昆虫
influence	 n. 影响 v. 影响
seldom	 adv. 不常；很少
proud	 adj. 自豪的；骄傲的
be proud of	 为...骄傲；感到自豪
absent	 adj. 缺席的；不在的
fail	 v. 失败；未能（做到）
examination	 n. 考试；审查
boarding school	 寄宿学校
leaf	 n. 叶子
in person	 亲身；亲自
exactly	 adv. 确切地；精确地
pride	 n. 自豪；骄傲
take pride in	 为...感到自豪
grandson	 n. 孙子；外孙
general	 adj. 普遍的；常规的；总的 n. 将军
introduction	 n. 介绍
Paula	 葆拉 （女名）
Alfred	 艾尔弗雷德（男名）
Billy	 比利（男名）
Candy	 坎迪（女名）
Jerry	 杰里（男名）；杰丽（女名）
Emily	 埃米莉（女名）
material	 n. 衣料，布料；材料，原料
chopsticks	 n. 筷子
coin	 n. 硬币
fork	 n. 餐叉，叉子
blouse	 n. （女士）短上衣；衬衫
sliver	 n. 小块，薄片；碎片，裂片
glass	 n. 玻璃
cotton	 n. 棉；棉花
steel	 n. 钢；钢铁
grass	 n. 草；草地
leaf.	 n. 叶；叶子
produce	 v. 引起；造成；产生；制造；生产；出产
widely	 adv. 广泛地；普遍地
process	 v. 加工；处理
France	 法国
no matter	 不论；无论
local	 adj. 当地的；本地的
even though	 虽然；即使
brand	 n. 品牌；牌子
avoid	 v. 避免；回避
product	 n. 产品；制品
handbag	 n. 小手提包
mobile	 adj. 可移动的；非固定的
Germany	 德国
surface	 n. 表面；表层
postman	 n. 邮递员
cap	 n. （尤指有帽舌的）帽子
glove	 n. （分手指的）手套
international	 adj. 国际的
competitor	 n. 竞争者；参赛者
paint	 v. 刷漆；作画
its	 adj. 它的
form	 n. 类型；形式
clay	 n. 黏土；陶土
balloon	 n. 气球
scissors	 n. (pl) 剪刀
lively	 adj. 生气勃勃的；（色彩）鲜艳的
fairy	 n. 仙子，小精灵
heat	 n. 热；高温
polish	 v. 修改；润色；磨光，擦光
complete	 v. 完成
Korea	 朝鲜；韩国
Switzerland	 瑞士
San Francisco	 圣弗朗西斯科（旧金山，美国城市）
Pam	 帕姆（女名）
heel	 n. 鞋跟；足跟
electricity	 n. 电；电能
scoop	 n. 勺；铲子
style	 n. 样式；款式
project	 n. 项目；工程
pleasure	 n. 高兴；愉快
zipper	 n. (zip) 拉链；拉锁
daily	 adj. 每日的；日常的
website	 n. 网站
pioneer	 n. 先锋；先驱
list	 v. 列表；列清单 n. 名单；清单
mention	 v. 提到；说到
by accident	 偶然；意外地
nearly	 adv. 几乎；差不多
boil	 v. 煮沸；烧开
smell	 n. 气味 v. 闻到；发出气味
saint	 n. 圣人；圣徒
take place	 发生；出现
doubt	 n. 怀疑 v. 怀疑
without doubt	 毫无疑问；的确
fridge	 n. 冰箱
translate	 v. 翻译
lock	 v. 锁上；锁住
earthquake	 n. 地震
sudden	 adj. 突然（的）
all of a sudden	 突然；猛地
biscuit	 n. 饼干
cookie	 n. 曲奇饼
instrument	 n. 器械； 仪器；工具
crispy	 adj. 脆的；酥脆的
sour	 adj. 酸的；有酸味的
by mistake	 错误地；无意中
customer	 n. 顾客；客户
Canadian	 adj. 加拿大的；加拿大人的 n. 加拿大人
divide	 v. 分开；分散
divide ... into	 把...分开
purpose	 n. 目的；目标
basket	 n. 篮；筐
the Olympics	 奥林匹克运动会
look up to	 钦佩；仰慕
hero	 n. 英雄；男主角
Berlin	 柏林（德国城市）
NBA	 abbr. 全美篮球协会(National Basketball Association)，国家篮球协会 （美国职业篮球联赛）
CBA	 abbr.. 中国篮球协会(China Basketball Association)，中国篮球协会（中国职业篮球联赛）
Chelsea Lanmon	 切尔西 • 兰曼
Jayce  Coziar	 杰斯 • 克里亚
Jamie Ellsworth	 杰米 • 埃尔斯沃恩
Julie   Thompson	 朱莉 • 汤普森
Whitcomb   Judson	 惠特科姆 • 贾德森
Thomas  Watson	 托马斯 • 沃森
George   Crum	 乔治 • 克拉姆
James  Naismith	 詹姆斯 • 奈史密斯
smoke	 v. 吸烟；冒烟 n. 烟
pierce	 v. 扎；刺破；穿透
license	 (licence) 证；证件
safety	 n. 安全；安全性
earring	 n. 耳环；耳饰
cry	 v. 哭；叫喊 n. 哭；叫喊声
field	 n. 田野；（运动）场地
hug	 v. 拥抱；搂抱 n. 拥抱；搂抱
lift	 v. 举起；抬高
talk back	 回嘴；顶嘴
awful	 adj. 很坏的；讨厌的
teen	 n. 十几岁（十三至十九岁之间）
regret	 v. 感到遗憾；懊悔
poem	 n. 诗；韵文
bedroom	 n. 卧室
community	 n. 社区；社团;团体
keep away from	 避免接近；远离
chance	 n. 机会；可能性
make one’s own decision	 自己做决定
manage	 v. 完成（困难的事）；应付（困难局面）
society	 n. 社会
unit	 n. 单元；单位
educate	 v. 教育；教导
get in the way of	 挡...的路；妨碍
professional	 adj. 专业的；职业的
enter	 v. 进来；进去
support	 v. 支持 n. 支持
Picasso	 毕加索（西班牙画家）
truck	 n. 卡车；货车
rabbit	 n. 兔；野兔
whose	 pron. 谁的；（特指）那个人的
attend	 v. 出席；参加
valuable	 adj. 宝贵的；很有用的
pink	 adj. 粉红色的 n. 粉红色
picnic	 n. 野餐
somebody	 pron. 某人，有人；重要人物
anybody	 pron. 任何人
noise	 n. 声音；噪音
policeman	 n. 男警察
wolf	 n. 狼
laboratory	 n. 实验室
coat	 n. 外套；外衣
sleepy	 adj. 困倦的；瞌睡的
pocket	 n. 衣袋；口袋
alien	 n. 外星人；外侨，外国人
suit	 n. 西服；套装
express	 v. 表示；表达
not only … but also	 不但...而且
circle	 n. 圆圈 v. 圈出
Britain	 n. ( Great Britain) 大不列颠
receive	 v. 接受；收到
leader	 n. 领导；领袖
midsummer	 n. 仲夏；中夏
medical	 adj. 医疗的；医学的
prevent	 v. 阻止；阻挠
energy	 n. 精力，力量
position	 n. 位置；地方
burial	 n. 埋葬；安葬
honor	 n. ( honour) 尊重；表示敬意；荣幸
ancestor	 n. 祖宗；祖先
victory	 n. 胜利；成功
enemy	 n. 敌人；仇人
period	 n. 一段时间；时期
mystery	 n. 奥秘；神秘事物
Stonehenge	 巨石阵
Carla	 卡拉（女名）
J. K. Rowling	 J. K. 罗琳（英国作家）
Victor	 维克托（男名）
Jean	 琼（女名）
Paul Stoker	 保罗 • 斯托克
prefer	 v. 更喜欢
lyrics	 n. (pl) 歌词
Australian	 adj. 澳大利亚的；澳大利亚人的 n. 澳大利亚人
electronic	 adj. 电子的；电子设备的
suppose	 v. 推断；料想
smooth	 adj. 平滑的；悦耳的
spare	 adj. 空闲的；不用的
case	 n. 情况；实情
in that case	 既然那样；假使那样的话
war	 n. 战争；战争状态
director	 n. 部门负责人；导演
dialogue	 n. (dialog) 对话；对白
documentary	 n. 纪录片
drama	 n. 戏；剧
plenty	 pron. 大量；众多
plenty of	 大量；充足
shut	 v. (过去式 shut, 过去分词 shut) 关闭；关上
superhero	 n. 超级英雄
horror	 n. 震惊；恐惧
thriller	 n. 惊险电影（小说、戏剧）
intelligent	 adj. 有才智的；聪明的
sense	 n. 感觉；意识 v. 感觉到；意识到
pain	 n. 痛苦；苦恼
reflect	 v. 映出；照出；反映
perform	 v. 表演；执行
amazing	 adj. 令人惊奇的； 令人惊喜的
pity	 n. 遗憾；怜悯
total	 n. 总数；合计 adj. 总的；全体的
in total	 总共；合计
master	 n. 能手；主人 v. 掌握
praise	 v. 表扬；赞扬 n. 表扬；赞扬
national	 adj. 国家的；民族的 n. 〔侨居国外的〕(某国)国民，侨民
recall	 v. 回忆起；回想起
wound	 n. 伤；伤口；创伤
World War II	 第二次世界大战
Titanic	 泰坦尼克号（轮船名）；《泰坦尼克号》（电影名）
Carmen	 卡门（女名）
Dan	 丹 • 德维什
custom	 n. 风俗；习俗
bow	 v. 鞠躬
kiss	 v. 亲吻；接吻 n. 亲吻；接吻
greet	 v. 打招呼；迎接
value	 v. 重视；珍视 n. 价值
everyday	 adj. 每天的；日常的
drop by	 顺便访问；随便进入
capital	 n. 首都；国都
noon	 n. 正午；中午
mad	 adj. 很生气；疯的
get mad	 大动肝火；气愤
make an effort	 作出努力
traffic	 n. 交通；路上行驶的车辆
somewhere	 adv. 在某处；到某处
passport	 n. 护照
chalk	 n. 粉笔
blackboard	 n. 黑板
northern	 adj. 北方的；北部的
coast	 n. 海岸；海滨
season	 n. 季；季节
knock	 v. 敲门（窗）；敲；击
eastern	 adj. 东方的；东部的
worth	 adj. 值得；值…钱的
manner	 n. 方式；方法；(pl) 礼貌；礼仪
empty	 adj. 空的；空洞的
basic	 adj. 基本的；基础的
exchange	 n. 交换 v. 交换
go out of one’s way	 特地；格外努力
make ... feel at home	 使（某人）感到宾至如归
granddaughter	 n. （外）孙女
behave	 v. 表现；举止
except	 prep. 除...之外 conj. 除了；只是
elbow	 n. 肘；胳膊
gradually	 adv. 逐步地；渐进地
suggestion	 n. 建议
Brazil	 巴西
Mexico	 墨西哥
Cali	 卡利（哥伦比亚城市）
Colombia  VmbI	 哥伦比亚（南美洲国家）
Lausanne	 洛桑（瑞士城市）
Norway	 挪威
Maria	 玛丽亚（女名）
Katie	 凯蒂（女名）
Sato	 佐藤（日本姓氏）
Marie	 玛丽（女名）；马里（男名）
Teresa Lopez Upez	 特蕾莎 • 洛佩斯（人名）
Marc LeBlanc	 马克 • 勒布朗（人名）
the more … the more	 越...越... ； 愈...愈...
leave out	 不包括；不提及；忽略
friendship	 n. 友谊；友情
king	 n. 君主；国王
prime	 adj. 首要的；基本的
minister	 n. 大臣；部长
prime minister	 n. 总理; 首相
fame	 n. 名声；声誉
pale	 adj. 苍白的；灰白的
queen	 n. 王后；女王
examine	 v. （仔细地）检查；检验
nor	 conj. 也不 adv. 也不
neither ... nor	 既不...也不
palace	 n. 王宫；宫殿
power	 n. 权利；力量
wealth	 n. 富裕；丰裕
grey	 adj. 灰色的；（天空）阴沉的；昏暗的
lemon	 n. 柠檬
cancel	 v. 取消；终止
weight	 n. 重量；分量
shoulder	 n. 肩；肩膀
goal	 n. 目标；球门；射门
coach	 n. 教练；私人教师
kick	 v. 踢；踹
teammate	 n. 同队队员；队友
courage	 n. 勇敢；勇气
rather	 adv. 相当；宁愿
rather than	 而不是
pull	 v. 拉；拖
pull together	 齐心协力；通力合作
relief	 n. 轻松；解脱
nod	 v. 点头
agreement	 n. （意见或看法）一致；同意
fault	 n. 过失；缺点
disappoint	 v. 使失望
Bert	 伯特（男名）
Holly	 霍莉（女名）
backpack	 n. 背包；旅行包
oversleep	 v. (过去式 overslept, 过去分词 overslept) 睡过头；睡得太久
give ... a lift	 捎（某人）一程
miss	 v. 错过；未得到
unexpected	 adj. 出乎意料的；始料不及的
block	 n. 街区
worker	 n. 工作者；工人
stare	 v. 盯着看；凝视
disbelief	 n. 不信；怀疑
above	 adv. 在上面；向上面 prep. 在...上面
burn	 v. 着火；燃烧
alive	 adj. 活着；有生气的
take off	 中文释义:（飞机等）起飞；匆忙离开
till	 conj & prep. 到；直到
west	 adv. 向西；朝西 adj. 向西的；西部的 n. 西；西方
cream	 n. 奶油；乳脂
boss	 n. 老板；领导
pie	 n. 果馅饼；果馅派
course	 n. 课程；过程，进程
bean	 n. 豆；豆荚
market	 n. 市场；集市
costume	 n. 戏装；化装服；服装，装束
embarrassed	 adj. 窘迫的；害羞的
announce	 v. 宣布；宣告
spaghetti	 n. 意大利面条
hoax	 n. 恶作剧；骗局
discovery	 n. 发现；发觉
lady	 n. 女士；女子；举止文雅的女人，淑女
officer	 n. 军官；官员
believable	 adj. 可相信的；可信任的
embarrassing	 adj. 使人害羞的（难堪的或惭愧的）
New Zealand	 新西兰
Italy	 意大利
Mars	 火星
Carl	 卡尔（男名）
Orson	 奥森
litter	 v. 使凌乱；把...弄乱；乱扔（垃圾） n. 垃圾；废弃物
bottom	 n. 底部；最下部
fisherman	 n. 渔民；钓鱼的人
coal	 n. 煤；煤块
public	 adj. 公众的；公共的 n. 民众；百姓
ugly	 adj. 丑陋的；难看的
advantage	 n. 有利条件；优点
cost	 v. 花费；价钱为；计算…的成本；估计…的花费 n. 价钱，费用；花费
wooden	 adj. 木制的；木头的
plastic	 adj. 塑料的 n. 塑料；塑胶
make a difference	 有关系，作用，影响
shark	 n. 鲨鱼
fin	 n. （鱼）鳍
cut off	 割掉；砍掉
method	 n. 方法；措施
cruel	 adj. 残酷的；残忍的
harmful	 adj. 有害的
chain	 n. 链子；链条
ecosystem	 n. 生态系统
low	 adj. （数量等）少的；低的；矮的
industry	 n. 工业；行业
law	 n. 法律；法规
reusable	 adj. 可重复使用的；可再次使用的
afford	 v. 买得起；承担得起（后果）
transportation	 n. 运输业；交通运输
recycle	 v. 回收利用；再利用
napkin	 n. 餐巾；餐巾纸
upside down	 颠倒；倒转
gate	 n. 大门
bottle	 n. 瓶；瓶子
president	 n. 主席；总统；负责人
inspiration	 n. 灵感；鼓舞人心的人（或事物）
metal	 n. 金属
creativity	 n. 创造力；独创性
WildAid	 野生救援协会（美国）
WWF	 世界自然基金会(World Wide Fund For Nature)
Mark	 马克（男名）
Jason	 杰森（男名）
Ken	 肯（男名）
Hayes	 海斯（姓）
Jessica	 杰茜卡（女名）
Survey	 n. 调查
standard	 n. 标准；水平
row	 n. 一排；一列；一行
in a row	 连续几次地
keyboard	 n. （计算机等）键盘；琴键
instruction	 n. 指示；命令
double	 v. 加倍；是...的两倍 adj. 两倍的；加倍的
shall	 v. 将要；将会
overcome	 v. 克服；战胜
make a mess	 弄得一团糟，一塌糊涂
graduate	 v. 毕业；获得学位
keep one’s cool	 沉住气；保持冷静
ours	 pron. 我们的
senior	 adj. 级别（或地位）高的
senior high (school)	 高中
text	 n. 文本；课文
level	 n. 标准；水平
degree	 n. 度数；程度；（大学的）学位
manager	 n. 经理；经营者
believe in	 信任；信赖
gentleman	 n. 先生
graduation	 n. 毕业
ceremony	 n. 典礼；仪式
congratulate	 v. 祝贺
thirsty	 adj. 口渴的；渴望的
none	 pron. 没有一个；毫无
task	 n. 任务；工作
ahead	 adv. 向前面；在前面
responsible	 adj. 应承担责任的；有责任的
be responsible for	 对...有责任；负责任
separate	 adj. 单独的； 分离的 v. 分开；分离
wing	 n. 翅膀；翼
Brian	 布莱恩（男名）
Luke	 卢克（男名）
Griffin	 格里芬（姓）
Trent	 特伦特（姓）
