man-made	 adj. 人造的
unable	 adj. 不能做某事的
all day long	 整天
burn	 v. (burned, burned; burnt, burnt) （使）烧焦；（使）烤糊
cup	 n. 杯子；一杯饮料
task	 n. 任务；工作
upstairs	 adj. 位于楼上的 adv. 往楼上；在楼上
exhibition	 n. 展览；展览会
rule	 n. 规则；法则
against the rules	 违反规定
in trouble	 遇上麻烦；处于困境
tail	 n. 尾；尾巴
rope	 n. 粗绳；绳索
entry	 n. 进入权；进入许可
No entry.	 禁止入内。
no good	 不合适的； 不方便的
no wonder	 难怪；不足不奇
missing	 adj. 找不到的；失踪的
downstairs	 adj. 位于楼下的 adv. 往楼下；在楼下
punish	 v. 惩罚；惩处
communications	 n. [复数] 通信
physics	 n. 物理学
chemistry	 n. 化学
dig	 v. (dug, dug) 挖掘；掘（洞）
coal	 n. 煤
energy	 n. 能量；能源
X-ray	 n. X射线；X光
experiment	 n. 实验
sand	 n. 沙；沙子
control	 v. 操作；操纵
truck	 n. 卡车；货车
wheel	 n. 轮子；车轮
compare ⋯ with ⋯	 比较⋯⋯与⋯⋯
of all ages	 所有年龄段的
whole	 adj. 全部的；整个的
deal	 n. 协议
exam	 n. 考试
fail	 v. 未能及格；未能达到
guitar	 n. 吉他
instrument	 n. 乐器；仪器
musical	 adj. 音乐的
habit	 n. 习惯
get into the habit of ⋯	 养成⋯⋯的习惯
schoolwork	 n. 学生课业；功课
volunteer	 n. 志愿者
necessary	 adj. 必要的；必需的
shame	 n. 可惜；遗憾
instead	 adv. 代替；而不是
instead of	 而不是
community	 n. 社区；社会
knowledge	 n. 知识；学识
point	 n. （试图表达的）观点；看法
consider	 v. 考虑；斟酌
last word	 最后一句话；最终决定
come round	 拜访（某人的家）
reason	 n. 原因；理由
try out	 试用；试
angry	 adj. 愤怒的；生气的
no longer	 不再
be angry with sb.	 生某人的气
repair	 n. 修理；修补 v. 修理；修补
truth	 n. 事实；真相
least	 pron. 最少；最小
at least	 至少；起码
honest	 adj. 诚实的；老实的
apologise	 v. 认错；道歉
bill	 n. 账单；账款
pocket money	 零花钱
discuss	 v. 讨论；谈论
thinker	 n. 思想家
wise	 adj. 有判断力的；明智的
review	 n. 评论（文章）
influence	 v. 影响；作用于
sense	 n. 道理；意义；合理性
make sense	 易理解；合情理；有意义
by the way	 顺便提一下（用于在交谈中插入新话题、题外话或评论）
suppose	 v. 猜想；推测；相信；认为
well-known	 adj. 众所周知的；著名的
adventure	 n. 冒险（经历）
get into trouble	 遇上麻烦
run away	 逃走；逃跑
escape	 v. 逃离；逃脱
cave	 n. 洞穴
dead	 adj. 死的；去世的
for a time	 一小段时间；一度；一时
neighbour	 n. 邻居
funeral	 n. 葬礼
surprised	 adj. 惊奇的；惊讶的
alive	 adj. 活着的
southern	 adj. 南方的
state	 n. 州；邦
pay for	 为⋯⋯付出代价
action	 n. 举止；行为；情节
everyday	 adj. 日常的；普通的
dialogue	 n. 对话
stand for	 是⋯⋯的缩写；代表
memory	 n. 记忆；回忆
Point	 n. 比分
decision	 n. 决定
excuse	 n. （辩解的）理由；借口
noon	 n. 中午；正午
seat	 n. 座椅；座位
no way	 决不；不可能
fair	 adj. 公平的；合理的
kick	 v. 踢
mad	 adj. 生气的；恼火的
sportsman	 n. （尤指职业的）运动员
high jump	 跳高
ability	 n. 能力
hurdling	 n. 跨栏赛跑
sportswoman	 n. （尤指职业的）女运动员
race	 n. 赛跑；比赛
record	 v. 记录 n. 最佳记录
method	 n. 方法；办法
hurdles	 n. 跨栏赛跑
Japan	 日本
break	 v. 打破（纪录）；打碎
sportsperson	 n. 运动员
Asian	 adj. 亚洲的；亚洲人的
suffer	 v. 患有（疾病等）；经受
suffer from	 受（某种病痛）折磨；因⋯⋯而受苦
first place	 第一名；冠军
stop sb. (from) doing sth.	 阻止某人做某事
courage	 n. 勇气；胆量
pride	 n. 自豪感；骄傲
take pride in	 感到自豪
borrow	 v. 借入；借来
put up	 张贴；公布
website	 n. 网站
mail	 n. 邮件；信件
textbook	 n. 教科书；课本
mainly	 adv. 大部分地；主要地
thousands of	 好几千；成千上万
page	 n. 页；一页（纸）
electronic	 adj. 电子的
technology	 n. 科技；技术
powerful	 adj. 有影响力的；能控制他人的
Memory	 n. 存储器；存储量
full	 adj. 满的；充满的
fix	 v. 修补；挽救
instructions	 n. [复数] 说明书
lend	 v. (lent,lent)（把某物）借出，借给（某人）
properly	 adv. 合适地；正确地
look through	 快速阅读；浏览
printing	 n. 印刷
at a time	 每次；一次
by hand	 用手；靠手做
development	 n. 发展；进步
trade	 n. 买卖；交易
result	 v. （因⋯⋯而）产生；发生
spread	 v. (spread, spread) 扩展；蔓延；传播
in a way	 从某一角度；从某一点上看；在某种程度上
compare ⋯ to	 把⋯⋯比作
introduction	 n. 引进；采用；推行
amount	 n. 量；数量
store	 v. 存储；储藏
varied	 adj. 各种各样的；各不相同的
form	 n. 种类；类型；形态；存在形式
connection	 n. 电话连接；计算机网络连接
single	 adj. 仅一个的；单个的
direction	 n. 方向
replace	 v. 替换；取代
wait and see	 等等看；等着瞧
here we go	 我们这就看看
central	 adj. 中心的；在中间的
according to	 根据；按照；据⋯⋯所说
magical	 adj. 神奇的；迷人的
height	 n. 高度；身高
sailing boat	 帆船
northeast	 adj. 在东北的
sheep	 n. 羊；绵羊
hat	 n. 帽子
keep x	 （使）避开；（使）不靠近
keep sb./sth. away	 （使）避开；（使）不靠近
fly	 n. 苍蝇
scissors	 n. [复数] 剪刀
cut sth. off sth.	 把某物从某物上剪掉
wool	 n. 羊毛
diary	 n. 日记；日记簿
keep a diary	 写日记
hate	 v. 憎恨；讨厌
ant	 n. 蚂蚁
brush	 v. （用刷子）刷
brush sth. off sth.	 把某物从某物上刷掉
at the time	 那时；在那段时间
be surprised at	 对⋯⋯感到惊奇
period	 n. 阶段；时期
spirit	 n. 精灵；神灵；精神
relationship	 n. 关系
relative	 n. 亲戚
ham	 n. 火腿
salad	 n. 色拉
grape	 n. 葡萄
surf	 v. 冲浪
kangaroo	 n. 袋鼠
riding	 n. 骑马（运动）
lazy	 adj. 懒惰的；懒散的
ride	 n. 骑马；乘车
bet	 v. (bet, bet) 打赌；下赌注
you bet	 的确；当然；一定
the thing is	 答案是；问题是
general	 adj. 整体的；普遍的
standard	 n. 标准；水准
feeling	 n. 感觉；直觉看法
difficulty	 n. 困难；困境
subject	 n. 主题
add	 v. 添加
recently	 adv. 最近；近来
menu	 n. 菜单
be in with a chance	 有可能；有机会
tonight	 adv. （在）今晚；（在）今夜
read out	 朗读；宣读
winner	 n. 获胜者
compared with	 （与⋯⋯）相比
even though	 即使；尽管
rush	 v. 冲；奔
blouse	 n. 女衬衫
skirt	 n. 裙子
protect sth. against sth.	 保护⋯⋯；使⋯⋯不受
singer	 n. 歌手；歌唱家
congratulations	 n. [复数] 祝贺
headmaster	 n. 男校长
present	 v. 授予；呈递
factory	 n. 制造厂；工厂
pollute	 v. 污染
recycle	 v. 回收利用，再使用（废品）
waste	 n. 废料；废弃物
enemy	 n. 敌人；仇人
crop	 n. 庄稼；作物
kill	 v. 杀死；弄死
oil	 n. 石油
less	 adj. 较小的；较少的 n. 较少数；较少量
hopeless	 adj. 无望的
china	 n. 瓷；瓷器
divide	 v. 分开
plastic	 n. 塑料 adj. 塑料的
policy	 n. 政策；方针
reuse	 v. 再次使用；重复利用
bottle	 n. 瓶
throw away	 扔掉；丢弃
repeat	 v. 重说；重新做
reduce	 v. 减少；减低；缩小
cloth	 n. 布；布料
ton	 n. 吨
tons of	 许多；很多
rubber	 n. 橡胶
recycling	 n. 回收利用
rapid	 adj. 快速的；迅速的
step	 n. 步骤；措施
grandson	 n. （外）孙子
granddaughter	 n. （外）孙女
