take place	 发生
weightlessly	 adv. 失重地
cabin	 n. 小屋；船舱
mass	 n. <复>群众；大量；团；块；质量
now that	 既然
get the hang of	 熟悉；掌握；理解
break out	 突发；爆发
exhaust	 v. 使精疲力尽；用尽；耗尽
watch out	 密切注视；当心；提防
multicultural	 adj. 多种文化的
quiz	 n. 问答比赛；测验
Canadian	 n. 加拿大人 adj. 加拿大的；加拿大人的
Vancouver	 n. 温哥华（加拿大城市）
Toronto	 n. 多伦多（加拿大城市）
Calgary	 n. 卡尔加里（加拿大城市）
Ottawa	 n. 渥太华（加拿大首都）
beaver	 n. 海狸
grizzly	 n. （北美洲）灰熊 adj. 灰色的；有灰斑的
polar	 adj. 极地的；近极地的
penguin	 n. 企鹅
prime	 adj. 首要的；主要的；基本的
minister	 n. 大臣；部长
prime minister	 首相；丞相
governor	 n. 州长；总督
rather than	 与其；不愿
continent	 n. 洲；大陆
baggage	 n. 行李
chat	 n. 聊天；闲聊 v. 聊天；闲聊
scenery	 n. 景色；风景
eastward	 adv. 向东 adj. 向东的；朝东的
westward	 adv. 向西 adj. 向西的；朝西上的
upward	 adv. 向上地；上升的 adj. 上升的；向上的
surround	 v. 围绕；包围
the Rocky Mountains	 落基山脉
Harbour	 n. (harbor)海港
measure	 v. 测量；衡量；判定 n. 措施；计量制；计量单位
aboard	 prep & adv. 在船、飞机、火车或公共汽车上
settle down	 定居；平静下来；专心于
manage to do	 设法做
catch sight of	 看见；瞥见
eagle	 n. 鹰
stampede	 n. （美国西部或加拿大）大西部赛马会；(人群或兽群的) 狂奔
cowboy	 n. 牛仔；牧童
have a gift for	 对……有天赋
within	 prep. 在……之内
border	 n. 边界；国界；边沿 v. 与……接壤；接近
slight	 adj. 轻微的；微小的
slightly	 adv. 稍稍；轻微地
acre	 n. 英亩
urban	 adj. 城市的；市镇的
Thunder Bay	 桑德湾
Lake Superior	 苏必利尔湖
location	 n. 位置；地方
the Vatican City State	 梵蒂冈城国
topic	 n. 话题
mix	 v. 混合；调配
mixture	 n. 混合（物）；混合状态
bush	 n. 灌木（丛）；矮树（丛）
maple	 n. 枫；枫树
frost	 n. 霜冻；霜
confirm	 v. 证实；证明
wealthy	 adj. 富有的
distance	 n. 距离；远方
in the distance	 在远处
mist	 n. 薄雾
misty	 adj. 有薄雾的；模糊的
Niagara	 n. 尼亚加拉（河；瀑布）
schoolmate	 n. 同学；校友
booth	 n. 公用电话间；货摊；售货亭
downtown	 adj. 市区的 adv. 在市区；往市区
pearl	 n. 珍珠
Cantonese	 词性: n & adj. 广东人（的）；广州人（的）; 广东话（的）
approximately	 adv. 接近；大约
dawn	 n. 黎明；拂晓；破晓
workplace	 n. 工作场所；工作地点
buffet	 n. 自助餐；饮食柜台
broad	 adj. 宽阔的；广泛的
St Lawrence River	 圣劳伦斯河
nearby	 adv. 在附近 adj. 附近的；邻近的
tradition	 n. 传统；风俗
terrify	 v. 使恐怖；恐吓
terrified	 adj. 恐惧的；受惊吓的
pleased	 adj. 欣喜的；高兴的；愉快的
impress	 v. 使印象深刻；使铭记
impressive	 adj. 给人深刻印象的；感人的
