motivate	 vt. 使有动机，促使，激发
debt	 n. 债务，欠款
belief	 n. 信仰；信心；信任
painful	 adj. 令人痛苦的，引起疼痛的
stand for	 是⋯⋯意思，代表；支持
host	 n. 主办（国、城市、机构）；主人 vt. 主办
announce	 vt. 宣布，宣告
committee	 n. 委员会
distinction	 n. 殊荣；特质；区别
application	 n. 申请（书）；应用
pub	 n. 小酒馆，酒吧
delighted	 adj. 高兴的，愉快的
publish	 vt. 出版，发行
incident	 n. 事件，事情
evidence	 n. 证明，证据
explanation	 n. 解释，说明
explode	 vi&vt. 爆炸
analyse	 vt. 分析
arise	 vi. 发生，出现
blame	 vt. 责怪，归咎于
willing	 adj. 愿意的，乐意的
self	 n. 自我，自身
employ	 vt. 雇用；花时间做
legal	 adj. 合法的，与法律有关的
attempt	 vt&n. 尝试，试图
defend	 vt. 为⋯⋯辩解；保卫
argument	 n. 争论；理由
process	 n. 过程，进程
profit	 n. 利润，收益
favour	 n. 赞同；恩惠
analysis	 n. 分析
encouragement	 n. 鼓励
onto	 prep. 到（在）⋯⋯上
attitude	 n. 态度，看法
dislike	 vt. 不喜爱，厌恶
pretend	 vt. 假装
hire	 vt. 租用;雇用
bush	 n. 灌木，矮树
respect	 vt. 尊敬，尊重
disagreement	 n. 意见不一;分歧
channel	 n. (电视或电台)频道
advertise	 vt. 为⋯⋯做广告，登广告
classic	 adj. 传统的；经典的
sew	 vt. （sewed,sewn,sewed）缝，缝制
beer	 n. 啤酒
corporation	 n. 公司
brand	 n. 商标，牌子
suitable	 adj. 合适的
consist of	 由⋯⋯组成
advertiser	 n. 广告人
budget	 n. 预算
visually	 adv. 外表上；视觉地
boom	 n. 迅速增长
visual	 adj. 视觉的，视力的
stand out	 突出，显眼
concept	 n. 概念；观念
approach	 n. 方法，方式
humour	 n. 幽默
contemporary	 adj. 当代的；同时代的
contribution	 n. 贡献，捐助
citizen	 n. 公民；市民
niece	 n. 侄女，甥女
nephew	 n. 侄子，外甥
consideration	 n. 考虑；(作计划或决定时)必须考虑的事
as long as	 只要
conclude	 vt. 作出结论;结束
innocent	 adj. 天真无邪的，单纯的；无罪的
astronomer	 n. 天文学家
sightseeing	 n. 观光，游览
trolleybus	 n. 无轨电车
greengrocer	 n. 蔬菜水果商
southwest	 adv. 在西南方
fog	 n. 雾
tyre	 n. 轮胎
muddy	 adj. 泥泞的，沾满泥的
ankle	 n. 脚踝
spokesman	 n. 发言人
scene	 n. 场面，场景；景象，风景
ambulance	 n. 救护车
strawberry	 n. 草莓
load	 n. 满满一车；很多；工作量 v. 装载；给枪上膛；填充胶卷
bravery	 n. 勇敢
fiction	 n. 小说，虚构的事
ex-husband	 n. 前夫
district	 n. 区，行政区
editor	 n. 编辑；剪辑者
ahead	 adv. 在前面
harmful	 adj. 有害的
faithfully	 adv. 忠实地，真诚地
unemployment	 n. 失业（状态）
interrupt	 vt&vi. 打断（讲话或动作）;打扰；中断
tobacco	 n. 烟草，烟叶
false	 adj. 不真诚的；错误的
environmental	 adj. 自然环境的
protection	 n. 保护，防卫
kangaroo	 n. 袋鼠
steak	 n. 肉排;鱼排
roast	 n. 烤，烘
soccer	 n. (英式)足球
tip	 v. 给小费 n. 小费
owe	 vt. 欠（情、债等）
apology	 n. 道歉，认错
absorb	 vt. 理解，掌握；吸收；吸引
brief	 adj. 短暂的，简短的
expectation	 n. 期待的事物，预期
get used to	 习惯于
bacon	 n. 腌猪肉，熏猪肉
slice	 n. 薄片，片
toast	 n. 烤面包；祝酒，干杯
waiter	 n. （餐厅）服务员
waitress	 n. (餐厅)女服务员
exchange	 vt. 兑换，交换
cheque	 n. 支票
wander	 vi. 漫游，闲逛
mushroom	 n. 蘑菇
tasty	 adj. 美味的
foggy	 adj. 多雾的
laughter	 n. 笑;笑声
majority	 n. 大半，大多数
anyhow	 adv. 总之，反正；不管怎样
reasonable	 adj. 合理的，正当的
mosquito	 n. 蚊子
northeast	 n. 东北，东北方
physician	 n. 内科医生
book	 vt. 预约，预订
manners	 n. 礼貌
modest	 adj. 谦虚的;适度的
indicate	 vt. 表明;表示
eastern	 adj. 东方国家的；东部的
curiously	 adv. 奇怪地；好奇地
movement	 n. 动作；活动
lemon	 n. 柠檬
informal	 adj. 非正式的
flashlight	 n. 手电筒
cave	 n. 洞穴，洞窟
cosy	 adj. 温暖舒适的
novel	 n. （长篇）小说
circus	 n. 马戏团
lift	 n. 搭车
schoolmate	 n. 同学
headmaster	 n. 校长
jeep	 n. 吉普车
blanket	 n. 毛毡，毯子
sheet	 n. 床单，被单
request	 n. 请求
parcel	 n. 邮包，包裹
handkerchief	 n. 手帕，纸巾
canteen	 n. 食堂，餐厅
mailbox	 n. 信箱，邮筒
twin	 adj. 孪生之一的 n. 双胞胎之一
courtyard	 n. 庭院，院子
familiar	 adj. 熟悉的，常见的
arrival	 n. 到达，抵达
aspect	 n. 方面
splendid	 adj. 极佳的，非常好的；壮观的
cocoa	 n. 可可饮料，可可粉
outgoing	 adj. 友好的，乐于交友的
cautious	 adj. 小心翼翼的，谨慎的
desert	 n. （正餐最后的）甜食，甜点心
stare	 vi. 盯着看，凝视
whisper	 vi. 低语，耳语
appetite	 n. 食欲，胃口
yummy	 adj. 美味的
spoken	 adj. 口头的
see...off	 给（某人）送行
fur	 n. 毛皮，浓密的软毛
conduct	 vt. 指挥（歌唱或音乐演奏）；实施
band	 n. 乐队
burglar	 n. (潜入住宅或商店的)窃贼
bark	 vi. 吠，叫，吼
injure	 vt. 伤害
educator	 n. 教育者
erupt	 vi. 爆发，喷发
dinosaur	 n. 恐龙
detective	 n. 侦探
earthquake	 n. 地震
acre	 n. 英亩
belong	 vi. 适应；属于
attach	 vt. 喜欢，依恋；系，固定
birthplace	 n. 出生地
chef	 n. 厨师长，主厨
fusion	 n. 熔合，熔化
vast	 adj. 巨大的，广阔的
export	 vt. 出口，输出
fond	 adj. 喜爱
outdoors	 adv. 在户外，在野外
literature	 n. 文学
contrary	 adj. 相反的 n. 相反
broad	 adj. 各种各样的；广阔的
bear	 vt. （bore,borne）携带；容忍
minority	 n. 少数；少数民族
well-off	 adj. 富有的
unfair	 adj. 不公平的
forgive	 vt. （forgave,forgiven）宽恕，饶恕
preview	 n. 预告；预展，预演
dusk	 n. 黄昏，薄暮
multi-cultural	 adj. 多种文化的
spot	 n. 地点；点；斑点
garlic	 n. 蒜，大蒜
apron	 n. 围裙，围腰布
ashtray	 n. 烟灰缸
cassette	 n. 盒式录音带
comb	 n. 梳子
scissors	 n. 剪刀
dustbin	 n. 垃圾箱
addition	 n. 相加，增加物
contrast	 n. 差异，差别
