mother tongue	 母语
diagram	 n. 图解；图表
caption	 n. (图片的)说明文字
booth	 n. （餐馆内的）雅座；（电话）亭
barbershop	 n. 理发店
globe	 n. 地球
barber	 n. 理发师
fasten	 vt. 束紧
stewardess	 n. 女乘务员
steward	 n. 男乘务员
regulation	 n. 规则，规章制度
bingo	 inter. 好，妙
haircut	 n. 理发
amateur	 adj. 业余的
sincerely	 adv. 真诚地
embarrass	 vt. 使窘迫
punctual	 adj. 准时的,守时的
directory	 n. 指南
personnel	 n. 全体职员
bet	 vt. 打赌
academy	 n. 学院；学会
algebra	 n. 代数
geometry	 n. 几何
bacteria	 n. [bacterium的复数]细菌
software	 n. 软件
mass	 n. 质量；物质
radiation	 n. 放射；辐射
radium	 n. 镭
radioactive	 adj. 放射性的
shuttle	 n. 航天飞机
crew	 n. 全体机组人员
assist	 vt. 帮助；协助
emotional	 adj. 情感（上）的
technical	 adj. 技术上的
journal	 n. 杂志
issue	 n. 问题；议题
recreation	 n. 消遣；娱乐
futurology	 n. 未来学
latter	 n. 后者
futurologist	 n. 未来学家
seminar	 n. 研讨会
enterprise	 n. 事业；企业
click	 vi. 点击
handy	 adj. 方便使用的
shortly	 adv. 不久；很快
download	 vt. 下载
update	 vt. 更新
stainless	 adj. 无污迹的
stain	 n. 污迹,污点
garment	 n. 衣服
worn	 adj. 磨损的
starvation	 n. 饥饿
welfare	 n. 福利
discrimination	 n. 歧视；识别力
conflict	 n. 争执；冲突
equality	 n. 平等
cell	 n. 细胞
assess	 vt. 评估；评价
database	 n. 数据库；资料库
electronic	 adj. 电子的
dawn	 n. 开端；拂晓
digital	 adj. 数字式的
source	 n. 来源；出处
specialist	 n. 专家
participant	 n. 参加者
present	 vt. 主持（电视或广播节目）；呈现
category	 n. 类别；类型
autonomous	 adj. 自主的；自治的
programmer	 n. 电脑程序编制员
in advance	 预先
creator	 n. 创造者
premiere	 n. 首次公演，公映
caveman	 n. (远古时的)穴居人
give away	 泄露（秘密）；暴露
take over	 接收，接管
official	 n. 官员
invest	 vt. 投资
colleague	 n. 同事，同僚
hibernation	 n. 冬眠
rescue	 vt. 拯救，救援
exit	 n. 出口
disconnect	 v. 使不连接；切断
original	 adj. 起初的；最早的
operational	 adj. 工作着的，即可使用的
instructor	 n. 指导者；教练
dilemma	 n. 困境，进退两难的窘境
microscope	 n. 显微镜
procedure	 n. 步骤；程序
organ	 n. 器官
donate	 vt. 捐赠;赠送
correspond	 vi. 通信；相当；符合
meanwhile	 adv. 在此期间
split	 vi. 分开，分离
premier	 adj. 最重要的
outspoken	 adj. 直言的，坦率的
telescope	 n. 望远镜
galaxy	 n. 星系
mist	 n. 薄雾
mould	 n. 霉，霉菌
penicillin	 n. 青霉素，盘尼西林
outcome	 n. 后果，结果
cure	 vt. 治愈
navy	 n. 海军
wrestle	 vi. 努力解决；摔跤；搏斗
circuit	 n. 电路
microwave	 n. 微波炉
patent	 n. 专利
jet	 n. 喷气式
exploration	 n. 探测；探险
dot	 n. 小圆点
ancestor	 n. 祖先；祖宗
outwards	 adv. 向外地
boundary	 n. 界线；边界
fade	 vi. 逐渐变弱
barrier	 n. 障碍；屏障
phenomenon	 n. 现象
primitive	 adj. 原始的
orbit	 n. 轨道
permanent	 adj. 长久的，永久的
headline	 n. 大标题
initial	 adj. 最初的；开始的
spin	 vi. 快速旋转
overhead	 adj. 头顶上的
permit	 vt. 允许，许可
sneeze	 vi. 打喷嚏
sniff	 v. 嗅；闻
porridge	 n. 麦片粥
ripe	 adj. 成熟的
melon	 n. 瓜；甜瓜
ripen	 vi. (使)成熟
walnut	 n. 胡桃
press	 vt. 按；压
socket	 n. 插座
shaver	 n. （口）小伙子；电动剃须刀
Mars	 n. 火星
Venus	 n. 金星
poisonous	 adj. 有毒的
carbon dioxide	 n. 二氧化碳
poison	 n. 毒药；毒物
canal	 n. 运河
declare	 vt. 宣告；宣布
souvenir	 n. 纪念品
settler	 n. 移民；殖民者
kidney	 n. 肾，肾脏
liver	 n. 肝脏
interval	 n. 间隔；间歇
pump	 vi. 用泵抽出（注入）
digest	 vt. 消化
mineral	 n. 矿物
swap	 vi. 交换
hearing	 n. 听觉
pulse	 n. 脉搏
track and field	 田径运动
enhance	 vt. 增强；提高
performance-enhancing	 adj. 增强表现的
supreme	 adj. （程度）最大的，极度的
doping	 n. 服兴奋剂
abuse	 vt. 滥用；虐待
tolerate	 vt. 容忍
fundamental	 adj. 根本的；基础的
doubtful	 adj. 怀疑的，不肯定的
seek	 vt. 寻找
annual	 adj. 每年的，一年一次的，年度的
lame	 adj. 站不住脚的，不易令人相信的
in vain	 徒然，白费力气
compulsory	 adj. 强制性的，义务的
at random	 随便地，随意地
gene-therapy	 基因疗法
threat	 n. 威胁
controversial	 adj. 有争议的
oppose	 vt. 反对
dash	 n. 短跑
marathon	 n. 马拉松赛跑
contradict	 vt. 与（其他事物）相矛盾
violate	 vt. 违反，违背
at all costs	 不管多大代价，无论如何
impulse	 n. 脉冲
complicated	 adj. 复杂的
miniature	 n. 微型复制品
soundtrack	 n. 声迹
interpret	 vt. 翻译；解释
identify	 vt. 确定；认出，识别
emotion	 n. 情感，情绪
privileged	 adj. 荣幸的
cater	 vi. 满足；迎合
entry	 n. 进入；入学
ample	 adj. 充足的，充裕的
herb	 n. 草药
scan	 n. 扫描
treat	 vt. 款待
storage	 n. 储存
postpone	 vt. 推迟，延期
straight away	 立刻，马上
epidemic	 n. 流行病
cancer	 n. 癌，癌症
wipe out	 彻底毁灭
urban	 adj. 城市的
rebuild	 vt. 重建
empire	 n. 帝国
trial	 n. 实验
prohibit	 vt. 禁止
unite	 vt. 联合；团结;统一
pause	 n. 停顿；暂停
acute	 adj. 严重的；剧烈的
statistics	 n. 统计资料；统计数字
symptom	 n. 症状
routine	 n. 常规；惯例
press.	 n. 新闻界；报界
parallel	 n. 极相似之处；平行线
tissue	 n. 组织
adaptation	 n. 变化；变种
foresee	 vt. 预见
mourn	 vi&vt. 感到悲痛；表示哀悼
carrier	 n. 带菌者
prescription	 n. 处方
tablet	 n. 药片
underline	 vt. 表明重要性；强调
thorough	 adj. 彻底的；细致的
systematic	 adj. 系统化的
teamwork	 n. 协作；配合
faith	 n. 信心
stop sth.in its tracks	 终止；消灭
pill	 n. 药丸，药片
coma	 vi. （因严重疾病或重伤引起的）昏迷
weekly	 adj. 每周一次的
temporary	 adj. 临时的；短暂的
numb	 adj. （思维、感觉、反应）麻木的
sacred	 adj. 神圣的
rob	 vt. 使丧失；抢劫
terminal	 adj. 致命的；晚期的
helmet	 n. 头盔；防护帽
decline	 vi. 下降
minimum	 n. 最低；最小
institution	 n. 团体；公共机构
unconditionally	 adv. 无条件地
tentatively	 adv. 不完全地
equip	 vt. 使有准备
firm	 n. 商行，公司
fortune	 n. 大笔钱财,巨款
reverse	 vt. 颠倒；改变
rate	 n. 比率
enquiry	 n. 询问
deadline	 n. 截止日期，最后日期
submit	 vt. 提交
appendix	 n. 附录
extension	 n. 延期
tractor	 n. 拖拉机
jealous	 adj. 嫉妒的
spade	 n. 铲；锹
aluminum	 n. 铝
tin	 n. 罐
concern	 n. 担心；担忧
vote	 vi. 表决
sceptical	 adj. 怀疑的
belly	 n. 肚子；腹部
absurd	 adj. 不合理的；荒谬的
circumstance	 n. 情形；情况
