globalisation	 n. 全球化，全球性
simplicity	 n. 简单，简易，朴素
chariot	 n. 双轮马车
pilgrim	 n. 圣地朝拜者
wipe away	 擦去
sin	 n. 罪，罪恶
downpour	 n. 倾盆大雨
douse	 vi. 浇灭；浸泡
bushfire	 n. 林区大火
fortnight	 n. 两星期
evacuation	 n. 撤退，撤出
welfare	 n. 福利，福利事业
telecom	 电信
geographical	 adj. 地理的，地理学的
boundary	 n. 分界线；边界
highly	 adv. 非常；极；高度地
the World Wireless Forum	 世界无线电话论坛
mobility	 n. 活动性，灵活性，机动性
freelancer	 n. 自由职业者
migrant	 n. 移居者；候鸟
ownership	 n. 所有权，所有制
vague	 adj. 含糊的，不清楚的
countless	 adv. 无数的，数不尽的
indispensable	 adj. 不可缺少的，绝对必要的
long for	 渴望
relieved	 adj. 得到安慰的
cross	 adj. 生气的
furious	 adj. 狂怒的，暴怒的
insecure	 adj. 不可靠的，不安全的
shattered	 adj. 感到震惊的，难过的，心烦意乱的
disillusioned	 adj. 不抱幻想的，理想破灭的
let down	 失望的
satisfaction	 n. 满意，满足
dread	 n. 恐惧，害怕，担心
sprain	 vi. 扭伤
disallow	 vt. 不承认，不准许
out of the blue	 突然地
intend	 vt. 想要，打算
punchline	 (故事、戏剧、笑话等中的)妙语，关键语
grizzly	 adj. 略灰色的，呈灰色的
passion	 n. 激情，热情
caveman	 n. (史前石器时代的)穴居人
playwright	 n. 剧作家
statesman	 n. 政治家，国务活动家
habit-forming	 成习惯性的，会上瘾的
juggle	 v. 杂耍
packed	 adj. 挤满人的，拥挤的
blazing	 adj. 酷热的；炽热的
hesitant	 adj. 踌躇的，犹豫的
squint	 vi. 眯着眼看，斜视
wildly	 adv. 疯狂地，野蛮地
bounce	 vi. (球)跳起，弹回
hop	 vi. 单脚跳
limp	 vi. 跛行，瘸着走
mystified	 adj. 被迷惑的，被神秘化的
ashamed	 adj. 惭愧的，羞耻的
amusement	 n. 娱乐，消遣
desperation	 n. 绝望
onwards	 adv. 向前地，在先地
beg for	 乞求
messy	 adj. 肮脏的，凌乱的，杂乱的
retire	 vi. 退休
wit	 n. 智力，才智，智慧
purse	 n. 钱包，皮包
heartbroken	 adj. 悲伤的，伤心的
belongings	 n. 财产，所有物
chop	 vt. 砍，剁碎
majesty	 n. 陛下
sob	 vi&n. 呜咽，哭泣
count	 vt. 数，计算
sideboard	 n. 餐具柜
jester	 n. 讲笑话的人，小丑
astonishment	 n. 惊讶
carefree	 adj. 无忧无虑的
camouflage	 vt&n. 伪装，掩饰
shield	 vt. 保护，防御
for sure	 确实
unforgettable	 adj. 令人难忘的
cunning	 adj. 奸诈的，狡猾的
undo	 vt. 解开，打开
collar	 n. 衣领
unbutton	 vt. 解开衣服的钮扣
thread	 n. 线，纱
mutter	 vt&vi. 低声说出（生气或抱怨的话）
undisturbed	 adj. 未被干扰的
stride	 vi. 大步行走
presently	 adv. 不久；目前
shabby	 adj. 破旧的，褴褛的
promptly	 adv. 敏捷地，迅速地
tumble	 vi&n. 摔倒，跌倒
punch	 vt. 用拳猛击
astride	 adv. 跨着
pound	 vt&vi. (连续)猛击
rage	 n. 愤怒，愤激
relive	 vt. 重新体验
good manners	 礼貌
disrespectful	 adj. 失礼的，无礼的
revolting	 adj. 令人厌恶的
gentlemanly	 adj. 绅士的，绅士似的
unhygienic	 adj. 不卫生的，不清洁的
unprofessional	 adj. 外行的，非职业的
misinterpreted	 adj. 曲解的，误解的
drop in	 顺便走访
sneeze	 n. 喷嚏 vi. 打喷嚏
curse	 n&vt. 诅咒,咒骂
context	 n. 场合
infuriate	 vt. 激怒
dispenser	 n. 自动柜员机
device	 n. 设备，仪器，装置
disapprove	 vt. 不赞成，不同意
uneasy	 adj. 不自在的；心神不安的
aural	 adj. 听觉的，听力的
confusion	 n. 混乱，混淆
standardisation	 n. 标准化
be supposed to	 应该
awkwardness	 n. 尴尬；笨拙
overdue	 adj. 早该完成的
liar	 n. 说谎者
dialect	 n. 方言，土语
spinach	 n. 菠菜
excessive	 adj. 过分的
undivided	 adj. 完整的；未分开的
go into details	 详述，逐一细说
display	 vt. 陈列，展览，显示
put sb. down	 羞辱
make light of	 轻视，忽略
dumbness	 n. 无言，沉默
get one's mind off	 转移某人的注意力，忘掉
tactful	 adj. 圆通的；得体的
straightforward	 adj. 坦率的，直截了当的
opinionated	 adj. 固执己见的
obligation	 n. 义务，职责，责任
necessity	 n. 需要，必需，必要
inappropriate	 adj. 不合宜的，不适当的
voice mail	 语音信箱
funeral	 n. 葬礼，出殡
punctual	 adj. 严守时刻的，准时的
the other night	 前两天夜里，不久前的某个夜里
calm down	 平静下来，镇定下来
socialise	 vi. 交友，交谊
stumble	 vi. 结结巴巴地说（或念）；绊倒
dry up	 停止谈话；使干枯
be unsure of	 不确定，不肯定
status	 n. 身份，地位
interrogation	 n. 讯问，审问，质问
tempt	 vt. 诱使
unclear	 adj. 不清楚的，难懂的
summarise	 vt. 概述，总结
restate	 vt. 重新叙述，重申
look sb.in the eye	 正视某人
distract	 vt. 使……注意力转移，使分心
over-emotional	 adj. 过于激动的；过于敏感的
charm	 n. 魅力
unconsciously	 adv. 无意地，不知不觉地
come across	 偶遇，碰到
get across	 被理解，使人了解
resent	 vt. 不满；憎恶
defensive	 adj. 有戒心的，自卫的
washed	 out 非常疲倦的
flatmate	 n. 公寓室友
protective	 adj. 保护的，防护的
hint	 n. 暗示，提示
spoil	 vt. 宠坏；破坏
drop out	 退出（比赛、俱乐部、学校）
sack	 vt. 开除，解雇
fly off the handle	 (为不太重要的事)大发雷霆
explosive	 adj. 激增的，爆发（性）的
conversational	 adj. 口语的，谈话的
concise	 adj. 简明的，简练的
courteous	 adj. 有礼貌的；谦恭的
overuse	 vt&n. 使用过度
cliché	 n. 陈词滥调
punctuation	 n. 标点，标点符号
courtesy	 n. 礼貌；谦恭
sign-off	 n. 结束写信；结束广播节目
neglect	 vt&n. 忽视，疏忽
for the sake of	 为……的缘故
recipient	 n. 接受者
annoyance	 n. 可厌之事；烦恼
abbreviation	 n. 缩写，缩写词
as far as	 至于
overdo	 vt. 过度，做得过分
oblivious	 adj. 未觉察到的
dispatch	 vt&n. 发送，派遣
in accordance with	 按照，依照
herewith	 adv. 随同此信
sum	 n. 金额；总数
print	 vt&vi. 印刷，出版
dinosaur	 n. 恐龙
endeavour	 n. 尽力，竭力
retail	 vi&n. 零售
outlet	 n. 批发商店，经销公司
uncooperative	 adj. 不合作的，不配合的
reluctant	 adj. 勉强的，不愿意的
nuisance	 n. 讨厌或麻烦的人、事、情况
aisle	 n. 走廊，过道
choke	 vi&vt. 使窒息，使不能呼吸
ineffective	 adj. 无效的
oasis	 n. (沙漠中的)绿洲
numerous	 adj. 许多的，数目众多的
tailor made	 adj. 定制的，为……特制的
place an order	 向……定购某物
mar	 vt. 破坏，损伤
litterbug	 n. 在街道或公共场所乱丢垃圾的人
efficiency	 n. 效率，功效
pothole	 n. 坑洼
install	 vt. 安装，安置
payoff	 n. 发工资
jail	 n. 监狱
civil	 adj. 公民的，国民的
tag	 n. 标签
auction	 n&vt. 拍卖
plaster	 vt. 涂抹，抹灰
outnumber	 vt. 数目超过，比……多
slingshot	 n. 弹弓
violation	 n. 违反，违背，妨碍，侵害
chime	 n. 铃声；钟声
back up	 支持，援助
publicity	 n. 宣传
slogan	 n. 口号，标语
antispit	 vi. 反吐痰
distribution	 n. 分配，分发
pamphlet	 n. 小册子
poster	 n. 海报，招贴
strip	 n. (报刊上的)连环画
contest	 n. 比赛，竞争
liveable	 adj. 适于居住的，可住的
flush	 vi&vt. 冲洗，冲刷
enact	 vt. 将……制定成法律
inspector	 n. 检查员，巡视员
intrude	 vt. 闯入，强行进入
consciousness	 n. 意识，知觉
norm	 n. 标准，规范
