cancel	 vt.  取消
with	 prep.  与， 伴随； 有， 以
there	 adv.  在那里 int. 那！你瞧！
permit	 v. 许可，允许 n.  许可证， 执照
well	 adv. 好，充分地 adj. 健康的 int. 好吧 n.  井
suitable	 adj.  合适的， 适宜的
personnel	 n.  人员， 职员
hopeless	 adj.  没有希望的； 不可救药的
freeway	 n.  高速公路
fountain	 n.  喷泉； 源泉
pile	 v. 堆积，积累 n.  堆
channel	 n.  海峡； 频道； 通道
sunburnt	 adj.  晒黑的， 晒伤的
focus	 v. 聚焦，集中 n.  中心， 焦点
entire	 adj.  整个的， 全部的
approach	 v.  接近， 靠近 n. 方式，方法
wrist	 n.  手腕， 腕关节
experiment	 n.  实验
fierce	 adj.  猛烈的， 激烈的
reservation	 n.   预订； 预约
e-mail	 n. 电子邮件 vt.  给…发电子邮件
hate	 vt. 恨，讨厌，不喜欢 n.  怨恨
block	 v.  阻塞， 阻挡 n. 大块；街区
write	 v.   写
pet	 n.  宠物， 爱畜
flow	 v. 流动 n.  流， 流动
order	 n. 顺序；命令 vt.  命令； 点菜； 订货
wage	 n.  工资， 报酬
period	 n.  时期， 时代
musical	 adj. 音乐的，爱好音乐的 n.  音乐剧
corporation	 n.  团体； 公司， 企业
distant	 adj.  远的， 遥远的
understand	 v.   懂得， 理解
dismiss	 v.  解雇； 解散
intelligence	 n.  智力， 聪明
reform	 v.  改革， 革新 n. 改革；改善
ever	 adv.  曾经； 无论何时
even	 adv. 甚至，更加，还要 adj.  平坦的
restriction	 n.  限制
crazy	 adj.  疯狂的
razor	 n.  剃须刀
coach	 v. 指导，训练 n.  教练； 马车； 长途车
champion	 n.  冠军， 优胜者
wait	 v. 等待 n.  等待， 等候
circuit	 n.  电路
pint	 n.   品脱； 一品脱啤酒
matter	 vi.  要紧， 有重大关系 n. 事情，物质；原因
instant	 adj. 立即的；速食的 n.  瞬间
personalization	 n.  个性化
shaver	 n.  电动剃须刀
top	 n.  顶部； 上面
native	 adj.  本土的， 本国的
too	 adv.  也； 又； 太； 很
have	 v.  帮助构成完成时态 vt. 有，使，令
violence	 n.  暴力； 强烈
roast	 v.  烤
energetic	 adj.  精力旺盛的
consequence	 n.  结果， 后果
quilt	 n.  加衬芯床罩
famous	 adj.  著名的， 出名的
question	 vt. 询问 n.  问题
vinegar	 n.  醋
spirit	 n.  精神， 灵魂
premier	 n.  总理， 首相
produce	 v.  生产， 制造
allergic	 adj.  过敏的
cheat	 v. 哄骗，欺骗，骗取 n.  骗子； 诈骗
framework	 n.  框架， 结构
regard	 v. 当做，看待 n.  关心， 注意； 致意
anecdote	 n.  轶事； 趣事
prohibit	 vt.  禁止， 阻止
almost	 adv.  几乎， 差不多
steward	 n.  男乘务员
fuel	 n.  燃料
manner	 n. 方式；举止；
upon	 prep.  在…上面
foresee	 vt.   预见， 预知
harmful	 adj.  有害的； 致伤的
associate	 v.  结合； 结交
pray	 v.  祈祷， 祈求
wake	 v.   醒来， 叫醒
pin	 vt. 钉住，别住 n.  别针； 胸针
academic	 adj. 学术的；院校的 n.  大学教师； 学者
whether	 conj.  是否
function	 vi.  起作用； 行使职责 n. 功能，作用，职责；函数
raise	 vt.  举起； 提高， 使升高； 饲养， 养育
spoon	 n.  勺， 匙， 调羹
quite	 adv.  完全， 十分
lap	 n.  大腿；  一圈
mineral	 n.  矿物质， 矿物
representative	 n.  代表
terror	 n.  恐怖； 可怕的人
beneath	 prep.  在…下方， 在…下面
everyone	 pron.  每人， 人人
lay	 v.   放， 搁； 产
swap	 v.   交换
hatch	 v.   孵蛋
pardon	 vt&n.  原谅， 宽恕； 对不起
plenty	 n.  充足， 大量， 丰富
tick	 v.  发出滴答声 n. 钟表的滴答声；记号
basis	 n.  [C] 基础； 根据； 原则
adventure	 n.  冒险； 奇遇
condition	 n.  条件， 状况
improve	 v.  改进， 更新
ceremony	 n.  典礼， 仪式
bingo	 n.  宾果
try	 v.   尝试， 试图； 努力
gym	 n.  体育馆； 健身房
basic	 adj. 基本的 n.  要素； 基础
twist	 v. 拧，扭曲 n.  扭曲， 歪曲
unite	 v.  联合， 团结
bush	 n.  灌木丛， 矮树丛
technique	 n.  技术， 技巧
cause	 n. 原因，起因 vt.  促使， 引起
dioxide	 n.  二氧化物
wound	 vt. 伤，使受伤；伤害 n.  [Ｃ] 创伤； 伤口
catastrophe	 n.  灾难； 灾祸； 横祸
busy	 adj.  忙碌的
convey	 vt.  搬运； 传播， 传达
extra	 adj.  额外的， 外加的
design	 v. 设计；制订；筹划 n.  样式
generous	 adj.  慷慨的， 大方的
land	 v.  登陆； 降落 n. 陆地
coincidence	 n.  一致； 巧合
victim	 n.  受害人， 牺牲品
department	 n.  部门；  系
possibility	 n.  可能， 可能性
direction	 n.  方向； 说明； 说明书； 指导
exhibition	 n.  展览， 展览会； 展品
burn	 v. 燃，烧，着火；使烧焦；
garlic	 n.  大蒜
alcoholic	 adj. 酒精的；酒精中毒的 n.  饮酒过度的人
bachelor	 n.  学士； 单身汉
countryside	 n.  乡下， 农村
chief	 adj. 主要的，首要的 n.  领导
automatic	 adj.  自动的， 机械的
lamp	 n.  灯， 油灯； 光源
cry	 v.  喊叫； 哭 n. 喊；哭声
Antarctic	 adj. 南极的 n.  南极地区
conduct	 vt.  引导； 管理
bury	 vt.   埋， 葬
obey	 v.  服从， 顺从
stable	 adj.  稳定的
lamb	 n.  羔羊； 羔羊肉
fantastic	 adj.  极好的， 美妙的， 很棒的
changeable	 adj.  易变的， 变化无常的
spoken	 adj.  口语的
respond	 v.  回答； 做出反应
incident	 n.  事件
walk	 v.  走路， 步行 n. 散步
lame	 adj.  跛的； 残废的
marry	 v.   和…结婚
pity	 n.  怜悯， 同情； 憾事
absorb	 vt.  吸收； 吸引
supply	 v.  供给， 提供 n. 供给；供应品
uncertain	 adj.  不确定的
concern	 n. 关系；关心 vt.  涉及， 关系到
circulate	 vt.  使流通； 使运行
liberty	 n.  自由
recycle	 v.  再循环， 回收
let	 vt.   让
state	 n. 状态；国家；州 vt.  宣称
press	 vt. 压，按 n.  压， 按； 新闻界， 出版社
welcome	 n&vt&adj.  欢迎
confidential	 adj.  极受信任的； 秘密的
chaos	 n.  混乱
abundant	 adj.  丰富的， 充裕的
want	 v.  想要， 需要
pace	 n.  步子， 步速； 节奏
ballet	 n.  芭蕾舞， 芭蕾舞剧
opposite	 adj.  相反的， 对面的 n. 相反，对面；对立面，对立物
forecast	 n. 预知 vt.  预告， 预测
recognize	 vt.  认出； 承认
warehouse	 n.  仓库； 大商店
pack	 v.  包装， 整理 n. 包，背包；一群
each	 adj&pron.  每人， 每个， 每件
abnormal	 adj.  反常的； 变态的
difference	 n.  不同
must	 modal verb. 必须 n. 必须做的事；必不可少的东西
circle	 v.  围起来， 环绕 n. 圆圈
resign	 v.  辞去， 辞职
drier	 n.  烘干机， 吹风机
bathe	 v.  洗澡， 沐浴， 浸洗
polite	 adj.  有礼貌的， 有教养的
cut	 v. 切，剪，削，割；删节 n.  伤口
entertainment	 n.  娱乐； 娱乐表演
probably	 adv.  很可能， 大概
document	 n.  文件， 文献
aluminum	 n.  铝
ward	 vt. 保卫，看护 n.  病房， 收容所
starve	 v.  饿死， 挨饿
prize	 n.  奖赏， 奖品， 奖金
accident	 n.  事故， 意外事件
clay	 n.  黏土； 泥土
moment	 n.  [C] 片刻， 瞬间， 刹那
anyway	 adv.  不管怎样
promote	 vt.  促进； 提升； 推销
routine	 n.  常规， 日常事务
found	 vt.  成立， 建立
tear	 v.   扯破， 撕开 n.  眼泪
excuse	 n.  借口， 理由 vt.  原谅， 宽恕
attack	 v&n.  攻击， 袭击
spoonful	 n.  一匙
humour	 n.  幽默， 幽默感
divorce	 n. 离婚 vt.  使离婚
currency	 n.  货币
distribute	 v.  分布； 分配
worried	 adj.  担心的； 烦恼的
attach	 vt.  系上， 贴上
canal	 n.  运河； 水道
shout	 v.  呼喊， 呼叫 n. [C]喊，高声呼喊
escape	 v&n.  逃跑， 逃脱； 避开
flashlight	 n.  手电筒； 闪光信号
ankle	 n.  脚踝
situation	 n.  形势， 情况
think	 v.   想， 思索； 认为
receive	 v.  收到， 得到
thirst	 n.  渴， 口渴
participate	 vi.  参加， 参与
surplus	 n.  剩余， 过剩
refresh	 v.   精神振作； 更新
librarian	 n.  图书管理员， 图书馆馆长
theft	 n.  盗窃案
religion	 n.  宗教
diagram	 n.  图表， 图样
claw	 n.  爪
prayer	 n.  祈祷
speech	 n.  演讲
watch	 v.  观察， 观看 n. 手表
clap	 v.   拍手， 鼓掌
quit	 v.   离开； 停止
polish	 v.  擦亮， 磨光； 润色
chart	 n.  图表； 航海图
insurance	 n.  保险
medical	 adj.  医学的， 医疗的
principle	 n.  原则； 原理
till	 conj&prep.  直到， 直到…为止
attend	 v.  出席， 参加； 专心， 考虑； 看护， 照料
goods	 n.  商品， 货物
lie	 vi. 躺，卧，平放；位于 n. 谎言 vt.   说谎
secure	 adj.  安全的， 可靠的； 放心的， 无虑的
smell	 n. 气味 v. 闻出，闻到，嗅到
used to	 v.  过去常常
unable	 adj.  不能的， 不能胜任的
glare	 v. 瞪眼，怒目而视；闪耀 n.  强光
disappointed	 adj.  失望的
irrigation	 n.  灌溉
late	 adv.  晚， 迟 adj. 晚的，迟的
continue	 v.  延伸； 继续
shoot	 vt. 射击，射中；摄影 n.  嫩枝， 苗， 芽
realize	 vt.  认识到； 实现
budget	 n.  预算
actual	 adj.  实际的， 现实的
tension	 n.  紧张， 不安； 拉紧， 绷紧； 压力， 张力
chest	 n.  箱子； 胸部
eastern	 adj.  东方的， 东部的
marathon	 n.  马拉松
last	 determiner. 最近的，最近一段时间的，最近一次的 adv. 最近，上次 v. (使)持续 n. 鞋楦
adapt	 v.  适应； 改编
wash	 v. 洗涤，冲刷 n.  洗； 洗的衣服
weight	 n.  重量
doubt	 n&v.  怀疑， 疑惑
cheerful	 adj.  兴高采烈的， 快活的
uncomfortable	 adj.  不舒服的， 不安的
develop	 v.   发展；  发育； 开发； 冲洗
misunderstand	 vt.   误会， 不理解
warn	 vt.  警告； 预告
measure	 v. 测量；权衡 n.  方法， 措施
guilty	 adj.  有罪的， 犯法的； 内疚的
crossroads	 n.  十字路口
district	 n.  区， 地区
receipt	 n.  收据； 收到， 接收
assume	 vt.  假定， 设想； 承担
swim	 vi.  游泳； 游
full	 adv.  完整地， 十分地 adj. 满的，充满的，完全的
basement	 n.  地下室
pepper	 n.  胡椒粉
chant	 v. 唱；歌颂 n.  圣歌， 赞美诗
capsule	 n.  胶囊； 太空舱
away	 adv.  离开， 远离
memory	 n.  回忆， 记忆
concept	 n.  概念， 观念
motivation	 n.  动机
impossible	 adj.  不可能的， 办不到的
effort	 n.  努力， 艰难的尝试
wave	 v. 挥手；摇动 n.  波， 波浪
disaster	 n.  灾难， 祸患
anything	 pron.  某事  ； 任何事
agriculture	 n.  农业， 农学
grocer	 n.  零售商人； 食品店
ecology	 n.  生态学
stare	 v.  盯着看， 凝视
painful	 adj.  痛苦的； 疼痛的
steady	 adj.  稳固的； 平稳的
vote	 v.  选举， 投票
early	 adv.  早， 在早期 adj. 早的，早期的
harvest	 n&v.  收割； 收获
pain	 n. 疼痛；
disease	 n.  病， 疾病
start	 n&v.  开始， 着手； 出发
purchase	 n&vt.  购买
yet	 adv.  到目前为止； 还； 仍然
engineer	 n.  工程师； 技师
pair	 n.  一双， 一对
manage	 vi.  应付过去 vt. 管理；达成
equal	 adj. 平等的，相等的 vt.  等于， 比得上
alike	 adv.  类似于， 以同样的方式 adj. 相同的，相似的
gravity	 n.  地心引力， 重力
typical	 adj.  典型的； 象征性的
bravery	 n.  勇敢， 勇气
finance	 n.  财政， 金融
parking	 n.  停车
shadow	 n.  [C] 影子， 阴影
hydrogen	 n.  氢
put	 vt.   放， 摆
climb	 v.  爬， 攀登
offence	 n.  犯罪； 过错； 冒犯； 攻击
carbon	 n.  碳
circus	 n.  马戏团
controversial	 adj.  争论的， 争议的
dinosaur	 n.  恐龙
enter	 v.  进入
attain	 vt.  获得； 达到
trap	 vt. 使陷入困境 n.  陷阱， 圈套
lonely	 adj.  孤独的， 寂寞的
tram	 n.  有轨电车
pale	 adj.  苍白的， 灰白的
struggle	 n&v.  努力， 斗争， 挣扎
gallery	 n.  画廊， 美术品陈列室
pest	 n.  害虫
warmth	 n.  温暖， 暖和； 热烈， 热情， 热心
lesson	 n.  课； 功课； 教训
destroy	 v.  破坏， 毁坏
supreme	 adj.  极度的； 极大的， 最高的
ambulance	 n.  救护车
junior	 adj.  初级的； 年少的
coast	 n.  海岸， 海滨
shuttle	 n.   车辆、 飞机等
provide	 v.  提供
allocate	 vt.  分配； 配给； 拨出
light	 vi. 点，变亮 adj.  明亮的； 轻的； 浅色的 n. 光，灯，灯光
valuable	 adj.  值钱的， 贵重的
primary	 adj.  初级的； 首要的
stubborn	 adj.  顽固的， 固执的； 难应付的
enterprise	 n.  企业， 事业
paperwork	 n.  文书工作
solar	 adj.  太阳的
consume	 vt.  消耗； 消费
triangle	 adj.  三角形的 n. 三角形
competence	 n.  能力
helmet	 n.  头盔
theme	 n.  主题
consult	 v.  请教， 商议； 查询
merely	 adv.  仅仅， 只不过
wealth	 n.  财富
editor	 n.  编辑
means	 n.  方法， 手段
chain	 n.  链， 链条
desire	 n&v.  渴望， 期望
survive	 vi. 幸存，生还 vt.  比…活得长
initial	 adj.  开始的， 最初的
muddy	 adj.  泥泞的，多泥的
consistent	 adj.  一致的， 连贯的
sword	 n.  剑， 刀
fingernail	 n.  手指甲
permanent	 adj.  永久的， 持久的
chat	 vi.  聊天， 闲谈 n. 聊天，闲谈
fetch	 v.  去取来， 去请来
fellow	 n.  同伴， 伙伴
choice	 n.  选择， 抉择
travel	 n&vi.  旅行
civilization	 n.  文明， 文化
before	 adv. 以前 conj.  在…之前 prep. 在…以前，在…前面
fiction	 n.  小说； 虚构， 杜撰
friendly	 adj.  友好的
possession	 n.  所有， 拥有； 财产， 所有物
tell	 v.   告诉， 吩咐； 辨别， 知道
replace	 vt.  取代， 代替； 把…放回原处
appointment	 n.  约会
stomach	 n.  [C] 胃， 胃部
experience	 vt. 经历，体验 n.  经验； 经历
listen	 vi.  听， 仔细听， 留神听
hit	 n&v.   打， 撞； 击中
major	 adj. 主要的；成年的 n.  主修专业
interrupt	 v.  打扰， 打断
beat	 v. 打赢；跳动；敲打 n.   节拍
worldwide	 adj.  遍及全球的， 世界各地的
bear	 v. 承担；忍受 n.  熊
affair	 n.  事， 事情
consider	 vt.  考虑； 认为
housework	 n.  家务劳动
potential	 adj. 潜在的，可能的 n.  潜力
accustomed	 adj.  通常的， 习惯的
group	 n.  组， 群
jewelry	 n.  〈总称〉 珠宝， 首饰
obtain	 vt.  获得， 得到
lounge	 n.  休息厅， 休息室
rugby	 n.  英式橄榄球
resist	 vt.  抵抗； 挡开
format	 n.  版式， 格式
sacrifice	 n&v.  牺牲， 奉献
particular	 adj. 特殊的；个别的
illegal	 adj.  违法的， 不合规定的
pause	 n&vi.  暂停， 停止
congratulate	 vt.  祝贺， 恭贺
careless	 adj.  粗心的； 漫不经心的
square	 adj.  平方的； 方形的 n. 广场；正方形
rainbow	 n.  彩虹； 幻想
twice	 adv.  两次； 两倍
ample	 adj.  充足的， 丰富的
altitude	 n.  高度； 高处
request	 n&vt.  要求， 请求
classify	 vt.  分类
part	 v.  分离， 分别 n. 部分；角色
percent	 n.  百分之…
point	 v. 指，指向 n.  点； 要点， 观点； 分数
paddle	 v.  划桨； 戏水 n. 桨状物；蹼
general	 adj.  大体的， 总的； 一般的； 普遍的
tend	 vi.  趋向， 往往是 vt. 照管，护理
frighten	 vt.  使惊恐， 吓唬
relief	 n.  缓解； 轻松
boycott	 n&vt.  联合抵制
dimension	 n.  尺寸， 尺度
park	 n. 公园；停车场 vt.  停放
unbelievable	 adj.  难以置信的
process	 vt. 加工，处理 n.  程序； 方法
deserve	 vt.  应受， 值得
subscribe	 v.  捐赠； 订阅
clear	 adj.  清晰的； 明亮的； 清楚的
chef	 n.  厨师
alternative	 adj.  选择性的， 二者择一的
zoom	 v.  突然扩大， 使猛增
colleague	 n.  同事
diamond	 n.  钻石， 金刚石； 菱形
someone	 pron.  某人； 重要人物
build	 v. 建造 n.  构造
mean	 v.   意味着， 意思是
approve	 vi.  赞成； 满意 vt. 批准，通过
neither	 determiner. 两者都不（的），两者中无一（的） adv. 也不
earn	 vt.  挣得， 赚得
glad	 adj.  高兴的， 乐意的
chew	 v.  咀嚼
pedestrian	 n.  步行者， 行人
hurry	 v. 赶快；急忙 n.  匆忙， 仓促
account	 v.  总计有； 认为 n. 账目；描述
tolerate	 vt.  忍受， 容忍
radioactive	 adj.  放射性的
underline	 vt.  在…下面划线； 强调
innocent	 adj.  清白的， 无罪的； 纯真的
chopsticks	 n.  筷子
alphabet	 n.  字母表
ambiguous	 adj.  暧昧的； 不明确的
advance	 v&n.  推进， 前进
trip	 n.  [C] 旅行， 旅程
botanical	 adj.  植物学的， 植物的
appreciate	 vt.  欣赏； 感激
record	 v.  录制， 记录 n.  记录； 唱片
diverse	 adj.  不同的， 多种多样的
cube	 n.  立方体， 立方
strict	 adj.  严格的， 严密的
jump	 v.  跳跃； 惊起； 猛扑 n. [C]跳跃
knowledge	 n.  知识， 学问
happen	 v.   发生， 碰巧
pass	 v.  传递； 经过
past	 adj. 过去的，最近的 prep.  经过； 晚于 n. 过去，往事
festival	 n.  节日
shock	 vt. 使震惊 n.  震动， 冲击
delighted	 adj.  高兴的， 快乐的
pancake	 n.  薄煎饼
active	 adj.  积极的， 主动的
bill	 n.  钞票； 账单； 法案， 议案
whichever	 pron.  不论哪个
court	 n.  法庭， 法院； 球场
whose	 pron&conj.  谁的
bucket	 n.  桶； 铲斗
senior	 adj. 年长的，资深的；高年级的 n.  上级， 长辈； 高年级学生
flexible	 adj.  柔软的， 灵活的
relative	 adj.  相对的； 比较的 n. 亲属，亲戚
attitude	 n.  态度； 看法
organ	 n.  器官
average	 adj. 平均的；普通的 n.  平均数
compare	 vt.  比较， 对照
sceptical	 adj.  怀疑的， 怀疑论的
unwilling	 adj.  不愿意， 勉强的
thriller	 n.  使人激动的人； 惊险、 恐怖、 刺激的小说、 戏剧或电影
transparent	 adj.  显然的； 透明的
characteristic	 adj.  特有的， 独特的， 典型的
how	 adv.  怎样， 如何； 多少； 多么
grasp	 vt.  抓住， 紧握； 领会
Buddhism	 n.  佛教
receptionist	 n.  接待员
composition	 n.  作文； 作曲
unlike	 prep.  不像， 和…不同
hearing	 n.  听力
term	 n.  学期； 术语； 条款； 项
volcano	 n.  火山
wedding	 n.  婚礼， 结婚
acquisition	 n.  获得； 获得物
rigid	 adj.  刚硬的， 刚性的； 严格的
deadline	 n.  最后期限， 截止日期
spare	 adj. 空闲的；多余的，剩余的 vt.  提供； 匀出， 分出
mine	 pron.  我的 v. 开采，挖掘 n. 矿藏
mind	 v.  介意 n. 思想
grateful	 adj.  感激的， 感谢的
business	 n.  商业， 生意； 职业， 事业
bungalow	 n.  平房
staff	 n.  全体职员
possible	 adj.  可能的
partly	 adv.  部分地， 在一定程度上
breathless	 adj.  喘不过气来的
meet	 v. 遇见，会面；满足 n.  集会
answer	 v.  回答， 应答； 接电话 n. 答案
borrow	 v.  借用； 借
maximum	 n&adj.  最大量 ， 最大限度
under	 adv. 在下 prep.  在…下面， 向…下面
desert	 v.  舍弃， 遗弃 n.  沙漠
represent	 vt.  代表； 表现
compete	 vi.  比赛， 竞赛
die	 v.   死亡； 消失； 熄灭
radium	 n.  镭
fragrant	 adj.  香的， 芬芳的
dig	 v.   挖  ， 掘
accountant	 n.  会计， 会计师
stocking	 n.  长筒袜
sometimes	 adv.  有时
emergency	 n.  紧急情况或状态
promise	 v. 答应，允诺；预示 n.  答应， 允诺； 希望， 前景
dip	 v.   浸， 蘸
hold	 v.   拿， 握住； 举行
habit	 n.  习惯， 习性
passport	 n.  护照
absurd	 adj.  不合理的； 荒谬的
burglar	 n.  盗贼， 窃贼
considerate	 adj.  体贴的， 考虑周到的； 替人着想的
rubber	 n.  橡皮； 橡胶； 合成橡胶
legal	 adj.  法律的， 法定的
underwear	 n.  内衣
talk	 v. 谈话，议论 n.  谈话， 会谈； 演讲
reply	 n&vi.   回答， 答复
train	 v. 培训，训练 n.  火车
parcel	 n.  包裹
test	 n&vt.  测试， 考查， 试验
journey	 n.  旅行， 路程
count	 v.  数； 计算； 有价值
graph	 n.  图表， 曲线图
upwards	 adv.  向上， 往上
feast	 n.  盛宴； 节日； 令人愉悦的事情
contradictory	 adj.  相互矛盾的；不一致的
take	 v.   拿走； 接受， 接纳
accompany	 vt.  陪伴， 伴随； 伴奏
petrol	 n.  汽油
beneficial	 adj.  有益的， 受益的
blame	 n&vt.  责备， 责怪
final	 adj. 最后的 n.  决赛； 期末考试
some	 pron.  若干， 一些 adj. 一些，若干；有些；某一
squeeze	 v.  压榨， 挤 n. 紧握，捏
blank	 adj. 空的；茫然的 n.  空格， 空白， 空白处
rather	 adv.  相当， 宁可
importance	 n.  重要性
session	 n.  会议； 开庭
back	 adv. 回；向后 adj. 后面的 n.  背后， 后部； 背
worthy	 adj.  值得的； 相称的
endless	 adj.  无止境的； 没完没了的
training	 n.  培训
expectation	 n.  预料； 期望
mist	 n.  雾
miss	 v.  错过； 想念
pound	 n.  磅； 英镑
load	 n.  担子， 货物
bite	 v. 咬，叮 n.  咬； 一口
ferry	 n.  渡船
disgusting	 adj.  令人讨厌的
ignore	 vt.  不理睬； 忽视
loaf	 n.  一条
reception	 n.  接待
applaud	 v.  鼓掌， 喝彩
just	 adv. 刚才，恰好；只是，仅 adj.  公正的
outward	 adv. 向外，在外 adj.  向外的， 外出的
notice	 v.  注意到 n. 通告，注意
yummy	 adj.  美味的
holy	 adj.  神圣的
relax	 v.   放松， 轻松
relay	 n. 接力；
custom	 n.  习惯， 习俗
length	 n.  长， 长度
permission	 n.  允许， 许可， 同意
grand	 adj.  宏伟的， 盛大的
schedule	 n. 时刻表 vt.  安排， 排定
eastwards	 adv.  向东
print	 v.  印刷
rewind	 v.  重绕； 回转
although	 conj.  虽然， 尽管
material	 n.  材料， 原料； 物质
approximately	 adv.  近似地， 大约
encouragement	 n.  鼓励， 支持， 促进； 起激励作用的事物
universe	 n.  宇宙
biochemistry	 n.  生物化学
iron	 v.  熨烫 n. 铁；熨斗
idiom	 n.  习语， 成语
blanket	 n.  毛毯， 毯子
hug	 v. 紧抱，拥抱 n.  拥抱
explain	 vt.  解释， 说明
envy	 n&v.  嫉妒， 羡慕
discount	 n.  折扣
construct	 vt.  构筑； 建造
hope	 n&v.  希望
attempt	 vt&n.  试图， 尝试
soon	 adv.  不久， 很快， 一会儿
division	 n.  除， 除法； 分开， 分割； 分界线
tablet	 n.  药片
