abruptly	 adv. 突然地
challenge	 n & v. 挑战；质疑
chap	 n. 小伙子，小家伙，家伙
character	 n. 角色
characterize	 v. 以……特点
charity	 n. 慈善（行为）
cheek	 n. 脸颊
chef	 n. 厨师
chemical	 adj. 化学的 n. 化学制品
choke	 v. 使窒息
circumstance	 n. 环境，境遇
cite	 v. 引用
citizen	 n. 公民
civilian	 n. 平民，百姓
civilized	 adj. 文明的
classify	 v. 把…分类，把…分级
classification	 n. 分类，级别
client	 n. 客户
clinic	 n. 诊所
clumsy	 adj. 笨拙的，不圆滑的
coach	 v & n. 教练
colleague	 n. 同事
collision	 n. 撞击；冲突
combine	 v. 联合，结合
comment	 n. 评论
commit	 v. 犯罪，承担义务
commitment	 n. 承诺，保证
committee	 n. 委员会
compare	 v. 比较，对照
compel	 v. 强迫
compensate	 v. 弥补，补偿
compensation	 n. 弥补，补偿
compete	 v. 竞争
competitiveness	 n. 竞争力
competitor	 n. 竞争者，对手
complacency	 n. 自满，满足
complain	 v. 抱怨
complaint	 n. 抱怨; 投诉
complete	 v. 完成 adj. 完整的，彻底的
complicated	 adj. 复杂的，难懂的
comply	 v. 遵从
component	 n. 成分
concentration	 n. 集中
concept	 n. 观点，观念
concern	 v & n. 涉及，关系到
conclusion	 n. 结论
confidence	 n. 信心
confirm	 v. 确认；证实；批准
conflict	 v. 冲突
conform	 v. 相一致，遵守
confront	 v. 面对
connectivity	 n. 连接，联系
conscience	 n. 良心
consensus	 n. 一致意见
consent	 v. 允许，同意 n. 同意，一致
consequence	 n. 结果，成果
conservative	 adj. 保守的，传统的
considerable	 adj. 相当大(或多)的
considerably	 adv. 相当地，非常地
considerate	 adj. 体贴的；考虑周到的
consist	 v. 由……组成
consistent	 adj. 一致的
conspicuous	 adj. 显著地
constant	 adj. 不断的，持续的
constantly	 adv. 不断地，时常地
construction	 n. 建筑
constructive	 adj. 建设的，建设性的
consult	 v. 咨询
consultant	 n. 顾问
consumption	 n. 消费，消耗
contact	 v & n. 联系，接触
contemporary	 adj. 当代的，现代的
content	 n. 内容
context	 n. 背景，环境
contract	 n. 合同
contrast	 n. 对比，反差 v. 对比
contribute	 v. 捐款，贡献
contribution	 n. 贡献；捐献
convenient	 adj. 方便的
conventional	 adj. 传统的
convey	 v. 传达，传递
cooperative	 adj. 合作的
corporate	 adj. 法人的；团体的；社团的
counsel	 v. 忠告，建议
couple	 n. 夫妻，情侣
courageous	 adj. 有勇气的
crash	 n & v. 坠落;坠毁;撞击
creativity	 n. 创造力
crisis	 n. 危机
critic	 n. 批评家，评论家
critical	 adj. 批评的，爱挑剔的
criticize	 v. 批评；评论
criticism	 n. 批评
cultivate	 v. 培养
curb	 v & n. 控制
curiosity	 n. 好奇心
curious	 adj. 好奇的
current	 adj. 当前的
currently	 adv. 当前；一般地
debt	 n. 债务
decent	 adj. 正派的，体面的
decline	 v. 下降，减少；拒绝
decorate	 v. 装饰
definition	 n. 定义
degree	 n. 程度
delay	 v. 推迟，延期
deliberate	 adj. 故意的
delightful	 adj. 高兴的
deliver	 v. 发表
demand	 v & n. 需求，要求
democratic	 adj. 民主的
demonstrate	 v. 证明；展示
density	 n. 密度
department	 n. 部门
depressed	 adj. 沮丧的；萧条的
depressing	 adj. 令人沮丧的
deprive	 v. 剥夺，夺去，使丧失
derive	 v. 得到，导出
deserve	 v. 值得
desire	 n. 渴望，欲望
despite	 prep. 不管
dessert	 n. 甜点
detail	 n. 细节
detailed	 adj. 细节的，详细的
detect	 v. 觉察;检测
detection	 n. 侦查；察觉
detective	 n. 侦探
determine	 v. 决定；下决心
determination	 n. 意志
device	 n. 装置，设备
devote	 v. 奉献，致力于
dictator	 n. 独裁者；专制者
diligent	 adj. 勤奋的
diploma	 n. 文凭
disadvantage	 n. 不利情况，缺点
disappear	 v. 不见，消失
discharge	 v. 释放；排出 解雇
discount	 n. 折扣
discover	 v. 发现
disorderly	 adj. 杂乱的
display	 n & v. 展览
dispute	 n & v. 辩论，争论
dissatisfy	 v. 不满意
distance	 n. 距离
distant	 adj. 遥远的
distinguish	 v. 区别，区分
distinguished	 adj. 显著的，杰出的
distract	 v. 分心
distracted	 adj. 分心的
distraction	 n. 消遣；分心
distribute	 v. 分发
district	 n. 区
diverse	 adj. 各种各样的
diversity	 n. 多样性；差异
divide	 v. 分开
division	 n. 除法；部门
document	 n. 文件
dominant	 adj. 占优势的
domination	 n. 主导
donation	 n. 捐赠
donate	 v. 捐赠
dormitory	 n. 宿舍
downfall	 n. （雨等的）大下特下
download	 v. 下载
dramatically	 adv. 戏剧性地，引人注目地
dropout	 n. 辍学
due	 adj. 到期的
dump	 v. 倾倒；倾销
durable	 adj. 持久的，耐用的
ease	 n. 轻松，舒适
easygoing	 adj. 脾气随和的，温和的
effect	 n. 影响
efficiently	 adj. 有效地
eliminate	 v. 消除
embarrass	 v. 尴尬
embarrassed	 adj. 尴尬的；窘迫的
embrace	 v. 拥抱；接受；采纳
emergence	 n. 出现，发生
emergency	 n. 紧急情况
emission	 n. 排放，辐射
emit	 v. 发出，排出
emotional	 adj. 情绪的；容易激动的；感动人的
emphasize	 v. 强调
encourage	 v. 鼓励
endurance	 n. 耐力
endure	 v. 忍耐；容忍
engage	 v. 忙于，从事；吸引
engagement	 n. 约会
enhance	 v. 提高；加强；增加
enormous	 adj. 巨大的
enrich	 v. 丰富；使富有
enroll	 v. 注册
enrollment	 n. 入学人数
ensure	 v. 确保
entertaining	 adj. 有趣的，使人愉快的
equal	 adj. 相等的，平等的
equality	 n. 平等
equivalent	 adj. 相等的，相当的
equivalence	 n. 等值，相等
era	 n. 纪元，年代
essay	 n. 散文，文章
essentially	 adv. 本质上地；必须的
establish	 v. 建立，创办，设立
establishment	 n. 确立，制定；公司；设施
esteem	 n. 自尊
estimate	 v. 估计
evidence	 n. 根据，证据，迹象
evident	 adj. 明显的
evil	 n. 邪恶，罪恶
evolve	 v. 使发展
exaggerate	 v. 夸张
excellent	 adj. 卓越的，杰出的，极好的
exception	 n. 例外
excessive	 adj. 过度的
exchange	 n & v. 交换，交流
exclude	 v. 排除，不包括
expand	 v. 扩大
exploit	 v. 开采
explore	 v. 探索
explosion	 n. 爆炸
expose	 v. 暴露
exposure	 n. 暴露；揭露
expressiveness	 n. 表达
extension	 n. 分机
extracurricular	 adj. 课外的
facility	 n. 设施
faith	 n. 信任
familiar	 adj. 熟悉的
fantasize	 v. 想象，幻想
fascinate	 v. 强烈地吸引，迷住
fascination	 n. 魅力；入迷
fatal	 adj. 致命的，攸关的
fate	 n. 命运
fatigue	 n. 疲劳，疲乏
favorable	 adj. 赞同的
feasible	 adj. 可行的；可能的；可用的
feature	 n. 特点
feedback	 n. 反馈
fiction	 n. 小说，虚构的文学作品
figure	 n. 人物；数字
financial	 adj. 财政的，经济的
finance	 n. 财政 v. 筹集资金
fine	 v. 罚款
fitness	 n. 健康
flexible	 adj. 灵活的
foothold	 n. 立足处（攀登时脚踩的地方）
formulate	 v. 规定，制定
fortunately	 adv. 幸运地
foundation	 n. 地基；基础；基金会
frighten	 v. 使惊恐，使恐慌
frontier	 n. 边境
function	 v & n. 功能，运行
fund	 n. 基金，储备； v. 提供资金
fuss	 n. 大惊小怪
gambling	 n. 赌博
gap	 n. 差距;缝隙缺口
garage	 n. 车库
gear	 n. 齿轮 v. 使合适
gender	 n. 性别
generalization	 n. 一般化
generation	 n. 一代人，产生
generosity	 n. 慷慨，大方
generous	 adj. 慷慨的
genuine	 adj. 真正的
gift	 n. 礼物；天赋
gloomy	 adj. 阴沉的，沮丧的
glorious	 adj. 辉煌的
grab	 v. 抢先，抢占，抢夺
grocery	 n. 杂货店
groundlessly	 adv. 无缘无故地，无根据地
guarantee	 n & v. 保证，担保
guideline	 n. 指导原则
guilt	 n. 有罪，犯罪行为
gym	 n. 体育馆，健身房
handle	 v. 控制，处理
hardworking	 adj. 苦干的，不辞辛劳的
harm	 n & v. 有害
harmful	 adj. 有害的
harmony	 n. 和谐
harsh	 adj. 严酷的
hazard	 n. 危险
highlight	 v & n. 照亮；突出；强调
hire	 v. 雇佣
homemaker	 n. 主妇
honesty	 n. 诚实
honor	 v. 纪念
hospitalize	 v. 就医
household	 n. 家庭，一家人
humanity	 n. 人类，总称人(性)
identical	 adj. 相同的
identify	 v. 认出，识别；视为
identification	 n. 鉴定，识别；认同；身份证明
identity	 n. 身份
ignorance	 n. 无知，愚昧
ignore	 v. 忽视，不顾
illegal	 adj. 非法的
illustrate	 v. 说明,阐明
image	 n. 形象，声誉，印象
imaginary	 adj. 虚构的，想象的
immobile	 adj. 稳定的，不变的
impact	 n. 影响
impermanent	 adj. 非永久（性）的；不持久的，暂时的
impermanency	 n. 非永久性
implement	 v. 实施，执行
imply	 v. 意味；暗示
import	 n & v. 进口
impose	 v. 强加
improper	 adj. 不合适的，不适当的
inadequate	 adj. 不足的，不够的
inappropriate	 adj. 不合适的
include	 v. 包含
incredible	 adj. 不可思议的
indicate	 v. 表明
indispensable	 adj. 必不可少的
individual	 n. 个人
induce	 v. 引诱
inevitable	 adj. 不可避免的
infinite	 adj. 无限的
inflation	 n. 通货膨胀
inflate	 v. 膨胀
influence	 v & n. 影响
influential	 adj. 有影响力的
ingredient	 n. 成分，原料
inherit	 v. 继承
initiate	 v. 开始，发起
initiative	 n. 主动权，自主权
injure	 v. 使受伤
innocent	 adj. 无辜的，天真的；
innovation	 n. 改革，创新
insecure	 adj. 不安全的
insight	 n. 洞察力，洞悉
inspiration	 n. 灵感
inspire	 v. 激发；鼓舞；使产生灵感
install	 v. 安装
installation	 n. 安装，就任
installment	 n. 安装，分期付款
instant	 adj. 立即的；紧急的；速溶的，方便的
institute	 n & v. 建立
institution	 n. 社会公共机构；制度，习俗；设立，制定
instruction	 n. 命令，指示，用法说明
instruct	 v. 指导；通知；命令；教授
instrument	 n. 仪器，器械，工具
intake	 n. 摄入
integrity	 n. 完整，综合
intelligence	 n. 智力，智慧，理解力
intelligent	 adj. 智能的
intend	 v. 打算
interconnect	 v. 相互联系
interdependence	 n. 相互依靠
interpret	 v. 解释
interracial	 adj. 种族间的
intervention	 n. 干涉
interview	 n. 会见；面谈（试） v. 采访
invade	 v. 侵入，侵略
invalid	 adj. 无效的
invest	 v. 投资
involve	 v. 卷入，包含
irrationally	 adv. 不合理地，无理性地
irritate	 v. 激怒
issue	 v. 发行 n. 问题
item	 n. 条，条款
joint	 adj. 联合的
keenly	 adv. 敏锐地
launch	 v. 发射
laundry	 n. 洗衣房；要洗的衣服
legal	 adj. 法律的
leisure	 n. 悠闲，空闲
lengthy	 adj. 长的，漫长的
liability	 n. 责任
literature	 n. 文学，文学作品；文献
loan	 n. 贷款
locate	 v. 位于，定位
lodge	 v. 住宿，暂住
logic	 n. 逻辑
loyalty	 n. 忠诚，忠实
mainstream	 n. 主流
maintain	 v. 维持，主张
major	 adj. 主要的 v. 主修
majority	 n. 多数
makeup	 n. 化装
malfunction	 n. 失灵，故障
manufacture	 v. 制造，生产
margin	 n. 边缘，范围
marvelous	 adj. 引起惊异的
masculine	 adj. 男性的
massive	 adj. 巨大的 大量的
matter	 v. 要紧，重要
maximum	 n & a. 最大值的，最大量的
means	 n. 方法
measure	 n. 分量，尺寸，量具，测量； v. 测量
mechanic	 n. 机械师
mechanism	 n. 机制，机能
merit	 n. 优点，成绩 v. 值得
migration	 n. 迁移，移民
military	 adj. 军队的，军事的
mineral	 adj. 矿物的，似矿物的
miscalculation	 n. 算错，误算
miserable	 adj. 痛苦的
misguided	 adj. 被误导的
mislead	 v. 误导
mission	 n. 使命，任务；代表团
misunderstand	 v. 误解
monitor	 v. 监控，监听
motivate	 v. 促动，激发，诱导
motivation	 n. 激励，刺激
mutual	 adj. 相互的
narrow	 v. 限制
needy	 adj. 贫穷的
negative	 adj. 否定的；消积的
negotiate	 v. 谈判，协商，交涉
neighborhood	 n. 地区
obstacle	 n. 阻碍
obtain	 v. 获得
occupation	 n. 职业，工作
operation	 n. 手术；行动
opposite	 adj. 相反的
organ	 n. 器官
original	 adj. 原始的，最初的
originate	 v. 开始
outline	 n. 梗概，提纲，草稿，要点
overcome	 v. 战胜，克服
overestimate	 v. 对（数量）估计过高
overflow	 v. 溢出，淹没
overload	 n. 使负担太重
overtake	 v. 超车
overweight	 v. 超重的
overwhelm	 v. 压倒，战胜
painful	 adj. 痛苦的，疼痛的，令人不快的
participate	 v. 参与，参加
particular	 adj. 特别的，挑剔的
passionate	 adj. 热情的
passion	 n. 热情，激情
passive	 adj. 被动的
patiently	 adv. 耐心地
pattern	 n. 模式
peaceful	 adj. 平静的，和平的
peer	 n. 同龄人
perceive	 v. 察觉
performance	 n. 演出，履行，表现
permanent	 adj. 永久的
persistence	 n. 坚持不懈
personality	 n. 个性，性格
perspective	 n. 视角，观点；远景
persuade	 v. 说服
persuasion	 n. 劝说
physical	 adj. 身体上的
physics	 n. 物理，物理学
picky	 adj. 挑剔的
pioneer	 v. 开拓，开发
planet	 n. 行星
pledge	 n. 保证，誓言
poison	 v. 使中毒
poll	 n. 民意调查
pop	 v. 突然出现，跳出
porter	 n. 搬运工
pose	 v. 摆姿势，装腔作势 n. 姿势
position	 n. 职位
postgraduate	 n. 研究生
potential	 n. 潜力 adj. 有可能的；潜在的
praise	 v. 赞扬，赞美
predict	 v. 预言，预测，预告
preference	 n. 偏爱
pregnant	 adj. 怀孕的
prejudice	 n &v. 偏见
preservation	 n. 保存，保留
prevail	 v. 流行，盛行
prevent	 v. 预防
preventable	 adj. 可预防的
previous	 adj. 之前的 adv. 先前地
previously	 adv. 事先
primarily	 adv. 主要地，首先
primitive	 adj. 原始的；简单的
principle	 n. 原则，原理
priority	 n. 优先，优先权
privacy	 n. 隐私
process	 n. 过程，进程；工序；(法律)程序 v. 处理
productive	 adj. 富有成效的
profitable	 adj. 有利可图的，有益的
profound	 adj. 深厚的
programming	 n. 计划，节目(单)，程序； vt. 编程
prohibit	 v. 禁止，阻止，防止
project	 n. 工程，作业
prominent	 adj. 杰出的，突起的，凸出的
promising	 adj. 有希望的，有前途的
promote	 v. 促进，提升，推销
prompt	 adj. 敏捷的；v. 敦促
proportion	 n. 比例，部分
prospect	 n. 前景
provoke	 v. 激起，挑起
psychological	 adj. 心理上的
publicize	 v. 宣布
punctual	 adj. 准时的
pursue	 v. 追求
qualification	 n. 资格(证明)，合格证书
qualify	 v. 使……有资格
quality	 n. 品质
quantity	 n. 量，数量
quit	 v. 放弃
raise	 v. 提高，筹款，抚养
range	 n. 范围 v. 在范围内变化
rank	 v. 分等级 n. 衔，阶层
rare	 adj. 罕有的，少见的
rational	 adj. 神智清楚的
realistic	 adj. 现实的，实际的
rearrange	 v. 重新安排
reception	 n. 接待
recession	 n. 衰退
recharge	 v. 再充电
recommend	 v. 推荐，劝告，使受欢迎
recover	 v. 恢复，重新获得
recruit	 v. 招募，吸收 n. 新兵，新成员
reduce	 v. 减少
refreshing	 adj. 恢复活力的
refuel	 v. （给）加油，加燃料
refusal	 n. 拒绝
regular	 adj. 有规律的，经常的
regularly	 adv. 定期地，有规律地
regulate	 v. 管理
regulation	 n. 管理；规则
relative	 adj. 相对的 n. 亲戚
release	 v. 发布，释放
relevant	 adj. 有关的，中肯的
reliable	 adj. 可靠的，可信赖的
relieve	 v. 解除，减轻，缓解
reluctant	 adj. 不愿意的，勉强的
remedy	 n. 药物
remove	 v. 消除，移除
render	 v. 给予
renew	 v. 更新
repave	 v. 再铺，重新铺砌
replace	 v. 代替
represent	 v. 代表
representative	 n. 代表
reputation	 n. 名气，名声，名誉
request	 n. 要求
require	 v. 要求，命令
rescue	 v. 营救，援救
reservation	 n. 预定
resident	 n. 居民
resign	 v. 辞职
resist	 v. 抵抗，抗拒
resolve	 v. 解决，下决心
respectful	 adj. 有礼貌的，尊重的
responsibility	 n. 责任
responsible	 adj. 负责的，有责任的
restock	 v. 重新进货，再储存
restore	 v. 修复
restrict	 v. 限制，限定
restriction	 n. 限制，限定
retail	 v & n. 零售
reveal	 v. 揭露，揭示
revenge	 n. 报仇
revenue	 n. 收入
reverse	 a & n. （使）反转
revise	 v. 修订
revolution	 n. 革命
reward	 n & v. 报答，奖赏
riotous	 adj. 狂暴的
rocket	 n. 火箭 v. 猛增
routinely	 adv. 例行公事地
saint	 n. 圣人
save	 v. 节省
schedule	 n. 日程表
scholarship	 n. 奖学金
scope	 n. 范围
scratch	 n. 抓，划痕
screen	 v. 筛查
secure	 v. 确保……安全
seldom	 adv. 很少，罕见
selection	 n. 选择，挑选
selective	 adj. 选择的,精选的
selfish	 adj. 自私的
sensitive	 adj. 敏感的
separately	 adv. 分别地，另行
session	 n. 开会，会议
severe	 adj. 严重的
shock	 v. 感到震惊
shortcut	 n. 捷径，近路
showmanship	 n. 主技演出的技巧
sightseeing	 n. 观光
signal	 n & v. 信号，发信号
significant	 adj. 重要的
similar	 adj. 相似的
simplicity	 n. 简单
site	 n. 场所，地址
situation	 n. 情况
skyrocket	 v. 突升，猛涨
slave	 n. 奴隶
socialize	 v. 交往，联谊
solution	 n. 解决，解答，解决办法
spare	 adj. 空闲的
specialize	 v. 专业从事
specific	 adj. 特定的，具体的
specify	 v. 指定，具体说明
sponsor	 v. 赞助
spontaneous	 adj. 自发的
spread	 v. 传播，扩撒
standardize	 v. 使标准化
startle	 v. 吃惊
steady	 adj. 稳定的，逐步的
steal	 v. 偷窃
steer	 v. 驾驶
stereotype	 n. 老套，固定模式
stimulate	 v. 刺激
stock	 n. 库存，股票
strategy	 n. 策略，战略
stressful	 adj. 充满著压力的，充满著紧张的
stress	 n. 压力,重音
strict	 adj. 严格的
structure	 n. 结构
struggle	 v. 搏斗
subsidize	 v. 提供补贴
substantial	 adj. 大量的
suffer	 v. 受痛苦
sufficient	 adj. 足够的
superior	 adj. 上级的，较高的 n. 上级，长官
supervision	 n. 监督
suppose	 v. 料想，以为；假定；期望
surf	 v. 冲浪
survey	 v. 调查，审视，仔细考虑 n. 勘测，测量，测绘，调查
suspect	 v. 怀疑，猜想 n. 嫌疑犯
sustain	 n. 维持
sustainable	 adj. 可持续的
swift	 adj. 迅速的
switch	 v. 转变，改变
symbol	 n. 象征，标志
sympathy	 n. 同情心
tackle	 v. 处理
tailor	 v. 调整使适应
takeoff	 n. 起飞
tank	 n. 油箱，水箱
tasteless	 adj. 无味的
technical	 adj. 技术的
technique	 n. 技术，技能；技巧，手艺
technician	 n. 技术员，技师
tedious	 adj. 单调沉闷的
temptation	 n. 诱惑，引诱
tension	 n. 紧张
tent	 n. 帐篷
terribly	 adv. 可怕地，非常
therapy	 n. 疗法 治疗
threaten	 v. 威胁
tide	 n & v. 顺应潮水航行
tighten	 adj. 紧的，紧缩的
tiny	 adj. 微小的
tolerance	 n. 宽容，容忍
toothache	 n. 牙痛，牙疼
track	 n &v. 跟踪,足迹
trait	 n. 性格
transaction	 n. 交易，业务，事务
transfer	 v & n. 转换，调换
transportation	 n. 运输
treatment	 n. 治疗，对待
tremble	 v. 颤抖
triumph	 n. 胜利
tuition	 n. 学费
tumor	 n. 瘤
ultimately	 adv. 最后，最终
unaffordable	 adj. 买不起的，负担不起的
uncertain	 adj. 不确定的
undermine	 v. 暗中破坏
unique	 adj. 独特的，唯一的
universal	 adj. 普遍的，宇宙的，全世界的
upbringing	 n. 养育，培养，教养
update	 v. 更新，使现代化
valid	 adj. 有效的
value	 v. 重视
vanish	 v. 消失
variety	 n. 多样
vehicle	 n. 车辆
version	 n. 版本
view	 v. 看待
violate	 v. 违反
virtually	 adv. 几乎，差不多
virus	 n. 病毒
visibility	 n. 能见度
visible	 adj. 看得见的
vital	 adj. 重要的
vocabulary	 n. 词汇
vote	 v. 投票，选举
wise	 adj. 聪明的，有智慧的
witness	 n. 目击者，目击
worsen	 v. （使）变得更坏
worthwhile	 adj. 有价值的
yield	 v. 屈服，产出 n. 产量
comprehensive	 adj. 综合的，全面的
synthetic	 adj. 合成的，人造的
undergo	 v. 承受
fair	 n. 集市
bakery	 n. 面包店
lap	 n. 膝盖
sideways	 adv. 向侧面
swallow	 v. 咽下，吞下
durability	 n. 持久
symbolize	 v. 象征
everlasting	 adj. 永恒的
wedding	 n. 婚礼
excess	 n. 过量，过度
instance	 n. 情况，例子
slightly	 adv. 轻微地
undertake	 v. 承担
frown	 v. 皱眉
overcharge	 v. 向……多收费
grid	 n. 输电网
vary	 v. 变化；不同
evolutionary	 adj. 演变的，进化的
psychologist	 n. 心理学家
substitute	 v & n. 代替
dictate	 v & n. 命令，规定
subdivision	 n. 分区
utility	 n. 使用，公共设施
prohibitively	 adv. 过分地，非常地
sway	 v. 影响
reproductive	 adj. 生殖的，再生的
exhaust	 v. 使筋疲力尽
domestic	 adj. 国内的
fetch	 v. 取回
retrain	 v. 再教育；再训练
biological	 adj. 生物的
perception	 n. 感知
consume	 v. 消费，消耗
solely	 adv. 单独地，唯一地
characteristic	 n. 特点
complex	 adj. 复杂的
response	 n. 反应
rate	 n. 比率，速率
solid	 adj. 扎实的，坚实的
prepare	 v. 做准备
unwilling	 adj. 不愿意的
mature	 adj. 成熟的
deadline	 n. 最后期限
retirement	 n. 退休
appealing	 adj. 吸引人的
barely	 adv. 仅仅，几乎不
unbearable	 adj. 无法忍受的
grave	 n. 坟墓
implication	 n. 含义，暗示
menu	 n. 菜单
standpoint	 n. 立场
justice	 n. 公正
expectation	 n. 期望
professional	 adj. 专业的
radically	 adv. 完全地，彻底地
voluntary	 adj. 自愿的，主动的
independently	 adv. 独立地
favor	 v. 偏好, 赞同
puzzling	 adj. 令人困惑的
tremendous	 adj. 巨大的
strain	 v. 扭伤，拉伤
exhibition	 n. 展览
gallery	 n. 美术馆
evaluate	 v. 评价
dust	 n. 灰尘
accompany	 v. 陪伴
submit	 v. 提交
awful	 adj. 可怕的，骇人的
chat	 v. 聊天
underline	 v. 强调
survival	 n. 幸存
dishonest	 adj. 不诚实的
neglect	 v. 忽视
treasure	 v. 珍爱
rigorous	 adj. 严格的
counseling	 n. 咨询服务
competent	 adj. 胜任的，有能力的
divine	 adj. 神圣的
assess	 v. 评价
reassess	 v. 重新评估
rude	 adj. 粗鲁的
tough	 adj. 困难的
justify	 v. 证明……正当
persistent	 adj. 持续的，坚持的
surpass	 v. 超过
dilemma	 n. 困境
generate	 v. 产生
primary	 adj. 主要的，基本的
vitally	 adv. 极其重要地
confuse	 v. 使混淆，迷惑
reframe	 v. 重新装裱
inquiry	 n. 询问
intention	 n. 打算，意图
engine	 n. 引擎，发动机
occasion	 n. 场合
extensively	 adv. 广泛地
column	 n. 专栏
melt	 v. 融化
sensible	 adj. 明智的
essential	 adj. 本质的，必须的
solve	 v. 解决
seize	 v. 抓住
alternative	 n. 代替品
prosperity	 n. 繁荣
conservation	 n. 保护，保存
slippery	 adj. 模糊的，不明确的，滑的
destruction	 n. 破坏
preserve	 v. 保护
abstract	 adj. 抽象的
mystery	 n. 迷，神秘的事物
refine	 v. 改善，精炼
quotation	 n. 引文
react	 v. 对……作出反应
replacement	 n. 代替
consequently	 adv. 结果
soar	 v. 猛增
incline	 v. 倾向于
minor	 adj. 小的
grief	 n. 悲伤
facilitate	 v. 使便利，促进
simplify	 v. 简化
procedure	 n. 程序
disservice	 n. 伤害，帮倒忙
phenomenon	 n. 现象
endanger	 v. 危及，危害，濒临危险
overwhelming	 adj. 压倒性的
observe	 v. 遵守
entertainment	 n. 娱乐
optimistic	 adj. 乐观的
adversity	 n. 逆境，不幸
misguide	 v. 误导
energetic	 adj. 精力充沛的
unintended	 adj. 意想不到的
setting	 n. 背景，环境
tempting	 adj. 诱人的，吸引人的
interruption	 n. 打扰，中断
prescription	 n. 处方
paradox	 n. 悖论，自相矛盾
namely	 adv. 即，也就是
undoubtedly	 adv. 无疑
distinctive	 adj. 独特的，与众不同的
retreat	 v. 退避，后退
entitle	 v. 使具有权利，使具有资格
fussy	 adj. 大惊小怪的，小题大做的
dishwasher	 n. 洗碗机
forum	 n. 论坛
inadequacy	 n. 不足
lobby	 n. 大堂 v. 游说
agent	 n. 代理商
convince	 v. 使相信
flexibility	 n. 灵活性；适应性
plastic	 adj. 塑料的
frame	 n. 框架
