survey	 n. 调查；测验
damage	 n. 损失；损害 v. 损失；损害
frighten	 v. 使惊吓；吓唬
frightened	 adj. 受惊的；受恐吓的
frightening	 adj. 令人恐惧的
congratulation	 n. 祝贺；（复数）贺词
judge	 n. 裁判员；法官 v. 断定；判断；判决
sincerely	 adv. 真诚地；真挚地
express	 v. 表示；表达 n. 快车；速递
outline	 n. 要点；大纲；轮廓
headline	 n. 报刊的大字标题
cyclist	 n. 骑自行车的人
Nelson Mandela	 纳尔逊•曼德拉（前南非共和国总统）
quality	 n. 质量；品质；性质
warm-hearted	 adj. 热心肠的
mean	 adj. 吝啬的；自私的；卑鄙的
active	 adj. 活跃的；积极的
generous	 adj. 慷慨的；大方的
easy-going	 adj. 随和的，温和宽容的
self	 n. 自我；自身
selfish	 adj. 自私的
selfless	 adj. 无私的；忘我的
selflessly	 adv. 无私地；忘我地
devote	 v. （与to连用）献身；专心于
devoted	 adj. 深爱的；忠实的
William Tyndale	 威廉•廷代尔（英国早期新教改革者）
Bible	 n. 《圣经》
Norman Bethune	 诺曼•白求恩（加拿大胸外科医师）
invader	 n. 侵略者
found	 v. 建立；建设
republic	 n. 共和国；共和政体
principle	 n. 法则；原则；原理
nationalism	 n. 民族主义；国家主义
livelihood	 n. 生计；谋生
Mohandas Gandhi	 莫罕达斯•甘地（印度国民大会党领袖）
peaceful	 adj. 平静的；安宁的；和平的
giant	 adj. 巨大的；庞大的
leap	 n. 飞跃；跳跃
mankind	 n. 人类
Elias	 n. 伊莱亚斯（男名）
lawyer	 n. 律师
guidance	 n. 指导；领导
legal	 adj. 法律的；依照法律的
fee	 n. 费（会费、学费等）；酬金
passbook	 n. 银行存折
Johannesburg	 n. 约翰内斯堡（南非城市）
out of work	 失业
hopeful	 adj. 怀有希望的；有希望的
ANC	 非国大；非洲人国民大会；非洲民族会议（African National Congress）
youth	 n. 青年时期；青年
league	 n. 同盟；联盟；联合会
Youth League	 青年团
stage	 n. 阶段；时期；舞台
vote	 v. 投票；选举 n. 投票；选票；表决
attack	 v. 进攻；攻击；抨击；抨击
violence	 n. 暴力；暴行
as a matter of fact	 事实上
blow up	 爆炸；使充气
equal	 adj. 相等的；平等的
in trouble	 在危险、受罚、痛苦、忧虑等的处境中
willing	 adj. 乐意的；自愿的
unfair	 adj. 不公正的；不公平的
turn to	 求助于；致力于
quote	 n. 引用语；语录
release	 v. 释放；发行
lose heart	 丧失勇气或信心
Robben Island	 罗本岛
escape	 v. 逃脱；逃走；泄露
blanket	 n. 毛毯；毯子
educate	 vt. 教育；训练
educated	 adj. 有教养的；受过教育的
come to power	 当权；上台
beg	 v. 请求；乞求
relative	 n. 亲戚；亲属
terror	 n. 恐怖；恐怖时期；恐怖活动
cruelty	 n. 残忍；残酷
reward	 n. 报酬；奖金 v. 酬劳；奖赏
Transkei	 n. 特兰斯凯（南非东南部一地区）
set up	 设立;建立
sentence	 v. 判决；宣判
be sentenced to	 被判处……（徒刑）
anti-	 [前缀]反；抗；阻
anti-black	 adj. 反黑人的
Cape Town	 开普敦（南非立法首都）
president	 n. 总统；会长；校长；行长
Nobel Peace Prize	 诺贝尔和平奖
opinion	 n. 意见；看法；主张
