abandon	 v. 离弃；放弃
defraud	 v. 欺骗，欺诈
deft	 adj. 灵巧的，熟练的
defy	 v. 公然反抗，蔑视，拒绝服从
degenerate	 n&a. 堕落(的)，颓废(的)
degrade	 v. 降级，堕落，贬黜
deviate	 v. 背离，偏离
devise	 v. 设计，想出
devote	 v. 把奉献给
devour	 v. 狼吞虎咽地吃；挥霍，耗尽
diagnose	 v. 诊断(疾病)
diagram	 n. 图解
dentist	 n. 牙医
deny	 v. 否认, 否定，拒绝一项要求"
desirable	 adj. 值得弄到手的，吸引人的
desolate	 adj. 荒芜的 adj. 无人居住的 adj. 孤寂的 v. 使荒芜
devastate	 v. 破坏，蹂躏
devastating	 adj. 破坏性的，毁灭性的
dial	 n. 表面，钟面；拨号盘 v. 打电话
dialect	 n. 方言，俚语
diameter	 n. 直径
dictate	 v. 听写，命令，支配
diet	 n&vi. 饮食，规定的饮食，忌食
differ	 v. 不相同，意见不一致
differentiate	 v. 区别，区分
diffuse	 v. 散开，扩散 adj. 扩散的；冗长的
dividend	 n. 红利，股息
divine	 adj. 神的，极好的 v. 占卜
dizzy	 adj. 使人头晕的，眩晕的
dock	 n. 船坞；码头；刑事被告席 v. 引入船坞
doctrine	 n. 教义，教条
dodge	 v. 躲闪，躲开
dole	 n. 施舍，悲哀
domain	 n. 领土，领域，范围
dome	 n. 圆屋顶
domestic	 adj. 家的，家庭的，本国的 n. 佣人
dominant	 adj. 支配的，统治的
dominate	 v. 统治，支配，俯瞰，俯视
donation	 n. 捐款，捐赠
doom	 n. 毁灭，死亡 v. 注定，判定
dormant	 adj. 休眠的，暂死的
dose	 n. (药)一剂，一服 v. 给服药
dot	 n. 小点，小圆点 v. 加上小点，散布于，点缀
doubtful	 adj. 有疑问的；怀疑的
doubtless	 adv. 无疑地
elevator	 n. [美]电梯，升降机
elicit	 v. 引出，诱出
eligible	 adj. 合格的，适宜的
eliminate	 v. 消灭，消除
elite	 n&a. 社会精华(的)，高贵者(的)
eloquent	 adj. 雄辩的
elsewhere	 adv. 在别处，向别处
embargo	 n&v. 禁止贸易
embark	 v. 上船；从事；开始
embarrass	 v. 使为难，使尴尬
embassy	 n. 大使馆
embed	 v. 把嵌入，使扎根于社会，使深留脑中
embody	 v. 体现；使具体化
embrace	 v&n. 拥抱；利用；包含
emerge	 v. 出现，浮现，暴露
emergency	 n. 紧急情况，突发事件
emigrate	 v. 移居国外
eminent	 adj. 著名的，卓越的
emit	 v. 散发；发射
emotion	 n. 感情；情绪；激动
emphasize	 v. 强调，加强的语气
empirical	 adj. 经验主义的
employment	 n. 职业；雇用；使用
essay	 n. 文章，小品文，随笔
essence	 n. 本质，香精
essential	 n&a. 本质(的)，必要(的)
establish	 v. 建立，委任；安置；证实；确立
estate	 n. 房地产；财产
esteem	 n&vt. 尊重，珍重
estimate	 n. n. n. 估计，估价 v. 评价，估量
eternal	 adj. 永久的，不朽的，不停的
ethnic	 adj. 种族的；人种学的
etiquette	 n. 礼仪, 礼节 "
evacuate	 v. 撤离，疏散，排清
evade	 v. 回避, 躲避"
evaluate	 v. 估的价，定的值
evaporate	 v. 使蒸发，使脱水，消失
even	 adv. 甚至还 adj. 平的，双数的 v. 使平坦
eventually	 adv. 终于，最后
everlasting	 adj. 永久的，永恒的
evict	 v. 驱逐
evoke	 v. 唤起；引起
evolution	 n. 演变，进展，进化
exacerbate	 v. 加重；恶化
exaggerate	 v. 夸大，夸张
exasperate	 v. 激怒，使恼火
facet	 n. 刻面，(问题的)一个方面
facilitate	 v. 使便利
facility	 n. 灵巧，熟练；设备
factor	 n. 因素，要素
faculty	 n. 才能；(大学的)系科；学院全体教员
fade	 v. (使)褪色，逐渐消失
fahrenheit	 n. 华氏温度计
faint	 adj. 微弱的，不清楚的 n&vi. 昏晕
faith	 n. 信任，信仰
fake	 n. 假货，骗子 v. 伪造
fall	 n&vi. 落下，降落，倒坍，垂下
fallacy	 n. 谬论
fallible	 adj. 易犯错误的，错误难免的
flash	 n&v. 闪光，闪现；简讯，浮华
flask	 n. 细颈瓶，扁形酒瓶
flatter	 v. 阿谀，使高兴；(肖像)等胜过(真人真物)
flaunt	 v. 夸耀，夸饰
flavour	 n&vt. 味，风味，调味，特点
flaw	 n. 缺点，瑕疵
flee	 v. 逃走
fleet	 n. 舰队；船队
fleeting	 adj. 飞逝的, 短暂的 "
flesh	 n. 肉，肉体，果肉
flexible	 adj. 易弯曲的；柔软的，灵活的
flicker	 vi&n. 闪烁，摇曳，闪现
fling	 v&n. 掷，抛；猛烈地移动；投入
flip	 v. 把往上抛，掷，抽打 v. 用指轻弹
flirt	 v. 挥动，调情 n. 调情者；急动
float	 n. 浮子，浮标，(游行中的)彩车 v. 漂浮
flock	 n. (鸟兽)群，一群人；群集
flour	 n. 面粉
flourish	 v&n. 繁荣，挥舞
flu	 n. 流感
fluctuate	 v. (物价)涨落，起落，波动
fluent	 adj. 说话流利的，(演说等)流畅的
fluff	 n. (织物上的)绒毛 v. 抖开，抖松
gale	 n. 大风，一阵喧闹
gallery	 n. 画廊，美术品陈列室；剧场顶层
gamble	 v&n. 赌博；投机
gang	 n. 一组，一队，(罪犯等)一帮，一群
gaol	 n&vt. 监狱，监禁
jail	 n&v. 监狱; 监禁
gape	 v. 张口，张开，裂开 n. 目瞪口呆
garbage	 n. 垃圾，污物
garment	 n. (一件)衣服(长袍、外套)
gasp	 n&v. 喘气，气喘吁吁地说
gaudy	 adj. 绚丽的
gauge	 "n. 标准尺寸,(铁道)轨矩;雨量器；(电线)直径 "
gaunt	 adj. 憔悴的，瘦弱的；荒凉的
gear	 adj. 齿轮的；轮的、杠杆等装置的 v. 使相适合
gene	 n. 基因
generalize	 v. 概括，归纳
generate	 v. 使产生，使发生
generic	 adj. 一般的，普通的
generous	 adj. 慷慨的，丰盛的
genetic	 adj. 遗传学的；发生的
genial	 adj. 和蔼的，亲切的，温和的
genius	 n. 天才，天才人物，才华
gentle	 adj. 文雅的；有礼貌的
go	 v. without sth在缺少. 的情况下勉强对付
goad	 n. 刺棒，刺痛物；激励 v. 激励，刺激
goal	 n. (足球)球门；得分；目标
good	 a &n. 好的，好事
haphazard	 a&ad. 杂乱的(地)，任意的(地)
harass	 v. 使烦恼, 折磨，骚扰"
harassment	 n. 烦忧，困扰
harbour	 n. 港，港口，安全处，避难所 v. 隐匿，包庇
hard	 adj. 坚硬的；困难的；难忍的；严厉的；结实的
hardware	 n. 金属日用器皿，计算机硬件
hardy	 adj. 勇敢的，果断的，吃苦的
harmony	 n. 一致，协调，和声
harness	 v. 上挽具；治理；利用 n. 挽具，降落伞背带
harsh	 adj. 粗糙的；严厉的
haste	 n. 急速，仓促
hasty	 adj. 急速的；匆促的
hatch	 v. 孵出，策划
haul	 v&n. 用力拉，拖；捕获量；拖运的距离
haunt	 v. 常去；(鬼，魂)常出没于 n. 常去的地方
haven	 n. 安全处所，避难所
havoc	 n. 大灾难，浩劫
hawk	 n. 鹰，骗子；鹰派成员
hazard	 n&vt. 危险，危害，冒险；做出
hazardous	 adj. 冒险的
hubbub	 n. 吵闹，喧哗
huddle	 v. 挤作一团，乱堆 n. 一堆，一团
hug	 vt&n. 紧抱，拥抱
hum	 v&n. 嗡嗡叫，嘈杂声
humanity	 n. 人类；仁慈，仁爱
humble	 adj. 谦卑的，恭顺的，简陋的 v. 使卑下，贬抑
humdrum	 adj. 单调的，枯燥的
humidity	 n. 湿气，空气湿度
humiliate	 v. 使羞辱，使丢脸
hurl	 vt&n. 猛掷，猛投
hurricane	 n. 飓风
hydrogen	 n. 氢气
hygiene	 n. 卫生
hypothesis	 n. (逻辑)前提，假说
hysterical	 adj. 歇斯底里的, 狂热的
ideal	 n. 理想的事物；理想 adj. 完美的，理想的
identical	 adj. 同一的，完全相似的
identify	 v. 认出，认为与一致
identification	 n. 认出，识别；身分证明
identity	 n. 身份; 同一; 一致；特性
ideology	 n. 思想，思想体系，意识形态
idiom	 n. 习语，成语
idiot	 n. 白痴
inflation	 n. 通货膨胀
inflict	 v. 使遭受，强加
influence	 n&vt. 影响(力)，感化(力)，有影响的人或事
influx	 n. 汇集，流入
infringe	 v. 触犯；违反，侵害
ingenious	 adj. 机灵的；制作精巧的，灵巧的
ingredient	 n. (混合物的)组成部分，配料
inhabit	 v. 居住于
inhabitant	 n. 居民
inherent	 adj. 固有的
inherit	 v. 继承，经遗传而得(特性等)
inhibit	 v. 禁止，抑制；阻止
initial	 adj. 最初的 n. 人名的首字母 v. 签名首字母于
initiate	 v. 创始，着手，介绍某人为(会员等)
initiative	 n. 发端，创始，主动性
inject	 v. 注射；注入，灌入
inland	 adj. 内地的，内陆的 adv. 在内地，向内地
innocent	 adj. 无罪的，无害的，天真的 n. 天真无邪的人
innovation	 n. 创新，改革
innumerable	 adj. 数不清的
inquire	 v. 打听，询问
insane	 adj. 愚蠢的; 疯狂的
insert	 v. 插入 n. 插入物，插页
jam	 v. 压紧，夹住，发生故障，塞进 n. 阻塞物
janitor	 n. 看门人，管门人
jealous	 adj. 妒忌的；妒羡的
jeer	 v. 嘲笑 n. 讥笑的言语
jeopardize	 v. 使受危害，使陷险境
jerk	 n&v. 急动，急停
jog	 v&n. 轻推，轻撞，缓步前进，漫跑
jolt	 v. 颠簸，颠簸而行
journal	 n. 学术性刊物，期刊；日记
journalist	 n. 记者，新闻工作者
judicial	 adj. 法庭(官)的, 审判的 "
jumble	 v&n. 混杂，杂乱，混乱
junction	 n. 交**点，接合点
jungle	 n. 丛林，密林
junior	 n. 较年幼者 adj. 较年幼的，等级较低的
junk	 n. 旧货，假货 v. 把(当废物)丢弃
jury	 n. 陪审团
justify	 v. 证明是正当的或有理的，为辩护
justification	 n. 理由
juvenile	 adj. 青少年的，幼稚的 n. 青少年
keen	 adj. 锋利的，尖锐的，强烈的；敏锐的；渴望的
keep	 v. 使保持某一状态，阻止，保留，履行，保卫
legislation	 n. 立法
legitimate	 adj. 合法的，合理的
lenient	 adj. 宽大的，宽厚的
lens	 n. 透镜；眼睛水晶体
let	 v. 允许，让，出租
lethal	 adj. 致死的；致死的
lever	 n. 杆，杠杆；施加影响的手段 v. 用杠杆移动
levy	 n&v. 征收, 征税"
liability	 n. 义务；不利；阻碍；债务
liable	 adj. 有倾向的；可能遭受的；有责任的
liaison	 n. 联络
liberal	 adj. 慷慨的，大方的，胸怀宽大的
licence	 n. 许可，特许，执照；放纵
lick	 n&vt. 舔；(火焰)卷过；(波浪)轻拍
light	 adj. 明亮的；轻的；不重要的 n. 光，光线
likelihood	 n. 可能性
lump	 n. 团，块，肿块 v. 合在一起，结块
lunar	 adj. 月的，似月的
lure	 n&vt. 诱惑(力)；引诱，吸引
lurk	 v. 埋伏，潜伏
luxury	 n. 奢侈，奢侈品
mackintosh	 n. (英国英语)雨衣；苹果计算机的一种型号
madden	 v. 使发疯，使发狂
magistrate	 n. 地方法官
magnanimous	 adj. 慷慨的，宽宏大量的
magnate	 n. 达官，显贵
magnetic	 adj. 有磁性的，有吸引力的
magnificent	 adj. 宏伟的，壮丽的
magnify	 v. 放大，扩大；夸大，夸张
magnitude	 n. 重要性；大小
maiden	 n. (文学)少女，未嫁女人 adj. 未婚女子的
maim	 v. 残害，使残废
main	 n. (自来水、煤气等)总管道，干线
maintain	 v. 维持；抚养；坚持；维修
maintenance	 n. 维持，抚养；生活费
maize	 n. 玉米
majestic	 adj. 威严的；庄严的
majority	 n. 多数；多得票数，法定年龄
medal	 n. 奖章；纪念章
meddle	 v. 干涉(预)
mediate	 v. 调停；居间促成
medieval	 adj. 中古的，中世纪的
mediocre	 adj. 平庸的，平常的
meditate	 v. 深思，仔细思考
medium	 n. 媒介；中庸间，适中 adj. 中等的，中庸
meek	 adj. 温顺的，谦逊的
melancholy	 n. 忧郁，悲哀 adj. 忧郁的，令人伤感的
melodious	 adj. 音调悦耳的，旋律的
melody	 n. 音律；歌曲
memorandum	 n. 备忘录；便函
menace	 n&vt. 危险，威胁
mentality	 n. 智力，心理状态
mercantile	 adj. 商业的；贸易的
mercenary	 adj. 唯利是图的，为钱的
mercy	 n. 怜悯；宽恕
merge	 vt&vi. (企业)兼并，合并
merit	 n. 价值，优点，功绩 v. 值得，应收
mesh	 n. 网，筛孔
mess	 n. 混乱，污垢，杂乱 vt&v. 瞎忙；草率处理
monopoly	 n. 垄断，专卖权
monetary	 adj. 货币的；钱的
monotonous	 adj. 单调的，无变化的
monsoon	 n. 季风，雨季
monster	 n. 怪物；畸形的动植物；恶人
monstrous	 adj. 巨大的；恐怖的；可耻的，丢脸的
moped	 n. 机动脚踏车
morality	 n. 道德，美德；伦理体系
morbid	 adj. 疾病的，病态的
moreover	 adv. 加之，而且
mortal	 adj. 必有一死的；致命的；极大的 n. 致命性
mortgage	 v. 抵押，按揭，贷款购房
mosaic	 n&a. 镶嵌细工的，镶嵌工艺品的，嵌花式的
most	 n&a&ad. 大多数，最；最多的(地)
motel	 n. 汽车旅馆
motif	 n. 主题，基本花纹
motion	 n. 运动，动态；手势；眼色，姿势；提议
motivate	 v. 促动；激发
motto	 n. 座右铭，箴言
mould	 n. 模子，模型；模制品
mount	 v. 爬上，骑上；增加 n. 山
notion	 n. 概念，观念
notorious	 adj. 自名昭著的，声名狼藉的
naught	 n. =naught无，零
nourish	 v. 养育，怀有(希望)
nourishment	 n. 食物
novel	 adj. 新奇的 n. 小说
novelty	 n. 新颖；新奇；新奇的事物
novice	 n. 新手; 初学者
nowhere	 adv. 什么地方都没有
noxious	 adj. 有害的，有毒的
nuance	 n. (意义、意见、颜色)细微差别
nucleus	 n. 核心；原子核
nuisance	 n. 麻烦事，讨厌的人
null	 adj. 无效的，无意义的
nullify	 v. 使无效，废弃，取消
numb	 adj. 麻木的，失去知觉的
numerate	 adj. 数学基础好的
numerical	 adj. 数字的，用数字表示的
numerous	 adj. 许许多多的
nursery	 n. 保育室，托儿所
onlooker	 n. 旁观者
onset	 n. 进攻；开始，发作
opaque	 adj. 不透光的，不透明的
opening	 n. 口，孔；开始；张开；职位空缺
opinion	 n. 意见，鉴定
opponent	 n. 对手，敌手，反对者
opportunity	 n. 机会
oppose	 v. 反对，反抗
as	 prep. 与...形成对照
opposite	 adj. 对面的；相反的，对立的 prep. 在对面
oppress	 v. 压迫，压制；压抑
opt	 v. 挑选，选择
optical	 adj. 视觉的，眼睛的，光学的
optimism	 n. 乐观，乐观主义
optimum	 adj. 最适宜的
option	 n. 选择，可选择的事物
optional	 adj. 非强制的，自愿的，自发的
orbit	 n. 天体轨道；势力范围 v. 沿轨道运行
orchard	 n. 果园
orchestra	 n. 管弦乐队
ordeal	 n. (对品格或忍耐力的)严格考验
orderly	 adj. 整齐的；有秩序的；有条不紊的
ore	 n. 矿石
palpitate	 v. 心脏急速跳动；人擅抖
pamper	 v. 纵容，娇惯
pamphlet	 n. 小册子
panel	 n&vt. 镶板，控制板；座谈小组；镶饰
panic	 n. 恐慌，惊慌 v. 受惊，惊慌
panorama	 n. 全景，全方位，整体效应
pant	 v. 气喘，喘息；气喘吁吁地说
pants	 n. 裤子
parachute	 n. 降落伞
parade	 v. 阅兵整队；列队行进，游行；夸耀；炫示
paradise	 n. 天国；乐园
paradox	 n. 似是而非的论点；看似悖谬实则正确的观点
parallel	 adj. 平行的，相当的 n. 类似的人或事，比较
paralyse	 v. 使麻痹，使瘫痪
paramount	 adj. 最高的；首要的
paralysis	 n. 麻痹，瘫痪；完全无力
paranoia	 n. 偏执狂；妄想狂
paraphernalia	 n. 随身用品；贴身用品
paraphrase	 vt&n. 释文，意译
parasite	 n. 寄生虫，寄生植物；靠他人为生的人
parliament	 n. 议会，国会
parody	 n. 模仿，拙劣的模仿
part	 n&ad. 部分；地区；职责
permissible	 adj. 许可的，容许的
permit	 v. 允许；许可 n. 许可证
perpendicular	 adj. 垂直的，成直角的；直立的 n. 垂直线
perpetual	 adj. 永久的；永恒的
perplex	 v. 迷惑，困惑
perplexity	 n. (正式用语)困惑，窘困，令人困惑的事或物
persecute	 v. 迫害；烦扰
persevere	 v. 锲而不舍
persist	 v. 坚持；持续
personal	 adj. 个人的；身体的
personality	 n. 个性；(有名的)人物
personnel	 n. 职员，人员，人事
perspective	 n. 透视；透视画法；视角，观点
perspire	 v. 出汗，流汗
pertain	 v. 附属；有关
pertinent	 adj. 贴切的，中肯的
perturb	 v. 使不安，烦扰
pervade	 v. 遍及，弥漫
perverse	 adj. 刚愎的；坚持错误的，行为反常的
pervert	 v. 误用，使人堕落 n. 堕落者，反常者
pessimism	 n. 悲观；悲观主义
plight	 n. 困境; 苦境
plot	 n. 小块土地；阴谋，情节 v. 绘制，标绘
plough	 n&v. 犁，犁形器具；犁地
plug	 n&v. 塞子，栓，插头；通电
plumb	 v. 铅锤，测锺 v. 探测，查明
plummet	 v. 骤然跌落
plunder	 vt&vi. 抢劫，掠夺
plunge	 v&n. 投入，插入；跳水
plus	 prep&n. 加，加号 adj. 正的
pointed	 adj. 尖锐的；率直的
pointless	 adj. 无意义的，无目标的
poise	 v. 平衡，保持平衡 n. 泰然自若，自信
poke	 v&n. 拨；戳
polar	 adj. 南(北)极的；极端相反的
pole	 n. 极
policy	 n. 政策，保险单
polish	 v. 磨光，擦光；润饰，使优美 n. 擦光剂
politic	 adj. 精明的；明智的
pollinate	 v. 授以花粉
pompous	 adj. 自负的，夸大的
ponder	 v. 深思，考虑
ponderous	 adj. 沉重的，笨重的；(文章)冗长的
porcelain	 n. 瓷器
prey	 vi&n. 捕食；被捕食的动物
primary	 adj. 最初的；首要的
prime	 adj. 主要的；最好的
primitive	 adj. 原始的，简单的
principal	 adj. 主要的 n. 校长
prior	 adj. 较早的；更重要的
priority	 adj. 优先权
privacy	 n. 隐退；秘密
privilege	 n. 特权；优惠
probation	 n. 试用，试读；见习，试用；缓刑
probe	 n&v. 医学探针；新闻调查；探测
procedure	 n. 过程，步骤
proceed	 v. 进行；着手
proceeding	 n. 程序，进程；活动，诉讼
proclaim	 v. 宣告，声明
procure	 v. (努力)取得；获得
prodigious	 adj. 巨大的，奇妙的
productive	 adj. 能生产的，肥沃的
productivity	 n. 生产能力；生产率
profane	 adj. 亵神的，亵渎的 v. 亵渎，玷污
professional	 adj. 职业的 n. 专业人员
proficiency	 n. 熟练，进步
profile	 n. 侧面；轮廓
puzzle	 n. 难题；谜 v. 迷惑
quaint	 adj. 古雅的；离奇的
qualification	 n. 资格；条件；限制
qualify	 v. (使)合格
qualitative	 adj. 质的，定性的
quantitative	 adj. 量的，定量的
quarry	 n. 采石场；猎物
quarterly	 adj. 季度的；季刊
queer	 adj. 奇怪的，不平常的；可疑的；眩晕的
quench	 v. 熄灭，扑灭
quest	 n. 寻找，追求
questionnaire	 n. 问题单，调查表，征求意见表
regarding	 prep. 关于
regeneration	 n. 新生，更新
regime	 n. 政体，政权；政治制度
register	 v. 登记，注册
registrar	 n. 登记员，记录员
regulate	 v. 管理，控制；调整
rehabilitate	 v. 恢复地位；使残疾者恢复正常的生活
reign	 vi&n. (君主)统治，存在，现存
reimburse	 v. 偿还；付还
reinforce	 v. 增援；加强
rejoice	 vt&vi. 欣喜，高兴
relapse	 vi&n. (病等)复发
relay	 n. 替班；转播；接力赛跑 n. 转播；传递
release	 vt&n. 释放；发表
relentless	 adj. 无情的，不仁慈的，残酷的
relevant	 adj. 有关的，切题的，中肯的
reliable	 adj. 可靠的，可信赖的
relief	 n. 减轻；救济
relinguish	 vt. 放弃；撤回
reluctant	 adj. 不愿意的，勉强的
rely	 v. 依赖
remarkable	 adj. 不平常的；出色的
remedy	 n. 治疗，补救；纠正
rigid	 adj. 僵硬的，不易弯的；严格的
rigorous	 adj. 严格的，严厉的，严酷的(气候条件)
rim	 n. 边；边缘，轮辋
riot	 n. 暴乱；骚动；放纵
rip	 v&n. 撕裂，撕开；扯破
ripple	 n. 涟漪，波纹 vt&vi. (使)起层层细浪
ritual	 n. 宗教仪式，典礼；仪式的程序 adj. 仪式的
rival	 n. 竞争者，对手
rivet	 n. 铆钉 v. 铆接，铆牢；集中(目光或注意力)
roam	 vt&vi. 漫步，漫游
roar	 n&v. 吼叫；轰鸣，怒吼
roast	 v&a. 烤(的)，烘(的)
robust	 adj. 强健的
role	 n. 角色，任务
roll	 n&v. 滚动；卷；隆隆声
rot	 v&n. 腐掉
