handily	 adv. 轻松地
virtually	 adv. 几乎
oblong	 adj. 长方形的
detect	 v. 察觉；侦查
civil	 adj. 公民的，市民的
thaw	 v. 使融解；解冻
impair	 v. 损害；削弱
lung	 n. 肺
sophisticated	 adj. 复杂的，老于世故的
presumably	 adv. 据推测； 大概
sin	 n. 罪恶
freshmen	 n. 大一新生
seduce	 v. 勾引，引诱
pupil	 n. 学生
attorney	 n. （尤指出庭的）律师
prohibition	 n. 禁止；禁令
underachieve	 v. 学习成绩不良
mortgage	 n. 抵押贷款
lizard	 n. 蜥蜴
interns	 n. 住院实习医生
execute	 v. 实行；执行；处死
spouse	 n. 配偶，夫妻
consequence	 n. 结果
torrent	 n. 急流，湍流
blockade	 n. 封锁
structure	 n. 结构
infinite	 adj. 无限的
disclose	 v. 公开；揭露
safe	 n. 保险箱
paranormal	 adj. 超自然的；不平常的
relative	 n. 亲属
surge	 n. 猛增；急剧上升
lift	 v. （情绪，心境）变好
totemic	 adj. 图腾的；有图腾的
emergence	 n. 冒出；涌现
assembly	 n. 组装
complacent	 adj. 自满的
signify	 v. 表示
inspiration	 n. 灵感
assume	 v. 假设，臆断
expel	 v. 驱逐；赶走；把…除名
illusion	 n. 错觉
ambitious	 adj. 野心勃勃的
desperately	 adv. 极度地
picturesque	 adj. 别具一格的;如画般的
clue	 n. 线索
dove	 n. 鸽
adolescent	 adj. 青春期的；青少年
accessory	 n. 配饰；附件
wary	 adj. 谨慎的
erase	 v. 清除
tow	 v. 拖，拉； 牵引
generations	 n. 数代人
file	 n. 文件
tough	 adj. 困难的
warranty	 n. 保证；担保；保修单
appearance	 n. 外貌，外表
detention	 n. 拘留
delegate	 v. 委派 n.代表
granite	 n. 花岗岩
withdraw	 v. 取款
transition	 n. 过渡，转变
fate	 n. 命运
spontaneous	 adj. 自发的； 自然的
stability	 n. 稳定
instantaneously	 adv. 即刻；突如其来地
numerous	 adj. 许多的，无数的
manifest	 v. 显示，表明
bandwagon	 n. 时尚，潮流
tape	 v. 系，捆
assessment	 n. 评估； 评价
exclusive	 adj. 排外的，唯一的
theory	 n. 理论
particularly	 adv. 特别地
proclaim	 v. 宣告
formality	 n. 遵守礼节；正式手续；例行公事
appositive	 adj. 同位语
chore	 n. 杂务
attendant	 n. 服务人员
tireless	 adj. 不疲倦的
apprenticeship	 n. 学徒期；学徒身份
doze	 v. 瞌睡
elaborate	 v. 精心制作 vi.详细描述
enforce	 v. 强迫服从；实施，执行；加强
dispel	 v. 消除（疑虑等）
vigilant	 adj. 警惕的，警醒的
insure	 v. 为...上保险
spectator	 n. 观众
effective	 adj. 有效的
fidgety	 adj. 坐立不安的，烦躁不安的
gloomy	 adj. 阴暗的
diminish	 v. 减少
gash	 n. 伤口
nominate	 v. 提名；任命
arthritis	 n. 关节炎
pandemic	 n. 流行病
cautious	 adj. 谨慎的
celebrity	 n. 名人
dread	 n. 担忧，畏惧
transform	 v. 改观
trap	 v. 使落入圈套
relay	 v. 转告；传送
interact	 v. 互动；相互交往
ultimately	 adv. 最后；根本上
outcast	 n. 被逐出者
definite	 adj. 明确的
betray	 v. 背叛
contradiction	 n. 矛盾
headquarters	 n. 总部
organic	 adj. 有机的
resolutely	 adv. 坚决地
hibernate	 v. （动物）冬眠
dreary	 adj. 枯燥的，沉闷的
civic	 adj. 城市的；城镇的；市民的
hazard	 n. 危险
buzz	 v. 发出嘈杂的谈话声
hieroglyphics	 n. 象形字
downright	 adv. 十足地，彻底地
excel	 v. 胜过（他人）
combine	 v. 将...相结合
suspending	 v. 延迟
erect	 v. 建立
offset	 v. 弥补
solution	 n. 解决
suspense	 n. 挂念; 悬念
vehicle	 n. 交通工具
primal	 adj. 最初的；原始的；主要的
charitable	 adj. 仁慈的
furious	 adj. 狂怒的
comically	 adv. 滑稽地
funk	 n. 乡土音乐
exclusively	 adv. 排他地；独家的
mercifully	 adv. 幸运地；仁慈地
imitate	 v. 模仿，仿效；仿造，仿制
cater	 v. 迎合；满足需要
convert	 v. 转变，变化；皈依
schedule	 v. 安排
amplify	 v. 放大
eternal	 adj. 永久的
preinstall	 vt. 预装
specially	 adv. 特意地；专门地
psychiatrist	 n. 精神科医生
privacy	 n. （不受干扰的）独处
consumption	 n. 消费量
application	 n. 应用
yearn	 v. 渴望
tattered	 adj. 破旧的
meditation	 n. 冥想
confusion	 n. 混乱
various	 adj. 各种各样的
especially	 adv. 尤其，特别是
blank	 adj. 空白的；空虚的；单调的
deformity	 n. 畸形
splendid	 adj. 壮观的
complex	 adj. 复杂的，错综复杂的
fertilizer	 n. 肥料
passionate	 adj. 有激情的；热烈的，激昂的
animated	 adj. 栩栩如生的
instant	 adj. 立即的
amateur	 n. 外行
attendance	 n. 出席人数
assignment	 n. 作业
generous	 adj. 慷慨的
indolence	 n. 懒惰；懒散
landscape	 n. 风景，景色
perspiration	 n. 汗水，汗
implant	 v. 灌输
bias	 n. 偏见
drowsy	 adj. 昏昏欲睡的
amusement	 n. 娱乐
inundate	 v. 应接不暇
faculty	 n. 全体教员
immortality	 n. 永生，不朽
multiple	 adj. 多个的
lure	 v. 诱惑
brilliant	 adj. 才华横溢的
tantalize	 v. 使干着急
insecurity	 n. 不安全
secretion	 n. 分泌；分泌物
rosy	 adj. 美好的
ensure	 v. 保证，确保
outlet	 n. （感情的）发泄途径
herculean	 adj. 艰巨的
exhaustive	 adj. 无遗漏的，详尽的
rehearse	 v. 彩排，预演
light	 v. 点燃
attain	 v. 获得；得到
imbalance	 n. 不平衡
tease	 v. 戏弄，取笑
oval	 adj. 椭圆形的
pause	 n. 暂停
genetically	 adv. 基因地
embrace	 v. 包括，拥抱
industrialized	 adj. 工业的
banquet	 n. 宴会
physical	 adj. 自然（界）的
demonstrate	 v. 证明，证实
tenant	 n. 承租人；房客；佃户
adrift	 adj. 漫无目的地； 漂浮着
still	 v. （使）安静，（使）静止
swell	 v. 肿胀
dwell	 v. 居住
doom	 v. 使……的灭亡成为必然； n. 劫数
vital	 adj. 至关重要的
manipulation	 n. 操纵，控制
outstanding	 adj. 杰出的
extensive	 adj. 广泛的，大量的
adversely	 adv. 不利地
overcharge	 v. 对...要价过高
enclose	 v. 附入
extrovert	 n. 性格外向的人
conducive	 adj. 有益于...的
tendency	 n. 倾向，趋势
cursor	 n. 光标
frustrating	 adj. 令人沮丧的
humiliation	 n. 丢脸
barrier	 n. 障碍，隔阂
attachment	 n. 依恋
curiosity	 n. 好奇心
awkward	 adj. 笨拙的；尴尬的
clumsy	 adj. 笨拙的
reinforce	 v. 强化；加强
discriminate	 v. 歧视
assistance	 n. 帮助，援助
address	 v. 写名字地址
bankrupt	 adj. 破产的
repel	 v. 抵制；使厌恶
chaos	 n. 混乱
receipt	 n. 收据
plumber	 n. 管道工，水管工
outstretch	 v. 伸出
mimic	 v. 模仿
trigger	 n.  vt.扣…的扳机
valiant	 adj. 勇敢的，英勇的
flute	 n. 长笛
inheritance	 n. 继承
load	 n. 负荷
suspension	 n. 暂令,停止，停学，停赛等
upgrade	 v. 提高；升级
specifically	 adv. 明确地，具体的
temporary	 adj. 临时的，暂时的
imminent	 adj. 迫在眉睫的；即将来临的
inclined	 adj. 倾向于...的；有...意向的
fundamental	 adj. 根本的，基本的
inspire	 v. 鼓舞; 激励
deliver	 v. 供给，提供
seniority	 n. 资历
sluggish	 adj. 行动缓慢的，反应迟缓的
literary	 adj. 文学（上）的
respiration	 n. 呼吸
preference	 n. 偏爱
thorough	 adj. 彻底的，全面的
calendar	 n. 日历，月历
utilize	 v. 利用；使用
respectable	 adj. 值得尊敬的；人格高尚的
incredibly	 adv. 非常；极其
refreshment	 n. 点心
wrench	 n. 扳手v.猛扭；扭伤；曲解；折磨
quell	 v. 制止，平息，镇压
gratitude	 n. 感激（之情）；感谢
overwhelming	 adj. 难以抗拒的
monarchy	 n. 君主制，君主政体
tutor	 n. 导师
caste	 n. (印度世袭的)社会等级
facility	 n. 设备，设施
squeak	 n. 短促的尖叫声
scorn	 n. 轻蔑vt.轻蔑；藐视
scramble	 v. 爬，攀登
habitual	 adj. 习惯的
dynamic	 adj. 充满活力的
autopsy	 n. 尸体剖检
parallel	 adj. 平行的
congress	 n. 国会；大会
stethoscope	 n. 听诊器
shrewd	 adj. 精明的；机灵的
gesture	 v. 做手势
supplier	 n. 供应商
malnourished	 adj. 营养不良的
manipulate	 v. 操纵；巧妙地处理
variable	 adj. 多变的，易变的
multiplication	 n. 乘法
expand	 v. 扩展，变大
perseverance	 n. 毅力
literate	 adj. 有文化的，识字的
appropriate	 adj. 恰当的
mystic	 adj. 神秘的
exhaustion	 n. 耗尽，疲惫
boarder	 n. 寄宿者
gossip	 n. 流言飞语
bracket	 n. 括号
concept	 n. 观念；想法
sumptuous	 adj. 华丽的；奢侈的
productive	 adj. 多产的
wholesome	 adj. 有益健康的
canal	 n. 运河，沟渠
primitive	 adj. 原始的；远古的
stun	 v. 震惊
dizzy	 adj. 眩晕的
pneumonia	 n. 肺炎
attending	 n. 主治医生
highlight	 v. 强调
crucial	 adj. 至关重要的
paralegal	 adj. 辅助律师业务的
desirous	 adj. 渴望…的
presence	 n. 出席
disseminate	 v. 散布，传播
shabby	 adj. 破烂的，衣着寒酸的
reconcile	 v. 调和；和解
comprehensive	 adj. 全面的，广泛的
blister	 n. 水泡
session	 n. （法庭，议会等）会议，开会；学期；学年
outsource	 v. 外包
commentator	 n. 评论员
shield	 n. 防护物，盾牌
available	 adj. 可得到的
grit	 n. 毅力
fair	 v. 浅色的
acquaintance	 n. (对某人的)相识,认识;熟人(with someone)
grasp	 v. 抓住；领会
righteousness	 n. 正义
civilized	 adj. 文明的；有教养的
strengthen	 v. 加强
accompany	 v. 陪伴，陪同
preliminary	 adj. 初步的，开始的
Mistletoe	 n. 槲寄生
trumpet	 n. 喇叭
imply	 v. 暗示
personality	 n. 人格，人性
impression	 n. 印象
civilian	 adj. 平民百姓的
insecure	 adj. 不安全的
emerge	 v. 出现，浮现
companionship	 n. 陪伴
corrupt	 adj. 腐败的，贪污的；堕落的vt.使出错，破坏
torment	 v. 折磨，使痛苦
shiny	 adj. 发亮的
blare	 v. 发出响而刺耳的声音
elicit	 v. 使发出；引出
source	 n. 根源；源头
virtual	 adj. 实质上的，实际上的
masterpiece	 n. 杰作
gasp	 v. 倒抽气
mechanical	 adj. 机械的
delicate	 adj. 微妙的；精美的;脆弱的
considerable	 adj. 相当多的，可观的
expanse	 n. 广阔的区域
restrain	 v. 抑制，遏制
monsoon	 n. 雨季;季风
resemblance	 n. 相似
illustration	 n. 插图；说明；例证
surest	 adj. 无疑的
ample	 adj. 足够的；丰富的
charge	 v. 充电
relieve	 v. 解除； 缓解
whistle	 n. 口哨
deter	 v. 阻止，制止
claim	 v. 要求（拥有）
manufacturer	 n. 制造商，制造厂
represent	 v. 象征；代表
deprive	 v. 剥夺，使丧失
abstract	 adj. 抽象的
pyramid	 n. 金字塔
afterworld	 n. 阴间
subsequently	 adv. 后来地
pessimistic	 adj. 悲观的
prolong	 v. 延长
slot	 n. 狭缝；狭槽
Ecotourism	 n. 生态旅游
startle	 v. 吃惊
symptom	 n. 症状
discrimination	 n. 歧视
plug	 n. 塞子，插头
twitter	 n. 推特
typify	 v. 作为...的典型
consult	 v. 请教
neglect	 v. 忽略
produce	 v. 产生，导致
terrorize	 v. 恐吓，威胁
welfare	 n. 福利
increasingly	 adv. 越来越多地；日益
prototype	 n. 原型，雏形
scripted	 adj. 照原稿宣读的
superb	 adj. 卓越的，极好的
hitchhiker	 n. 搭便车旅行者
slump	 v. 暴跌 n.萧条期，下滑期
protest	 v. &vt.抗议，反对
morale	 n. 士气
jovial	 adj. 愉快的
diversify	 v. 使多样化，使变化
curriculum	 n. 课程
annoying	 adj. 恼人的
cite	 v. 引用，引证
lump	 n. 肿块
entity	 n. 实体
undertake	 v. 承担；从事
gilded	 adj. 镀金的
generative	 adj. 生产的，有生产力的
float	 v. 漂浮
superstition	 n. 迷信
makeshift	 adj. 临时替代的； 权宜的
offspring	 n. 后代，子孙
reliability	 n. 可靠性
explosion	 n. 爆炸
determiner	 n. 限定词
scant	 adj. 少量的，不足的
mere	 adj. 仅仅，只不过
utter	 adj. 彻底的，完全的
syndrome	 n. 综合征
weapon	 n. 武器
alternative	 adj. 替代的；备选的；其他的 n. 可供选择的事物
deadly	 adj. 致命的
inhibition	 n. 抑制
inconvenience	 n. 不方便
tailor	 v. 使适应（特定需要）
siren	 n. 警报声
hydrostatics	 n. 流体静力学
muddy	 adj. 泥泞的
revenue	 n. 收益
breach	 n. 破坏，违反
wholesale	 adv. 批发销售
desperation	 n. 绝望
bugle	 n. 冲锋号
revolution	 n. 革命
proportion	 n. 比例
convince	 v. 使信服,使相信
ribbon	 n. 缎带，丝带
chase	 v. 追逐
unconscious	 adj. 无意识的
gutter	 n. （路边）排水沟
integral	 adj. 构成整体所必需的
contemporary	 adj. 当代的；同时代的
archaeologist	 n. 考古学家
indulgent	 adj. 放纵的，纵容的
humanitarian	 n. 人道主义者
promulgate	 v. 颁布，公布
essence	 n. 本质，实质
