reproduce	 v. 复制；再生；生殖；使…在脑海中重现
rack	 n. [机] 齿条；架子；拷问台 v. 变形；随风飘；小步跑
saline	 adj. 盐的；含盐分的 n. 盐湖；碱盐泻药
rectification	 n. 改正，矫正；[化工] 精馏；[电] 整流；[数] 求长
fishing	 n. 渔业；捕鱼（术）；试探；装配 adj. 钓鱼的；钓鱼用的 v. 捕鱼（fish的ing形式）
rhythmic	 adj. [生物] 有节奏的（等于rhythmical）；间歇的；合拍的 n. 韵律论（等于rhythmics）
unobtrusive	 adj. 不唐突的；谦虚的；不引人注目的
ostentatious	 adj. 招摇的；卖弄的；夸耀的；铺张的；惹人注目的
infamous	 adj. 声名狼藉的；无耻的；邪恶的；不名誉的
contemporary	 n. 同时代的人；同时期的东西 adj. 当代的；同时代的；属于同一时期的
factory	 n. 工厂；制造厂；代理店
trek	 n. 艰苦跋涉 v. （牛）拉（货车）；搬运
eighteenth	 adj. 第十八的，第十八个的；十八分之一的 num. 第十八；十八分之一
interminable	 adj. 冗长的；无止尽的
beguile	 v. 欺骗；使着迷；轻松地消磨
attempt	 n. 企图，试图；攻击 v. 企图，试图；尝试
coil	 v. 盘绕，把…卷成圈 n. 线圈；卷
high	 adj. 高的；高级的；崇高的；高音调的 n. 高水平；天空；由麻醉品引起的快感；高压地带 adv. 高；奢侈地
fit	 v. 安装；使……适应；使……合身；与……相符 adj. 健康的；合适的；恰当的；准备好的 n. 合身；发作；痉挛
cavern	 n. 洞穴；凹处 v. 挖空；置…于洞穴中
intrusive	 adj. 侵入的；打扰的
transitive	 adj. 及物的；过渡的；可迁的 n. 传递；及物动词
besides	 adv. 此外；而且 prep. 除…之外
ample	 adj. 丰富的；足够的；宽敞的 n. (Ample)人名；(西)安普尔
abduct	 v. 绑架；诱拐；使外展
parish	 n. 教区
too	 adv. 太；也；很；还；非常；过度
robot	 n. 机器人；遥控设备，自动机械；机械般工作的人
replacement	 n. 更换；复位；代替者；补充兵员
remuneration	 n. 报酬；酬劳，赔偿
denounce	 v. 谴责；告发；公然抨击；通告废除
gradual	 adj. 逐渐的；平缓的 n. 弥撒升阶圣歌集
deluge	 n. 洪水；泛滥；暴雨 v. 使泛滥；压倒
thumbtack	 n. 图钉 v. 用图钉钉住
methane	 n. [有化] 甲烷；[能源] 沼气
mumble	 v. 含糊地说；抿着嘴嚼 n. 含糊的话；咕噜
commemorate	 v. 庆祝，纪念；成为…的纪念
huddle	 v. 把挤在一起；使缩成一团；草率了事 n. 拥挤；混乱；杂乱一团
visa	 n. 签证 v. 签发签证
competence	 n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
torpedo	 n. 鱼雷；水雷；油井爆破筒；电鳐；职业杀手 v. 破坏；用鱼雷袭击
payable	 adj. 应付的；到期的；可付的；可获利的
republican	 adj. 共和国的；共和政体的；共和主义的；拥护共和政体的 n. 共和主义者
across	 prep. 穿过；横穿 adv. 横过；在对面
sense	 n. 感觉，功能；观念；道理；理智 v. 感觉到；检测
casino	 n. 俱乐部，赌场；娱乐场
rhino	 n. 犀牛（等于rhinoceros）；钱；现金
flood	 v. 淹没；充满；溢出 n. 洪水；泛滥；一大批
bile	 n. 胆汁；愤怒
convince	 v. 说服；使确信，使信服
foray	 n. 涉足，初次尝试；突袭；侵略；攻击 v. 袭击
unbearable	 adj. 难以忍受的；承受不住的
make	 v. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成 n. 制造；构造；性情
builder	 n. 建筑者；建立者
silage	 vt. 青贮；把放入青贮窖 n. 青贮饲料
cinema	 n. 电影；电影院；电影业，电影制作术
gospel	 n. 真理；信条 adj. 传播福音的；福音赞美诗的
interpose	 v. 提出（异议等）；使插入；使干涉
broker	 n. 经纪人，掮客 v. 作为权力经纪人进行谈判
fanatic	 n. 狂热入迷者；盲信者；盲信 adj. 狂热的；盲信的
imply	 v. 意味；暗示；隐含
expressly	 adv. 清楚地，明显地；特别地，专门地
extracurricular	 adj. 课外的；业余的；婚外的
opposite	 adj. 相反的；对面的；对立的 n. 对立面；反义词 prep. 在…的对面 adv. 在对面
burdensome	 adj. 繁重的；累赘的；恼人的
misbehave	 v. 作弊；行为不礼貌
malignancy	 n. 恶性（肿瘤等）；恶意
bloom	 n. 花；青春；旺盛 v. 使开花；使茂盛
born	 v. 出世（bear的过去分词） adj. 天生的 n. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩
dishwasher	 n. 洗碗工；洗碟机
lounge	 n. 休息室；闲逛；躺椅；（英）酒吧间 v. 闲逛；懒洋洋地躺卧；闲混
tunnel	 n. 隧道；坑道；洞穴通道 v. 挖；在…打开通道；在…挖掘隧道
redemption	 n. 赎回；拯救；偿还；实践
chest	 n. 胸，胸部；衣柜；箱子；金库
add	 v. 加；增加；加起来；做加法 n. 加法，加法运算
dairy	 n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业 adj. 乳品的；牛奶的；牛奶制的；产乳的
clergy	 n. 神职人员；牧师；僧侣
prescribe	 v. 规定；开药方
quartz	 n. 石英
pill	 n. 药丸；弹丸，子弹；口服避孕药 v. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
covenant	 n. 契约，盟约；圣约；盖印合同 v. 订立盟约、契约
parallel	 n. 平行线；对比 v. 使…与…平行 adj. 平行的；类似的，相同的
allergic	 adj. 对…过敏的；对…极讨厌的
twist	 v. 捻；拧；扭伤；编织；使苦恼 n. 扭曲；拧；扭伤
swipe	 v. 猛击；偷窃；刷…卡 n. 猛击；尖刻的话
princess	 n. 公主；王妃；女巨头
absolute	 adj. 绝对的；完全的；专制的 n. 绝对；绝对事物
warrior	 n. 战士，勇士；鼓吹战争的人
electronics	 n. 电子学；电子工业
flowerbed	 n. 花圃；花床
unconditional	 adj. 无条件的；绝对的；无限制的
joy	 n. 欢乐，快乐；乐趣；高兴 v. 欣喜，欢喜
federalist	 n. 联邦党；联邦制拥护者；支持北部联邦者 adj. （支持）联邦党人的；联邦制的
along	 adv. 一起；向前；来到 prep. 沿着；顺着
ungodly	 adj. 邪恶的；不敬畏神的；荒唐的
critic	 n. 批评家，评论家；爱挑剔的人
initiative	 n. 主动权；首创精神 adj. 主动的；自发的；起始的
heroine	 n. 女主角；女英雄；女杰出人物
stern	 n. 船尾；末端 adj. 严厉的；坚定的
nation	 n. 国家；民族；国民
commensurate	 adj. 相称的；同量的；同样大小的
logistics	 n. [军] 后勤；后勤学
enamel	 n. 搪瓷；珐琅；瓷釉；指甲油 v. 彩饰；涂以瓷釉
feudal	 adj. 封建制度的；领地的；世仇的
sophisticate	 v. 弄复杂；使变得世故；曲解 n. 久经世故的人；精通者
mirth	 n. 欢笑；欢乐；高兴
showcase	 n. 陈列橱，[家具] 陈列柜；显示优点的东西 vt. 使展现；在玻璃橱窗陈列
secession	 n. 脱离；分离
trousers	 n. 裤子，长裤
recommendation	 n. 推荐；建议；推荐信
plenipotentiary	 adj. 全权代表的；有全权的 n. 全权代表；全权大使
negotiation	 n. 谈判；转让；顺利的通过
ominous	 adj. 预兆的；不吉利的
technique	 n. 技巧，技术；手法
detour	 v. 使…绕道而行 n. 绕道；便道
shatter	 v. 粉碎；打碎；破坏；破掉；使散开 n. 碎片；乱七八糟的状态
stow	 v. 装载；收藏；使暂留；堆装 n. (Stow)人名；(英)斯托
Mongolian	 n. 蒙古人；蒙古语 adj. 蒙古人的；蒙古语的
month	 n. 月，一个月的时间
own	 v. 拥有；承认 adj. 自己的；特有的 n. 自己的
achieve	 v. 取得；获得；实现；成功
farmhouse	 n. 农家，[农工] 农舍
receptive	 adj. 善于接受的；能容纳的
sundial	 n. 日晷，日规；羽扇豆（产于美国东部）
tan	 n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团 v. 鞣（革）；晒成褐色 adj. 黄褐色的；鞣皮的
lamb	 n. 羔羊，小羊；羔羊肉 v. 生小羊，产羔羊
silo	 n. 筒仓；青贮窖；飞弹发射井 vt. 把…存入青贮窖；把…储存在筒仓内
post	 n. 岗位；邮件；标杆 v. 张贴；公布；邮递；布置
disagree	 v. 不同意；不一致；争执；不适宜
evil	 adj. 邪恶的；不幸的；有害的；讨厌的 n. 罪恶，邪恶；不幸
flicker	 v. 闪烁；摇曳；颤动；扑动翅膀；假装昏倒 n. 闪烁；闪光；电影
clench	 v. 紧握；确定；把…敲弯 n. 紧抓；敲环脚
clamour	 v. 吵闹；大声地要求 n. 喧闹
cask	 n. 木桶，桶 vt. 装入桶内
upright	 adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的 n. 垂直；竖立
freeze	 v. 冻结；冷冻；僵硬 n. 冻结；凝固
assassin	 n. 刺客，暗杀者
alga	 n. 水藻
sin	 n. 罪恶；罪孽；过失 v. 犯罪；犯过失
horsepower	 n. 马力（功率单位）
martial	 adj. 军事的；战争的；尚武的 n. (Martial)人名；(法)马夏尔
author	 n. 作者；作家；创始人 v. 创作出版
impolite	 adj. 无礼的；粗鲁的
concerning	 prep. 关于；就…而言 v. 涉及；使关心（concern的ing形式）；忧虑
equity	 n. 公平，公正；衡平法；普通股；抵押资产的净值
enquire	 v. 询问；调查；问候（等于inquire）
tract	 n. 束；大片土地，地带；小册子
edgy	 adj. 急躁的；尖利的；刀口锐利的
freely	 adv. 自由地；免费地；大量地；慷慨地；直率地
rapidly	 adv. 迅速地；很快地；立即
spontaneous	 adj. 自发的；自然的；无意识的
stare	 v. 凝视，盯着看；显眼 n. 凝视；注视
circumvent	 v. 包围；智取；绕行，规避
inflammation	 n. [病理] 炎症；[医] 发炎；燃烧；发火
actually	 adv. 实际上；事实上
amphibian	 n. [脊椎] 两栖动物；水陆两用飞机；具有双重性格的人 adj. 两栖类的；[车辆] 水陆两用的；具有双重性格的
spew	 v. 喷出；呕吐
north	 n. 北，北方 adj. 北方的；朝北的 adv. 在北方，向北方
moisture	 n. 水分；湿度；潮湿；降雨量
bony	 adj. 骨的；多骨的；瘦骨嶙峋的；似骨的 n. (Bony)人名；(法)博尼
preference	 n. 偏爱，倾向；优先权
illicit	 adj. 违法的；不正当的
assault	 n. 攻击；袭击 v. 攻击；袭击
fetish	 n. 恋物（等于fetich）；迷信；偶像
cosmopolitan	 adj. 世界性的；世界主义的，四海一家的 n. 四海为家者；世界主义者；世界各地都有的东西
arbiter	 n. [法] 仲裁者；裁决人
calamity	 n. 灾难；不幸事件
subject	 n. 主题；科目；[语] 主语；国民 adj. 服从的；易患…的；受制于…的 v. 使…隶属；使屈从于…
intercept	 v. 拦截；截断；窃听 n. 拦截；[数] 截距；截获的情报
paragraph	 n. 段落；短评；段落符号 v. 将…分段
comedy	 n. 喜剧；喜剧性；有趣的事情
qualitative	 adj. 定性的；质的，性质上的
repulsion	 n. 排斥；反驳；反感；厌恶
dispirited	 adj. 沮丧的；没有精神的；意气消沉的 v. 使…沮丧；使…气馁（dispirit的过去分词）
gaoler	 n. 监狱看守；监狱长
astronaut	 n. 宇航员，航天员；太空旅行者
absentee	 n. 缺席者
wake	 v. 醒来；唤醒；警觉 n. 尾迹；守夜；守丧
endurable	 adj. 能忍耐的；可忍受的；能持久的
scarcely	 adv. 几乎不，简直不；简直没有
recession	 n. 衰退；不景气；后退；凹处
earth	 n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴 v. 把（电线）[电] 接地；盖（土）；追赶入洞穴
mileometer	 n. 计程表
uneven	 adj. 不均匀的；不平坦的；[数] 奇数的
vent	 n. （感情的）发泄；出口；通风孔 v. 发泄感情；放出…；给…开孔
nearby	 adj. 附近的，邻近的 adv. 在附近 prep. 在…附近
fourth	 adj. 第四的，第四个的；四分之一的 n. 第四，月的第四日；四分之一 num. 第四
bun	 n. 小圆面包
macaroni	 n. 通心粉；通心面条；纨绔子弟
wool	 n. 羊毛；毛线；绒线；毛织品；毛料衣物
draft	 n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流 v. 起草；制定；征募 adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的
ferment	 n. 发酵；酵素；动乱 v. 发酵；动乱
trickle	 v. 滴；细细地流；慢慢地移动 n. 滴，淌；细流
capitalism	 n. 资本主义
shawl	 n. 围巾，长方形披巾 vt. 用披巾包裹
recognition	 n. 识别；承认，认出；重视；赞誉；公认
disrepute	 n. 不光彩，坏名声
shabby	 adj. 破旧的；卑鄙的；吝啬的；低劣的
advance	 n. 发展；前进；增长；预付款 v. 提出；预付；使……前进；将……提前 adj. 预先的；先行的
conscientiously	 adv. 良心上
headship	 n. 能力；领导者的职位；校长的职位；职务
loom	 n. 织布机；若隐若现的景象 v. 可怕地出现；朦胧地出现；隐约可见
talk	 v. 说；谈话；讨论 n. 谈话；演讲；空谈
sister	 n. 姐妹；（称志同道合者）姐妹；修女；护士 adj. 姐妹般的；同类型的
operational	 adj. 操作的；运作的
pursue	 v. 继续；从事；追赶；纠缠
exceedingly	 adv. 非常；极其；极度地；极端
parole	 n. 语言；誓言，诺言；释放宣言 v. 有条件释放，假释；使假释出狱；宣誓后释放
embody	 v. 体现，使具体化；具体表达 n. (Embody)人名；(英)恩博迪
manifold	 v. 复写，复印；增多；使……多样化 adj. 多方面的，有许多部分的；各式各样的 n. 多种；复印本
station	 n. 车站；驻地；地位；身份 v. 配置；安置；驻扎
observer	 n. 观察者；[天] 观测者；遵守者
penthouse	 n. 阁楼；顶层公寓，屋顶房间
depository	 n. 贮藏所；受托者；存储处 adj. 保管的；存储的
greed	 n. 贪婪，贪心
copper	 n. 铜；铜币；警察 adj. 铜制的 v. 镀铜
fund	 n. 基金；资金；存款 v. 投资；资助
fuzz	 n. 绒毛；模糊；细毛；警员 vi. 作绒毛状飞散；变成绒毛状；变得模糊 vt. 使模糊；起毛
sacrifice	 n. 牺牲；祭品；供奉 v. 牺牲；献祭；亏本出售
fix	 v. 使固定；修理；安装；准备 n. 困境；方位；贿赂
ration	 v. 配给；定量供应 n. 定量；口粮；配给量
trip	 v. 绊倒；远足；犯错误；轻快地走 n. 旅行；绊倒；差错
superstition	 n. 迷信
this	 pron. 这；这个；这里 adj. 这；本；这个；今 adv. 这样地；这么 n. (This)人名；(法)蒂斯
depart	 v. 离开；出发，起程；违反；去世 adj. 逝世的
diary	 n. 日志，日记；日记簿
vaccination	 n. 接种疫苗；种痘
relativity	 n. 相对论；相关性；相对性
certificate	 v. 发给证明书；以证书形式授权给…；用证书批准 n. 证书；执照，文凭
multilateral	 adj. [数] 多边的；多国的，多国参加的
bowl	 n. 碗；木球；大酒杯 v. 玩保龄球；滑动；平稳快速移动
intuitive	 adj. 直觉的；凭直觉获知的
documentary	 adj. 记录的；文件的；记实的 n. 纪录片
dread	 n. 恐惧；可怕的人（或物） v. 惧怕；担心 adj. 可怕的
true	 adj. 真实的；正确的 adv. 真实地；准确地 n. 真实；准确 v. 装准
badger	 n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊 v. 纠缠不休；吵着要；烦扰
part	 n. 部分；角色；零件；一些；片段 v. 分离；分配；分开 adv. 部分地 adj. 部分的
whirlwind	 n. 旋风；旋风般的快速行动 adj. 旋风般的
emblem	 n. 象征；徽章；符号 vt. 象征；用符号表示；用纹章装饰
small	 adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的 adv. 小小地；卑鄙地 n. 小件物品；矮小的人
extremity	 n. 极端；绝境；非常手段；手足
texture	 n. 质地；纹理；结构；本质，实质
pendulum	 n. 钟摆；摇锤；摇摆不定的事态
diction	 n. 用语；措词
current	 adj. 现在的；流通的，通用的；最近的；草写的 n. （水，气，电）流；趋势；涌流
abacus	 n. 算盘
donut	 n. 炸面圈；环状线圈（等于doughnut）
eye	 n. 眼睛；视力；眼光；见解，观点 v. 注视，看
monstrous	 adj. 巨大的；怪异的；荒谬的；畸形的
riot	 n. 暴乱；放纵；蔓延 v. 骚乱；放荡
adjustment	 n. 调整，调节；调节器
chore	 n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
brother	 n. 兄弟；同事；战友 int. 我的老兄！
lute	 n. 琵琶 vi. 弹诗琴 vt. 弹诗琴表达；用封泥封
miser	 n. 守财奴；吝啬鬼；（石油工程上用的）凿井机
barometre	 n. 气压表；晴雨表
worthwhile	 adj. 值得做的，值得花时间的
plaid	 n. 格子花呢；格子图案 adj. 有格子图案的
violinist	 n. 小提琴演奏者，小提琴家
babble	 v. 喋喋不休；呀呀学语；作潺潺声 n. 含糊不清的话；胡言乱语；潺潺声
worried	 adj. 担心的
sanctuary	 n. 避难所；至圣所；耶路撒冷的神殿
ruddy	 adj. 红的；红润的 adv. 极度；非常 vt. 使变红 vi. 变红 n. (Ruddy)人名；(英)拉迪
earn	 v. 赚，赚得；获得，挣得；使得到；博得 n. (Earn)人名；(泰)炎
December	 n. 十二月
conceivable	 adj. 可能的；想得到的，可想像的
everlasting	 adj. 永恒的；接连不断的
redress	 v. 救济；赔偿；纠正；重新调整 n. 救济；赔偿；矫正
affectionate	 adj. 深情的；
waterproof	 adj. 防水的，不透水的 v. 使防水 n. 防水材料
unpretentious	 adj. 谦逊的；含蓄的；不炫耀的；不铺张的
biography	 n. 传记；档案；个人简介
mahogany	 n. 桃花心木，红木；红褐色
convert	 v. 使转变；转换…；使…改变信仰 n. 皈依者；改变宗教信仰者
scorn	 n. 轻蔑；嘲笑；藐视的对象 v. 轻蔑；藐视；不屑做
byproduct	 n. 副产品
rating	 n. 等级；等级评定；额定功率 v. 对…评价（rate的ing形式）
performance	 n. 性能；绩效；表演；执行；表现
jeer	 n. 嘲笑；戏弄；揶揄的言语 v. 嘲笑；戏弄
fluctuate	 v. 波动；涨落；动摇
deadly	 adj. 致命的；非常的；死一般的 adv. 非常；如死一般地
heathen	 n. 异教徒；粗野的人 adj. 异教的；野蛮的
volt	 n. 伏特（电压单位）；环骑；闪避
amoral	 adj. 与道德无关的；无从区分是非的；超道德的
quadrangle	 n. 四边形；方院
school	 n. 学校；学院；学派；鱼群 v. 教育
impulsive	 adj. 冲动的；受感情驱使的；任性的
everyday	 adj. 每天的，日常的 n. 平时；寻常日子
cyclone	 n. 旋风；[气象] 气旋；飓风
cameo	 n. （影视剧中的）配角；刻有浮雕的宝石或贝壳；小品文
equivalence	 n. 等值；相等
applicant	 n. 申请人，申请者；请求者
theologian	 n. 神学者；空头理论家
vanquish	 v. 征服；击败；克服；抑制（感情等）
dupe	 n. 上当者；易受骗的人 v. 欺骗；愚弄（等于duplicate）
overview	 n. [图情] 综述；概观
coffee	 n. 咖啡；咖啡豆；咖啡色
stupid	 adj. 愚蠢的；麻木的；乏味的 n. 傻瓜，笨蛋
escort	 n. 陪同；护航舰；护卫队；护送者 v. 护送；陪同；为…护航
monarch	 n. 君主，帝王；最高统治者
chisel	 v. 雕，刻；凿；欺骗 n. 凿子
head	 n. 头；头痛；上端；最前的部分；理解力 v. 前进；用头顶；作为…的首领；站在…的前头；给…加标题 adj. 头的；主要的；在顶端的
network	 n. 网络；广播网；网状物
audio	 adj. 声音的；[声] 音频的，[声] 声频的
rebirth	 n. 再生；复兴
shellfish	 n. 甲壳类动物；贝类等有壳的水生动物
tyrant	 n. 暴君
grind	 v. 磨碎；磨快 n. 磨；苦工作
terrible	 adj. 可怕的；很糟的；令人讨厌的 adv. 很，非常
buoy	 n. [水运] 浮标；浮筒；救生圈；航标 v. 使浮起；支撑；鼓励
prestige	 n. 威望，声望；声誉
supersede	 v. 取代，代替；紧接着……而到来
literally	 adv. 照字面地；逐字地；不夸张地；正确地；简直
beaker	 n. 烧杯；大口杯
occur	 v. 发生；出现；存在
grandmother	 n. 祖母；女祖先 vt. 当…的祖母 vi. 当祖母
acclaim	 v. 称赞；为…喝彩，向…欢呼 n. 欢呼，喝彩；称赞
Italian	 adj. 意大利的；意大利文化的；意大利语的 n. 意大利人；意大利语
oxide	 n. [化学] 氧化物
viable	 adj. 可行的；能养活的；能生育的
involve	 v. 包含；牵涉；使陷于；潜心于
fearless	 adj. 无畏的；大胆的
superintend	 v. 监督；管理；主管；指挥
maternity	 n. 母性，母道；[妇产] 妇产科医院 adj. 产科的；产妇的，孕妇的
dig	 v. 挖，掘；探究 n. 戳，刺；挖苦
wherever	 adv. 无论什么地方；究竟在哪里 conj. 无论在哪里；无论什么情况下
foam	 n. 泡沫；水沫；灭火泡沫 v. 起泡沫；吐白沫；起着泡沫流动
comparative	 adj. 比较的；相当的 n. 比较级；对手
allegory	 n. 寓言
tinkle	 v. 使发清脆的声响 n. 叮当声
sprain	 v. 扭伤 n. 扭伤
agent	 n. 代理人，代理商；药剂；特工 vt. 由…作中介；由…代理 adj. 代理的
answer	 v. 回答；符合 n. 回答；答案；答辩
cube	 n. 立方；立方体；骰子 v. 使成立方形；使自乘二次；量…的体积
gossip	 n. 小道传闻；随笔；爱说长道短的人 v. 闲聊；传播流言蜚语
jerk	 n. 肌肉抽搐；性情古怪的人；蠢人；急拉 v. 痉挛；急拉；颠簸地行进
elderly	 adj. 上了年纪的；过了中年的；稍老的
zero	 n. 零点，零度 num. 零
demonstrable	 adj. 可论证的；显而易见的
farmhand	 n. [农经] 农场工人
floor	 n. 地板，地面；楼层；基底；议员席 v. 铺地板；打倒，击倒；（被困难）难倒
semantic	 adj. 语义的；语义学的（等于semantical）
fisherman	 n. 渔夫；渔人
lay	 v. 躺下；产卵；搁放；放置；铺放；涂，敷 adj. 世俗的；外行的；没有经验的 n. 位置；短诗；花纹方向；叙事诗；性伙伴
glider	 n. [航] 滑翔机；滑翔员；滑翔导弹
constable	 n. 治安官，巡警；警察
concentrate	 v. 集中；浓缩；全神贯注；聚集 n. 浓缩，精选；浓缩液
pursuit	 n. 追赶，追求；职业，工作
melodrama	 n. 情节剧；音乐剧；耸人听闻的事件，闹剧
bass	 n. 鲈鱼；男低音；低音部；椴树 adj. 低音的
compound	 n. [化学] 化合物；混合物；复合词 adj. 复合的；混合的 v. 合成；混合；恶化，加重；和解，妥协
moat	 n. 护城河；壕沟 vt. 将围以壕沟
canal	 n. 运河；[地理] 水道；[建] 管道；灌溉水渠 v. 在…开凿运河
luxuriant	 adj. 繁茂的；丰富的；奢华的；肥沃的
whoever	 pron. 无论谁；任何人 n. 《爱谁谁》（电影名）
assorted	 adj. 组合的；各种各样的；混杂的 v. 把…分等级；把…归为一类（assort的过去分词）
flea	 n. 跳蚤；低廉的旅馆；生蚤的动物
mane	 n. （马等的）鬃毛
delegate	 v. 委派…为代表 n. 代表
dissimilar	 adj. 不同的
ownership	 n. 所有权；物主身份
earthenware	 n. 陶器；土器
alien	 adj. 外国的；相异的，性质不同的；不相容的 n. 外国人，外侨；外星人 v. 让渡，转让
sensible	 adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的; n. 可感觉到的东西; 敏感的人;
faraway	 adj. 遥远的；恍惚的
dosage	 n. 剂量，用量
disintegrate	 v. 使分解；使碎裂；使崩溃；使衰变
preoccupation	 n. 全神贯注，入神；当务之急；关注的事物；抢先占据；成见
schoolchild	 n. 学童
plane	 n. 飞机；平面；程度，水平 v. 刨；乘飞机旅行；翱翔 adj. 平的；平面的
apprehend	 v. 理解；逮捕；忧虑
erasure	 n. 消除；涂擦的痕迹；消磁
laundry	 n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
ravine	 n. 沟壑，山涧；峡谷
front	 n. 前面；正面；前线 v. 面对；朝向；对付 adj. 前面的；正面的 adv. 在前面；向前
microbiology	 n. 微生物学
laboratory	 n. 实验室，研究室
diligence	 n. 勤奋，勤勉；注意的程度
multiple	 adj. 多重的；多样的；许多的 n. 倍数；[电] 并联
stick	 v. 刺，戳；伸出；粘贴 n. 棍；手杖；呆头呆脑的人
