likely	 adj. 有可能的 adv. 可能
album	 n. 唱片；相册；集邮册
performance	 n. 表演；演奏；表现
perform	 vt&vi. 表演；做
award	 n. 奖，奖品
base	 n. 基地，基础
extremely	 adv. 极端地，非常地
creative	 adj. 有创造力的，创造性的
powerful	 adj. 强大的，有力的
anger	 n. 气愤，愤怒
system	 n. 系统
audience	 n. 听众；观众
throughout	 prep. 贯穿，遍及
impress	 vt. 使（人）印象深刻
performer	 n. 表演者
instrument	 n. 乐器；工具
male	 adj. 男性的
female	 adj. 女性的
clown	 n. 小丑
carriage	 n. 马车
treasure	 n. 财宝，财富
combine	 vt. （使）结合，（使）联合
mask	 n. 面具，面罩；伪装，掩饰
acrobatics	 n. 杂技
costume	 n. 戏装；服装
represent	 vt. 代表
general	 n. 将军
in other words	 换句话说
pianist	 n. 钢琴家，钢琴演奏者
musician	 n. 音乐家
at times	 有时，不时
quit	 v. (quitted,quitted;quit,quit)停止；辞职
talent	 n. 才干，才能；天才，天赋
worldwide	 adv. 在全世界
in some ways	 在某些方面
identity	 n. 身份；特性
root	 n. 根
rediscover	 vt. 重新发现
beauty	 n. 美；美貌；美人
appearance	 n. 外貌，外观
shave	 vt. 剃，刮
hairstyle	 n. 发型
transform	 vt. 转换，转化
waltz	 n. 华尔兹舞
breakdance	 n. 霹雳舞
encyclopedia	 n. 百科全书
sword	 n. 剑
peacock	 n. 孔雀
Swan Lake	 （芭蕾舞剧）天鹅湖
ordinary	 adj. 普通的;平常的
generation	 n. 代，一代
type	 n. 类型，种类
skip.	 vi. 跳，蹦
back and forth	 往返，来回
unique	 adj. 独特的，唯一的
noble	 adj. 贵族的;高尚的，高贵的 n. 贵族
ballroom	 n. 舞厅，跳舞场
immigrant	 adj. 移民的，移居的
tap dancing	 踢踏舞
tango	 n. 探戈舞
reaction	 n. 反应
responsible	 adj. 有责任的，应负责任的
permission	 n. 允许，许可
realistic	 adj. 现实（主义）的
abstract	 adj. 抽象的，深奥的
straight	 adj. 直的 adv. 直，直接
wavy	 adj. 波状的
imagination	 n. 想象；想象力
painter	 n. 画家；油漆匠
pain	 n. 痛苦；疼，痛
exhibition	 n. 展览会
poetry	 n. 诗（总称）
missile	 n. 导弹
mane	 n. 鬃毛
shade	 n. (色彩的)浓淡；阴影
sweat	 n. 汗
youth	 n. 青春；年轻人
insect	 n. 昆虫
fix one's eyes on	 注视，凝视
creature	 n. 动物；（有特性或特质的）人
artist	 n. 画家；艺术家
valuable	 adj. 贵重的，有价值的
typical	 adj. 典型的
elegantly	 adv. 优雅地
emphasize	 vt. 强调
detail	 n. 细节，详情
cloth	 n. 布，布料
fold	 n. 皱褶
shallow	 adj. 浅的
shore	 n. 岸边
eyesight	 n. 视力
marble	 n. 大理石
concrete	 n. 混凝土
feature	 n. 特征，特色
balcony	 n. 阳台
roof	 n. 房顶
statue	 n. 雕像
castle	 n. 城堡
skyscraper	 n. 摩天大楼
angel	 n. 天使
architect	 n. 建筑师
ruin	 vt. 毁坏，毁灭
loch	 n. 湖；海湾
fairytale	 n. 童话
granite	 n. 花岗岩
sort of	 有几分地
cafe	 n. 咖啡馆
phoenix	 n. 凤凰
rooster	 n. 雄鸡，公鸡
bat	 n. 蝙蝠
tomb	 n. 坟墓
date back to	 追溯到
dynasty	 n. 朝代，王朝
religious	 adj. 宗教的；虔诚的
purpose	 n. 目的，意图
pattern	 n. 式样，模式
character	 n. (书写或印刷的)字，字体
happiness	 n. 幸福，快乐
temple	 n. 庙宇，寺庙
offering	 n. 供品，祭品
relate	 vt. 把……与……联系起来
jewellery	 n. （总称）珠宝
try out	 试用，试验
cottage	 n. 村舍，小屋
rent	 n. 租金
landlord	 n. 房东
worm	 n. 虫，小虫
pipe	 n. 管子
mercy	 n. 慈悲，怜悯，同情心
washroom	 n. 盥洗室
damp	 adj. 潮湿的
bathtub	 n. 浴缸，澡盆
basement	 n. 地下室
bathe	 vi. 洗澡；沐浴
fence	 n. 栅栏，围墙
narrow	 adj. 狭窄的
hold one's breath	 屏住呼吸
garage	 n. 车库
garbage	 n. 垃圾，废物
apartment	 n. 公寓住宅
subway	 n. 地铁
downtown	 adv. 在市区，往市区 adj. 市区的
lorry	 n. 卡车，载重汽车
curtain	 n. 窗帘
air conditioner	 空调
conclusion	 n. 结论；结束
