greenhouse effect	 温室效应
classify	 vt. 把……分类
maid	 n. 女佣
laundry	 n. 要洗的衣服；洗衣房
tailor	 n. 裁缝
fortnight	 n. 两星期
in a flash	 瞬间，即刻
adolescence	 n. 青少年时期
antique	 n. 古董
statesman	 n. 政治家
bedding	 n. 床上用品
bungalow	 n. 平房
smog	 n. 烟雾
stand up for	 保护，维护
rugby	 n. 橄榄球
talk sth. over with sb.	 与……详细讨论……
put forward	 提议，提出
bakery	 n. 面包店
sneaker	 n. 运动鞋
from then on	 从那时起，以后
give in	 让步，屈服
send for	 派人去叫……
subscribe	 vi. 订阅（杂志或报纸）
call in	 请（某人）
appoint	 vt. 任命，委任
union	 n. 联合会，工会
have a gift for	 有……的天赋
sculpture	 n. 雕刻，雕塑
pyramid	 n. 金字塔
commercial	 n. （电视）广告
nutrition	 n. 营养
tip	 n. 有用的建议
possession	 n. 私有物品；拥有
compass	 n. 指南针，罗盘
allowance	 n. 零用钱；津贴
criticise	 vt. 批评
contradict	 vt. 反驳，纠正；与……矛盾
sarcastic	 adj. 讽刺的
hold out	 （在困境中）坚持
by and by	 不久以后
call on	 要求……介入
look down on	 看不起……
keep one’s word	 遵守诺言
come about	 发生
slavery	 n. 奴隶制度
oilfield	 n. 油田
security	 n. 安全
ending	 n. 结局，结尾
in surprise	 吃惊地，惊奇地
weep	 vt&vi. (wept,wept)哭泣，流泪
shoot	 vt&vi. (shot,shot)射击；投篮；拍摄
unconscious	 adj. 失去知觉的
pile	 n. 堆
frontier	 n. 边境，边界
trench	 n. 沟，壕
representative	 n. 代表
greet	 vt. 问候，迎接，致意
remark	 vt. 说起，谈到
distribute	 vt. 分发，分配
consume	 vt. 喝；消费，消耗
in peace	 和平地
bond	 n. 盟约
shot	 n. 射击，开枪
ward	 n. 病房
scar	 n. 伤痕，伤疤
surgeon	 n. 外科医生
bandage	 n. 绷带
salute	 vt. 向……致敬
take sb.in one's arms	 拥抱某人
sob	 vi. 抽泣，呜咽
swear	 vi. (swore,sworn)发誓
acquaintance	 n. 相识的人；认识，交情
westwards	 adv. 向西
handful	 n. 少数，一些
tank	 n. 油箱；坦克
firework	 n. 烟火，烟花
greed	 n. 贪心，贪婪
import	 vt. 进口
sponsor	 vt. 赞助
strengthen	 vt. （使）变强，加强
the more...the more...	 越……就越……
despite	 prep. 不管
stable	 adj. 稳固的
intend	 vt. 想要，打算
draft	 vt. 起草
unfit	 adj. 不健壮的
spray	 n. 水花，浪花
dam	 n. 坝
tram	 n. 有轨电车
thermos	 n. 热水瓶，保温瓶
expense	 n. 费用，开支
join up	 参军
daisy	 n. 雏菊
Kaiser	 n. 德国皇帝（1888-1918）
tramp	 n. 流浪者
rope off	 用绳围起（隔开）
cabinet	 n. 内阁
underpants	 n. 内衣裤
arbitrary	 adj. 任意的
theoretical	 adj. 理论的
communism	 n. 共产主义
socialism	 n. 社会主义
communist	 n. 共产主义者
socialist	 n. 社会主义者
liberation	 n. 解放
possess	 vt. 拥有
bring sth. on sb.	 给某人招来（不愉快的）事情
look into	 调查
confidential	 adj. 秘密的
sort out	 解决（问题或困难）
opening	 n. 一段空的时间
homelessness	 n. 无家可归
inequality	 n. 不平等
abortion	 n. 堕胎，人工流产
household	 n. 一个家庭
graph	 n. 图表
life expectancy	 预期寿命
voluntary	 adj. 自愿的
abundant	 adj. 大量的
consumer	 n. 消费者
deposit	 vt&vi. 存储，储蓄
currency	 n. 货币
signature	 n. 签名
taxpayer	 n. 纳税人
govern	 vt. 统治，管理
accumulate	 v. 积累
ownership	 n. 所有权
burden	 n. 重担,负担
rag	 n. 破旧衣服
vacant	 adj. 未住人的，空置的
resistance	 n. 反抗，抵制
come into being	 形成，存在
adjustment	 n. 调整，调节
diverse	 adj. 各种各样的
grill	 n. 烤架
vice	 n. 坏习惯，恶习
mutton	 n. 羊肉
wind sb. up	 故意惹恼(某人,尤指开玩笑）
brunch	 n. 早午餐
buffet	 n. 自助餐
bare	 adj. 赤裸的
pension	 n. 退休金，养老金
resign	 vt&vi. 辞职
pregnant	 adj. 怀孕的
fingernail	 n. 手指甲
hydrogen	 n. 氢
format	 n. 格式
choke	 vi. 窒息，噎住
delete	 vt. 删除
shrink	 vi. (shrank,shrank)（使）收缩，缩小
Utopia	 n. 乌托邦，理想中的完美社会
leisure	 n. 闲暇，空闲
virtue	 n. 优点，长处
framework	 n. 结构，构架
show off	 炫耀，夸耀
feast	 n. 盛宴，宴会
surplus	 n. 盈余，剩余
elect	 vt. 选举，推选
merciful	 adj. 宽大的，仁慈的
sow	 vt&vi. (sowed,sown,sowed)播（种）
roundabout	 n. 环岛，环形交叉路口
collision	 n. 相撞；冲突
knock into sb.	 撞上某人
weed	 n. 杂草，野草
fountain	 n. 喷泉，喷水池
paddle	 vt&vi. 划水；涉水
wag	 vt. 摇摆，摆动
packet	 n. 小盒
grocer	 n. 食品杂货商
rot	 vt&vi. 腐烂
league	 n. 联合会
ministry	 n. 部
poster	 n. 海报
skip	 vt. 跳过
edition	 n. 版本
alley	 n. 胡同，小巷
rectangular	 adj. 长方形的
mop	 n. 拖把
fragrant	 adj. 有香味的
cast	 vt. （cast,cast）投下
turning point	 转折点
undertake	 vt. (undertook,undertaken)着手做，从事
preservation	 n. 维护，保存
squeeze	 vt. 挤
arch	 n. 拱顶
thirst	 n. 口渴
container	 n. 容器
relay	 vt. 转达,转播；传送 n. 接力赛
spoonful	 n. 一匙之量
robbery	 n. 抢劫
break into	 闯入
rape	 n. 强奸
shoplifting	 n. 在商店盗窃
penalty	 n. 刑罚，惩罚
fine	 n. 罚款
sentence	 n. 判决
revenge	 n. 复仇，报复
on principle	 根据原则
abolish	 vt. 废除
sentence sb.to death	 判某人死刑
moreover	 adv. 再者，此外
furthermore	 adv. 此外，而且
consequently	 adv. 所以，因此
anchor	 n. 锚
seaweed	 n. 海草，海藻
swing	 vi. （swung,swung）摇动
seagull	 n. 海鸥
spiritual	 adj. 宗教的，教会的；精神的
Buddhism	 n. 佛教
prayer	 n. 祈祷，祷告
merchant	 n. 商人
wax	 n. 蜡
pan	 n. 锅，平底锅
semicircle	 n. 半圆（形）
suck	 vt. 含在嘴里吮食
