refuse	 v. 拒绝
appeal	 n. 呼吁；申述 v. 呼吁；申述
idiom	 n. 习语，成语
impressive	 adj. 给人印象深刻的
fourteen	 num. 十四
on	 prep. 在…上
stack	 n. 堆，垛 v. 堆积
imitate	 v. 模仿；仿效；仿制
cast	 v. 投，扔，抛；浇铸
pump	 n. 泵 v. 用抽机抽
animal	 n. 动物，兽 adj. 兽欲/动物本能等（animal urges/instincts）
mend	 v. 修补，缝补；修理
dozen	 n. 一打，十二个
bathe	 v. 给…洗澡
means	 n. 方法，手段，工具
emphasis	 n. 强调，重点，重要性
shortage	 n. 不足，缺少，不足额
contrary	 adj. 相反的 n. 相反
tunnel	 n. 隧道，坑道，地道
visible	 adj. 可见的，看得见的
minimum	 n. 最小量 adj. 最小的
hedge	 n. 篱笆，树篱
bundle	 n. 捆，包，束；包袱
stretch	 v. 伸展；伸 n. 伸展
electrical	 adj. 电的，电气科学的
artificial	 adj. 人工的；娇揉造作的
grateful	 adj. 感激的
classmate	 n. 同班同学
assess	 v. 对（财产等）估价
personal	 adj. 个人的；本人的
qualify	 v. 使具有资格
shift	 v. 替换，转移 n. 转换
preceding	 adj. 在前的；在先的
board	 n. 板 v. 上（船、车等）
custom	 n. 习惯，风俗；海关
patch	 n. 补丁；〔与周围部分不同的〕斑，小块 v. 修补，缝补
jar	 n. 罐子，坛子，广口瓶
defeat	 v. 战胜，击败；挫败
child	 n. 小孩，儿童；儿子/女儿
education	 n. 教育；训导
stair	 n. 楼梯
ornament	 n. 装饰物；装饰
downstairs	 adv. 在楼下 adj. 楼下的
hare	 n. 野兔
brook	 n. 小河，溪流
procedure	 n. 程序；手续；过程
employ	 v. 雇用；用；使忙于
may	 modal verb. 可能；可以；祝
province	 n. 省；领域，部门
freeze	 v. 冻；结冻
artistic	 adj. 艺术的；艺术家的
combination	 n. 结合，联合；混合
adapt	 v. 使适应；改编
ambulance	 n. 救护车
burden	 n. 担子，重担
innocent	 adj. 清白的；幼稚的
option	 n. 选择；选择权
fee	 n. 费，酬金；赏金
greeting	 n. 问候，招呼，致敬
sincere	 adj. 真诚的；真挚的
steel	 n. 钢，钢铁
guard	 v. 守卫；看守 n. 卫兵
worthy	 adj. 值得尊敬的；值得的
breakfast	 n. 早饭，早餐
sympathize	 v. 同情；同感，共鸣
gallery	 n. 美术馆，画廊；长廊；走廊
notice	 v. 注意 n. 注意；通知
percentage	 n. 百分比，百分率
money	 n. 货币；金钱；财富
best	 adj. 最好的；最大的
meet	 v. 遇见
crown	 n. 王冠，冕；花冠
beginning	 n. 开始，开端；起源
mathematical	 adj. 数学的，数学上的
juice	 n. （水果等）汁，液
meadow	 n. 草地，牧草地
district	 n. 地区，区域；区
fish	 n. 鱼；鱼肉 v. 钓鱼
incorrect	 adj. 不正确的，错误的
lose	 v. 失去；迷失；输掉
man	 n. 男人；人；人类
mere	 adj. 仅仅的；纯粹的
bell	 n. 钟，铃，门铃；钟声
mean	 v. 作…解释；意指
surrender	 v. 交出；投降
complicate	 v. 使复杂；使陷入
English	 n. 英语 adj. 英国人的
gardener	 n. 园丁，花匠
call	 v. 把…叫做；叫，喊
pleasant	 adj. 令人愉快的，舒适的
conversion	 n. 转变，转化；改变
adopt	 v. 收养；采用；采取
master	 n. 能手；主人；硕士
pipe	 n. 管子，导管；烟斗
recover	 v. 重新获得；挽回
communicate	 v. 通讯；传达
bike	 n. 自行车 v. 骑自行车
classify	 v. 把…分类
trumpet	 n. 喇叭，小号
canoe	 n. 独木舟，皮艇，划子
entertain	 v. 使欢乐；招待
campaign	 n. 运动；战役
abandon	 v. 丢弃；放弃，抛弃
lorry	 n. 运货汽车，卡车
congress	 n. 大会；国会，议会
double	 adj. 双的；两倍的
confident	 adj. 确信的；自信的
extreme	 adj. 极度的；尽头的
frequency	 n. 屡次；次数；频率
confess	 v. 供认，承认；坦白
lodge	 v. 暂住，借宿，投宿
apartment	 n. 一套公寓房间
elevator	 n. 电梯；升降机
kilogram	 n. 千克，公斤
industrial	 adj. 工业的；产业的
explosive	 n. 炸药 adj. 会爆炸的
challenge	 n. 挑战
swear	 v. 宣（誓）；诅咒
departure	 n. 离开，出发，起程
elastic	 n. 松紧带 adj. 有弹性的
break	 v. 打破；损坏；破坏
capital	 n. 首都；资本，资金
adequate	 adj. 足够的；可以胜任的
progress	 n. 前进；进展；进步
paste	 n. 糊；酱；糨糊
relevant	 adj. 有关的，贴切的
exam	 n. 考试；检查，细查
conservative	 adj. 保守的 n. 保守的人
inhabit	 v. 居住于，栖息于
ministry	 n. （政府的）部
stem	 n. 茎，（树）干 v. 起源
margin	 n. 页边的空白；边缘；边缘
core	 n. 果实的心；核心
correspondent	 n. 通讯员；通信者
possibly	 adv. 可能地；也许
roll	 v. 滚动；转动
repair	 v. 修理，修补 n. 修理，修补
moral	 adj. 道德的；合乎道德的
broken	 adj. 被打碎的；骨折的
steer	 v. 驾驶
wax	 n. 蜡，蜂蜡
centimetre	 n. 公分，厘米
gaseous	 adj. 气体的，气态的
equal	 adj. 相等的；平等的
lecture	 n. 演讲，讲课 v. 演讲，讲课
recommendation	 n. 推荐，介绍；劝告
bleed	 v. 出血，流血
kid	 n. 小孩，儿童；少年
become	 v. 变得；变成；成为
rid	 v. 使摆脱，使去掉
land	 n. 土地；陆地 v. 上岸
bold	 adj. 大胆的；冒失的
prison	 n. 监狱；监禁
modest	 adj. 谦虚的；不太大的；不很贵的
leather	 n. 皮革；皮革制品
length	 n. 长，长度；一段
academic	 adj. 学院的；学术的
prosperous	 adj. 繁荣的，昌盛的
grammatical	 adj. 语法上的
physics	 n. 物理学
turbine	 n. 叶轮机，汽轮机
contempt	 n. 轻蔑；藐视；受辱
settlement	 n. 解决；殖民，殖民地
label	 n. 标签；标记，符号
dew	 n. 露，露水
professor	 n. 教授
nothing	 n. 没有东西 adv. 毫不
palm	 n. 手掌，手心
limit	 n. 限度；限制；范围
crude	 adj. 简陋的；天然的
cold	 adj. 冷的；冷淡的 n. 冷
frank	 adj. 坦白的，直率的
forget	 v. 忘记，遗忘
bean	 n. 豆，蚕豆
appear	 v. 似乎；出现；来到
price	 n. 价格，价钱；代价
emotion	 n. 情感，感情；激动
worst	 adj. 最坏的 adv. 最坏地
moan	 n. 呻吟声 v. 呻吟
terrible	 adj. 可怕的；极度的
dollar	 n. 元〔美国、加拿大、澳大利亚等国的货币单位〕
answer	 v. 回答；响应
barn	 n. 谷仓；牲口棚
conclusion	 n. 结论，推论；结尾
demand	 v. 要求；询问；需要
learn	 v. 学，学习
rival	 n. 竞争者 adj. 竞争的
industry	 n. 工业，产业；勤劳
concern	 n. 关心，挂念；重要的事
friendly	 adj. 友好的；友谊的
pale	 adj. 苍白的；浅的
dramatic	 adj. 戏剧的；引人注目的
rhythm	 n. 韵律，格律；节奏
local	 adj. 地方的；局部的
nuclear	 adj. 原子核的
gentleman	 n. 绅士；有教养的人
exactly	 adv. 确切地；恰恰正是
shield	 n. 盾；防护物 v. 保护
hawk	 n. 鹰，隼
network	 n. 网状物；网络
disease	 n. 病，疾病；病害
French	 adj. 法国的 n. 法国人
indicate	 v. 标示，表示；表明
aural	 adj. 耳的，听觉的
basket	 n. 篮，篓，筐
interpreter	 n. 译员，口译者
mountain	 n. 山，山岳；山脉
obtain	 v. 获得，得到，买到
activity	 n. 活动；活力；行动
lung	 n. 肺脏，肺
throughout	 prep. 遍及 adv. 到处
measurable	 adj. 可测量的
clasp	 n. 扣子，钩子；别针
unit	 n. 单位；单元；部件
spring	 v. 跳，跃 n. 泉；跳跃
home	 n. 家；家乡 adj. 家庭的
grammar	 n. 语法；语法书
army	 n. 军队；陆军
clock	 n. 钟，仪表
domestic	 adj. 本国的；家庭的
ladder	 n. 梯子，梯状物
doubt	 n. 怀疑；疑虑 v. 怀疑
fork	 n. 餐叉；叉；分叉
course	 n. 课程；过程；一道菜
intense	 adj. 强烈的；紧张的
advice	 n. 劝告；忠告；意见
virtually	 adv. 实际上，事实上
envy	 v. 妒忌；羡慕 n. 妒忌；羡慕
duck	 n. 鸭；中文释义: 雌鸭；鸭肉
remark	 n. 评论，谈论 v. 评论，谈论
native	 adj. 本土的 n. 本地人
purchase	 n. 买，购买 v. 买
explode	 v. 使爆炸
tragedy	 n. 惨事，惨案；悲剧
scissors	 n. 剪刀，剪子
atom	 n. 原子；微粒；微量
suck	 v. 吸，吮，啜
flag	 n. 旗，旗帜
person	 n. 人；人身；本人
essay	 n. 短文；散文，小品文
cliff	 n. 悬崖，峭壁
perspective	 n. 透视；远景；观点
inquiry	 n. 询问，打听；调查
hair	 n. 头发；毛发；毛
clever	 adj. 聪明的；机敏的
scratch	 v. 搔；抓 n. 搔；抓
insist	 v. 坚持；坚持要求
chimney	 n. 烟囱，烟筒
orphan	 n. 孤儿
plane	 n. 飞机；平面
accomplish	 v. 达到（目的）；完成
queen	 n. 女王；王后；王后
really	 adv. 真正地；实在
hook	 n. 钩，挂钩 v. 钩住
recognition	 n. 承认；认出，识别
leaf	 n. 叶，叶子
preliminary	 adj. 预备的，初步的
meeting	 n. 聚集，会合；会见
property	 n. 财产，资产；性质
correct	 adj. 正确的 v. 纠正
month	 n. 月，月份
destination	 n. 目的地，终点
purse	 n. 钱包，小钱袋；手袋
feature	 n. 特征，特色；面貌
route	 n. 路，路线
error	 n. 错误，谬误；差错
trust	 n. 信任 v. 相信；委托
origin	 n. 起源，由来；出身
quick	 adj. 快的；敏捷的
hunger	 n. 饿，饥饿；渴望
fearful	 adj. 害怕的，可怕的
suspicion	 n. 怀疑，疑心，猜疑
knowledge	 n. 知识，学识；知道
dish	 n. 碟，盘子；菜肴
amuse	 v. 逗…乐；给…娱乐
cheque	 n. 支票
orchestra	 n. 管弦乐队
favourite	 adj. 特别受喜爱的
centre	 n. 中心；中枢 v. 集中
come	 v. 来，来到；出现
lion	 n. 狮子；勇猛的人
berry	 n. 浆果（如草莓等）
edition	 n. 版本；版；版次
hatred	 n. 憎恶，憎恨，仇恨
poverty	 n. 贫穷，贫困
type	 n. 型，类型 v. 打字
process	 n. 过程；工序 v. 加工
pleasure	 n. 愉快，快乐；乐事
banner	 n. 横幅；旗，旗帜
experiment	 n. 实验；试验
pear	 n. 梨子，梨树
Marxism	 n. 马克思主义
drip	 v. 滴下；漏水 n. 水滴
dictation	 n. 口授笔录；听写
advisable	 adj. 明智的；可取的
tide	 n. 潮，潮汐；潮流
mind	 n. 头脑；理智；记忆
blow	 v. 吹；吹动；吹响
model	 n. 模型；模特儿
compass	 n. 罗盘，指南针；圆规
germ	 n. 微生物，细菌；幼芽
probably	 adv. 或许，大概
library	 n. 图书馆；藏书
advance	 v. 前进；提高 n. 进展
my	 det. 我的
beloved	 adj. 为…所爱的 n. 爱人
nephew	 n. 侄子，外甥
aluminium	 n. 铝
rarely	 adv. 很少，难得
subsequent	 adj. 随后的，后来的
charity	 n. 慈善事业；施舍
itself	 pron. 它自己；自身
clue	 n. 线索，暗示，提示
jewish	 adj. 犹太人的
current	 adj. 当前的；通用的
journey	 n. 旅行，旅程
sustain	 v. 支撑；忍受；供养
enormous	 adj. 巨大的，庞大的
bite	 v. 咬；咬，叮，螫；剌穿
gift	 n. 礼物，赠品；天赋
bullet	 n. 枪弹，子弹，弹丸
history	 n. 历史；个人经历
list	 n. 表，目录 v. 列举
behave	 v. 表现，举止；
new	 adj. 新的；新近出现的
van	 n. 大篷车，运货车
amount	 n. 总数；数量；和
calculate	 v. 计算；估计
generous	 adj. 慷慨的；宽厚的
conventional	 adj. 普通的；习惯的
early	 adv. 早 adj. 早的，早期的
number	 n. 数，数字；号码
hint	 n. 暗示，示意；建议
fashionable	 adj. 流行的，时髦的
tolerate	 v. 忍受，容忍，宽恕
condense	 v. 压缩，使缩短
technician	 n. 技术员，技师
flash	 n. 闪光 v. 闪，闪烁
flour	 n. 面粉，粉；粉状物质
catch	 v. 捉住；赶上；领会
purple	 n. 紫色 adj. 紫的
feed	 v. 喂（养）；吃饲料
league	 n. 联合会；同盟，联盟
exert	 v. 运用；尽（力）
finding	 n. 发现；调查的结果
foreign	 adj. 外国的；外来的
shave	 v. 剃，刮
assume	 v. 假定；承担；呈现
response	 n. 响应；作答，回答
refine	 v. 精炼，提纯
following	 adj. 接着的；下列的
play	 v. 玩，游戏；演奏
steamer	 n. 轮船，汽船
lump	 n. 团，块；肿块
prince	 n. 王子；亲王
formation	 n. 形成；构成；形成物
inward	 adj. 内心的 adv. 向内
plentiful	 adj. 丰富的，富裕的
mutual	 adj. 相互的；共同的
insurance	 n. 保险；保险费
humorous	 adj. 富于幽默的，诙谐的
dissolve	 v. 使溶解；解散
prior	 adj. 在先的；优先的
farther	 adv. 更远地 adj. 更远的
liner	 n. 班船，班机
mist	 n. 薄雾
abuse	 v. 滥用；虐待 n. 滥用
exceedingly	 adv. 极端地，非常
coil	 n. （一）卷；线圈 v. 卷
foundation	 n. 基础；地基；基金
wit	 n. 智力，才智，智能
spin	 v. 使旋转；纺 n. 旋转
noise	 n. 喧闹声；响声；噪声
anticipate	 v. 预料，预期；期望
masterpiece	 n. 杰作，名著
illustration	 n. 说明，图解；例证
recent	 adj. 新近的，最近的
laundry	 n. 洗衣房，洗衣店
compute	 v. 计算，估计，估算
difficulty	 adj. 困难；难事；困境
representative	 adj. 代表性的 n. 代表
electricity	 n. 电，电学；电流
past	 adj. 过去的 n. 过去
alloy	 n. 合金；（金属的）成色
temple	 n. 圣堂，神殿，庙宇
feast	 n. 盛宴；筵席；节日
invitation	 n. 邀请，招待；请柬
group	 n. 小组，群 v. 聚集
visual	 adj. 视觉的，视力的
atmospheric	 adj. 大气的；大气层的
annual	 adj. 每年的 n. 年报
stranger	 n. 陌生人；新来者
present	 adj. 现在的 n. 目前
frog	 n. 蛙
music	 n. 音乐，乐曲；乐谱
simply	 adv. 简单地；朴素地
heart	 n. 心，内心；勇气
substitute	 n. 代替人 v. 用…代替
easily	 adv. 容易地
suspend	 v. 吊，悬；推迟
burn	 v. 烧，燃烧 n. 烧伤
workman	 n. 工人，劳动者，工匠
leadership	 n. 领导
jealous	 adj. 妒忌的
can	 n. 罐头，听头；容器
cotton	 n. 棉；棉线；棉布
European	 adj. 欧洲的 n. 欧洲人
explain	 v. 解释；为…辩解
natural	 adj. 自然界的；天然的
clean	 adj. 清洁的；纯洁的
rebel	 v. 造反 n. 造反者
enable	 v. 使能够，使可能
evident	 adj. 明显的，明白的
rain	 n. 雨，雨水 v. 下雨
management	 n. 管理；经营，处理
eighth	 num. 第八 n. 八分之一
bread	 n. 面包；食物，粮食
sorrow	 n. 悲痛，悲哀，悲伤
cattle	 n. 牛；牲口，家畜
inspect	 v. 检查，审查；检阅
mental	 adj. 精神的；智力的
mushroom	 n. 蘑菇，菌类植物
review	 v. 再检查 n. 复习
beautiful	 adj. 美的，美丽的
descend	 v. 下来，下降；下倾
Fahrenheit	 n. 华氏温度
freedom	 n. 自由；自主
grave	 n. 坟墓 adj. 严重的
lumber	 n. 木材；木料；制材
encounter	 v. 遭遇，遇到 n. 遭遇
atmosphere	 n. 气氛；大气；空气
toe	 n. 脚趾；足尖
touch	 v. 触摸；触动；感动 n. 触
troublesome	 adj. 令人烦恼的；麻烦的
congratulation	 n. 祝贺；祝贺词
package	 n. 包裹，包，捆
part	 n. 一部分；零件
credit	 n. 信用贷款；信用
judge	 n. 法官；裁判员
original	 adj. 最初的；新颖的
decision	 n. 决定，决心；果断
compose	 v. 创作；组成，构成
rag	 n. 破布，碎布，抹布
satellite	 n. 人造卫星；卫星
transport	 v. 运输 n. 运输
drawing	 n. 图画，素描；绘图
protective	 adj. 保护的，防护的
ago	 adv. 以前
signature	 n. 署名，签字，签名
primary	 adj. 基本的；最初的
poem	 n. 诗，韵文，诗体文
hear	 v. 听见；听说；审讯
overall	 n. 工装裤 adj. 全面的
freely	 adv. 自由地；直率地
creature	 n. 生物，动物
specify	 v. 详细说明；指定
combine	 v. 使结合；兼有
solar	 adj. 太阳的，日光的
sort	 n. 种类；类别 v. 整理
dishonour	 n. 不光彩；丢脸的人
permit	 v. 允许 n. 执照
magnificent	 adj. 壮丽的；华丽的
drift	 v. 漂流；漂泊 n. 趋势；流动
investigate	 v. 调查
proper	 adj. 适合的；合乎体统的
lame	 adj. 跛的；瘸的，残废的
mechanical	 adj. 机械的；力学的
vital	 adj. 生命的；有生命力的
clumsy	 adj. 笨拙的；愚笨的
relieve	 v. 减轻；解除
describe	 v. 形容；描写，描绘
author	 n. 作者，作家
happy	 adj. 快乐的；幸福的
glide	 v. 滑动 n. 滑行
drain	 v. 排去；放水 n. 耗竭
pen	 n. 钢笔，自来水笔
fatigue	 n. 疲劳，劳累
nonsense	 n. 胡说，废话
absolute	 adj. 纯粹的；绝对的
sack	 n. 袋，麻袋；开除
apparatus	 n. 器械，仪器；器官
next	 adj. 紧接的；贴近的
grace	 n. 优美；文雅；雅致
preface	 n. 序言，前言，引语
tone	 n. 音；腔调；声调
stove	 n. 炉头；炉子
identical	 adj. 完全相同的；同一的
adjective	 n. 形容词
knee	 n. 膝，膝盖，膝关节
artist	 n. 艺术家，美术家
choke	 v. 使窒息；塞满
regardless	 adv. 不顾一切地
reader	 n. 读者；读物，读本
horizontal	 adj. 地平的；水平的
acceptable	 adj. 可接受的，合意的
mail	 n. 邮件 v. 邮寄
cloud	 n. 云；云状物；阴影
busy	 adj. 忙的；繁忙的
secretary	 n. 秘书；书记；大臣
deadly	 adj. 致命的；死一般的
harbour	 n. 海港，港口 v. 庇护
bloom	 n. 花；开花，开花期
retain	 v. 保持，保留，保有
contest	 v. 争夺，争取；辩驳
output	 n. 产量；输出量；输出
railroad	 n. 铁路
institution	 n. 协会；制度，习俗
engine	 n. 发动机，引擎；机车
flesh	 n. 肉，肌肉；肉体
brother	 n. 兄弟；同事，同胞
inch	 n. 英寸
aeroplane	 n. 飞机
coffee	 n. 咖啡，咖啡茶
emit	 v. 散发；发射；发表
as	 conj. 当…的时候
elementary	 adj. 基本的；初级的
editor	 n. 编辑，编者，校订者
coin	 n. 硬币 v. 铸造（硬币）
definite	 adj. 明确的；肯定的
skim	 v. 掠过，擦过；略读
tourist	 n. 旅游者，观光者
flourish	 v. 繁荣，茂盛，兴旺
taste	 n. 味觉；品味
ending	 n. 结尾，结局
confirm	 v. 证实；肯定；批准
nearly	 adv. 差不多
away	 adv. 离开，远离；…去
puzzle	 n. 难题；谜 v. 使迷惑
lawyer	 n. 律师；法学家
precision	 n. 精确，精密，精密度
debt	 n. 债，债务；欠债
promote	 v. 促进，发扬；提升
gasp	 v. 气喘，喘息
publish	 v. 出版；发表；公布
cubic	 adj. 立方形的；立方的
smart	 adj. 聪颖的，机灵的
floor	 n. 地板；楼层
dispute	 v. 争论，争执 n. 争论
blackboard	 n. 黑板
install	 v. 安装，设置
deceit	 n. 欺骗，欺诈
forecast	 n. 预测，预报 v. 预示
now	 adv. 现在；立刻
believe	 v. 相信；认为
mile	 n. 英里
gap	 n. 缺口；间隔；差距
occur	 v. 发生；出现；存在
glove	 n. 手套
graduate	 n. 毕业生 v. 大学毕业
club	 n. 〔职业体育的〕俱乐部；俱乐部；夜总会
fierce	 adj. 凶猛的；狂热的
dump	 v. 倾卸，倾倒；倾销
lag	 v. 落后；走得慢
hammer	 n. 锤，榔头 v. 锤击
congratulate	 v. 祝贺，向…道喜
storage	 n. 贮藏；贮藏量
guess	 v. 猜测，推测 n. 猜测，推测
desirable	 adj. 值得相望的；可取的
critic	 n. 批评家；爱挑剔的人
bottom	 n. 底，底部，根基
bud	 n. 芽，萌芽；蓓蕾
Australia	 n. 澳大利亚
resident	 adj. 居住的 n. 居民
choose	 v. 选择，挑选；情愿
meanwhile	 adv. 同时，当时
exclude	 v. 把…排除在外
convenience	 n. 便利，方便；厕所
rank	 n. 排，横行；社会阶层
nowadays	 adv. 现今，现在
fall	 v. 落下；跌倒；陷落
furious	 adj. 狂怒的；狂暴的
tap	 n. 轻叩 v. 轻叩
immediate	 adj. 立即的；直接的
bruise	 n. 青肿，伤痕；擦伤
be	 v. 是；在
politics	 n. 政治，政纲；政治学
define	 v. 给…下定义；限定
heavily	 adv. 重重地；大量地
pat	 v. 轻拍 n. 轻拍
dose	 n. 剂量，用量；一剂
operate	 v. 操作；施行手术
observe	 v. 看到；遵守；说
auxiliary	 adj. 辅助的
proportion	 n. 部分；比，比率
record	 n. 记录；履历 v. 记录
groan	 v. 哼，呻吟 n. 呻吟
faith	 n. 信任，信心；信仰
meat	 n. 肉
harden	 v. 使变硬
particular	 adj. 特定的；特殊的
arm	 n. 臂；臂状物；武器
lip	 n. 嘴唇
fable	 n. 寓言；虚构的故事
excuse	 v. 原谅；免除 n. 借口
discharge	 v. 释放；排出 n. 释放
cellar	 n. 地窑，地下室
noisy	 adj. 喧闹的；嘈杂的
systematic	 adj. 有系统的；有计划的
trail	 n. 小径；痕迹 v. 跟踪
her	 pron. （宾格）她 determiner.. 她的
rather	 adv. 相当；宁可，宁愿
liquid	 n. 液体 adj. 液体的
indirect	 adj. 间接的；不坦率的
meantime	 n. 其时，其间 adv. 当时
portion	 n. 一部分；一份
dinner	 n. 正餐，主餐；宴会
distribution	 n. 分发，分配；分布
African	 adj. 非洲的 n. 非洲人
emphasize	 v. 强调，着重
kill	 v. 杀死；扼杀；消磨
cough	 v. 咳，咳嗽 n. 咳嗽
restraint	 n. 抑制；遏制；克制
composition	 n. 构成；作品；写作
porter	 n. 搬运工人
verify	 v. 证实，查证；证明
it	 pron. 这，那，它
comb	 n. 梳子 v. 梳理
conquest	 n. 攻取，征服；克服
bristle	 n. 短而硬的毛；鬃毛
especially	 adv. 尤其；特别，格外
absent	 adj. 不在场的；缺乏的
bottle	 n. 瓶，酒瓶；一瓶
crush	 v. 压碎，碾碎；镇压
delegation	 n. 代表团
ourselves	 pron. 我们自己
civilization	 n. 文明，文化；开化
objective	 adj. 客观的；无偏见的
sulphur	 n. 硫（磺），硫黄
request	 n. 请求，要求 v. 请求，要求
talent	 n. 才能；天才；人才
physical	 adj. 物质的；物理的
appliance	 n. 用具，器具，器械
inspection	 n. 检阅；检查，审查
bang	 n. 巨响，枪声；猛击
reflect	 v. 反射；反映；思考
happiness	 n. 幸福，幸运；快乐
attention	 n. 注意，留心；注意力
January	 n. 一月
venture	 n. 冒险 v. 敢于
input	 n. 输入；投入的资金
roar	 v. 吼叫；呼喊 n. 吼
faithful	 adj. 忠诚的；如实的
monkey	 n. 猴子，猿
behalf	 n. 代表某人
operator	 n. 接线员；操作人员
humble	 adj. 谦逊的；地位低下的
manufacturer	 n. 制造商；制造厂
mug	 n. 大杯
goat	 n. 山羊
democracy	 n. 民主制；民主
represent	 v. 代表；象征；描绘
accustom	 v. 使习惯
city	 n. 城市，都市
spoil	 v. 损坏，糟蹋；宠坏
packet	 n. 小包（裹），小捆
object	 n. 物，物体；目的
rate	 n. 比率；速度；价格
American	 adj. 美洲的 n. 美国人
pull	 v. 拉，拖 n. 拉，拉力
mixture	 n. 混合；混合物
October	 n. 十月
pigeon	 n. 鸽子
conversely	 adv. 相反地
multiply	 v. 乘；使增加
divorce	 n. 离婚，离异 v. 离婚
tray	 n. 托盘，碟；（浅）盘
contrast	 n. 对比，对照，悬殊
