access	 v. 获取 n. 接近，入口
virtual	 adj. 虚拟的
simplicity	 n. 简单
enrollment	 n. 入学人数
programming	 n. 〔计算机的〕程序编写，程序设计；程序；；〔电视或广播〕节目；电视[广播]节目策划，编排
device	 n. 装置，设备
previous	 adj. 之前的
alter	 v. 改变
coach	 n. 教练 v. 当…的教练，训练，培训
crisis	 n. 危机
interconnect	 v. 相互联系
enrich	 v. 丰富；使富有
poll	 n. 民意调查
consent	 v. 允许，同意 n. 同意，赞同
utility	 n. 公用事业〔如煤气、电力等〕
poisonous	 adj. 有毒的，有害的
collision	 n. 冲突，抵触
rank	 v. 具有…等级[地位] n. 衔，阶层
fundamentally	 adv. 根本上
inflation	 n. 通货膨胀
secure	 v. 确保……安全
interpret	 v. 解释
criticize	 v. 批评；评论
arrest	 v. 逮捕
afford	 v. 负担得起
implementation	 n. 实现，履行
initiate	 v. 开始，发起
enable	 v. 使能够……
narrow	 adj. 狭窄的
overcharge	 v. 向……多收费
shortcut	 n. 捷径，近路
leisure	 n. 悠闲，空闲
original	 adj. 原始的，最初的
density	 n. 密度
sphere	 n. 球体；范围
margin	 n. 页边的空白，页边，白边
department	 n. 部门
desire	 n. 渴望，欲望
legend	 n. 传奇
dictator	 n. 独裁者；专制者
diversity	 n. 多样性；差异
quit	 v. 放弃
outgoing	 adj. 开朗的；外向的；外出的
solution	 n. 解决，解答，解决办法
revenge	 n. 报仇
reverse	 n. 相反情况；正相反 a. 相反的
enroll	 v. 注册
logically	 adv. 合乎情理地，符合逻辑地
rental	 n. 租金
component	 n. 成分
quotation	 n. 引文
faith	 n. 信任
invalid	 adj. 无效的
invade	 v. 侵入，侵略
separately	 adv. 分别地，另行
strain	 v. 扭伤，拉伤
accessible	 adj. 易接近的
lap	 n. 〔坐着时的〕大腿部
character	 n. 角色
widespread	 adj. 普遍的，广泛的
rearrange	 v. 重新安排
hospitalize	 v. 就医
avail	 v. 有益, 有帮助
instant	 adj. 立即的；紧急的；速溶的，方便的
democratic	 adj. 民主的
barely	 adv. 仅仅，几乎不
vanish	 v. 消失
caregiver	 n. 照料者
harsh	 adj. 严酷的
reliable	 adj. 可靠的，可信赖的
massive	 adj. (尺寸、数量、规模) 非常大的
alcohol	 n. 酒精
pregnant	 adj. 怀孕的
adapt	 v. 适应于
bogus	 adj. 假冒的
slippery	 adj. 滑的；模糊的，不明确的，
current	 adj. 当前的
overwhelm	 v. 压倒，战胜
stressful	 adj. 充满著压力的，充满著紧张的
toothache	 n. 牙痛，牙疼
eliminate	 v. 消除
terminal	 n. 终点站，航空站
severe	 adj. 严重的
immobile	 adj. 稳定的，不变的
diplomatic	 adj. 外交的
candidate	 n. 申请求职者；投考者；候选人
fund	 n. 基金，储备； v. 提供资金
complacency	 n. 自满，满足
delight	 n. 高兴
inadequate	 adj. 不足的，不够的
steady	 adj. 稳定的，逐步的
accurate	 adj. 精确的，准确的
identification	 n. 身份证明；鉴定，识别；认同；
previously	 adv. 事先
identical	 adj. 相同的
retirement	 n. 退休
commit	 v. 犯罪；承担义务
element	 n. 要素；元素
assess	 v. 评价
hire	 v. 雇佣
represent	 v. 代表
overestimate	 v. 对（数量）估计过高
supervision	 n. 监督
expose	 v. 暴露
seemingly	 adv. 表面上看
assignment	 n. 作业
preference	 n. 偏爱
energetic	 adj. 精力充沛的
application	 n. 申请；应用
moral	 adj. 精神上的, 道德的
dispute	 n. 辩论，争论 v. 辩论，争论
influence	 n. 影响 v. 影响
illegal	 adj. 非法的
esteem	 n. 自尊
abundant	 adj. 大量的，丰富的
survey	 v. 调查；审视，仔细考虑 n. 调查；勘测，测量，测绘
extensively	 adv. 广泛地
deserve	 v. 值得
crash	 v. 坠落;坠毁;撞击 n. 〔汽车的〕撞车事故；〔飞机的〕坠毁，失事
affirm	 v. 断言，声明
reputation	 n. 名气，名声，名誉
degree	 n. 程度
fade	 v. 逐渐消失
competitor	 n. 竞争者，对手
confuse	 v. 使混淆，迷惑
task	 n. 任务，工作
lessen	 v. 减少
admit	 v. 承认；容许
bow	 v. 鞠躬
division	 n. 除法；部门
literature	 n. 文学，文学作品；文献；文献
consultant	 n. 顾问
penalty	 n. 惩罚
comment	 n. 评论
major	 adj. 主要的 v. 主修
option	 n. 选择
socialize	 v. 交往，联谊
bureau	 n. 局
budget	 n. 预算 v. 编预算
pop	 v. 突然出现，跳出
position	 n. 职位
unaffordable	 adj. 买不起的，负担不起的
function	 n. 功能 v. 运行
perceive	 v. 察觉
reserve	 v. 留出，预定
innovation	 n. 改革，创新
alert	 v. 提醒；使〔某人〕意识到 adj. 机警的
cautious	 adj. 谨慎的
document	 n. 文件
characterize	 v. 以……特点
achieve	 v. 完成，实现
address	 v. 解决
inspiration	 n. 灵感
agency	 n. 机构
formulate	 v. 规定，制定
fate	 n. 命运
surf	 v. 冲浪
steer	 v. 驾驶
structure	 n. 结构
architect	 n. 建筑师
frame	 n. 框架
amaze	 v. 使吃惊
affirmation	 n. 断言，肯定
intelligent	 adj. 有智慧的，聪明的，悟性强的
code	 n. 代码，密码
burden	 n. 重担，负担
absorb	 v. 吸收（液体、气体等）
instruction	 n. 用法说明；操作指南；命令，指示
admission	 n. 承认；准许进(加)入；入场费
additional	 adj. 额外的
prejudice	 n. 偏见 v. 使有偏见，使有成见
process	 n. 过程，进程；；工序；工艺流程 v. 处理
elegant	 adj. 优雅的
hospitable	 adj. 热情友好的
refreshing	 adj. 恢复活力的
ensure	 v. 确保
frighten	 v. 使惊恐，使恐慌
civilized	 adj. 文明的
approval	 n. 批准，认可；赞成，同意
publicize	 v. 宣布
resident	 n. 居民
considerate	 adj. 体贴的；考虑周到的
twist	 v. 扭曲，使弯曲
citizen	 n. 市民，城镇居民；公民
stake	 n. 风险
keenly	 adv. 敏锐地
superficial	 adj. 肤浅的
flexibility	 n. 灵活性；适应性
favorable	 adj. 赞同的
competent	 adj. 胜任的，有能力的
emotional	 adj. 情绪(上)的，情感(上)的；激起感情的； 敏感的；情绪激动的〔尤指哭泣〕
pioneer	 v. 开拓，开发
sustain	 n. 维持
gloomy	 adj. 阴沉的，沮丧的
convince	 v. 使相信
profitable	 adj. 有利可图的，有益的
routinely	 adv. 例行公事地
phenomenon	 n. 现象
variety	 n. 多样
gum	 n. 牙龈
criticism	 n. 批评
fatal	 adj. 致命的，攸关的
delightful	 adj. 高兴的
tedious	 adj. 单调沉闷的
flexible	 adj. 灵活的
considerably	 adv. 相当地，非常地
efficiently	 adj. 有效地
appearance	 n. 外表, 外观；出现
album	 n. 粘贴簿，集邮簿，册
optimistic	 adj. 乐观的
clue	 n. 线索
grief	 n. 悲伤
synthetic	 adj. 合成的，人造的
resistance	 n. 抵御，抵抗；抵抗力
install	 v. 安装
pledge	 n. 保证，誓言
unique	 adj. 独特的，唯一的
stock	 n. 股票；库存
disadvantage	 n. 不利情况，缺点
compensate	 v. 弥补，补偿
rescue	 v. 营救，援救
monitor	 v. 监控；监听
refusal	 n. 拒绝
exile	 n. 流放，放逐
encourage	 v. 鼓励
concept	 n. 观点，观念
render	 v. 给予
trait	 n. 性格
feature	 n. 特点
reframe	 v. 再构造(图画、照片等)
identify	 v. 认出，识别；视为
impose	 v. 强加
snack	 n. 零食，小吃
require	 v. 要求，命令
donation	 n. 捐赠
equal	 adj. 相等的，平等的
rare	 adj. 罕有的，少见的
specify	 v. 指定，具体说明
constant	 adj. 不断的，持续的
standardize	 v. 使标准化
consume	 v. 消费，消耗
status	 n. 地位
complement	 v. 补充
lengthy	 adj. 长的，漫长的
embarrassed	 adj. 尴尬的；窘迫的
rational	 adj. 神智清楚的
distant	 adj. 遥远的
homemaker	 n. 主妇
exception	 n. 例外
sustainable	 adj. 可持续的
trigger	 v. 引发，引起
intend	 v. 打算
spread	 v. 扩散；传播
estimate	 v. 估计
technique	 n. 技巧，手艺；技术，技能
include	 v. 包含
academic	 adj. 学术的
distinctive	 adj. 独特的，与众不同的
consist	 v. 由……组成
bid	 n. 出价，投标 v. 出价，投标
benefit	 v. 有益于，有助于
downsize	 v. 裁员
avoid	 v. 避免
gender	 n. 性别
interracial	 adj. 种族间的
complaint	 n. 抱怨; 投诉
pattern	 n. 模式
mood	 n. 心情
sympathy	 n. 同情心
discount	 n. 折扣
value	 v. 重视
altitude	 n. 海拔, 高度
groundsheet	 n. 防潮布
evolutionary	 adj. 进化的；演变的
implement	 v. 实施，执行
dominant	 adj. 占优势的
scope	 n. 范围
suspect	 v. 怀疑，猜想 n. 嫌疑犯
confrontation	 n. 冲突，对抗
puzzle	 v. 迷惑 n. 难解之事，谜
critic	 n. 批评家，评论家
apartment	 n. 公寓
analyze	 v. 分析
maintain	 v. 维持；主张
curb	 v. 控制 n. 控制
version	 n. 版本
rival	 n. 对手
beneficial	 adj. 有利的，有益的
substantial	 adj. 大量的
recover	 v. 恢复；重新获得；寻回
diploma	 n. 文凭
carpenter	 n. 木匠
circumstance	 n. 环境，境遇
canteen	 n. 食堂
advocator	 n. 主张者，倡导者
disorderly	 adj. 杂乱的
essentially	 adv. 本质上，根本上
prevent	 v. 预防
ceremony	 n. 典礼，仪式
assume	 v. 假定，认为
demand	 n. 需求，要求 v. 要求
principle	 n. 原则，原理
reception	 n. 接待；反响
transfer	 v. 转换，调换 n. 转换，调换
preventable	 adj. 可预防的
anticipate	 v. 预感
assumption	 n. 假定，假设
prescription	 n. 处方
evolution	 n. 演变，进化
annoy	 v. 使反感，厌烦
unintended	 adj. 意想不到的
origin	 n. 起源
qualify	 v. 使……有资格
emergence	 n. 出现，发生
complain	 v. 抱怨
merit	 n. 优点，成绩 v. 值得
forum	 n. 论坛
arrange	 v. 安排，筹划
determination	 n. 意志
bargain	 n. 便宜货，减价品
appetite	 n. 欲望, 胃口
neutral	 adj. 中立的
primitive	 adj. 原始的；简单的；简单的，简陋的
therapy	 n. 疗法 治疗
conscience	 n. 良心
define	 v. 确定；下定义
creativity	 n. 创造力
tailor	 v. 调整使适应
dramatically	 adv. 戏剧性地，引人注目地
panic	 n. 惊恐
motivation	 n. 激励，刺激
durable	 adj. 持久的，耐用的
remedy	 n. 药物
inevitable	 adj. 不可避免的
diverse	 adj. 各种各样的
context	 n. 背景，环境
prominent	 adj. 杰出的；突出的，凸起的
witness	 n. 目击者，目击
save	 v. 节省
inherit	 v. 继承
occasion	 n. 场合
initiative	 n. 主动权，自主权
insight	 n. 洞察力，洞悉
misguided	 adj. 被误导的
sponsor	 v. 赞助
porter	 n. 搬运工
loyalty	 n. 忠诚，忠实
overwhelming	 adj. 压倒性的
appreciation	 n. 感激
setting	 n. 背景，环境
display	 n. 展览 v. 展览
deliver	 v. 发表
astonish	 v. 使惊讶，使大为吃惊
adequate	 adj. 足够的
consumption	 n. 消费，消耗
abuse	 v. 虐待；滥用
broad	 adj. 宽的
inappropriate	 adj. 不合适的
worldwide	 adv. 全世界范围地
strict	 adj. 严格的
means	 n. 方法
reveal	 v. 揭露，揭示
confirm	 v. 证实
consensus	 n. 一致意见
agent	 n. 代理商
neighborhood	 n. 地区
participate	 v. 参与，参加
valid	 adj. 有效的
initially	 adv. 最初，起初
slightly	 adv. 轻微地
objection	 n. 反对
atmosphere	 n. 气氛；大气；空气
assign	 v. 布置；分配
evidence	 n. 根据，证据，迹象
racially	 adv. 种族上地
exclude	 v. 排除，不包括
available	 adj. 可利用的，现有的；可获得的
puzzling	 adj. 令人困惑的
evaluation	 n. 评价，评估
irritate	 v. 激怒
distinguished	 adj. 显著的，杰出的
depressing	 adj. 令人沮丧的
mutually	 adv. 互相地
mission	 n. 使命，任务；代表团
migration	 n. 迁移，移民
site	 n. 场所，地址
expectation	 n. 期望
update	 v. 更新；使现代化
gear	 n. 齿轮 v. 使合适
reproductive	 adj. 生殖的，再生的
incredible	 adj. 不可思议的
backward	 adv. 向后
raise	 v. 提高；筹款；抚养
prohibit	 v. 禁止，阻止，防止
bother	 v. 麻烦；打扰
pose	 v. 摆姿势，装腔作势 n. 姿势
instrument	 n. 仪器，器械，工具
mask	 v. 掩饰
essential	 adj. 必须的；本质的
harvest	 n. 丰收，收获
reject	 v. 拒绝，驳回
advancement	 n. 进步，提升
skyrocket	 v. 突升，猛涨
characteristic	 n. 特点
implication	 n. 含义，暗示
measure	 n. 分量 v. 测量
replacement	 n. 代替
easygoing	 adj. 脾气随和的，温和的
squeeze	 v. 压，榨
exhibition	 n. 展览
responsibility	 n. 责任
enhance	 v. 提高；加强；增加
retain	 v. 保留,留用
convey	 v. 传达，传递
regulation	 n. 管理；规则
integrity	 n. 完整
combine	 v. 联合，结合
impermanency	 n. 非永久性
catalogue	 v. 把……编入目录
council	 n. 议会
prepare	 v. 做准备
inquiry	 n. 询问
tension	 n. 紧张
prompt	 adj. 迅速的；立刻的；及时的 v. 促使；激励
attendance	 n. 出席人数
retail	 n. 零售 v. 零售
image	 n. 形象，声誉，；印象
quantity	 n. 量，数量
inspector	 n. 检查员
endurance	 n. 耐力
simplify	 v. 简化
range	 n. 范围 v. 在范围内变化
accomplish	 v. 完成
treatment	 n. 治疗；对待
spare	 adj. 空闲的
welfare	 n. 幸福；福利
boost	 n. 推动 v. 促使，促进
consciousness	 n. 意识
patiently	 adv. 耐心地
decent	 adj. 正派的，体面的
review	 n. 回顾 v. 复习
considerable	 adj. 相当大(或多)的
misguide	 v. 误导
foundation	 n. 地基；基础；；基金会
postgraduate	 n. 研究生
prevail	 v. 流行，盛行
solid	 adj. 扎实的，坚实的
counsel	 v. 忠告，建议
maximum	 n. 最大值，最大量 a. 最大值的，最大量的
abstract	 adj. 抽象的
realistic	 adj. 现实的，实际的
ban	 v. 禁止
ashamed	 adj. 羞耻的；内疚的；惭愧的
solve	 v. 解决
reinforce	 v. 加强，强化
applicant	 n. 申请人
tuition	 n. 学费
persistence	 n. 坚持不懈
overcome	 v. 战胜，克服
bride	 n. 新娘
engagement	 n. 婚约
household	 n. 家庭，一家人
evaluate	 v. 评价
saint	 n. 圣人
delay	 v. 推迟，延期
private	 adj. 私人的
definition	 n. 定义
influential	 adj. 有影响力的
recommend	 v. 推荐；劝告；使受欢迎
frontier	 n. 边境
concern	 n. 重要的事情 v. 与…有关，关于
organ	 n. 器官
cite	 v. 引用
mechanism	 n. 机制，机能
contest	 n. 比赛
symptom	 n. 症状
deadline	 n. 最后期限
domination	 n. 主导
figure	 n. 人物；数字
imply	 v. 暗示；意味；
curiosity	 n. 好奇心
induce	 v. 引诱
acknowledge	 v. 承认(…的权威)
gym	 n. 体育馆，健身房
chef	 n. 厨师
sensible	 adj. 明智的
outline	 n. 梗概，提纲，草稿，要点
react	 v. 对……作出反应
committee	 n. 委员会
civilian	 n. 平民，百姓
domestic	 adj. 国内的
complex	 adj. 复杂的
locate	 v. 位于，定位
tighten	 v. 使变紧
physics	 n. 物理，物理学
foothold	 n. 立足处（攀登时脚踩的地方）
discharge	 v. 释放；排出；批准离开; 命令离开
advanced	 adj. 高级的
complicated	 adj. 复杂的，难懂的
needy	 adj. 贫穷的
stale	 adj. 乏味的，没有新意的
casual	 adj. 漫不经心的，随便的；偶然的
conform	 v. 相一致，遵守
recharge	 v. 再充电
annually	 adv. 每年，一年一次
frown	 v. 皱眉
decline	 v. 下降，减少；拒绝
originate	 v. 开始
prospect	 n. 前景；前途
curious	 adj. 好奇的
incentive	 n. 动机，刺激
virus	 n. 病毒
cultivate	 v. 培养， 养成
potential	 n. 潜力 adj. 有可能的；潜在的
reluctant	 adj. 不愿意的，勉强的
miserable	 adj. 痛苦的
persuasion	 n. 劝说
competitiveness	 n. 竞争力
restriction	 n. 限制，限定
minor	 adj. 小的
grain	 n. 谷物，粮食
rate	 n. 比率，速率
radically	 adv. 完全地，彻底地
distinct	 adj. 明显的；有区别的
equality	 n. 平等
hardworking	 adj. 苦干的，不辞辛劳的
qualification	 n. 资格(证明)，合格证书
bacteria	 n. 细菌
corporate	 adj. 团体的；法人的
undermine	 v. 逐渐削弱; 逐渐动摇
selfish	 adj. 自私的
cater	 v. 迎合
survival	 n. 幸存
favor	 v. 偏好, 较喜欢
conflict	 v. 冲突
client	 n. 客户
garage	 n. 车库
fatigue	 n. 疲劳，疲乏
plant	 n. 工厂
endanger	 v. 危及，危害，濒临危险
operation	 n. 手术；行动
handle	 v. 处理
laborious	 adj. 费力的
passion	 n. 热情，激情
cooperative	 adj. 合作的
inflate	 v. (使)膨胀
resourceful	 adj. 机智的
exaggerate	 v. 夸张
loan	 n. 贷款
vocabulary	 n. 词汇
illustrate	 v. 说明,阐明
overflow	 v. 溢出，淹没
fantasize	 v. 想象，幻想
amusing	 adj. 有趣的，好玩儿的
universal	 adj. 宇宙的，全世界的；普遍的
generate	 v. 产生
schedule	 n. 日程表
backslide	 v. 倒退，退步
particle	 n. 微粒
menu	 n. 菜单
reward	 n. 报答，奖赏 v. 报答，奖赏
reproduce	 v. 复制
worsen	 v. （使）变得更坏
feedback	 n. 反馈
equivalent	 adj. 相等的，相当的
resign	 v. 辞职
motivate	 v. 促动，激发，诱导
compel	 v. 强迫
revise	 v. 修订
dampen	 v. 抑制
prosperity	 n. 繁荣
flow	 n. 流动 v. 流动
humanity	 n. 人类〔总称〕；人性
sideways	 adv. 向侧面
pursue	 v. 追求
innovate	 v. 创新，革新
mill	 n. 工厂
promotional	 adj. 促销的
dump	 v. 扔下，倾倒；倾销
resist	 v. 抵抗，抗拒
source	 n. 来源
legal	 adj. 法律的
picky	 adj. 挑剔的
steal	 v. 偷窃
despite	 prep. 尽管
explosion	 n. 爆炸
gap	 n. 缝隙，缺口；差距
relevant	 adj. 有关的，切题的
ignore	 v. 忽视，不顾
complete	 v. 完成 adj. 完整的，彻底的
sufficient	 adj. 足够的
switch	 v. 转变，改变
request	 n. 要求
stereotype	 n. 老套，固定模式
couple	 n. 夫妻，情侣
honesty	 n. 诚实
transportation	 n. 运输
physical	 adj. 身体上的
screen	 v. 筛查
divine	 adj. 神圣的
guideline	 n. 指导原则
revolution	 n. 革命
interruption	 n. 打扰；中断
dishwasher	 n. 洗碗机
promising	 adj. 有希望的，有前途的
vary	 v. 不同；变化
permanent	 adj. 永久的
manufacture	 v. 制造，生产
fussy	 adj. 爱挑剔的；
dictate	 v. 命令，规定 n. 命令，规定
professional	 adj. 专业的
prosper	 v. 繁荣
exchange	 n. 交换，交流 v. 交换，交流
concentration	 n. 集中
gesture	 n. 手势，姿势
deliberate	 adj. 故意的
contribution	 n. 贡献；捐款
bless	 v. 保佑，祝福
detective	 n. 侦探
evident	 adj. 明显的
retreat	 v. 退避，后退；撤退
responsible	 adj. 负责的，有责任的
identity	 n. 身份
statistics	 n. 统计学；数据
appreciate	 v. 感激；欣赏
insult	 v. 侮辱
neglect	 v. 疏忽；忽视
primarily	 adv. 主要地，首先
long	 v. 渴望
incline	 v. 倾向于
asset	 n. 有价值的人(或物)资产
overtake	 v. 超车
extension	 n. 分机
engine	 n. 引擎，发动机
emphasize	 v. 强调
genuine	 adj. 真正的
fascination	 n. 魅力；入迷
lodge	 v. 住宿，暂住
cheat	 v. 欺骗, 作弊
security	 n. 安全，安保
painful	 adj. 痛苦的，疼痛的，令人不快的
emerge	 v. 出现
instance	 n. 情况，例子
steep	 adj. 陡峭的；急剧升/降的
rigorous	 adj. 严格的
persuade	 v. 说服
procedure	 n. 程序
signature	 n. 签名
surpass	 v. 超过
campaign	 n. 活动
advance	 n. 提前 v. 前进
charity	 n. 慈善机构
average	 adj. 平常的
indispensable	 adj. 必不可少的
irrationally	 adv. 不合理地，无理性地
accompany	 v. 陪伴
aviation	 n. 航空
distress	 v. 使痛苦，悲痛
invariably	 adv. 不变地，一直
invest	 v. 投资
approximately	 adv. 大约
conservation	 n. 保护，保存
ease	 n. 轻松，舒适
extracurricular	 adj. 课外的
undoubtedly	 adv. 无疑
excellent	 adj. 卓越的，杰出的，极好的
investigate	 v. 调查
judgement	 n. 判断，决定
struggle	 v. 搏斗
prohibitively	 adv. 过分地，非常地
military	 adj. 军队的，军事的
consequently	 adv. 结果
suffer	 v. 受苦；遭受（痛苦）
visible	 adj. 看得见的
swift	 adj. 迅速的
battle	 n. 战争，战役
liability	 n. 责任
resistant	 adj. 抵抗的；抵制的
nutritious	 adj. 营养的
constantly	 adv. 不断地，时常地
familiar	 adj. 熟悉的
terribly	 adv. 可怕地，非常
restore	 v. 修复
refine	 v. 改善；精炼
inspire	 v. 激发；鼓舞；使产生灵感
comply	 v. 遵从
justice	 n. 公正
district	 n. 区
installation	 n. 安装；就职；就职仪式
marvelous	 adj. 引起惊异的
provoke	 v. 激起，挑起
lobby	 n. 大堂 v. 游说
interview	 n. 面谈（试）；会见； v. 采访 ；面试
