act	 v. 表演；举动；起作用 n. 行为，法令；一幕
allowance	 n. 补贴，津贴；零用钱；减价，折扣；允许
pillow	 n. 枕头
shallow	 adj. 浅的,浅薄的 n. 浅滩,浅处
swallow	 n. 燕子;吞咽vt.吞,咽;轻信;忍受;vi.咽口水
yellow	 adj. 黄的，黄色的 n. 黄色
slow	 adj. 慢的,不活跃的 v. (down)(使)放慢,减速
man	 n. (pl.men)人；人类(单数，不加冠词)；男人
chairman	 n. 主席,议长,会长,董事长
gentleman	 n. 绅士,先生
human	 adj. 人的,人类的 n. 人
humanity	 n. 人类,人性,人情;(pl.)人文科学
layman	 n. 外行
manage	 v. 经营,管理,处理;设法,对付;操纵,运用
management	 n. 经营,管理;处理,操纵;管理部门
manager	 n. 经理,管理人
mankind	 n. 人类
manner	 n. 方式;举止;(pl.)风度,礼貌;规矩;风俗
permanent	 adj. 永久的,持久的
policeman	 n. 警察
postman	 n. 邮递员
romance	 n. 传奇,爱情故事
romantic	 adj. 浪漫的,传奇式的;不切实际的,好幻想的
salesman	 n. 售货员,推销员
spokesman	 n. 发言人
sportsman	 n. 爱好运动的人；运动员
statesman	 n. 政治家,国务活动家
woman	 n. (pl.）women妇女，成年女子
fireman	 n. 消防队员
fisherman	 n. 渔夫，捕鱼人
maneuver	 n. (manoeuvre)机动;运用,操作; v. 机动
manifest	 v. 表明,证明,显示 adj. 明白的,明了的
manipulate	 v. (熟练地)使用，操作；(巧妙地)处理
manual	 adj. 手的,手工做的,体力的 n. 手册,指南
manufacture	 v. 制造,加工 n. 制造,制造业;产品
manuscript	 n. 手稿,原稿
abdomen	 n. 腹，下腹(胸部到腿部的部分)
specimen	 n. 标本,样本
commence	 v. 开始 v. 获得学位
menace	 v. /n.有危险性的人(或物)；威胁，威吓
menu	 n. 菜单
communicate	 v. 传达,传送;交流;通讯,通话
communication	 n. 通讯,传达;(pl.)通讯系统;交通
communism	 n. 共产主义
community	 n. 同一地区全体居民,社会,社区;共同体
immune	 adj. 免疫的,有免疫力的;有受影响的;豁免的
mark	 n. 痕迹;记号;分数 v. 标记,打分,使有特色
marble	 n. 大理石,云石
march	 v. (使)行军,(使)行进 n. 行军,行程
March	 n. 三月(略作 Mar. )
margin	 n. 页边空白;边缘;余地;幅度
marginal	 adj. 记在页边的,旁注的;(意识)边缘的
marine	 adj. 海的,海生的;船舶的,航海的
marital	 adj. 婚姻的,夫妻之间的
market	 n. 集市,市场;销路,需求(量) v. 销售
marriage	 n. 结婚,婚姻;结婚仪式
married	 adj. 已婚的,夫妇的;(to)与…结婚的
marry	 v. 结婚,嫁,娶
marvelous	 adj. (marvellous)惊人的,奇迹般的,妙极的
remark	 n. (about,on)评语,意见 v. (on)评论;注意到
remarkable	 adj. 值得注意的;显著的,异常的,非凡的
grammar	 n. 语法,语法书
nightmare	 n. 恶梦；可怕的事物，无法摆脱的恐惧
submarine	 n. 潜水艇 adj. 水底的,海底的
supermarket	 n. 超级市场
trademark	 n. 商标；特征 vt. 注册的…商标
summarize	 v. (summarise)概括,总结
summary	 n. 摘要,概要 adj. 概括的,简略的
admire	 v. 钦佩,赞赏,羡慕；称赞,夸奖
miracle	 n. 奇迹,令人惊奇的人(或事)
mirror	 n. 镜子;反映,反射 v. 反映,反射
commerce	 n. 商业，贸易；交际，交往
commercial	 adj. 商业的；商务的；可获利的 n. 广告节目
emerge	 v. 显现,浮现;暴露;形成;
emergency	 n. 紧急情况,突然事件,非常时刻
immerse	 v. 使沉浸在;使浸没
merchandise	 n. 商品,货物
merchant	 n. 商人,零售商
mercy	 n. 仁慈,怜悯,宽恕
mere	 adj. 纯粹的;仅仅,只不过
merely	 adv. 仅仅，只不过
merge	 v. (使)结合，(使)合并，(使)合为一体
merit	 n. 优点,价值,功绩 v. 值得,应得
merry	 adj. 欢乐的,愉快的
submerge	 v. 沉没,淹没;潜入
summer	 n. 夏天，夏季 adj. 夏季的
memo	 n. (randum)备忘录
commemorate	 v. 纪念，庆祝
member	 n. 成员,会员
membership	 n. 会员资格,成员资格
memorial	 adj. 记忆的,纪念的 n. 纪念物,纪念碑,纪念馆
memory	 n. 记忆,记忆力;回忆;存储(器)
remember	 v. 记住;(to)转达问候,代…致意,代…问好
metre	 n. (meter)米，公尺；仪表，计量器
arithmetic	 n. 算术，四则运算
cemetery	 n. 坟墓，墓地，坟场
centimetre	 n. (centimeter)厘米
diameter	 n. 直径
geometry	 n. 几何(学)
helmet	 n. 头盔,钢盔
kilometre	 n. (kilometer) 公里，千米(略作km)
metal	 n. 金属,金属制品
metaphor	 n. 隐喻，暗喻
method	 n. 方法,办法
metric	 adj. 米制的,公制的
metropolitan	 adj. 首都的,主要都市的,大城市
millimeter	 n. (millimetre)毫米
parameter	 n. 参数,参量
symmetry	 n. 对称(性);匀称,整齐
thermometer	 n. 温度计
middle	 n. n&adj中间(的),当中(的)
amid	 prep. 在…中间，在…之中，被…围绕
humid	 adj. 湿的,湿气重的
humidity	 n. 湿气,湿度
midst	 n. 中间,当中
pyramid	 n. 金字塔
comedy	 n. 喜剧;喜剧性事件
immediate	 adj. 立即的,即时的;直接的,最接近的
medal	 n. 奖章,勋章,纪念章
medical	 adj. 医学的，医疗的，医药的；内科的
medicine	 n. 内服药,医药;医术;医学,内科学
medieval	 adj. 中世纪的,中古(时代)的,老式的,原始的
meditate	 v. 想,考虑,(尤指宗教上的)沉思,冥想
meditation	 n. 熟虑;默想,沉思;(pl.)冥想录
medium	 n. 媒体,方法,媒介,介质 adj. 中等的
mode	 n. 方式,式样
accommodate	 v. 向…提供住处；对...予以照顾性考虑
accommodation	 n. 住宿，留宿；膳宿供应
commodity	 n. 日用品；商品；农/矿产品；有用之物
model	 n. 样式,型;模范;模型,原型;模特 v. 模仿
moderate	 adj. 有节制的,中等的,适度的,温和的,稳健的
modern	 adj. 现代的,近代的,新式的
modernization	 n. (modernisation)现代化
modest	 adj. 谦虚的,有节制的
mood	 n. 心情,情绪;语气
modify	 v. 更改,修改,修饰
module	 n. 组件，模块，模件；(航天器的)舱
moon	 n. (加the)月球，月亮；卫星
among	 prep. 在…之中；在一群(组)之中；于…之间
ceremony	 n. 典礼,仪式;礼节,礼仪
common	 adj. 普通的；共同的；一般的；n.公有地
commonplace	 adj. 普通的n.寻常的事物，平庸的东西
commonwealth	 n. 共和国,联邦,共同体
demonstrate	 v. 论证,证实;演示,说明
harmony	 n. 协调,和谐;融洽
monarch	 n. 帝王，君主，最高统治者
Monday	 n. 星期一
monetary	 adj. 金融的,货币的
money	 n. 货币,钱
monitor	 n. 班长;监听器,监视器 v. 监控,监测
monkey	 n. 猴子
monopoly	 n. 垄断,专卖,专利权,专利事业
monotonous	 adj. 单调的,无变化的
monster	 n. 怪物,妖怪,畸形的动植物
month	 n. 月,月份
monthly	 adj. 每月的 adv. 每月一次,按月 n. 月刊
monument	 n. 纪念碑,纪念馆,遗迹,不朽的业绩
summon	 v. 召唤;传讯,传唤;鼓起(勇气),振作(精神)
testimony	 n. 证据,证词;表明,说明
move	 v. 移动,迁移;活动;感动 n. 移动,活动,行动
movement	 n. 运动,活动;移动,迁移
movie	 n. 电影,电影院
removal	 n. 移动,迁居;除去
remove	 v. 移动,脱掉,调动,免职
mob	 n. 乌合之众(尤指暴力者) v. 围攻，聚众闹事
mobile	 adj. 可动的,活动的,运动的
mobilize	 v. (mobilise)动员,赋予可动性
emotion	 n. 情绪,情感,感情
motel	 n. (附有停车场的)汽车旅馆
motion	 n. 运动,动;提议,动议 v. 提议,动议
motivate	 v. 促动；激励，鼓励，作为…的动机
motive	 n. 动机,目的 adj. 发动的,运动的
motor	 n. 发动机,电动机
promote	 v. 促进,发扬;提升,提拔;增进,助长
remote	 adj. 远的,遥远的,疏远的,偏僻的,细微的
name	 n. 名字(称/声/义) v. 给…取名；列举；提名
namely	 adv. 即,也就是
nickname	 n. 绰号，浑名vt.给…起绰号
ornament	 v. 装饰,美化 n. 装饰,装饰物
anonymous	 adj. 匿名的，无名的，姓氏不明的
nominal	 adj. 名义上的;(金额,租金)微不足道的 name
nominate	 v. 提名,任命
astronomy	 n. n．天文学
autonomy	 n. 自治，自治权；
economic	 adj. 经济(上)的,经济学的
economical	 adj. 节约的,经济的
economics	 n. 经济学,经济情况
economy	 n. 节约;经济
noun	 n. 名词
pronoun	 n. 代词
pronounce	 v. 发…的音;宣布,宣判
pronunciation	 n. 发音,发音方法
announce	 v. 正式宣布；发表；通告；广播（电台节目）
denounce	 v. 公开指责,公然抨击;谴责
order	 n. 命令;次序;整齐;定货单;等级 v. 定制,订购
coordinate	 adj. 同等的 n. 同等者,坐标 v. 协作，协调
disorder	 n. 混乱,杂乱;骚乱;失调,疾病
extraordinary	 adj. 非常的;格外的;意外的;离奇的;临时的
orderly	 adj. 整齐的,有秩序的,有条理的 n. 勤务兵
ordinary	 adj. 普通的,平凡的,平常的;平庸的
subordinate	 adj. (to)次要的,从属的;下级的
pale	 adj. 苍白的,灰白的;浅的,暗淡的
appal	 v. 使惊骇，使恐怖
palace	 n. 宫,宫殿
pan	 n. 平底锅,盘子,面板
accompany	 v. 陪伴，陪同；伴随，一起发生，伴奏
companion	 n. 同伴,共事者;伴侣
company	 n. 公司;陪伴;宾客;连(队),(一)群,队,伙
expand	 v. (使)膨胀,(使)扩张;张开,展开
expansion	 n. 扩张,膨胀;张开,伸展
panel	 n. 面,板;控制板,仪表盘;专门小组
panic	 n. n&adj恐慌(的),惊慌(的) v. 使惊慌,使害怕
panorama	 n. 全景,全景画,全景摄影,全景照片[装置]
part	 n. 部分,角色,一方,零件,地区,部,篇v.使分开
apart	 adv. 分离，离开，隔开 adj. 分离的，分隔的
apartment	 n. [英]房间，套间；[美]公寓
compartment	 n. 卧车包房,隔间;分隔的空间
depart	 v. 离开,起程 adj. 过去的,逝世的
department	 n. 部,局,处,科,部门;系,学部
departure	 n. 离开,起程
impart	 v. 传授，给予；告知，通知
partial	 adj. 部分的,不完全的;偏袒的,不公平的,偏爱的
participant	 n. 参加者,参与者 adj. 有份的,参与的
participate	 v. (in)参与,参加;分享,分担;含有,带有
particle	 n. 粒子,微粒;极小量;小品词,虚词
particular	 adj. 特殊的,苛求的,个别的n.详情,细节,特色
partly	 adv. 部分地,不完全地,在一定程度上
partner	 n. 合作者,合伙人,合股人,伙伴,舞伴,配偶
party	 n. 聚会,政党,当事人 v. 举行(参加)社交聚会
parachute	 n. 降落伞 v. 跳伞
parade	 n&v. 游行,夸耀n.检阅,阅兵式v.使列队行进
paradigm	 n. 典范; 范例; 示例
paradox	 n. 似非而是的话,自相矛盾的话,反论
parallel	 adj. 平行的,相同的,类似的n.平行线,类似,对比
paralyze	 v. (paralyse)使瘫痪(麻痹);使丧失作用
parasite	 n. 寄生虫,食客
apparatus	 n. 器械，器具，仪器；机构，组织
apparent	 adj. 表面上的,貌似真实的；显然的,明明白白的
comparable	 adj. (with,to)可比较的,比得上的
comparative	 adj. 比较的,相当的
compare	 v. (to，with)比较；(to)把…比作vi.相比
comparison	 n. 比较,对比,比喻,比拟
parcel	 n. 包裹,邮包,部分 v. 打包,捆扎,分配
pardon	 n. 原谅,宽恕;请再说一遍 v. 原谅,饶恕,赦免
parent	 n. 父母,母亲;(pl.)双亲;父母
parliament	 n. 国会,议会
preparation	 n. 准备,预备;制剂,制备品
prepare	 v. 准备,预备
separate	 adj. (from)分离的,分开的
transparent	 adj. 透明的，透光的；易理解的；明显的
penny	 n. 便士,美分
pension	 n. 养老金,年金
compensate	 v. (for)补偿,赔偿
compensation	 n. 补偿(或赔偿)的款物；补偿，赔偿
expense	 n. 花费,消费,消耗
expensive	 adj. 花费的,昂贵的
indispensable	 adj. (to,for)必不可少的,必需的
pet	 n. 爱畜,宠儿 adj. 宠爱的,表示亲昵的
appetite	 n. 食欲，胃口；欲望，性欲；爱好，趣味
compete	 v. 比赛；竞争；对抗
competent	 adj. 有能力的，能胜任的；足够的
competition	 n. 竞争，比赛；角逐，较量；竞争者
competitive	 adj. 竞争的；好竞争的；有竞争力的
impetus	 n. 推动(力),促进
perpetual	 adj. 永久的,永恒的,长期的
petition	 n. 请愿书,申请书 v. (向…)请愿,正式请求
petty	 adj. 小(器、规模)的,不重要的,细微的,卑鄙的
puppet	 n. 木偶,傀儡
repetition	 n. 重复,反复
trumpet	 n. 喇叭,小号
poll	 n. 民意测验;(pl.)政治选举 v. 获得…选票
police	 n. 警察,警察机关 adj. 警察的 v. 管辖
policy	 n. 政策,方针
polite	 adj. 有礼貌的,客气的;有教养的,文雅的
political	 adj. 政治的
politician	 n. 政治家,政客
politics	 n. 政治,政治学;政纲,政见
apologise	 v. (to,for)道歉，认错
apology	 n. 道歉，认错，辩解，辩护
metropolis	 n. 大都市；首府；重要中心
port	 n. 港口
airport	 n. 机场，航空站，航空港
corporation	 n. 市镇自治机关；法人；公司，企业
evaporate	 v. 蒸发,挥发;沉淀;发射;消失
export	 v&n. 输出,出口 n. 出口商品
import	 v&n. 进口,输入,(pl.)进口商品;要旨,含意
importance	 n. 重要,重要性
important	 adj. 重要的,重大的;有地位的,有权力的
opportunity	 n. 机会
portable	 adj. 轻便的,手提(式)的,可移动的
porter	 n. 守门人,门房,行李搬运工,服务员
portion	 n. 一部分,一份
portrait	 n. 肖像,画像
portray	 v. 描写，描述；画(人物、景象等)
proportion	 n. 比例;部分;均衡,相称
report	 n&v. 报告,汇报;传说,传阅
reporter	 n. 报告人,通讯员;记者,报导者
support	 n. /vt.支撑;支持;赡养;维持 n. 支持者;支柱
transport	 v. 运输,运送,搬运n.运输;运输系统,运载工具
incorporate	 v. 合并,纳入,结合 adj. 合并的
contemporary	 adj. 现代的,当代的;同时代的 time
temporary	 adj. 暂时的,临时的
pose	 n. 姿势,姿态 v. 造成,提出,摆姿势,佯装
compose	 v. 组成,构成;(of)由…组成;创作(诗歌等)
composite	 adj. 混合成的，综合成的n.合成物，复合材料
composition	 n. 作品,作文,乐曲;作曲;结构,组成,成分
deposit	 v. 存放;使沉淀;付(保证金) n. 存款;沉积物
disposal	 n. 处理,处置;布置,安排
dispose	 v. (of)处理,处置;(for)布置,安排
disposition	 n. 排列,部署;性格倾向;倾向,意向
expose	 v. (to)使暴露,受到;使曝光
exposure	 n. 暴露,揭露;方向;陈列;遗弃;照射量
impose	 v. 征(税);(on)把…强加给
impossible	 adj. 不可能的；难以忍受的，很难对付的
oppose	 v. 反对,使对立,使对抗,使相对
opposite	 adj. 对面的,相对的,相反的 n. 对立面
position	 n. 位置;职位;姿势,姿态;见解,立场,形势
positive	 adj. 肯定的,积极的,绝对的,无疑的,正的
preposition	 n. 介词
proposal	 n. 提议,建议;求婚
propose	 v. 提议,建议;提名,推荐;求婚
proposition	 n. 主张,建议;陈述,命题
purpose	 n. 目的,意图;用途,效果
suppose	 v. 料想,猜想;假定;conj.假使...结果会怎样
symposium	 n. 讨论会,专题报告会;专题论文集
possess	 v. 占有,拥有
possession	 n. 持有,拥有;所有权;所有物;(pl.)财产,财富
possibility	 n. 可能,可能性;可能的事,希望
possible	 adj. 可能的,做得到的;合理的;可允许的
possibly	 adv. 可能地，也许；无论如何
pray	 v. 请求,恳求;祈祷,祈求
appraisal	 n. 对...作出的评价；评价，鉴定，评估 v. 赞扬,歌颂;表扬 n. 称赞,赞美;赞美的话
prayer	 n. 祈祷,祷告,祷文
price	 n. 价格,价钱;代价 v. 标价
appropriate	 adj. 适当的恰当的特有的vt.拨给,挪用,盗用
comprise	 v. 包含，包括，由...组成；构成，组成
enterprise	 n. 事业,企(事)业单位;事业心,进取心
pride	 n. 自豪;自满；引以自豪的东西 v. 使自豪
priest	 n. 教士,神父
primary	 adj. 最初的,初级的;首要的,主要的,基本的
prime	 adj. 首要的;最好的,第一流的 n. 青春,全盛期
primitive	 adj. 原始的,远古的,早期的;粗糙的,简单的
prince	 n. 王子,亲王
princess	 n. 公主,王妃
prior	 adj. 优先的,在前的;(to)在…之前
priority	 n. 先,前;优先,重点,优先权
prison	 n. 监狱
prisoner	 n. 囚犯
privacy	 n. (不受干扰的)独处，自由，隐私；私生活
private	 adj. 私人的,个人的,秘密的,私下的
privilege	 n. 特权,优惠,特许 v. 给予优惠,给予特权
prize	 n. 奖赏,奖金,奖品 v. 珍视,珍惜
surprise	 v. 使诧异,使惊异;奇袭 n. 诧异,惊异;奇袭
appreciate	 v. 为...表示感激，感谢；欣赏，赏识，评价
precious	 adj. 珍贵的,贵重的
precise	 adj. 精确的,准确的
precision	 n. 精确,精确度
prove	 v. 证明,证实;检验;考验;鉴定;结果是,表明是
approval	 n. 批准，通过；赞成，同意
approve	 v. (of)赞成，赞许，同意；批准，审议，通过
improve	 v. 改善,改进,增进;好转,进步
improvement	 n. 改进,进步,增进;改进措施
waterproof	 adj. 防水的,耐水的
proof	 n. 证据,证明;校样,样张
correct	 adj. 正确的,恰当的,端正的 v. 改正,纠正,矫正
direct	 a&ad. 径直的(地) v. 管理,指导;(at,to)指向
direction	 n. 方向,方位;指令,说明
directly	 adv. 直接地,径直地;马上,立即
director	 n. 指导者,主任,导演
directory	 n. 人名地址录,(电话)号码簿
erect	 v. 树立,建立,使竖立 adj. 直立的,垂直的
rectangle	 n. [数]矩形, 长方形
rectify	 v. 纠正,整顿, [化]精馏
same	 adj. 相同的 pron. 相同的人(或物) adv. 同样地
sample	 n. 样品,实例,标本,抽样检查 v. 取样,采样
assembly	 n. 集合；会议；装配；(美)洲议会的众议院
resemblance	 n. 相似,相似性[点,物]
resemble	 v. 像,类似
simple	 adj. 简单的;单纯的,直率的;迟钝的,头脑简单的
simplicity	 n. 简单,简易;朴素;直率,单纯
simplify	 v. 简化,使单纯
simply	 adv. 简单地;完全,简直;仅仅,只不过;朴素地
pessimistic	 adj. 悲观(主义)的
similar	 adj. (to)相似的,类似的
simulate	 v. 模仿,模拟;假装,冒充
simultaneous	 adj. 同时的,同时存在的
approximate	 adj. 近似的 v. (to)接近 adj. sim
assimilate	 v. 吸收，消化；使同化 v. 被吸收；被同化
resume	 n. 个人简历 v. 再继续,重新开始;再用;恢复
assume	 v. 假装；假定，设想；承担；呈现，采取
assumption	 n. 假定，设想；采取；承担；推测；假装
consume	 v. 消耗；吃完，喝光；(with)使着迷；烧毁
consumption	 n. 消费(量),消耗
presume	 v. 假定,假设,认为,揣测,滥用,擅自行动
sympathetic	 adj. 有同情心的；赞同的；n.交感神经
sympathize	 v. (sympathise)(with)同情;共鸣,同感;赞成
sympathy	 n. 同情，同情心；赞同，同感；慰问
symphony	 n. 交响乐,交响曲
symptom	 n. (疾病的)症状；(不好事情的)征兆,表征
sanction	 n&v. 批准,同意,支持,认可 n. 处罚,制裁
sane	 adj. 心智健全的,神志清醒的,明智的,稳健的
syndrome	 n. 综合病征；并存特性
synthesis	 n. (pl.syntheses)综合,合成
synthetic	 adj. 合成的,人造的;综合的
script	 n. 剧本(原稿)；手稿，原稿；笔迹，手迹
description	 n. 描写,形容;种类
prescription	 n. 药方,处方
describe	 v. 描述,形容
subscribe	 v. (to)订阅，订购；同意vt.捐助，赞助
prescribe	 v. 指示,规定;处(方),开(药)
second	 adj. 第二;次等的,二等的 n. 秒 v. 赞成,附和
consecutive	 adj. 连续的；连贯的；顺序的
persecute	 v. 迫害
prosecute	 v. 实行，从事 v. 起诉，告发 v. 作检察官
secondary	 adj. 次要的,二级的;中级的,第二的
consequence	 n. 结果,后果,影响;重要性
consequently	 adv. 结果，因此，所以
sequence	 n. 先后,次序;连续,数列
subsequent	 adj. 随后的,后来的
sense	 n. 感官;感觉;判断力;意义 v. 觉得,意识到
absence	 n. 缺乏，不存在；缺席，不在；缺席的时间
absent	 adj. 缺席的；缺乏的,不存在的;心不在焉的
consensus	 n. (意见等的)一致，一致同意，共识
consent	 v&n. (to)同意,赞成,答应
essence	 n. 本质,实质
essential	 adj. 本质的,基本的;净化的 n. 本质;要素
presence	 n. 出席,到场,存在,在
present	 adj. 出席的,现在的 n. 现在,礼物 v. 赠送,提出
presently	 adv. 一会儿,不久;现在,目前
represent	 v. 描述,表示;代表,代理;阐明,说明
representative	 n. 代表,代理人 adj. (of)典型的,有代表性的
resent	 v. 对…表示忿恨,怨恨
senate	 n. 参议院,上院
senator	 n. 参议员
senior	 adj. 年长的;地位较高的 n. (大学)四年级学生
sensation	 n. 感觉,知觉;激动,轰动,轰动一时的事情
sensible	 adj. 明智的,达理的;可觉察的,明显的
sensitive	 adj. (to)敏感的,易受伤害的;灵敏的
sentence	 n. 句子;判决,宣判 v. 宣判,判决
sentiment	 n. 感情，柔情；看法；感觉
side	 n. 旁边，侧面；坡，岸；一边/侧/方 v. 支持
aside	 adv. 在旁边，到一边 n. 旁白；离题的话
alongside	 adv. 在旁边 prep. 和...在一起；在...旁边
beside	 prep. 在...旁边，在...附近；和...相比
besides	 adv. 此外；并且 prep. 于…之外；除…以外
consider	 v. 考虑，细想；体谅，顾及；认为，把…看作
considerable	 adj. 相当大(或多)的,可观的;值得考虑的
considerate	 adj. 考虑周到的,体谅的
consideration	 n. 需要考虑的事;考虑,思考;体谅,照顾
inside	 adj. 里面的 adv. 在里面 n. 内部 prep. 在…里
outside	 adv. 向外面 n. 外部 adj. 外部的 prep. 在…外
preside	 v. (at,over)主持
president	 n. 总统,校长,会长,主席
prestige	 n. 声望,威望,威信
residence	 n. 住处,住宅
resident	 n. 居民,常住者 adj. 居住的
seaside	 n. 海滨,海边
sideways	 adv&adj. 向旁边(的),侧身,横着(的),斜着(的)
subsidy	 n. 补助金；津贴费
sign	 n. 标记,招牌;征兆,迹象v.签名(于),署名(于)
assign	 v. 派给，分配；选定，指定(时间、地点等)
assignment	 n. 分配，指派；(指定的)作业，任务
design	 v. 设计;构思;绘制;图案;企图 n. 设计,图样
designate	 v. 指明,指出;任命,指派
resign	 v. 辞去,辞职,使听从(于),使顺从
signal	 n. 信号,暗号 v. 发信号,用信号通知
signature	 n. 签名,署名,签字
signify	 v. 表示,意味;要紧,有重要性
assist	 v. 协助，帮助，促进 v. 帮忙，参加
assistance	 n. 协作; 援助; 帮助
assistant	 adj. 帮助的，辅助的 n. 助手，助教；辅助物
consist	 v. (in)在于,存在于;(of)由…组成,由…构成
consistent	 adj. (in)前后一致的；（with）一致，符合
insist	 v. (on)坚持要求,坚决主张,坚持
persist	 v. (in)坚持,持续
resist	 v. 抵抗,反抗;抗,忍得住,抵制
resistance	 n. (to)抵抗,反抗;抵抗力,阻力;电阻
resistant	 adj. (to)抵抗的,有抵抗力的
sister	 n. 姐，妹；护士长；修女，女教士
transistor	 n. 晶体管；晶体管收音机
system	 n. 系统，体系；制度；方法，方式，步聚
systematic	 adj. (al)系统的,有组织的
sole	 adj. 单独的,唯一的 n. 脚垫,鞋底
obsolete	 adj. 已废弃的,过时的
resolute	 adj. 坚决的,果断的
resolution	 n. 坚决,决心;决定,决议
resolve	 v. 决心;(使)分解,溶解;决议 n. 解决;决心
solar	 adj. 太阳的,日光的
soldier	 n. 士兵,军人
solemn	 adj. 庄严的,隆重的;严肃的
solid	 adj. 固体的;结实的,稳固的,可靠的 n. 固体
solidarity	 n. 团结；休戚相关
solitary	 adj. (好)孤独的；偏僻的；单一的，唯一的
solo	 n. 独奏 adj. &ad.单独的(地)；独唱的(地)
soluble	 adj. 可溶的
solution	 n. 解答,解决办法;溶解,溶液
solve	 v. 解决,解答
absolute	 adj. 绝对的，完全的；确实的，肯定的
console	 n. 控制台，仪表板；落地柜 v. 安慰，慰问
consolidate	 v. 使加固，使加强；(把)联为一体，合并
desolate	 adj. 荒凉的;孤独的 v. 使荒芜
dissolve	 v. (使)溶解,(使)融化;解散,取消
isle	 n. 小岛(用于诗歌中)
isolate	 v. 隔离,孤立
island	 n. 岛，岛屿；(道路上的)交通安全岛
consult	 v. 请教，向...咨询，找...商量；查阅，查看
consultant	 n. 会诊医师,顾问医生;顾问
insulate	 v. 隔离,孤立;使绝缘,使绝热
insult	 v. /n.侮辱,凌辱
result	 n. 结果,成绩 v. 结果,致使,导致,由…而造成
resultant	 adj. 作为结果而发生的;合成的
aspect	 n. 样子, 外表, 面貌, (问题等的)方面
expect	 v. 预期;期望,指望
expectation	 n. 预期,期望,指望
inspect	 v. 检查,调查,视察
irrespective	 adj. 不顾的,不考虑的,无关的
perspective	 n. 透视画法,透视图;远景,前途;观点,看法
prospect	 n. 景色;前景,前途,展望
prospective	 adj. 预期的
respect	 n&v. 尊敬,尊重 n. 敬意,问候,关系,方面
respective	 adj. 各自的,各个的
retrospect	 v&n. 回顾，回想，追溯[反]foresee
spectacle	 n. (pl.)眼镜;场面,景象;奇观,壮观
spectacular	 adj. 壮观的,引人注目的 n. 壮观的演出
spectator	 n. 观众,旁观者
spectrum	 n. 谱，光谱，频谱；范围，幅度，系列
suspect	 v. 猜想；怀疑；察觉 adj. 可疑的 n. 嫌疑犯
unexpected	 adj. 想不到的, 意外的, 未预料到
especially	 adv. 特别，尤其，格外；专门地，主要地
special	 adj. 特殊的,专门的;附加的,额外的
specialist	 n. 专家
speciality	 n. (specialty)特性，性质；专业/长；特产
specialize	 v. (specialise)(in)专攻,专门研究,专业化
species	 n. (物)种,种类
specific	 adj. 明确的,具体的;特定的,特有的
specification	 n. 详述;(常pl.)规格,说明书,规范
specify	 v. 指定,详细说明
speculate	 v. 思索；推测vt.投机；思索，推测
conspicuous	 adj. 显眼的,明显的
spicy	 adj. 加很多香料的；(口味)浓郁的
suspicion	 n. 怀疑，猜疑；一点儿，少量
suspicious	 adj. (of)可疑的,多疑的,疑心的
spirit	 n. 精神;志气;(pl.)情绪,心情;(pl.)酒精
aspire	 v. (to，after)渴望，追求，有志于
conspiracy	 n. 阴谋，密谋，共谋
inspiration	 n. 灵感;鼓舞,激励
inspire	 v. 鼓舞,激起;使产生灵感
spiral	 adj. 螺旋形的 n. 螺旋，螺线 v. 螺旋上升；盘旋
spiritual	 adj. 精神(上)的,心灵的
desperate	 adj. 不顾一切的，铤而走险的；绝望的，危急的
disperse	 v. (使)分散;(使)散开;疏散
prosper	 v. 成功,兴隆,昌盛,使成功,使昌隆,繁荣
prosperity	 n. 繁荣,兴旺
prosperous	 adj. 繁荣的,兴旺的,茂盛的,顺利的
contact	 v&n. (使)接触,联系,交往
intact	 adj. 完整无缺的,未经触动的,未受损伤的
tactic	 n. (s)策略,战术
architect	 n. 建筑师；设计师；缔造者；创造者
architecture	 n. 建筑，建筑学；建筑式样或风格，建筑物
detach	 v. 分开, 分离, 分遣, 派遣(军队)
detect	 v. 察觉,发觉,侦察,探测
detective	 n. 侦探
detector	 n. 发现者,侦察器,探测器,检波器,检电器
protect	 v. (from)保护,保卫
technical	 adj. 技术(性)的，工艺的；专门性的，专业性的
technician	 n. 技术员,技师,技工
technique	 n. 技巧，手艺，技能；技术，工艺
time	 n. 时间，时刻；次，回；时代，时期；倍，乘
intimate	 adj. 亲密的,密切的 n. 熟友,熟人
intimidate	 v. 胁迫，威胁(某人做某事)
daytime	 n. 白天,日间
estimate	 v&n. 估计,估价;评估
overtime	 adj. 超时的,加班的 adv. 加班
sometime	 adv. 将来(或过去)某个时候a.以前的
sometimes	 adv. 不时，有时，间或
timber	 n. 木材,木料
timely	 adj. 及时的,适时的
timid	 adj. 胆怯的,怯懦的
underestimate	 v. 低估，看轻
attempt	 v. 企图，试图 n. 努力，尝试，企图
contemplate	 v. 盘算，计议；周密考虑；注视，凝视
contempt	 n. 轻视，藐视；受辱，丢脸
temper	 n. 脾气；韧度vt.调和，使缓和；使回火
temperament	 n. 气质，性格，性情；资质
temperature	 n. 温度，体温；热度，发烧
temple	 n. 庙宇,神殿,寺;太阳穴
tempo	 n. 节奏,行进速度;(音乐的)速度
tempt	 v. 诱惑,引诱;吸引,使感兴趣
temptation	 n. 引诱，诱惑；诱惑物
determine	 v. 决心,决定;确定,限定
