adrift	 adj. 漫无目的地； 漂浮着
multiple	 adj. 多个的
mystic	 adj. 神秘的
outlet	 n. （感情的）发泄途径
physical	 adj. 自然（界）的
plumber	 n. 管道工，水管工
preference	 n. 偏爱
preliminary	 adj. 初步的，开始的
primitive	 adj. 原始的；远古的
produce	 v. 产生，导致
prolong	 v. 延长
pupil	 n. 学生
qualification	 n. 资格
reinforce	 v. 强化；加强
relay	 v. 转告；传送
revolution	 n. 革命
seniority	 n. 资历
sluggish	 adj. 行动缓慢的，反应迟缓的
surge	 n. 猛增；急剧上升
suspender	 n. 吊带裤，悬挂物
suspense	 n. 挂念; 悬念
thatcher	 n. 盖屋匠
transition	 n. 过渡，转变
transmission	 n. 传输；传送
undertake	 v. 承担；从事
vehicle	 n. 交通工具
accessory	 n. 配饰；附件
appositive	 adj. 同位语
atrophy	 n. 萎缩
award	 n. 奖励，奖品
bankruptcy	 n. 破产，倒闭
boarder	 n. 寄宿者
brilliant	 adj. 才华横溢的
complacent	 adj. 自满的
conclusive	 adj. （事实、证据等）令人信服的，确凿的
crack	 v. 破裂
credit	 n. 荣誉，声誉
cue	 n. 暗示
declare	 v. 宣布
definite	 adj. 明确的
desperately	 adv. 极度地
desperation	 n. 绝望
dreary	 adj. 枯燥的，沉闷的
effective	 adj. 有效的
erect	 v. 建立
eventual	 adj. 最终的
fade	 v. 使褪色；逐渐消逝
forum	 n. 论坛
gadget	 n. 小配件，小装置
gaily	 adv. 花哨地，艳丽地
greed	 n. 贪心
habitual	 adj. 习惯的
highlight	 v. 强调
implant	 v. 灌输
imply	 v. 暗示
incalculable	 adj. 不可估量的
inconvenience	 n. 不方便
inspiration	 n. 灵感
inspire	 v. 鼓舞; 激励
instant	 adj. 立即的
juggle	 v. 同时应付
lust	 n. 欲望;
manufacturer	 n. 制造商，制造厂
mere	 adj. 仅仅，只不过
morale	 n. 士气
mortgage	 n. 抵押贷款
neural	 adj. 神经的
outstanding	 adj. 杰出的
overeat	 v. 吃得过多
pandemic	 n. 流行病
panic	 n. 恐慌
plug	 n. 塞子，插头
precaution	 n. 预防措施
prototype	 n. 原型，雏形
reconcile	 v. 调和；和解
revenue	 n. 收益
righteousness	 n. 正义
sensible	 adj. 合理的
sin	 n. 罪恶
solution	 n. 解决
stability	 n. 稳定
strengthen	 v. 加强
structure	 n. 结构
supplier	 n. 供应商
theory	 n. 理论
torrent	 n. 急流，湍流
tough	 adj. 困难的
twitter	 n. 推特
unconscious	 adj. 无意识的
various	 adj. 各种各样的
vital	 adj. 至关重要的
willpower	 n. 意志力
alternative	 adj. 替代的；备选的；其他的 n. 可供选择的事物
ambitious	 adj. 野心勃勃的
archaeologist	 n. 考古学家
banquet	 n. 宴会
bridge	 v. 弥合（差距），消除（分歧）
chaos	 n. 混乱
clue	 n. 线索
confusion	 n. 混乱
conserve	 v. 保护
desirous	 adj. 渴望…的
determiner	 n. 限定词
distinguished	 adj. 卓越的
distinguishing	 adj. 与众不同的
downright	 adv. 十足地，彻底地
dynamic	 adj. 充满活力的
Ecotourism	 n. 生态旅游
expanse	 n. 广阔的区域
explanatory	 adj. 解释的; 说明的
float	 v. 漂浮
formality	 n. 遵守礼节；正式手续；例行公事
funeral	 adj. 葬礼的
furious	 adj. 狂怒的
gigantic	 adj. 巨大的，庞大的
gilded	 adj. 镀金的
granite	 n. 花岗岩
gratitude	 n. 感激（之情）；感谢
handily	 adv. 轻松地
households	 n. 家庭
imbalance	 n. 不平衡
impression	 n. 印象
mercifully	 adv. 幸运地；仁慈地
oblong	 adj. 长方形的
offspring	 n. 后代，子孙
organic	 adj. 有机的
oval	 adj. 椭圆形的
parallel	 adj. 平行的
paycheck	 n. 工资支票
pedestrian	 n. 行人
pessimistic	 adj. 悲观的
pollster	 n. 民意调查者
pyramid	 n. 金字塔
quilt	 v. 缝制（被褥）
refreshment	 n. 点心
rejection	 n. 拒绝
resourceful	 adj. 足智多谋的；机智的
revealing	 adj. 发人深省的
rosy	 adj. 美好的
seduce	 v. 勾引，引诱
silhouette	 v. 使呈现暗色轮廓
splendid	 adj. 壮观的
stun	 v. 震惊
sustainability	 n. 持续性
syndrome	 n. 综合征
ultimately	 adv. 最后；根本上
utter	 adj. 彻底的，完全的
ambiguous	 adj. 模棱两可的
awkward	 adj. 笨拙的；尴尬的
bankrupt	 adj. 破产的
blockade	 n. 封锁
commentator	 n. 评论员
conservative	 adj. 保守的
considerable	 adj. 相当多的，可观的
convert	 v. 转变，变化；皈依
democratic	 adj. 民主的
diminish	 v. 减少
diversify	 v. 使多样化，使变化
elaborate	 v. 精心制作 vi.详细描述
elate	 adj. 得意的
exclusively	 adv. 排他地；独家的
flourish	 v. 繁荣
grasp	 v. 抓住；领会
gullible	 adj. 易受骗的；轻信的
hibernate	 v. （动物）冬眠
humanitarian	 n. 人道主义者
illustration	 n. 插图；说明；例证
imminent	 adj. 迫在眉睫的；即将来临的
literate	 adj. 有文化的，识字的
maintenance	 n. 维护，维修
nominate	 v. 提名；任命
numerous	 adj. 许多的，无数的
passionate	 adj. 有激情的；热烈的，激昂的
primal	 adj. 最初的；原始的；主要的
prohibition	 n. 禁止；禁令
protest	 v. &vt.抗议，反对
sarcastic	 adj. 讽刺的
session	 n. （法庭，议会等）会议，开会；学期；学年
shrewd	 adj. 精明的；机灵的
skeptical	 adj. 怀疑的；怀疑论的
slump	 v. 暴跌 n.萧条期，下滑期
thaw	 v. 使融解；解冻
transform	 v. 改观
trivialization	 n. 琐碎化；轻视；平凡
upgrade	 v. 提高；升级
acquaintance	 n. (对某人的)相识,认识;熟人(with someone)
attorney	 n. （尤指出庭的）律师
bias	 n. 偏见
blister	 n. 水泡
caste	 n. (印度世袭的)社会等级
complex	 adj. 复杂的，错综复杂的
confrontation	 n. 对抗；面对
contradiction	 n. 矛盾
delegate	 v. 委派 n.代表
elicit	 v. 使发出；引出
emergence	 n. 冒出；涌现
extraterrestrial	 adj. 地球外的，地球大气圈外的;n. 外星人
fidgety	 adj. 坐立不安的，烦躁不安的
lizard	 n. 蜥蜴
paranormal	 adj. 超自然的；不平常的
recollect	 v. 使想起
restrain	 v. 抑制，遏制
scramble	 v. 爬，攀登
secretion	 n. 分泌；分泌物
spectator	 n. 观众
spouse	 n. 配偶，夫妻
taboo	 n. 禁忌；禁止
totemic	 adj. 图腾的；有图腾的
trigger	 n.  vt.扣…的扳机
utilize	 v. 利用；使用
address	 v. 写名字地址
ailment	 n. 小病
animated	 adj. 栩栩如生的
annoying	 adj. 恼人的
application	 n. 应用
approachable	 adj. 容易接近的，友善的
available	 adj. 可得到的
battery	 n. 电池
blank	 adj. 空白的；空虚的；单调的
breach	 n. 破坏，违反
buzz	 v. 发出嘈杂的谈话声
caution	 n. 注意（事项）
cease	 v. 停止，终止
characteristic	 n. 特征
claim	 v. 要求（拥有）
conducive	 adj. 有益于...的
consult	 v. 请教
corrupt	 adj. 腐败的，贪污的；堕落的vt.使出错，破坏
crucial	 adj. 至关重要的
curb	 n. 路缘vt.控制；勒住
cursor	 n. 光标
deceive	 v. 欺骗；行骗
delicate	 adj. 微妙的；精美的;脆弱的
disclose	 v. 公开；揭露
doze	 v. 瞌睡
enclose	 v. 附入
entity	 n. 实体
erase	 v. 清除
evade	 v. 逃避；规避；逃脱
execute	 v. 实行；执行；处死
exhaustion	 n. 耗尽，疲惫
exhaustive	 adj. 无遗漏的，详尽的
faculty	 n. 全体教员
fertilizer	 n. 肥料
file	 n. 文件
gasp	 v. 倒抽气
gossip	 n. 流言飞语
impose	 v. 利用；欺骗；施加影响
infinite	 adj. 无限的
insult	 v. 侮辱
load	 n. 负荷
mechanical	 adj. 机械的
monarchy	 n. 君主制，君主政体
monsoon	 n. 雨季;季风
preinstall	 vt. 预装
proprietor	 n. 所有者，经营者
receipt	 n. 收据
rehearse	 v. 彩排，预演
release	 v. 发布，发行;释放
reliability	 n. 可靠性
render	 v. 给予，提供
resolutely	 adv. 坚决地
respectable	 adj. 值得尊敬的；人格高尚的
safe	 n. 保险箱
scorn	 n. 轻蔑vt.轻蔑；藐视
seal	 v. （密）封
seize	 v. up（机器等）卡住
shield	 n. 防护物，盾牌
slack	 adj. 萧条的
slot	 n. 狭缝；狭槽
spite	 n. 恶意，怨恨
suspending	 v. 延迟
suspension	 n. 暂令,停止，停学，停赛等
tactic	 n. 把戏；战术；策略，战略
tailor	 v. 使适应（特定需要）
tape	 v. 系，捆
tenant	 n. 承租人；房客；佃户
tip	 n. 小费 v.给....小费
typify	 v. 作为...的典型
undertaking	 n. 工作，任务
virtually	 adv. 几乎
warranty	 n. 保证；担保；保修单
wholesome	 adj. 有益健康的
abstract	 adj. 抽象的
accompany	 v. 陪伴，陪同
appeal	 v. 吸引；呼吁
appearance	 n. 外貌，外表
assembly	 n. 组装
associate	 v. 使有联系
attendant	 n. 服务人员
authentic	 adj. 真实的
blare	 v. 发出响而刺耳的声音
bracket	 n. 括号
bugle	 n. 冲锋号
canal	 n. 运河，沟渠
cautious	 adj. 谨慎的
considerate	 adj. 体贴的，为他人考虑的
convince	 v. 使信服,使相信
cruise	 v. 航游，巡航
descend	 v. （夜色，黑暗）降临
detention	 n. 拘留
discrimination	 n. 歧视
dread	 n. 担忧，畏惧
dwell	 v. 居住
dwelling	 n. 住宅
eternal	 adj. 永久的
extrovert	 n. 性格外向的人
flute	 n. 长笛
funk	 n. 乡土音乐
gesture	 v. 做手势
ghetto	 n. 贫民区
headquarters	 n. 总部
herculean	 adj. 艰巨的
hieroglyphics	 n. 象形字
humiliation	 n. 丢脸
illusion	 n. 错觉
immigration	 n. 移民
incredibly	 adv. 非常；极其
insecurity	 n. 不安全
integral	 adj. 构成整体所必需的
jovial	 adj. 愉快的
legend	 n. 传说，传奇
literary	 adj. 文学（上）的
lure	 v. 诱惑
masterpiece	 n. 杰作
nameless	 adj. 不可名状的
ordeal	 n. 痛苦的经历
origin	 n. 起源，来源
personality	 n. 人格，人性
picturesque	 adj. 别具一格的;如画般的
psychiatrist	 n. 精神科医生
scripted	 adj. 照原稿宣读的
sensitively	 adv. 易感知地，神经过敏地
siren	 n. 警报声
squeak	 n. 短促的尖叫声
startle	 v. 吃惊
tantalize	 v. 使干着急
tattered	 adj. 破旧的
tease	 v. 戏弄，取笑
trumpet	 n. 喇叭
whistle	 n. 口哨
assume	 v. 假设，臆断
bargain	 v. 讨价还价
barrier	 n. 障碍，隔阂
braid	 v. 把（头发）梳成辫子;编织
calendar	 n. 日历，月历
chore	 n. 杂务
companionship	 n. 陪伴
compelling	 adj. 令人信服的；引人入胜的
comprehensive	 adj. 全面的，广泛的
consumption	 n. 消费量
conversely	 adv. 相反地
crude	 adj. 粗糙的，拙劣的
curiosity	 n. 好奇心
curriculum	 n. 课程
deliver	 v. 供给，提供
doom	 v. 使……的灭亡成为必然； n. 劫数
exclusive	 adj. 排外的，唯一的
extensive	 adj. 广泛的，大量的
facility	 n. 设备，设施
frustrating	 adj. 令人沮丧的
generous	 adj. 慷慨的
hitchhiker	 n. 搭便车旅行者
hospitality	 n. 好客
incidentally	 adv. 附带地，顺便提及
landscape	 n. 风景，景色
lift	 v. （情绪，心境）变好
light	 v. 点燃
motto	 n. 箴言，座右铭
outstretch	 v. 伸出
overcharge	 v. 对...要价过高
principal	 n. 校长
privacy	 n. （不受干扰的）独处
radical	 adj. 根本的，基本的
reasonable	 adj. 适当的，适度的
recommend	 v. 推荐
remove	 v. 祛除，去掉
restrict	 v. 限制，约束
revision	 n. 修改
ribbon	 n. 缎带，丝带
schedule	 v. 安排
shiny	 adj. 发亮的
smack	 v. 打，掌掴
sociology	 n. 社会学
stamp	 v. 打上（或盖上）（标记，图案） ;踏平
superb	 adj. 卓越的，极好的
terrorize	 v. 恐吓，威胁
underachieve	 v. 学习成绩不良
wary	 adj. 谨慎的
wrap	 v. 包，裹
wrath	 n. 愤怒；激怒
wrench	 n. 扳手v.猛扭；扭伤；曲解；折磨
