pair	 n. （相关的）两个人，一对
plenty of	 大量；众多
beat	 v. (beat) 打败；战胜
careless	 adj. 粗心的；疏忽的
cheer ⋯ on	 用欢呼声激励；为⋯⋯加油
coach	 n. 教练
fan club	 球迷（或影迷、歌迷）俱乐部
against	 prep. （在比赛或战斗中）对（某人或某事物）
train	 v. （体育）训练，操练
practice	 n. 练习
warm	 v. 使暖和；使温暖
warm up	 热身；做准备活动
usual	 adj. 通常的；平常的
better	 adv. 更好地 adj. 更好的
after-school	 adj. 下午放学后的；课外的
pleased	 adj. 开心的；满足的
pass	 v. 传递；传送
pity	 n. 可惜；遗憾
chance	 n. 可能性；机会
loudly	 adv. 响亮地；大声地
confident	 adj. 自信的
road	 n. 路；（尤指）公路
accident	 n. 交通事故；意外事件
except	 prep. 除⋯⋯之外
choice	 n. 选择
classmate	 n. 同班同学
far	 adv. 远；遥远 adj. 远的；遥远的
far from	 远离
close	 adj. （距离上）近的，接近的 adv. （距离上）接近地
crowded	 adj. 拥挤的；人数过多的
all the time	 一直；不断地
journey	 n. 旅行；旅程
book	 v. 预订
park	 v. 停放（车）；泊（车）
outside	 prep. 在⋯⋯之外 adv. 在外面；朝户外 n. 外面；外部 adj. 外部的；外表的
however	 adv. 然而；但是
cost	 v. (cost) 价钱为；花费 n. 价钱；成本；代价
actress	 n. 女演员
teahouse	 n. （尤指亚洲的）茶馆
offer	 v. 提议；提出
end	 n. （时间的）最后一段，末尾 v. 结束
in the end	 最后；终于
no idea	 不知道
act	 n. （戏剧、歌剧或芭蕾舞的）一幕
show	 v. 展示；显示 n. 演出；表演
common	 adj. 普通的；一般的
twentieth	 num. 第二十
describe	 v. 描写；描述
society	 n. 社会
head teacher	 校长
college	 n. 大学；学院
novel	 n. （长篇）小说
name	 v. 给⋯⋯取名；给⋯⋯命名
if	 conj. 如果；若
magic	 adj. 魔术的；戏法的
snake	 n. 蛇
neck	 n. 颈；脖子
thin	 adj. 薄的；细长的
danger	 n. 危险；危害
in danger	 处于危险中
at last	 终于；最后
interested	 adj. 关心的；感兴趣的
allow	 v. 允许；准许
think of	 想到；想出
protect	 v. 保护；保卫
wild	 adj. 野生的 n. 野生环境
grow	 v. (grew) （逐渐）变得；生长
take away	 夺去；拿走
enough	 adj. 足够的；充分的
peace	 n. 和平；太平
in peace	 和平地；平静地
notice	 n. 布告；告示
look after	 照顾；照管
raise	 v. 筹集（钱款）；抚养；养育
research	 n. 研究；探讨
baby	 n. 婴儿；婴孩
situation	 n. 形势；情况
scientist	 n. 科学家
produce	 v. 生育；繁殖
southwest	 n. 西南 adj. 西南的；朝西南的
in order to	 为了
government	 n. 政府
set	 v. 设置；设定
set up	 开办；设立；创办；建立
nature	 n. 大自然；自然界
nature park	 自然公园
develop	 v. 研制；制定
feed	 v. (fed) 喂养；饲养
symbol	 n. 象征；标志
fall	 v. (fell) 下落；跌落
follow	 v. 跟随；紧跟
hole	 n. 洞，孔；穴
rabbit	 n. 兔；家兔
ssh	 int. 嘘（示意某人不要说话）
ground	 n. 地面
tea party	 茶会
twice	 adv. 两次；两倍
once or twice	 偶尔；一两次
suddenly	 adv. 突然地；出乎意料地
pink	 adj. 粉红色的 n. 粉红色
pocket	 n. 衣袋；口袋
field	 n. 牧场；田地
think about	 考虑
deep	 adj. （从顶部向下）深的
while	 conj. 当⋯⋯的时候
land	 v. 降落（或跳落、跌落）到地面（或水面上）
dry	 adj. 干的；干燥的
pale	 adj. （肤色）苍白的
appear	 v. 出现；显露
round	 prep. 转到（某物的）另一边
corner	 n. 拐角；街角
hit	 v. (hit) （使）碰撞
glad	 adj. 高兴的；欢喜的
in time	 及时
fall off	 从⋯⋯跌落
risk	 n. 危险；风险
attention	 n. 注意力
pay attention	 注意；留心
side	 n. （物体或形状的）侧面
side by side	 并排地；肩并肩地
bite	 v. (bit) 咬；叮
climb	 v. 爬；攀爬
hide	 v. (hid) 躲；躲藏
throw	 v. (threw) 扔；掷
fridge	 n. 冰箱
pain	 n. 痛；疼痛
worse	 adj. 更糟的；更坏的 adv. 更糟；更严重
medicine	 n. 药；药物
noise	 n. 噪声；杂音
prepare	 v. 准备；预备
notes	 n. 笔记；随笔 (pl.)
report	 n. 报告；汇报
Grow	 v. (grew) 增长；增大
huge	 adj. 巨大的；庞大的
cause	 v. 造成；引起
problem	 n. 麻烦；问题
increase	 v. 增大；增长
birth	 n. 出生
billion	 num. 十亿
fifth	 num. 第五；五分之一
hang on	 [口]稍等
flat	 n. 套房；公寓
rubbish	 n. 垃圾；废弃物
quiet	 adj. 寂静的；安静的
local	 adj. 当地的；本地的
close down	 （永久）关闭，关停
pupil	 n. 学生；（尤指）小学生
pollution	 n. 污染
public	 adj. 公共的；公众的
service	 n. 公共服务；服务
solve	 v. 解决问题
cloud	 n. 云；云雾
shower	 n. 阵雨
snow	 n. 雪 v. 下雪
storm	 n. 暴风雨
cloudy	 adj. 多云的
rainy	 adj. 多雨的；下雨的
snowy	 adj. 多雪的；下雪的
sunny	 adj. 晴朗的
windy	 adj. 多风的；刮大风的
skate	 v. 滑冰
thick	 adj. 厚的
ice	 n. 冰
joke	 v. 说笑话；开玩笑 n. 笑话；玩笑
might	 v aux. 可能；也许
temperature	 n. 温度
minus	 adj. 负的；零下的
degree	 n. 度；度数
although	 conj. 然而；尽管
wet	 adj. 下雨的；湿的
neither	 adv. （某人或某事物）也不
terrible	 adj. 使人烦恼的；可怕的
wish	 v. 但愿；希望
probably	 adv. 或许；可能
come on	 快点
mile	 n. 英里
Round	 adv. 围绕地
northwest	 n. 西北 adj. 西北的；朝西北的
southeast	 n. 东南 adj. 东南的；朝东南的
from time to time	 有时；间或
cap	 n. （有檐的）帽子
chess	 n. 国际象棋
Set	 n. （同类事物的）（一）套，（一）副，（一）组
a chess set	 一副国际象棋
chopstick	 n. 筷子
toy	 n. 玩具
video	 adj. （电子）视频的
video game	 电子游戏
gift	 n. 礼物
surprise	 n. 惊奇；意外之事 v. 使（某人）吃惊
immediately	 adv. 立刻；当即
difference	 n. 差别；差异
accept	 v. 收受；接受
tradition	 n. 传统习俗
example	 n. 例子；实例
for example	 例如
must	 v aux. 必须；应该
month	 n. 月；月份
serious	 adj. 认真严肃的；不开玩笑的
taste	 v. 有⋯⋯的味道 n. 味道；滋味
experience	 n. 经历；经验
stay	 n. 逗留；停留
someone	 pron. 某人；有人
for the first time	 首次；初次
sandwich	 n. 三明治；夹心面包片
chip	 n. 炸土豆条；炸薯条
fish and chips	 炸鱼加炸薯条
onto	 prep. 到⋯⋯之上；向⋯⋯之上
gentleman	 n. 先生；男士
shoulder	 n. 肩；肩膀
broken	 adj. 破碎的
glass	 n. 玻璃
stairs	 n. 楼梯 (pl.)
aid	 n. 救助；帮助
first aid	 急救
medical	 adj. 医学的；医疗的
imagine	 v. 想像，设想
bottom	 n. 底部；下端
at the bottom of	 在⋯⋯的底部
wrong	 adj. 有毛病的；错误的 adv. 不正确地；错误地
What's wrong with ⋯?	 ⋯⋯怎么了？
trouble	 n. 问题；烦恼；困难
lift	 v. 举起；抬起；提起 n. 电梯
lift up	 抬起；提起
harmful	 adj. 有害的
drop	 v. 使落下；投下
training	 n. 训练；培训
make sure	 确保；确认
cover	 v. 盖；盖上
earthquake	 n. 地震
warn	 v. 警告；告诫
inside	 n. 内部；里面 adv. 在里面；向室内 prep. 在⋯⋯里面 prep. 在⋯⋯里面 adj. 里面的；内部的
under	 prep. 在⋯⋯正下方；在⋯⋯下面
window	 n. 窗；窗户
keep	 v. (kept) 保持；留在
clear	 adj. 不和⋯⋯接触的；不挨⋯⋯太近的 v. 清除；清理；移走
keep clear of ⋯	 不和⋯⋯接触
calm	 adj. 镇静的；沉着的
brave	 adj. 勇敢的；无畏的
helpful	 adj. 有用的；提供帮助的
power	 n. 电；电力
