sensible	 adj. 可感觉的；明智的
centenary	 a&n. 百年的；百年纪念
twilight	 n. 黎明，黄昏；曙光
accommodation	 n. 住宿
intimate	 adj. 亲密的，私人的，秘密的，精湛的 v. 暗示
inject	 v. 注射；注入，灌入
heir	 n. 继承人
postgraduate	 adj. 大学毕业后的，研究院的 n. 研究生
engrave	 v. 刻上；铭记
festival	 n&a. 节日(的)，表演会期(的)
mishap	 n. 不幸的事，不幸；灾祸
characteristic	 a&n. 特有的，表示特征的；特性
on	 ad&prep. 在上
numerate	 adj. 数学基础好的
ridge	 n. 山脊，脊，岭
threshold	 n. 门槛；开始；开端，入门
profit	 n. 利益；利润
premise	 n. 前提；房屋
seam	 n&v. 线缝，接缝
paraphrase	 vt&n. 释文，意译
underestimate	 v. 低估
automobile	 n. 汽车
square	 adj. 正方形的；直角的 n. 正方形,广场,平方"
manuscript	 n. 手稿，原稿
gravity	 n. 地球引力；重量；严重性
condition	 n. 条件，状况，环境 v. 决定；支配；训练
specialize	 v. 专门研究
undermine	 v. (暗中)破坏；(逐渐)削弱
motif	 n. 主题，基本花纹
fatuous	 adj. 愚昧的；蠢的
underwrite	 v. 给保险；同意赔款(海上保险)
dairy	 n. 牛奶及乳品店，牛奶场
conquest	 n. 征服，征服地，掠取物
drown	 v. 淹死，(高声音)遮掩(低声音)
pseudonym	 n. 假名；笔名
coordinate	 v. 使协调
designate	 v. 把定名为，指派，标出
athlete	 n. 运动员；体育家
underline	 v. 划线于之下，强调
loath	 adj. 不愿意的
meddle	 v. 干涉(预)
myth	 n. 神话，传说；虚构的人或物
coil	 n. 一卷；一圈 v. 盘绕，缠绕
enthusiasm	 n. 娱乐，招待，表演
guild	 n. 行会；同业公会
excerpt	 n. 摘录，节录
jolt	 v. 颠簸，颠簸而行
nobility	 n. 高贵，高尚；贵族
novelty	 n. 新颖；新奇；新奇的事物
garment	 n. (一件)衣服(长袍、外套)
obedient	 adj. 服从的，顺从的
drill	 n. 钻，钻头，操练，练习 v. 钻孔，操练
dodge	 v. 躲闪，躲开
gymnasium	 n. 体育馆
part	 n&ad. 部分；地区；职责
deflate	 v. 使(轮胎)瘪下去 降低重要性
clasp	 n&v. 扣子；紧握；拥抱
drench	 v. 使淋透，使湿透
ecology	 n. 生态学
guardian	 n. 监护人; 保护人
pit	 n. 坑，凹部；修理部
conflict	 n. 战斗；斗争；意见(分歧)
sympathetic	 adj. 同情的，有同情心的
objective	 adj. 客观的；真实的 n. 目标，目的
electrical	 adj. 电的，电气科学的
turbulent	 adj. 狂暴的，骚乱的，汹涌的
invade	 v. 侵略；侵犯，蜂拥而至
permanent	 adj. 永久性的，持久的
fundamental	 adj. 基础的；十分重要的 n. 基本原则
receipt	 n. 收到；收据
profuse	 adj. 极其丰富的；很多的；大量的
extort	 v. 强取，勒索
spacious	 adj. 广阔的，宽敞的
velocity	 n. 速度，速率
checkup	 n. 检查，体格检查
landscape	 n. 风景，景色，风景画
convene	 v. 召集，召唤，集合
cork	 n. 软木 adj. 软木制的 v. 塞住，抑制
increment	 n. 增值，增额
host	 n. 主人; 许多，一大群，旅店老板
suspense	 n. (新闻、决定)不确定，悬而未决
infringe	 v. 触犯；违反，侵害
discern	 v. 看出，辨出
shimmer	 vi&n. 发微光，发闪光；微光
medal	 n. 奖章；纪念章
negation	 n. 否定；否认
venture	 n. 冒险，冒险事业
fantastic	 adj. 奇异的；荒谬的，极好的
line	 n. 线；皱纹；外形；行列 v. 用线标示，排列
suspend	 v. 吊，悬挂，悬浮；暂停
faint	 adj. 微弱的，不清楚的 n&vi. 昏晕
due	 adj. 应支付的，正当的，预定应到的(to)，由于
reticent	 adj. 沉默寡言的；言不如意的
deduce	 v. 演绎，推论
renovation	 n. 修理，恢复
recite	 v. 背诵，列举
dubious	 adj. 半信半疑的
invalid	 adj. 无效的，作废的 n. 病人，病弱者 adj. 病弱的
exuberant	 adj. 茂盛的，精力充沛的
autonomy	 n. 自治，自治权
damp	 n&a&v. 潮湿(的)，湿气，使潮湿
aspire	 v. 渴望
transmission	 n. 传递，播送电视节目；汽车传动系统
toast	 n. 烤面包，烤火 v. 为祝酒，敬酒
circus	 n. 马戏表演；广场
qualification	 n. 资格；条件；限制
lounge	 v. 懒洋洋地倚、躺；闲逛 n. 懒洋洋的姿势
dip	 n&v. 蘸湿；斜坡；短时间游泳
tenacious	 adj. 抓紧的，顽强的
rub	 n&v. 摩擦
chasm	 n. 断层，裂口；巨大分歧，差别
mind	 n. 想法
justify	 v. 证明是正当的或有理的，为辩护
transfer	 v. 转让；转业；调任 n. 转移，传递
physique	 n. 体格，体魄
technician	 n. 技术人员
protein	 n. 蛋白质
ambiguous	 adj. 有歧义的；暧昧的
fascinate	 v. 使神魂颠倒，迷住
gradual	 adj. 逐渐的，不陡的
recruit	 v&n. 招募，吸收
convey	 v. 传达；运送；转达
obligation	 n. 义务，责任
testimony	 n. 证据，证言
fragment	 n. 碎片，片断 v. 裂成碎片
moderate	 adj. 适度的 n. 稳健的人，政治温和派 v. 缓和
endeavor	 n&vi. 努力，力图
sort	 n. 种类 vt&vi. 分类
conceal	 v. 隐藏，隐蔽
mandate	 n. 命令，训令；授权(选民对代表)
crumple	 "v. 把弄皱, v. 满是皱痕；压碎；崩溃"
arch	 n. 拱 v. 拱起
supervise	 vt&vi. 监督，管理，指导
territory	 n. 领土，区域
swift	 adj. 快的；迅速的，敏捷的
robust	 adj. 强健的
unravel	 v. 拆散(线团)；解决
responsive	 adj. 易于做出迅速反应的
weld	 v&n. 焊接熔接
accumulate	 n. 积累，积聚
oval	 n&a. 卵形(的)，椭圆形(的)
gratitude	 adj. 感激，感恩
circumference	 n. 圆周，圆周长度
congestion	 n. 拥挤，混杂
sociology	 n. 社会学
pinnacle	 n. 尖塔，尖顶，山峰；(喻)顶峰
prevalent	 adj. 流行的，普遍的
hereditary	 adj. 遗传的; 世袭的
speciality	 n. 特性；特长
stock	 n. 存货；供给；股票 v. 供应
propose	 v. 提议；求婚
epoch	 n. 新纪元，新时代
mirage	 n. 海市蜃楼，幻想
supplementary	 adj. 补充的，附加的
chart	 n. 海图；图表
unemployment	 n. 失业
fallacy	 n. 谬论
incline	 v. 低头，屈身，倾斜，倾向于 n. 斜坡，斜面
prohibit	 v. 禁止
zoology	 n. 动物学
elicit	 v. 引出，诱出
numerical	 adj. 数字的，用数字表示的
solvent	 adj. 能偿还的 n. 溶剂，偿付能力
correspondence	 n. 通信；符合
epidemic	 adj. (疾病)流行性的，传染的
disrupt	 v. 使分裂，瓦解
humiliate	 v. 使羞辱，使丢脸
medium	 n. 媒介；中庸间，适中 adj. 中等的，中庸
ripple	 n. 涟漪，波纹 vt&vi. (使)起层层细浪
curse	 n. 诅咒，祸因，骂人话 v. 咒骂，被所苦
scandal	 n. 冒犯或引起反感的行动；流言，诽谤
counsel	 n. 劝告；评议；忠告；律师
stagger	 v&n. 摇晃；蹒跚
capsule	 n. 荚；装一剂药的小囊；密封舱
imperative	 adj. 紧急的，必要的，强制的，祈使语气
recipe	 n. 食谱，烹饪法
drift	 v. 漂流，流浪 n. 漂流，漂流物，趋势
hum	 v&n. 嗡嗡叫，嘈杂声
generic	 adj. 一般的，普通的
referendum	 n. 公民投票、复决权
fluid	 n. 流体 adj. 流动的，不固定的
authentic	 adj. 真实的，可靠的
swamp	 n. 沼泽地，使淹没
shrug	 n&v. 耸肩
flush	 n. 奔流，兴奋，激动 adj. 齐平的；富有的
repatriate	 v. 遣返；返回
parachute	 n. 降落伞
dam	 n&vt. 水坝，筑坝，抑制，阻拦
warden	 n. 管理员，监护人
pursuit	 n. 追赶；追求；从事，消遣
catch	 v. 抓；接球；逮住；赶(车)
plot	 n. 小块土地；阴谋，情节 v. 绘制，标绘
reverse	 n&v&a. 相反(的)；颠倒(的)
purity	 n. 纯净；纯洁
statistics	 n. 统计，统计数字；统计学
tenable	 adj. 可防守的，守得住的；可保持的，可维持的
tangible	 adj. 可触知的；明确的；确实的
dismiss	 v. 解散；解雇；不考虑；消除
invoice	 v. 开发票 n. 发票，装货清单
nutrition	 n. 营养，营养学
gaunt	 adj. 憔悴的，瘦弱的；荒凉的
defendant	 n. 被告 adj. 处于被告地位的
fluctuate	 v. (物价)涨落，起落，波动
enhance	 v. 提高(强度、力量、数量等)，增加(进)
terrific	 adj. 可怕的，非常的
display	 vt&n. 展览，陈列
symphony	 n. 交响乐曲
tonic	 n&a. 滋补品，补药；强身的，健体的
tissue	 n. 生理组织；薄纸；棉纸；织物；一套
tuition	 n. 教学，学费
journal	 n. 学术性刊物，期刊；日记
kernel	 n. 果核，果仁，核心
thumb	 n. 大拇指
prospectus	 n. 说明书，简介
diagnose	 v. 诊断(疾病)
extra	 a&ad&n. 额外的/地，非常，另外；额外的人
dwindle	 "vi. 缩小, 减小"
patch	 n. 补钉；眼罩；斑点；小块土地 v. 补缀
sketch	 n. 草图，素描; n. 短剧；简述 v. 草拟
mean	 adj. 难看的，简陋的；吝啬的，自私的 n. 中间
trace	 n. 痕迹；足迹；微量 v. 描绘，勾出轮廓
defence	 n. 防卫 防护 防御物 辩护 被告律师
expulsion	 n. 驱逐; 开除
potential	 adj. 潜在的; adj. 可能的 n. 潜能；潜力
passport	 n. 护照，保障，手段
craft	 n. 工艺；手工业；船；技巧；诡计
gleam	 n&vi. 微光，闪光，短暂而微弱的闪现
overflow	 v&n. 泛滥，溢出
solemn	 adj. 庄严的，严肃的，隆重的
vegetation	 n. 植被
pliable	 adj. 易弯的，柔韧的；易受影响的
apprehension	 n. 理解；忧虑
rave	 v. 胡言乱语；热衷谈论 n. 热情赞扬
locomotive	 adj. 运动的，移动的 n. 火车头
entrepreneur	 n. [法]企业家, 演出承包人 "
doubtful	 adj. 有疑问的；怀疑的
morbid	 adj. 疾病的，病态的
violent	 adj. 猛烈的，凶暴的；由暴力引起的；强烈的
exemplify	 v. 举例说明，作为的例证
cease	 v. 停止
rotate	 v. 旋转，轮流
solution	 n. 解决困难，解答问题；溶解；溶液
identify	 v. 认出，认为与一致
paramount	 adj. 最高的；首要的
combine	 v. 联合；连结 n. 集团，联合企业
avalanche	 n. 雪崩；大量涌来
apparatus	 n. 仪器；设备
ditch	 n. 排水沟，沟渠 v. 附入沟中，抛弃
range	 vt&vi. 排列
colossal	 adj. 庞大的
slim	 adj. 细长的；苗条的
pavement	 n. [英]人行道
random	 n&a. 随便；无目的的，任意的
disturb	 v. 打扰，扰乱
terrify	 v. 恐吓
keep	 v. 使保持某一状态，阻止，保留，履行，保卫
physician	 n. 医生
precious	 adj. 宝贵的，珍贵的
insane	 adj. 愚蠢的; 疯狂的
code	 n. 规则；代号；密码 vt. 把译成密码
entitle	 v. 给(书)题名；给予权利
alternative	 n. 两者选一 adj. 可供选择的；可供替代的
criterion	 n. 判断的标准(pl-ria)
ward	 n. (房屋中的)隔间；(尤指)病房
assess	 v. 估值，评价
flesh	 n. 肉，肉体，果肉
stuntman	 n. 替身演员
via	 prep. 径，由
framework	 n. 构架，框架
pose	 v&n. 摆姿势；提出；姿势
competitive	 adj. 比赛的
confine	 v. 限制，禁闭
natal	 adj. 出生的；诞生的
flame	 n&vi. 火焰，火舌
surmount	 v. 克服，越过
comparable	 adj. 可比较的
transparent	 adj. 透明的
lens	 n. 透镜；眼睛水晶体
