boat	 n. 小船；轮船 v. 划船
tall	 adj. 高的；长的；过分的；夸大的 adv. 夸大地 n. (Tall)人名；(马里、阿拉伯)塔勒；(芬、罗、瑞典)塔尔；(英)托尔；(土)塔勒
rich	 adj. 富有的；肥沃的；昂贵的 n. (Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什
please	 v. 使喜欢；使高兴，使满意 int. 请（礼貌用语）
paint	 v. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等 n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰
business	 n. 商业；[贸易] 生意；[贸易] 交易；事情
already	 adv. 已经，早已；先前
brave	 adj. 勇敢的；华丽的 v. 勇敢地面对 n. 勇士
continue	 v. 继续，延续；仍旧，连续
cat	 n. 猫，猫科动物
discover	 v. 发现；发觉
coke	 n. 焦炭；可卡因；可口可乐（Coca-Cola） v. 焦化
turn	 v. 转动，使旋转；转弯；翻过来；兑换 n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
steam	 v. 蒸，散发；用蒸汽处理 n. 蒸汽；精力 adj. 蒸汽的
video	 n. [电子] 视频；录像，录像机；电视 adj. 视频的；录像的；电视的 v. 录制
stupid	 adj. 愚蠢的；麻木的；乏味的 n. 傻瓜，笨蛋
anything	 pron. 任何事
conversation	 n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
part	 n. 部分；角色；零件；一些；片段 v. 分离；分配；分开 adv. 部分地 adj. 部分的
door	 n. 门；家，户；门口；通道
asleep	 adj. 睡着的；麻木的；长眠的 adv. 熟睡地；进入睡眠状态
peace	 n. 和平；平静；和睦；秩序
single	 adj. 单一的；单身的；单程的 n. 一个；单打；单程票 v. 选出
prove	 v. 证明；检验；显示
walk	 n. 步行，走；散步 v. 散步；走过
search	 v. 搜寻；调查；探求 n. 搜寻；探究，查究
cotton	 n. 棉花；棉布；棉线 v. 一致；理解；和谐；亲近 adj. 棉的；棉制的
stomach	 n. 胃；腹部；胃口 v. 忍受；吃下
common	 adj. 共同的；普通的；一般的；通常的 n. 普通；平民；公有地
cry	 v. 叫喊；哭出；大声说 n. 叫喊；叫声；口号；呼叫
sometimes	 adv. 有时，间或
hometown	 n. 家乡；故乡
standard	 n. 标准；水准；旗；度量衡标准 adj. 标准的；合规格的；公认为优秀的
snowy	 adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
seat	 n. 座位；所在地；职位 v. 使…坐下；可容纳…的；使就职
drum	 v. 击鼓；大力争取 n. 鼓；鼓声
capital	 n. 首都，省会；资金；大写字母；资本家 adj. 首都的；重要的；大写的
officer	 n. 军官，警官；公务员，政府官员；船长 v. 指挥
skirt	 n. 裙子 v. 绕过，回避；位于…边缘
ship	 v. 运送，乘船；以船运送 n. 船；舰；太空船
song	 n. 歌曲；歌唱；诗歌；鸣声
special	 n. 特使，特派人员；特刊；特色菜；专车；特价商品 adj. 特别的；专门的，专用的
rope	 n. 绳，绳索 v. 捆，绑
collect	 v. 收集；募捐 adv. 由收件人付款地 adj. 由收件人付款的 n. (Collect)人名；(英)科莱克特
concert	 n. 音乐会；一致；和谐 v. 使协调；协同安排 adj. 音乐会用的；在音乐会上演出的
fox	 v. 欺骗；使变酸 n. 狐狸；狡猾的人
centre	 v. 以…为中心 n. 中心 adj. 中央的
cow	 n. 奶牛，母牛；母兽 v. 威胁，恐吓
pupil	 n. 学生；[解剖] 瞳孔；未成年人
hardly	 adv. 几乎不，简直不；刚刚
cake	 n. 蛋糕；块状物；利益总额 v. 使结块
popular	 adj. 流行的，通俗的；受欢迎的；大众的；普及的
cheat	 v. 欺骗；骗取 n. 欺骗，作弊；骗子
driver	 n. 驾驶员；驱动程序；起子；传动器
manage	 v. 管理；经营；控制；设法
butter	 v. 涂黄油于；讨好 n. 黄油；奶油；奉承话
fan	 v. 煽动；刺激；吹拂 n. 迷；风扇；爱好者
height	 n. 高地；高度；身高；顶点
retell	 v. 复述；再讲；重述
Europe	 n. 欧洲
holiday	 n. 假日；节日；休息日 v. 外出度假
Rusia	 鲁西亚（地名）
kid	 n. 小孩；小山羊 v. 欺骗；取笑；戏弄 adj. 小山羊皮制的；较年幼的
nearly	 adv. 差不多，几乎；密切地
where	 adv. 在哪里 pron. 哪里 conj. 在…的地方 n. 地点
slow	 adj. 慢的；减速的；迟钝的 v. 变慢；变萧条 adv. 慢慢地；迟缓地 n. (Slow)人名；(英)斯洛
any	 adj. 任何的；所有的；丝毫 pron. 任何；任何一个；若干 adv. 稍微；少许 n. (Any)人名；(法、罗)阿尼
front	 n. 前面；正面；前线 v. 面对；朝向；对付 adj. 前面的；正面的 adv. 在前面；向前
above	 prep. 超过；在……上面；在……之上 adv. 在上面；在上文 adj. 上文的 n. 上文
smooth	 adj. 顺利的；光滑的；平稳的 v. 使光滑；消除（障碍等）；使优雅；缓和 n. 平滑部分；一块平地 adv. 光滑地；平稳地；流畅地
airplane	 n. 飞机
choice	 n. 选择；选择权；精选品 adj. 精选的；仔细推敲的
live	 adj. 活的；生动的；实况转播的；精力充沛的 v. 经历；度过 n. (Live)人名；(法)利夫
death	 n. 死；死亡；死神；毁灭
June	 n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
seventeen	 n. 十七，十七个 adj. 十七岁的；十七的，十七个的 num. 十七
natural	 adj. 自然的；物质的；天生的；不做作的 n. 自然的事情；白痴；本位音
Wednesday	 n. 星期三
edge	 n. 边缘；优势；刀刃；锋利 v. 使锐利；将…开刃；给…加上边
her	 pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船） n. （法）埃尔（人名）
police	 n. 警察，警方；治安 v. 监督；管辖；维持治安；为…配备警察 adj. 警察的；有关警察的
wheat	 n. 小麦；小麦色
they	 pron. 他们；它们；她们
forty	 n. 四十 adj. 四十的；四十个的
week	 n. 周，星期
parent	 n. 父亲（或母亲）；父母亲；根源
cough	 n. 咳嗽，咳嗽声；咳嗽病 v. 咳出
gate	 n. 大门；出入口；门道 v. 给…装大门
mother	 n. 母亲；大娘；女修道院院长 v. 生下；养育；像母亲般关怀或照管 adj. 母亲的；出生地的
voice	 n. 声音；嗓音；发言权；愿望 v. 表达；吐露
important	 adj. 重要的，重大的；有地位的；有权力的
thick	 n. 最拥挤部分；活动最多部分；事物的粗大浓密部分 adj. 厚的；浓的；粗大的 adv. 密集地；浓浓地，厚厚地
tourist	 n. 旅行者，观光客 adj. 旅游的 vt. 在旅行参观 vi. 旅游；观光 adv. 坐旅游车厢；坐经济舱
rubbish	 n. 垃圾，废物；废话 adj. 毫无价值的
prepare	 v. 准备；使适合；装备；起草
house	 n. 住宅；家庭；机构；议会；某种用途的建筑物 v. 覆盖；给…房子住；把…储藏在房内
through	 prep. 通过；穿过；凭借 adv. 彻底；从头至尾 adj. 直达的；过境的；完结的
mad	 adj. 疯狂的；发疯的；愚蠢的；着迷的 n. 狂怒
queen	 n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王 v. 使…成为女王或王后
lake	 n. 湖；深红色颜料；胭脂红 vt. （使）血球溶解 vi. （使）血球溶解
math	 n. 数学（等于mathematics）
home	 n. 家，住宅；产地；家乡；避难所 adv. 在家，回家；深入地 adj. 国内的，家庭的；有效的 v. 归巢，回家
often	 adv. 常常，时常
box	 n. 箱，盒子；包厢；一拳 v. 拳击
talk	 v. 说；谈话；讨论 n. 谈话；演讲；空谈
kitchen	 n. 厨房；炊具；炊事人员
call	 v. 呼叫；拜访；叫牌 n. 电话；呼叫；要求；访问
bee	 n. 蜜蜂，蜂；勤劳的人
kilo	 n. 千克
period	 n. 周期，期间；时期；月经；课时；（语法学）句点，句号 adj. 某一时代的
vegetable	 n. 蔬菜；植物；植物人 adj. 蔬菜的；植物的
pull	 v. 拉；拔；拖 n. 拉，拉绳；拉力，牵引力；拖
glove	 n. 手套 vt. 给…戴手套
you	 pron. 你；你们 n. (You)人名；(柬)尤；(东南亚国家华语)猷
March	 n. 三月
examine	 v. 检查；调查； 检测；考试
result	 n. 结果；成绩；答案；比赛结果 v. 结果；导致；产生
pleasure	 n. 快乐；希望；娱乐；令人高兴的事 vt. 使高兴；使满意 vi. 高兴；寻欢作乐
four	 num. 四；四个 adj. 四的；四个的 n. (Four)人名；(西)福尔；(法)富尔
pioneer	 n. 先锋；拓荒者 v. 开辟；倡导；提倡
information	 n. 信息，资料；知识；情报；通知
society	 n. 社会；交往；社团；社交界
compare	 n. 比较 v. 比拟，喻为；[语]构成
provide	 v. 提供；规定；准备；装备
owner	 n. [经] 所有者；物主
sun	 n. 太阳 v. 使晒
always	 adv. 永远，一直；总是；常常
way	 n. 方法；道路；方向；行业；习惯 adv. 大大地；远远地 adj. 途中的
rather	 adv. 宁可，宁愿；相当 int. 当然啦（回答问题时用） n. (Rather)人名；(英)拉瑟
accept	 v. 接受；承认；承担；承兑；容纳
cover	 v. 包括；采访，报导；涉及 n. 封面，封皮；盖子；掩蔽物;幌子，借口
Friday	 n. 星期五
cause	 n. 原因；事业；目标 v. 引起；使遭受
visitor	 n. 访问者，参观者；视察者；候鸟
August	 adj. 威严的；令人敬畏的 n. 八月（简写为Aug）
report	 n. 报告；报道；成绩单 v. 报告；报导；使报到
borrow	 v. 借；借用；从其他语言中引入 n. (Borrow)人名；(英)博罗
sorry	 adj. 遗憾的；对不起的，抱歉的 int. 对不起，抱歉（表示委婉的拒绝等）
town	 n. 城镇，市镇；市内商业区
connect	 v. 连接；联合；关连
sweet	 adj. 甜的；悦耳的；芳香的；亲切的 n. 糖果；乐趣；芳香；宝贝
stone	 n. 石头；结石；[宝] 宝石 adj. 石的，石制的 v. 向扔石块；用石头铺
anyone	 pron. 任何人；任何一个
here	 adv. 在这里；此时 int. 嘿！；喂！ n. 这里
back	 n. 后面；背部；靠背；足球等的后卫；书报等的末尾 v. 支持；后退；背书；下赌注 adv. 以前；向后地；来回地；上溯；回来；回原处 adj. 后面的；过去的；拖欠的
sugar	 n. 糖；食糖；甜言蜜语 v. 加糖于；粉饰
paper	 n. 纸；论文；文件；报纸 adj. 纸做的 v. 用纸糊；用纸包装
country	 n. 国家，国土；国民；乡下，农村；乡村；故乡 adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的
fruit	 n. 水果；产物 v. 结果实
aunt	 n. 阿姨；姑妈；伯母；舅妈
pair	 n. 一对，一双，一副 v. 把…组成一对
busy	 adj. 忙碌的；热闹的；正被占用的 v. 使忙于 n. (Busy)人名；(匈)布希；(法)比西
time	 n. 时间；时代；次数；节拍；倍数 v. 计时；测定…的时间；安排…的速度 adj. 定时的；定期的；分期的
foreign	 adj. 外国的；外交的；异质的；不相关的
prisoner	 n. 囚犯，犯人；俘虏；刑事被告
uncle	 n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
laugh	 n. 笑；引人发笑的事或人 v. 笑
English	 adj. 英国人的；英国的；英文的 n. 英语；英国人；英文；英格兰人 vt. 把…译成英语
countryside	 n. 农村，乡下；乡下的全体居民
great	 adj. 伟大的，重大的；极好的，好的；主要的 n. 大师；大人物；伟人们
VCD	 abbr. 视频高密光盘（Video Compact Disc）；可变电容二极管（Variable Capacitance Diode）
cool	 adj. 凉爽的；冷静的；出色的 v. 使…冷却；使…平静下来 n. 凉爽；凉爽的空气 adv. 冷静地
sandwich	 v. 夹入；挤进；把做成三明治 n. 三明治；夹心面包
appear	 v. 出现；显得；似乎；出庭；登场
relax	 v. 放松，休息；松懈，松弛；变从容；休养
size	 n. 大小；尺寸 adj. 一定尺寸的 v. 依大小排列
chair	 n. 椅子；讲座；（会议的）主席位；大学教授的职位 v. 担任（会议的）主席；使…入座；使就任要职
England	 n. 英格兰
postcard	 n. 明信片
end	 n. 结束；目标；尽头；末端；死亡 v. 结束，终止；终结
lie	 v. 躺；说谎；位于；展现 n. 谎言；位置
eighth	 adj. 第八的；八分之一的 num. 第八；八分之一
windy	 adj. 多风的，有风的；腹胀的；吹牛的
attention	 n. 注意力；关心；立正！（口令）
believe	 v. 信任；料想；笃信宗教
mail	 n. 邮件；邮政，邮递；盔甲 v. 邮寄；给…穿盔甲
letter	 n. 信；字母，文字；证书；文学，学问；字面意义 v. 写字母于
overcoat	 n. 大衣，外套
fun	 n. 乐趣；玩笑；有趣的人或事 adj. 供娱乐用的 vi. 开玩笑
sudden	 adj. 突然的，意外的；快速的 n. 突然发生的事
gold	 n. 金，黄金；金色；金币 adj. 金的，金制的；金色的
engineer	 n. 工程师；工兵；火车司机 v. 设计；策划；精明地处理
keyboard	 n. 键盘 v. 键入；用键盘式排字机排字
too	 adv. 太；也；很；还；非常；过度
doubt	 n. 怀疑；疑问；疑惑 v. 怀疑；不信；恐怕；拿不准
outside	 adj. 外面的，外部的；外来的 n. 外部；外观 adv. 在外面，向外面；在室外 prep. 在…范围之外
basic	 adj. 基本的；基础的 n. 基础；要素
breath	 n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
drawer	 n. 抽屉；开票人；出票人；起草者；酒馆侍
until	 conj. 在…以前；直到…时 prep. 在…以前；到…为止
passenger	 n. 旅客；乘客；过路人；碍手碍脚的人
key	 n. （打字机等的）键；关键；钥匙 v. 键入；锁上；调节…的音调；提供线索 adj. 关键的
remember	 v. 记得；牢记；纪念；代…问好
coast	 v. 滑行；沿岸航行 n. 海岸；滑坡
tongue	 n. 舌头；语言 v. 舔；斥责；用舌吹
basketball	 n. 篮球；篮球运动
camel	 n. [畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚 adj. 驼色的；暗棕色的 vi. 工作刻板平庸
Chinese	 n. 中文，汉语；中国人 adj. 中国的，中国人的；中国话的
speed	 v. 超速，加速；加速，迅速前行；兴隆 n. 速度，速率；迅速，快速；昌盛，繁荣
schoolbag	 n. 书包
step	 n. 步，脚步；步骤；步伐；梯级 v. 踏，踩；走
umbrella	 n. 雨伞；保护伞；庇护；伞形结构
college	 n. 大学；学院；学会
show	 v. 显示；说明；演出；展出 n. 显示；表演；炫耀
clock	 n. 时钟；计时器 v. 记录；记时
volleyball	 n. 排球
invention	 n. 发明；发明物；虚构；发明才能
although	 conj. 尽管；虽然；但是；然而
coffee	 n. 咖啡；咖啡豆；咖啡色
cent	 n. 分；一分的硬币；森特（等于半音程的百分之一）
purple	 adj. 紫色的；帝王的；华而不实的 n. 紫色；紫袍 v. 变成紫色
film	 n. 电影；薄膜；胶卷；轻烟 v. 在…上覆以薄膜；把…拍成电影
school	 n. 学校；学院；学派；鱼群 v. 教育
useful	 adj. 有用的，有益的；有帮助的
dish	 n. 盘；餐具；一盘食物；外貌有吸引力的人 v. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
everywhere	 adv. 到处 n. 每个地方
glad	 adj. 高兴的；乐意的；令人高兴的；灿烂美丽的 vt. 使高兴 n. (Glad)人名；(塞、瑞典)格拉德；(英)格莱德；(法、挪)格拉
ninety	 n. 九十 adj. 九十的；九十岁的 num. 九十
composition	 n. 作文，作曲，作品；[材] 构成；合成物；成分
wing	 n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房 v. 使飞；飞过；空运；增加…速度；装以翼
number	 n. 数；（杂志等的）期；号码；数字；算术 v. 计入；总数达到
polite	 adj. 有礼貌的，客气的；文雅的；上流的；优雅的
dismiss	 v. 解散；解雇；开除；让离开；不予理会、不予考虑
doctor	 v. 修理；篡改，伪造；为…治病；授以博士学位 n. 医生；博士
tired	 adj. 疲倦的；厌倦的，厌烦的 v. 疲倦；对…腻烦（tire的过去分词形式）
crayon	 n. 蜡笔，有色粉笔 v. 以蜡笔作画，用颜色粉笔画
interest	 n. 兴趣，爱好；利息；趣味；同行 v. 使……感兴趣；引起……的关心；使……参与
wonderful	 adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
mine	 n. 矿，矿藏；矿山，矿井；地雷，水雷 v. 开采，采掘；在…布雷 pron. 我的
wind	 n. 风；呼吸；气味；卷绕 v. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人
one	 pron. 一个人；任何人 adj. 一的；唯一的 n. 一 num. 一；一个
arm	 n. 手臂；武器；袖子；装备；部门 v. 武装起来
except	 v. 不计；把…除外 prep. 除…之外 conj. 除了；要不是
trust	 n. 信任，信赖；责任；托拉斯 v. 信任，信赖；盼望；赊卖给
long	 n. 长时间；[语] 长音节；（服装的）长尺寸；长裤 adj. 长的；过长的；做多头的；长时间的；冗长的，长音 v. 渴望；热望 adv. 长期地；始终
other	 adj. 其他的，另外的 pron. 另外一个
dozen	 n. 十二个，一打 adj. 一打的
fear	 n. 害怕；恐惧；敬畏；担心 v. 害怕；敬畏；为…担心
as	 conj. 因为；随着；虽然；依照；当…时 prep. 如同；当作；以…的身份 adv. 同样地；和…一样的
before	 prep. 在…之前，先于 adv. 以前；在前 conj. 在…以前；在…之前
stream	 n. 溪流；流动；潮流；光线 v. 流；涌进；飘扬
after	 adv. 后来，以后 prep. 在……之后 conj. 在……之后 adj. 以后的
fix	 v. 使固定；修理；安装；准备 n. 困境；方位；贿赂
behaviour	 n. 行为；习性；运行状况（=behavior）
room	 n. 房间；空间；余地；机会；房间里所有的人 v. 为…提供住处；租房，合住；投宿，住宿；留…住宿
disturb	 v. 打扰；妨碍；使不安；弄乱；使恼怒
Russian	 adj. 俄国的；俄语的 n. 俄语；俄国人
smile	 v. 微笑 n. 微笑；笑容；喜色
strict	 adj. 严格的；绝对的；精确的；详细的
king	 n. 国王；最有势力者；王棋 vi. 统治；做国王 vt. 立…为王 adj. 主要的，最重要的，最大的
communication	 n. 通讯，[通信] 通信；交流；信函
toothpaste	 n. 牙膏
his	 pron. 他的 n. (His)人名；(法)伊斯
value	 n. 值；价值；价格；重要性；确切涵义 v. 评价；重视；估价
succeed	 v. 成功；继承；继任；兴旺
restaurant	 n. 餐馆；[经] 饭店
ability	 n. 能力，能耐；才能
spoon	 n. 匙，勺子；一杓的量 v. 用匙舀；使成匙状
face	 n. 脸；表面；面子；面容；外观；威信 v. 向；朝
shoe	 n. 鞋；蹄铁；外胎 v. 给……穿上鞋；穿……鞋
big	 adj. 大的；重要的；量大的 adv. 大量地；顺利；夸大地 n. (Big)人名；(土)比格
produce	 v. 生产；引起；创作；生育，繁殖 n. 农产品，产品
island	 n. 岛；岛屿；安全岛；岛状物 adj. 岛的 vt. 孤立；使成岛状
heavy	 adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的 n. 重物；严肃角色 adv. 大量地；笨重地
electric	 adj. 电的；电动的；发电的；导电的；令人震惊的 n. 电；电气车辆；带电体
planet	 n. 行星
weather	 n. 天气；气象；气候；处境 v. 经受住；使风化；侵蚀；使受风吹雨打 adj. 露天的；迎风的
guest	 n. 客人，宾客；顾客 v. 款待，招待 adj. 客人的；特邀的，客座的
whom	 pron. 谁（who的宾格）
hard	 adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的 adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地 n. (Hard)人名；(英、芬、瑞典)哈德
clap	 v. 鼓掌，拍手；啪地关上 n. 鼓掌；拍手声
fetch	 v. 取来；接来；到达；吸引 n. 取得；诡计
each	 adj. 每；各自的 adv. 每个；各自 pron. 每个；各自
wish	 n. 希望；祝福；心愿 v. 祝愿；渴望；向…致问候语
environment	 n. 环境，外界
shy	 adj. 害羞的；畏缩的，胆怯的 v. 投；畏缩；惊退；厌恶 n. 投掷；惊跳
murder	 v. 谋杀，凶杀 n. 谋杀，凶杀
afford	 v. 给予，提供；买得起 n. (Afford)人名；(英)阿福德
not	 adv. 表示否定，不 n. “非”（计算机中逻辑运算的一种）
must	 aux. 必须，一定；可以，应当；很可能 n. 绝对必要的事物；未发酵葡萄汁
enemy	 n. 敌人，仇敌；敌军 adj. 敌人的，敌方的
pride	 n. 自豪；骄傲；自尊心 v. 使得意，以…自豪
smoke	 n. 烟；抽烟；无常的事物 v. 冒烟，吸烟；抽烟；弥漫
act	 v. 扮演；装作，举动像 n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
underground	 adv. 在地下；秘密地 adj. 地下的；秘密的；先锋派的 n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
camp	 v. 露营；扎营 n. 露营
total	 adj. 全部的；完全的；整个的 v. 总数达 n. 总数，合计
jacket	 n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹 v. 给…穿夹克；给…装护套；给…包上护封；〈口〉打
address	 v. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理 n. 地址；演讲；致辞；说话的技巧；称呼
north	 n. 北，北方 adj. 北方的；朝北的 adv. 在北方，向北方
watch	 v. 观察；注视；看守；警戒 n. 手表；监视；守护；值班人
book	 n. 书籍；卷；帐簿；名册；工作簿 v. 预订；登记
used	 adj. 习惯的；二手的，使用过的 v. 用（use的过去式）；（used to）过去常做
news	 n. 新闻，消息；新闻报导
pond	 vt. 筑成池塘 vi. 筑成池塘 n. 池塘
friend	 n. 朋友；助手；赞助者
vehicle	 n. [车辆] 车辆；工具；交通工具；运载工具；传播媒介；媒介物
weight	 n. 重量，重力；负担；砝码；重要性 v. 加重量于，使变重
sausage	 n. 香肠；腊肠；装香肠的碎肉
hall	 n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
with	 prep. 用；随着；支持；和…在一起 n. (With)人名；(德、芬、丹、瑞典)维特
flag	 v. 标记；衰退；枯萎 n. 标志；旗子
interesting	 adj. 有趣的；引起兴趣的，令人关注的
president	 n. 总统；董事长；校长；主席
February	 n. 二月
future	 n. 未来；前途；期货；将来时 adj. 将来的，未来的
clothes	 n. 衣服
regard	 n. 注意；尊重；问候；凝视 v. 注重，考虑；看待；尊敬；把…看作；与…有关
active	 adj. 积极的；活跃的；主动的；有效的；现役的 n. 主动语态；积极分子
miss	 n. 女士，小姐，年轻未婚女子
southern	 adj. 南的；南方的 n. 南方人
tonight	 adv. 在今晚 n. 今晚
