paragraph	 n. 段落；短评；段落符号 v. 将…分段
evidence	 n. 证据，证明；迹象；明显 v. 证明
pressure	 n. 压力；压迫，[物] 压强 v. 迫使；密封；使……增压
turn	 v. 转动，使旋转；转弯；翻过来；兑换 n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
argue	 v. 争论，辩论；提出理由 n. (Argue)人名；(英、法)阿格
support	 v. 支持，支撑，支援；扶持，帮助；赡养，供养 n. 支持，维持；支援，供养；支持者，支撑物
offer	 v. 提供；出价；试图 n. 提议；出价；意图；录取通知书
understand	 v. 理解；懂；获悉；推断；省略
history	 n. 历史，历史学；历史记录；来历
bring	 v. 带来；促使；引起；使某人处于某种情况或境地 n. (Bring)人名；(英、瑞典)布林
knowledge	 n. 知识，学问；知道，认识；学科
medical	 adj. 医学的；药的；内科的 n. 医生；体格检查
rate	 n. 比率，率；速度；价格；等级 v. 认为；估价；责骂
continue	 v. 继续，延续；仍旧，连续
monkey	 n. 猴子；顽童 v. 胡闹；捣蛋
student	 n. 学生；学者
smell	 v. 嗅，闻；有…气味 n. 气味，嗅觉；臭味
single	 adj. 单一的；单身的；单程的 n. 一个；单打；单程票 v. 选出
average	 n. 平均；平均数；海损 adj. 平均的；普通的；通常的 v. 算出…的平均数；将…平均分配；使…平衡
loss	 n. 减少；亏损；失败；遗失
legal	 adj. 法律的；合法的；法定的；依照法律的 n. (Legal)人名；(法)勒加尔
effect	 n. 影响；效果；作用 v. 产生；达到目的
feeling	 n. 感觉，触觉；感情，情绪；同情 adj. 有感觉的；有同情心的；富于感情的 v. 感觉；认为（feel的现在分词）；触摸
gamble	 v. 赌博；孤注一掷；投机；打赌 n. 赌博；冒险；打赌
writing	 n. 书写；作品；著作；[法] 笔迹 v. 书写（write的ing形式）
share	 v. 分享，分担；分配 n. 份额；股份
earn	 v. 赚，赚得；获得，挣得；使得到；博得 n. (Earn)人名；(泰)炎
message	 n. 消息；差使；启示；预言；广告词 v. 报信，报告；[通信] 报文
standard	 n. 标准；水准；旗；度量衡标准 adj. 标准的；合规格的；公认为优秀的
quit	 v. 离开；放弃；停止；使…解除 n. 离开；[计] 退出 adj. 摆脱了…的；已经了结的
railroad	 v. 由铁道运输；铺设铁路；以捏造不实之罪使入狱 n. 铁路；铁路公司
certain	 adj. 某一；必然的；确信；无疑的；有把握的 pron. 某些；某几个 n. (Certain)人名；(葡)塞尔塔因；(法)塞尔坦
decision	 n. 决定，决心；决议
performance	 n. 性能；绩效；表演；执行；表现
concept	 n. 观念，概念
class	 n. 阶级；班级；种类；班；等级 v. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级 adj. 极好的；很好的，优秀的，出色的
difference	 n. 差异；不同；争执
genetic	 adj. 遗传的；基因的；起源的
journal	 n. 日报，杂志；日记；分类账
slave	 n. 奴隶；从动装置 v. 苦干；拼命工作
brain	 n. 头脑，智力；脑袋 v. 猛击…的头部
response	 n. 响应；反应；回答
potential	 n. 潜能；可能性；[电] 电势 adj. 潜在的；可能的；势的
site	 n. 地点；位置；场所 v. 设置；为…选址
produce	 v. 生产；引起；创作；生育，繁殖 n. 农产品，产品
spread	 v. 传播；伸展 n. 传播；伸展 adj. 伸展的
attitude	 n. 态度；看法；意见；姿势
living	 adj. 活的；现存的；活跃的；逼真的 n. 生活；生存；生计 v. 生活；居住（live的ing形式）；度过
union	 n. 联盟，协会；工会；联合
born	 v. 出世（bear的过去分词） adj. 天生的 n. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩
define	 v. 定义；使明确；规定 n. (Define)人名；(英)德法恩；(葡)德菲内
critic	 n. 批评家，评论家；爱挑剔的人
institution	 n. 制度；建立；（社会或宗教等）公共机构；习俗
experiment	 v. 尝试；进行实验 n. 实验，试验；尝试
adult	 adj. 成年的；成熟的 n. 成年人
review	 n. 回顾；复习；评论；检讨；检阅 v. 回顾；检查；复审
generation	 n. 一代；产生；一代人；生殖
quality	 n. 质量，[统计] 品质；特性；才能 adj. 优质的；高品质的；<英俚>棒极了
criticism	 n. 批评；考证；苛求
remain	 v. 保持；依然；留下；剩余；逗留；残存 n. 遗迹；剩余物，残骸
product	 n. 产品；结果；[数] 乘积；作品
nation	 n. 国家；民族；国民
infer	 v. 推断；推论
community	 n. 社区；[生态] 群落；共同体；团体
happy	 adj. 幸福的；高兴的；巧妙的 n. (Happy)人名；(英、瑞典、喀)哈皮
cover	 v. 包括；采访，报导；涉及 n. 封面，封皮；盖子；掩蔽物;幌子，借口
publication	 n. 出版；出版物；发表
segment	 v. 分割 n. 段；部分
seek	 v. 寻求；寻找；探索；搜索
condition	 n. 条件；情况；环境；身份 v. 决定；使适应；使健康；以…为条件
internet	 n. 因特网
success	 n. 成功，成就；胜利；大获成功的人或事物
fund	 n. 基金；资金；存款 v. 投资；资助
structure	 n. 结构；构造；建筑物 v. 组织；构成；建造
sense	 n. 感觉，功能；观念；道理；理智 v. 感觉到；检测
newspaper	 n. 报纸
customer	 n. 顾客；家伙
learned	 adj. 博学的；有学问的；学术上的 n. (Learned)人名；(英)勒尼德
board	 n. 董事会；木板；甲板；膳食 v. 上（飞机、车、船等）；用板盖上；给提供膳宿
president	 n. 总统；董事长；校长；主席
remove	 v. 移动，迁移；开除；调动 n. 移动；距离；搬家
series	 n. 系列，连续；[电] 串联；级数；丛书
record	 v. 记录，记载；标明；将录音 n. 档案，履历；唱片；最高纪录 adj. 创纪录的
moral	 adj. 道德的；精神上的；品性端正的 n. 道德；寓意
production	 n. 成果；产品；生产；作品
population	 n. 人口；[生物] 种群，[生物] 群体；全体居民
underline	 v. 强调；在…下面划线；预告 n. 下划线；下期节目预告
humanity	 n. 人类；人道；仁慈；人文学科
position	 n. 位置，方位；职位，工作；姿态；站位 v. 安置；把……放在适当位置
particular	 adj. 特别的；详细的；独有的；挑剔的 n. 详细说明；个别项目
immigrant	 adj. 移民的；迁入的 n. 移民，侨民
opportunity	 n. 时机，机会
access	 v. 使用；存取；接近 n. 进入；使用权；通路
observe	 v. 庆祝
stay	 v. 停留；坚持；暂住；停下 n. 逗留；停止；支柱
commercial	 adj. 商业的；营利的；靠广告收入的 n. 商业广告
reveal	 v. 显示；透露；揭露；泄露 n. 揭露；暴露；门侧，窗侧
effort	 n. 努力；成就
reduce	 v. 减少；降低；使处于；把…分解
term	 n. 术语；学期；期限；条款；(代数式等的)项 v. 把…叫做
action	 n. 行动；活动；功能；战斗；情节
decade	 n. 十年，十年期；十
productivity	 n. 生产力；生产率；生产能力
sentence	 n. [语][计] 句子，命题；宣判，判决 v. 判决，宣判
celebrity	 n. 名人；名声
teacher	 n. 教师；导师
concern	 v. 涉及，关系到；使担心 n. 关系；关心；关心的事；忧虑
score	 n. 分数；二十；配乐；刻痕 v. 获得；评价；划线，刻划；把…记下
variety	 n. 多样；种类；杂耍；变化，多样化
unique	 adj. 独特的，稀罕的；[数] 唯一的，独一无二的 n. 独一无二的人或物
depend	 v. 依赖，依靠；取决于；相信，信赖
nuclear	 adj. 原子能的；[细胞] 细胞核的；中心的；原子核的
involve	 v. 包含；牵涉；使陷于；潜心于
career	 n. 生涯；职业；事业；速度，全速 adj. 作为毕生职业的 v. 全速前进，猛冲
belief	 n. 相信，信赖；信仰；教义
spend	 v. 度过，消磨（时光）；花费；浪费；用尽 n. 预算
necessary	 adj. 必要的；必需的；必然的 n. 必需品
general	 adj. 一般的，普通的；综合的；大体的 n. 一般；将军，上将；常规
cure	 v. 治疗；治愈；使硫化；加工处理 n. 治疗；治愈；[临床] 疗法
network	 n. 网络；广播网；网状物
determine	 v. （使）下决心，（使）做出决定
possible	 adj. 可能的；合理的；合适的 n. 可能性；合适的人；可能的事物
security	 n. 安全；保证；证券；抵押品 adj. 安全的；保安的；保密的
organization	 n. 组织；机构；体制；团体
pursuit	 n. 追赶，追求；职业，工作
plant	 n. 工厂，车间；植物；设备；庄稼 v. 种植；培养；栽培；安置
situation	 n. 情况；形势；处境；位置
agency	 n. 代理，中介；代理处，经销处
natural	 adj. 自然的；物质的；天生的；不做作的 n. 自然的事情；白痴；本位音
speak	 v. 说话；演讲；表明；陈述
feature	 n. 特色，特征；容貌；特写或专题节目 v. 起重要作用
translation	 n. 翻译；译文；转化；调任
mass	 n. 块，团；群众，民众；大量，众多；质量 adj. 群众的，民众的；大规模的，集中的 v. 聚集起来，聚集
achieve	 v. 取得；获得；实现；成功
agree	 v. 同意，赞成；承认；约定，商定
difficult	 adj. 困难的；不随和的；执拗的
formal	 adj. 正式的；拘谨的；有条理的 n. 正式的社交活动；夜礼服
lawyer	 n. 律师；法学家
trend	 n. 趋势，倾向；走向 v. 趋向，伸向
order	 n. 命令；顺序；规则；[贸易] 定单 v. 命令；整理；定购
advantage	 n. 优势；利益；有利条件 v. 获利
suppose	 v. 假设；认为；让（虚拟语气）；推想 conj. 假使…结果会怎样
province	 n. 省；领域；职权
soccer	 n. 英式足球，足球
encourage	 v. 鼓励，怂恿；激励；支持
promise	 n. 许诺，允诺；希望 v. 允诺，许诺；给人以…的指望或希望
sign	 n. 迹象；符号；记号；手势；指示牌 v. 签署；签名
analysis	 n. 分析；分解；验定
translate	 v. 翻译；转化；解释；转变为；调动
expert	 adj. 熟练的；内行的；老练的 n. 专家；行家；能手 vt. 当专家；在…中当行家
present	 v. 提出；介绍；呈现；赠送 adj. 现在的；出席的 n. 现在；礼物；瞄准
justice	 n. 司法，法律制裁；正义；法官，审判员
apply	 v. 申请；涂，敷；应用
limited	 adj. 有限的 n. 高级快车
source	 n. 来源；水源；原始资料
carry	 v. 拿，扛；携带；支持；搬运 n. 运载；[计] 进位；射程
focus	 n. 焦点；中心；清晰；焦距 v. 使集中；使聚焦
sleep	 v. 睡，睡觉 n. 睡眠
reality	 n. 现实；实际；真实
catch	 v. 赶上；抓住；感染；了解 n. 捕捉；捕获物；窗钩
basic	 adj. 基本的；基础的 n. 基础；要素
drink	 v. 喝，饮；吸收；举杯庆贺 n. 酒，饮料；喝酒
finding	 n. 发现；裁决；发现物 v. 找到；感到（find的ing形式）；遇到
visit	 n. 访问；参观；逗留 v. 访问；参观；视察
model	 n. 模型；典型；模范；模特儿；样式 v. 模拟；塑造；模仿 adj. 模范的；作模型用的
matter	 n. 物质；事件 v. 有关系；要紧
physical	 adj. [物] 物理的；身体的；物质的；根据自然规律的，符合自然法则的 n. 体格检查
classical	 adj. 古典的；经典的；传统的；第一流的 n. 古典音乐
growth	 n. 增长；发展；生长；种植
trade	 n. 贸易，交易；行业；职业 v. 交易，买卖；以物易物
track	 n. 轨道；足迹，踪迹；小道 v. 追踪；通过；循路而行；用纤拉
senior	 adj. 高级的；年长的；地位较高的；年资较深的，资格较老的 n. 上司；较年长者；毕业班学生
educate	 v. 教育；培养；训练
stand	 v. 站立；位于；停滞 n. 站立；立场；看台；停止
journalist	 n. 新闻工作者；报人；记日志者
setting	 n. 环境；安装；布置；[天] 沉落 v. 放置；沉没；使…处于某位置（set的ing形式）
return	 v. 返回；报答 n. 返回；归还；回球 adj. 报答的；回程的；返回的
relationship	 n. 关系；关联
pattern	 n. 模式；图案；样品 v. 模仿；以图案装饰
emerge	 v. 浮现；摆脱；暴露
ignore	 v. 驳回诉讼；忽视；不理睬
flow	 v. 流动，涌流；川流不息；飘扬 n. 流动；流量；涨潮，泛滥
suitable	 adj. 适当的；相配的
environment	 n. 环境，外界
exercise	 n. 运动；练习；运用；操练；礼拜；典礼 v. 锻炼；练习；使用；使忙碌；使惊恐
force	 n. 力量；武力；军队；魄力 v. 促使，推动；强迫；强加
introduce	 v. 介绍；引进；提出；采用
personal	 adj. 个人的；身体的；亲自的 n. 人事消息栏；人称代名词
negative	 adj. [数] 负的；消极的；否定的；阴性的 n. 否定；负数；[摄] 底片 v. 否定；拒绝
native	 adj. 本国的；土著的；天然的；与生俱来的；天赋的 n. 本地人；土产；当地居民
investment	 n. 投资；投入；封锁
exchange	 n. 交换；交流；交易所；兑换 v. 交换；交易；兑换
range	 n. 范围；幅度；排；山脉 v. （在内）变动；平行，列为一行；延伸；漫游；射程达到
professional	 adj. 专业的；职业的；职业性的 n. 专业人员；职业运动员
strong	 adj. 坚强的；强壮的；牢固的；擅长的 adv. 强劲地；猛烈地 n. (Strong)人名；(英)斯特朗
extra	 adv. 特别地，非常；另外 n. 临时演员；号外；额外的事物；上等产品 adj. 额外的，另外收费的；特大的
threat	 n. 威胁，恐吓；凶兆
successful	 adj. 成功的；一帆风顺的
conduct	 v. 导电；带领 n. 进行；行为；实施
consequence	 n. 结果；重要性；推论
simply	 adv. 简单地；仅仅；简直；朴素地；坦白地
largely	 adv. 主要地；大部分；大量地
evolution	 n. 演变；进化论；进展
enhance	 v. 提高；加强；增加
emotion	 n. 情感；情绪
usual	 adj. 通常的，惯例的；平常的
guide	 n. 指南；向导；入门书 v. 引导；带领；操纵
economy	 n. 经济；节约；理财
exist	 v. 存在；生存；生活；继续存在
politics	 n. 政治，政治学；政治活动；政纲
expose	 v. 揭露，揭发；使曝光；显示
technology	 n. 技术；工艺；术语
predict	 v. 预报，预言；预知
epidemic	 adj. 流行的；传染性的 n. 传染病；流行病；风尚等的流行
smoke	 n. 烟；抽烟；无常的事物 v. 冒烟，吸烟；抽烟；弥漫
firm	 adj. 坚定的；牢固的；严格的；结实的 v. 使坚定；使牢固 adv. 稳固地 n. 公司；商号
discipline	 n. 学科；纪律；训练；惩罚 v. 训练，训导；惩戒
emphasize	 v. 强调，着重
poetry	 n. 诗；诗意，诗情；诗歌艺术
conscious	 adj. 意识到的；故意的；神志清醒的
goal	 n. 目标；球门，得分数；终点 vi. 攻门，射门得分
outcome	 n. 结果，结局；成果
reader	 n. 读者；阅读器；读物
reputation	 n. 名声，名誉；声望
identify	 v. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi确定；认同；一致
express	 v. 表达；快递 adj. 明确的；迅速的；专门的 n. 快车，快递，专使；捷运公司
policy	 n. 政策，方针；保险单
spy	 v. 侦察；发现；暗中监视 n. 间谍；密探
church	 n. 教堂；礼拜；教派 adj. 教会的；礼拜的 v. 领…到教堂接受宗教仪式
wrong	 adv. 错误地；邪恶地，不正当地 n. 坏事；不公正 adj. 错误的；失常的；不适当的 v. 委屈；无理地对待；诽谤
measure	 n. 测量；措施；程度；尺寸 v. 测量；估量；权衡
prove	 v. 证明；检验；显示
competition	 n. 竞争；比赛，竞赛
majority	 n. 多数；成年
store	 n. 商店；储备，贮藏；仓库 v. 贮藏，储存
story	 n. 故事；小说；新闻报道；来历；假话 vt. 用历史故事画装饰 vi. 说谎
current	 adj. 现在的；流通的，通用的；最近的；草写的 n. （水，气，电）流；趋势；涌流
scholar	 n. 学者；奖学金获得者
increasingly	 adv. 越来越多地；渐增地
expect	 v. 期望；指望；认为；预料
acquire	 v. 获得；取得；学到；捕获
occur	 v. 发生；出现；存在
reflect	 v. 反映；反射，照出；表达；显示;反省
progress	 n. 进步，发展；前进 v. 前进，进步；进行
global	 adj. 全球的；总体的；球形的
remember	 v. 记得；牢记；纪念；代…问好
consumption	 n. 消费；消耗；肺痨
advance	 n. 发展；前进；增长；预付款 v. 提出；预付；使……前进；将……提前 adj. 预先的；先行的
advocate	 v. 提倡，主张，拥护 n. 提倡者；支持者；律师
sort	 n. 种类；方式；品质 v. 分类；协调；交往
wake	 v. 醒来；唤醒；警觉 n. 尾迹；守夜；守丧
doubt	 n. 怀疑；疑问；疑惑 v. 怀疑；不信；恐怕；拿不准
figure	 n. 数字；人物；图形；价格；（人的）体形；画像 v. 计算；出现；扮演角色
association	 n. 协会，联盟，社团；联合；联想
relation	 n. 关系；叙述；故事；亲属关系
stop	 v. 停止；堵塞；断绝 n. 停止；车站；障碍；逗留
aspect	 n. 方面；方向；形势；外貌
contribute	 v. 贡献，出力；投稿；捐献
preserve	 v. 保存；保护；维持；腌；禁猎 n. 保护区；禁猎地；加工成的食品
memory	 n. 记忆，记忆力；内存，[计] 存储器；回忆
examine	 v. 检查；调查； 检测；考试
obvious	 adj. 明显的；显著的；平淡无奇的
learning	 n. 学习；学问 v. 学习（learn的现在分词）
tradition	 n. 惯例，传统；传说
special	 n. 特使，特派人员；特刊；特色菜；专车；特价商品 adj. 特别的；专门的，专用的
benefit	 n. 利益，好处；救济金 v. 有益于，对…有益
attract	 v. 吸引；引起
similar	 adj. 相似的 n. 类似物
statement	 n. 声明；陈述，叙述；报表，清单
establish	 v. 建立；创办；安置
avoid	 v. 避免；避开，躲避；消除
secure	 adj. 安全的；无虑的；有把握的；稳当的 v. 保护；弄到；招致；缚住
collection	 n. 采集，聚集；[税收] 征收；收藏品；募捐
replace	 v. 取代，代替；替换，更换；归还，偿还；把…放回原处
lack	 v. 缺乏；不足；没有；需要 n. 缺乏；不足
origin	 n. 起源；原点；出身；开端
dynamic	 adj. 动态的；动力的；动力学的；有活力的 n. 动态；动力
suffer	 v. 遭受；忍受；经历 n. (Suffer)人名；(意)苏费尔
female	 adj. 女性的；雌性的；柔弱的，柔和的 n. 女人；[动] 雌性动物
disease	 n. 病，[医] 疾病；弊病 vt. 传染；使…有病
charge	 n. 费用；电荷；掌管；控告；命令；负载 v. 使充电；使承担；指责；装载；对…索费；向…冲去
stock	 n. 股份，股票；库存；血统；树干；家畜 adj. 存货的，常备的；平凡的 v. 进货；备有；装把手于…
executive	 adj. 行政的；经营的；执行的，经营管理的 n. 总经理；执行委员会；执行者；经理主管人员
negotiate	 v. 谈判，商议；转让；越过
rely	 v. 依靠；信赖
desire	 n. 欲望；要求，心愿；性欲 v. 想要；要求；希望得到…
revenue	 n. 税收，国家的收入；收益
game	 n. 游戏；比赛 adj. 勇敢的 v. 赌博
draft	 n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流 v. 起草；制定；征募 adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的
separate	 v. 使分离；使分开；使分居 adj. 单独的；分开的；不同的；各自的； n. 分开；抽印本
reject	 v. 拒绝；排斥；抵制；丢弃 n. 被弃之物或人；次品
mental	 adj. 精神的；脑力的；疯的 n. 精神病患者
essential	 adj. 基本的；必要的；本质的；精华的 n. 本质；要素；要点；必需品
root	 n. 根；根源；词根；祖先 v. 生根；根除
escape	 v. 逃避，避开，避免；被忘掉；被忽视 n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
phenomenon	 n. 现象；奇迹；杰出的人才
unite	 v. 使…混合；使…联合；使…团结
fair	 adj. 公平的；美丽的，白皙的；[气象] 晴朗的 adv. 公平地；直接地；清楚地 v. 转晴 n. 展览会；市集；美人
article	 n. 文章；物品；条款；[语] 冠词 v. 订约将…收为学徒或见习生；使…受协议条款的约束
discover	 v. 发现；发觉
management	 n. 管理；管理人员；管理部门；操纵；经营手段
recent	 adj. 最近的；近代的
recognize	 v. 认出，识别；承认
insurance	 n. 保险；保险费；保险契约；赔偿金
inevitable	 adj. 必然的，不可避免的
original	 n. 原件；原作；原物；原型 adj. 原始的；最初的；独创的；新颖的
sell	 v. 销售；推销；出卖；欺骗 n. 销售；失望；推销术
status	 n. 地位；状态；情形；重要身份
regard	 n. 注意；尊重；问候；凝视 v. 注重，考虑；看待；尊敬；把…看作；与…有关
laughter	 n. 笑；笑声
appeal	 v. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判 n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
favor	 v. 赞成；喜欢；像；赐予；证实 n. 喜爱；欢心；好感
sensitive	 adj. 敏感的；感觉的；[仪] 灵敏的；感光的；易受伤害的；易受影响的 n. 敏感的人；有灵异能力的人
suit	 v. 适合；使适应 n. 诉讼；恳求；套装，西装；一套外衣
crime	 n. 罪行，犯罪；罪恶；犯罪活动 vt. 控告……违反纪律
circuit	 n. [电子] 电路，回路；巡回；一圈；环道 v. 环行
directly	 adv. 直接地；立即；马上；正好地；坦率地 conj. 一…就
property	 n. 性质，性能；财产；所有权
warm	 adj. 温暖的；热情的 v. 同情；激动；变温暖 n. 取暖；加热
skeptical	 adj. 怀疑的；怀疑论的，不可知论的
authority	 n. 权威；权力；当局
primary	 adj. 主要的；初级的；基本的 n. 原色；最主要者
politician	 n. 政治家，政客
step	 n. 步，脚步；步骤；步伐；梯级 v. 踏，踩；走
responsibility	 n. 责任，职责；义务
possibility	 n. 可能性；可能发生的事物
chemical	 n. 化学制品，化学药品 adj. 化学的
indicate	 v. 表明；指出；预示；象征
critical	 adj. 鉴定的；[核] 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
southern	 adj. 南的；南方的 n. 南方人
importance	 n. 价值；重要；重大；傲慢
adjust	 v. 调整，使…适合；校准
scale	 n. 规模；比例；鳞；刻度；天平；数值范围 v. 衡量；攀登；剥落；生水垢
everyday	 adj. 每天的，日常的 n. 平时；寻常日子
philosopher	 n. 哲学家；哲人
magazine	 n. 杂志；弹药库；胶卷盒
trouble	 n. 麻烦；烦恼；故障；动乱 v. 麻烦；使烦恼；折磨
traffic	 n. 交通；运输；贸易；[通信] 通信量 v. 用…作交换；在…通行
size	 n. 大小；尺寸 adj. 一定尺寸的 v. 依大小排列
worm	 n. 虫，蠕虫；蜗杆；螺纹；小人物 v. 使蠕动；给除虫；使缓慢前进
bite	 v. 咬；刺痛 n. 咬；一口；咬伤；刺痛 abbr. 机内测试设备（Built-In Test Equipment）
code	 n. 代码，密码；编码；法典 v. 编码；制成法典
cope	 v. 处理；对付；竞争 n. 长袍
generate	 v. 使形成；发生；生殖；产生物理反应
modern	 adj. 现代的，近代的；时髦的 n. 现代人；有思想的人
payment	 n. 付款，支付；报酬，报答；偿还；惩罚，报应
respect	 n. 尊敬，尊重；方面；敬意 v. 尊敬，尊重；遵守
campaign	 v. 作战；参加竞选；参加活动 n. 运动；活动；战役
labor	 n. 劳动；工作；劳工；分娩 v. 劳动；努力；苦干
colleague	 n. 同事，同僚
element	 n. 元素；要素；原理；成分；自然环境
sight	 n. 视力；景象；眼界；见解 v. 看见；瞄准 adj. 见票即付的；即席的
trust	 n. 信任，信赖；责任；托拉斯 v. 信任，信赖；盼望；赊卖给
link	 n. [计] 链环，环节；联系，关系 v. 连接，连结；联合，结合
town	 n. 城镇，市镇；市内商业区
freedom	 n. 自由，自主；直率
partner	 n. 伙伴；合伙人；配偶 v. 合伙；合股；成为搭档
sit	 v. 坐；位于 n. (Sit)人名；(东南亚国家华语)硕；(罗)西特
department	 n. 部；部门；系；科；局
manager	 n. 经理；管理人员
worth	 adj. 值…的 n. 价值；财产
design	 v. 设计；计划；构思 n. 设计；图案
commit	 v. 犯罪，做错事；把交托给；指派…作战；使…承担义务
ancestor	 n. 始祖，祖先；被继承人
hijack	 v. 抢劫；揩油 n. 劫持；威逼；敲诈
rest	 v. 使休息，使轻松；把…寄托于 n. 休息，静止；休息时间；剩余部分；支架
enter	 v. 进入；开始；参加 n. [计] 输入；回车
innovation	 n. 创新，革新；新方法
sustain	 v. 维持；支撑，承担；忍受；供养；证实
image	 n. 影像；想象；肖像；偶像 v. 想象；反映；象征；作…的像
retail	 v. 零售；转述 n. 零售 adv. 以零售方式 adj. 零售的
teenager	 n. 十几岁的青少年；十三岁到十九岁的少年
manner	 n. 方式；习惯；种类；规矩；风俗
threaten	 v. 威胁；恐吓；预示
month	 n. 月，一个月的时间
international	 n. 国际组织；国际体育比赛；外国居留者；国际股票 adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的
repeat	 v. 重复；复制；背诵 n. 重复；副本
neglect	 v. 疏忽，忽视；忽略 n. 疏忽，忽视；怠慢
mode	 n. 模式；方式；风格；时尚
shop	 n. 商店；店铺 v. 购物
folk	 n. 民族；人们；亲属（复数） adj. 民间的
justify	 v. 证明合法；整理版面
mention	 v. 提到，谈到；提及，论及；说起 n. 提及，说起
resistant	 adj. 抵抗的，反抗的；顽固的 n. 抵抗者
daily	 adj. 日常的；每日的 n. 日报；朝来夜去的女佣 adv. 日常地；每日；天天
random	 adj. [数] 随机的；任意的；胡乱的 n. 随意 adv. 胡乱地
decline	 n. 下降；衰退；斜面 v. 下降；衰落；谢绝
objective	 adj. 客观的；目标的；宾格的 n. 目的；目标；[光] 物镜；宾格
stick	 v. 刺，戳；伸出；粘贴 n. 棍；手杖；呆头呆脑的人
factor	 n. 因素；要素；[物] 因数；代理人 v. 做代理商
rail	 n. 铁轨；扶手；横杆；围栏 v. 抱怨；责骂
fall	 v. 落下；变成；来临；减弱 n. 下降；秋天；瀑布 adj. 秋天的
refer	 v. 参考；涉及；提到；查阅
short	 adj. 短的；不足的；矮的，低的 n. 短；缺乏；短路；短裤 adv. 不足；突然；唐突地
argument	 n. 论证；论据；争吵；内容提要
task	 v. 分派任务 n. 工作，作业；任务
manage	 v. 管理；经营；控制；设法
