anyone	 pron. 任何人
plant	 n. 植物 v. 种植
part	 n. 部分；参加
play a part	 参与（某事）　
peace	 n. 和平
sea	 n. 海；海洋；；许多；大量（与of连用）
sky	 n. 天空
astronaut	 n. 宇航员
apartment	 n. 公寓
rocket	 n. 火箭；
space	 n. 空间；太空
space station	 n. 太空站
human	 adj. 人的 n. 人；人类
servant	 n. 仆人
dangerous	 adj. 危险的
already	 adv. 已经
factory	 n. 工厂
over and over again	 多次；反复地
believe	 v. 相信
disagree	 v. 不同意
even	 adv. 甚至；愈加
hundreds of	 许多 ；大量； 成百上千
shape	 n. 形状
fall	 v. 摔倒；跌倒
fall down	 突然倒下；跌倒；倒塌
inside	 n. 里面；内部；内脏 adj. 里面的；内部的；秘密的；内幕的 adv. 在里面 prep. 在……之内
look for	 寻找；寻求
possible	 可能的
impossible	 adj. 不可能的；不可能存在的；难以忍受的；难以忍受的 n. 不可能；不可能的事
side	 n. 侧面；旁边；方面 v. 支持；同意，支持 adj. 旁的，侧的
probably	 adv. 大概；或许；很可能
during	 prep. 在……的时候，在……的期间
holiday	 n. 假日
word	 n. 字；词；单词
shake	 v. 摇动；震动；动摇；发抖 n. 摇动；哆嗦
milk shake	 n. 奶昔（牛奶和冰淇淋等的混合饮料）
blender	 n. 搅拌器；果汁机
turn on	 打开
peel	 v. 削皮；剥落
pour	 v. 倒；倾倒
yogurt	 n. 酸奶；
honey	 n. 蜂蜜
watermelon	 n. 西瓜
spoon	 n. 勺，调羹
pot	 n. 壶；盆；罐 v. 把……装罐
add	 v. 增加
finally	 adv. 最后，最终
salt	 n. 盐
sugar	 n. 糖
cheese	 n. 干酪，奶酪
popcorn	 n. 爆米花
corn	 n. 谷物；玉米
machine	 n. 机器
dig	 v. 挖，掘；探究 n. 挖苦；刺；戳
hole	 n. 洞，孔；洞穴，穴 v. （高尔夫球等）进洞 凿洞
sandwich	 n. 三明治
butter	 n. 黄油，奶油
turkey	 n. 火鸡
lettuce	 n. 莴苣，生菜
piece	 n. 件；篇；片；块；
Thanksgiving	 n. 感恩节
traditional	 adj. 传统的
autumn	 n. 秋天 adj. 秋天的，秋季的
traveler	 n. 旅行者
England	 n. 英格兰；英国
celebrate	 v. 庆祝；庆贺
mix	 v. 混淆；使混和；配制 n. 混合；混合物；混乱
pepper	 n. 胡椒粉；椒类
fill	 v. 装满，使充满；满足；任职
oven	 n. 烤箱；烤炉
plate	 n. 碟；金属牌；金属板 v. 镀上（金或银）
cover	 v. 遮盖，盖
gravy	 n. 肉汁；肉汤
serve	 n. 接待，服务
temperature	 n. 温度，气候
prepare	 v. 预备；准备
prepare for	 为……准备
exam	 n. 考试
flu	 n. 流感
available	 adj. 可得到的；有空的
another time	 其他时间，别的时间
until	 conj. 在…之前；直到…时 prep. 在…之前；到…为止
hang	 悬挂
hang out	 常去某处；泡在某处
catch	 抓住；捕捉
invite	 v. 邀请
accept	 v. 接受；
refuse	 v. 拒绝
the day before yesterday	 前天
the day after tomorrow	 后天
weekday	 n. 工作日
look after	 照顾，照料
invitation	 n. 邀请；邀请函
turn down	 减小，关小，调低
reply	 v. 回答，回复
forward	 adv. 向前
delete	 v. 删除
print	 n. 印刷的文字；印花布 v. 印刷；打印；刊载
sad	 adj. 难过的；悲哀的，令人悲痛的
goodbye	 int. 再见
take a trip	 去旅行
glad	 adj. 高兴的；乐意的 v. 使...高兴
preparation	 n. 准备；准备工作（用复数形式）
glue	 v. 粘合；盯着某物看（后接to） n. 胶；各种胶合物
without	 prep. 没有
surprised	 adj. 感到惊讶的 v. 使惊奇（surprise的过去分词形式）
look forward to	 盼望，期待
hear from	 收到......来信
housewarming	 n. 乔迁庆宴
opening	 n. 开幕式，落成典礼
concert	 n. 音乐会
headmaster	 n. 男校长
event	 n. 大事；公开活动
guest	 n. 客人
calendar	 n. 日历；日程表
daytime	 n. 日间，白天
meeting	 n. 会议；集会；会见 v. 会面；会合（meet的ing形式）
video	 n. 录像；录像带
potato chips	 n. 马铃薯片；油炸薯片
chocolate	 n. 巧克力
upset	 adj. 难过的，失望的
taxi	 v. 滑行；乘出租车；用出租车送 n. 出租汽车
advice	 n. 劝告，建议
travel	 v. 旅行；走过（某距离）；（以某速度）行进
agent	 n. 代理人，经纪人
expert	 n. 专家，能手
keep…to oneself	 保守秘密
teenager	 n. 青少年
normal	 adj. 正常的
unless	 conj. 除非，如果不
certainly	 adv. 当然，肯定
wallet	 n. 　皮夹，钱包
mile	 n. 英里；较大的距离
angry	 adj. 生气的，发怒的
understanding	 adj. 善解人意的，体谅人的
careless	 adj. 粗心的，不小心的
mistake	 n. 错误，失误
himself	 pron. 他自己；他亲自，他本人
careful	 adj. 小心的；细致的，周密的
advise	 v. 劝告，建议
solve	 v. 解决；解答
step	 n. 步，脚步；步伐；步骤；梯级 v. 踏，踩；走；走，迈步
trust	 n. 相信，信任
experience	 n. 经验；经历
in half	 分成两半,一半
halfway	 adv. 中途地；半路地
else	 adj. 别的，其他的 adv. 还能有别的……
