internship	 n. <美>实习医师
fretful	 ' adj. 烦躁不安的
fret	 v. 使烦躁,使焦虑；使磨损
egalitarian	 adj. 平等主义的，主张平等的
curriculum	 n. 课程
prestigious	 adj. 有声望的
melodramatic	 n. 情节剧的
bias	 n&v. 偏见
burgeon	 v. 萌芽；迅速发展
dwindle	 v. 逐渐减少
affluence	 n. 富裕
rustic	 adj. 乡村的，乡下的
chronicle	 n&v. 记录，将…载入编年体
authentic	 adj. 真正的，可信的
stereotypical	 adj. 老一套的，陈规的
scrummage	 v. 争球
scramble	 v. 快速爬行；攀登。争夺，争抢；炒；~eggs 炒鸡蛋
rampart	 n. （城堡等周围宽口的）防御土墙 ；防御，保护
defy	 v. 公然反抗；无法做某事
defiance	 n. 蔑视；挑战；反抗
grin	 v. 露齿而笑
epitomize	 v. 做…摘要；典型；是…的典范
metropolis	 n. 首府；大都市；重要中心
raucous	 adj. 沙哑的；刺耳的；粗声的
roar	 v. 大声喊叫
reminiscent	 adj. 怀旧的，回忆往事的；耽于回想，搭配介词of
reminisce	 v. 回忆；搭配介词
repression	 n. 抑制，压抑；镇压
pimp	 n. 俚皮条客；男妓
rage	 n. 愤怒； v. 大怒，发怒；
sobriety	 n. 节制；清醒，冷静
sober	 adj. 清醒的；absorb v.使…全神贯注
brink	 n. （峭壁的）边缘；
cando	 n. 私人公寓
lucrative	 adj. 有利可图的，赚钱的；合算的
callous	 adj. 起老茧的；无情的
calloused	 adj. 变得无情的；长满老茧的
callosity	 n. 无情；老茧
snap	 v. 猛咬；发出尖厉声音的突然折断
mortgage	 v. 抵押 n. 抵押债款
ultimate	 adj. 最终的
ultimatum	 n. 最后通牒；最后结论
resurgence	 adj. 复苏
centrifugal	 adj. 离心的； force 离心力
devolution	 n. （权利）移交，下放；退化、倒退
enact	 v. 颁布；制定法律
figurehead	 n. 傀儡
waterfront	 n. 水边；滩，海滨
esteem	 v. 尊敬；考虑； n. 尊重；尊敬
indigenous	 adj. 本土的；本国的；天生的
compatriot	 n. 同国人；同胞
jersey	 n. 运动衫，毛线衫
feudal	 adj. 封建的
hilarious	 adj. 欢闹的；非常滑稽的；
amble	 v. （马）缓行；从容漫步 n. （马的）缓行步态；漫步
swig	 v&n. 大口喝；
satchel	 n. 小背包；书包
grenade	 n. 手榴弹
anthrax	 n. 炭疽，炭疽热
wield	 v. 挥舞；手持；拥有（权利）
abstention	 n. 弃权；节制；戒绝
municipal	 adj. 市政的，市的；政府的
furious	 adj. 狂怒的；激烈的
thwart	 v. 反对；阻碍；阻挠
spangle	 n. 闪光的饰品； v. 使发光
suffragette	 n. 女权主义者
medieval	 adj. 中世纪的
embody	 v. 体现
chivalry	 n. 骑士精神（复数chivalries）；绅士风度
compliment	 n&v. 赞扬
reign	 v\n. 统治；支配；统治时期
prowess	 n. 英勇；超凡技术；勇猛
sinew	 n. 筋；肌腱；体力；精力
dexterous	 adj. 灵巧的；敏捷的；惯用右手的
malice	 英汉翻译n. 恶意;恶毒
impetuous	 adj. 冲动的；猛烈的；鲁莽的
treacherous	 adj. 背信弃义的
munificent	 adj. 慷慨的
circumspect	 adj. 谨慎的，小心的
ineptitude	 n. 无能
tenable	 adj. 站的住脚的；合理的
unearth	 v. 挖掘
paramount	 adj. 至高无上的；最重要的（没有比较级和最高级）
bolt	 n. 弩箭；门闩
fealty	 n. 忠诚
flay	 v. 剥皮
pompous	 adj. 高傲的，自大的
demise	 n. 死亡;终止
impoverish	 v. 贫穷
audacious	 adj. 厚颜无耻的；大胆鲁莽的
cumulative	 adj. 积累的
prudent	 adj. 谨慎的
quirk	 n. 怪癖,奇事
cosmos	 n. 宇宙
margin	 n. 边缘，利润
zealous	 adj. 热心的，热忱的
discretion	 n. 选择的自由；谨慎；判断力
circumvent	 v. 绕过；巧妙地规避
dynamo	 n. 发电机
charcoal	 n. 木炭
agile	 adj. 灵活的，轻快的
ruckus	 n. 争吵
exemplify	 v. 举例说明
venerable	 adj. 古老的;值得尊敬的
stilt	 n. 高跷
impersonator	 n. 模仿者，演员
teeter	 v. 步履蹒跚
console	 v. 安慰
bondage	 n. 奴役，束缚
brawl	 v. 争吵
exuberant	 adj. 茁壮成长的，
attic	 n. 阁楼
buoyant	 adj. 上涨的；有浮力的
burgeoning	 adj. 迅速发展的
fugitive	 n. 逃亡者
overwhelmingly	 adv. 势不可挡地
vaporize	 v. 蒸发
flirtatious	 adj. 爱调情的
stance	 n. 立场
reversal	 n. 反转，反向
portfolio	 n. 投资组合
