spacious	 adj. 宽敞的
expatriate	 n. 居住在国外的人
fashion-conscious	 adj. 有时尚意识的
shun	 vt. 避开，避免
elegance	 n. 高雅，典雅，优雅
obscure	 adj. 名不见经传的
curator	 n. 馆长
pure	 adj. 纯的，纯粹的
ingenuity	 n. 独创性，灵活性
novelty	 n. 新颖，新奇
barcode	 n. 条形码
coordinate	 vt. 使协调，使调和
toaster	 n. 烤面包机，多士炉
medieval	 adj. 中古的，中世纪的
joust	 v. （中世纪的骑士）骑马用长矛打斗
opponent	 n. 对手，反对者
strain	 n. 过度疲劳；紧张
navigation	 n. 导航
monitor	 vt&vi. 监控
hold-up	 n. 停止
exceed	 vt. 超越；胜过
speedometer	 n. 计速器
bona fide	 adj. 名副其实的
iris	 n. （瞳孔周围的）虹膜
holographic	 adj. 全息照相的
teleworking	 n. 远程工作
freelance	 n. 自由作家，自由记者
short-term	 adj. 短期的
concept	 n. 观念；概念
mundane	 adj. 平凡的，平淡的，乏味的
unskilled	 adj. 不熟练的
idle	 adj. 空闲的，懒惰的
blur	 vt. 使模糊，看不清楚
sedentary	 adj. 久坐的，坐惯的
wasteland	 n. 荒地，废墟
combat	 vt. 试图减弱；斗争
isolation	 n. 隔离；孤立
underestimate	 vt. 低估
confounder	 n. 混淆因素
forecast	 vt&n. 预测，预报
dodgy	 adj. 冒险的；困难的
lumbering	 adj. 笨拙的，动作迟缓的
predecessor	 n. 前任；原先的东西
shrink	 vi. 收缩，缩短
tuck	 vt. 打褶，卷起
nano-technology	 n. 纳米技术
Martini	 n. 马提尼酒（一种鸡尾酒）
robotic	 adj. 机器人的
vacuum	 n. 真空；真空吸尘器
book	 vt. 预定
all-in-one	 adj. 多功能的；几合一的
lycra	 n. 合成弹力纤维
gear	 n. 衣服
misnomer	 n. 错误或使用不当的名字
other than	 除了；不同于
faultless	 adj. 无错误的，无缺点的，完美的
dimension	 n. 尺寸；方面
fib	 n. 无伤大雅的谎言，小谎言
nip	 vt&vi. 咬；夹；钳；掐
traitorously	 adv. 叛变地，不忠地
cryogenics	 n. 低温学
part with	 放弃；跟……分手
defrost	 vt. 解冻
delude	 vt. 迷惑，蛊惑
mucky	 adj. 粪肥的，肮脏的
puddle	 n. 小水坑
as for	 至于
buzz	 vi&vt. 发嗡嗡声
stack	 vt. 堆叠
nutritionally	 adv. 在营养上
traipse	 vi. 疲惫地走；拖沓地行走
resound	 vi. 回响；回荡
nightmarish	 adj. 噩梦似的
inclination	 n. 倾向，爱好
forego	 vt. 摒绝，放弃
groundless	 adj. 无根据的，没有理由的
flying saucer	 飞碟
reproductive	 adj. 生殖的，繁殖的
pregnancy	 n. 怀孕
double-glazing	 n. 双层玻璃
opt	 vi. 选择
file	 vt. 编档保存
lunatic	 adj. 精神错乱的，疯狂的
well-defined	 adj. 明确的
phenomenally	 adv. 明白地；现象上地
risky	 adj. 危险的
unchangeable	 adj. 不能改变的；不变的
terminal	 n. 航空站；终点站
overcrowded	 adj. 过度拥挤的
blessed	 adj. 令人愉快的，快乐的
tranquility	 n. 宁静
specialise	 vt. 专门从事
sustainable	 adj. 可持续的
exploit	 vt. 开发；开拓；开采
asset	 n. （pl.）资产，财产
vice versa	 adv. 反之亦然
inaccessible	 adj. 不可及的，不可接触的
inhospitable	 adj. 不适合居住的，荒凉的
all-inclusive	 adj. 包括一切的
out-of-the-way	 adj. 偏僻的，偏远的
beetle	 n. 甲虫
crunchy	 adj. 硬脆的；松脆的
gaucho	 n. 高卓人，牧人
hermit	 n. 隐士，隐居者
rough	 v. 过简单不很舒适的生活
retreat	 n. 隐遁
pavilion	 n. 临时建筑物；看台；亭
grove	 n. 小树林
archaeology	 n. 考古学
awestruck	 adj. 敬畏的，肃然起敬的
obedient	 adj. 服从的；孝顺的
HQ	 abbr. 总部
Heathrow Airport	 希思罗机场
corporate	 adj. 公司的；团体的；全体的
lamppost	 n. 街灯柱
perk	 n. （额外）津贴，补贴
consultancy	 n. 顾问（工作）
communally	 adv. 集体地
con	 v. 骗
complaint	 n. 诉苦，抱怨，牢骚
audible	 adj. 听得见的
dress-down	 adj. （比平时）穿着随便的
wistful	 adj. 伤感的
disappearance	 n. 不见，消失
functional	 adj. 功能的
orthodoxy	 n. 规范性，正统性
chino	 n. 丝光斜纹棉布，（pl.）斜纹棉布裤
detractor	 n. 诽谤者，恶意批评者
soul-destroying	 adj. 毁灭灵魂的
mayhem	 n. 大混乱的
umbilical cord	 n. 脐带
incentive	 n. 刺激，鼓励；动机
cynical	 adj. 愤世嫉俗的
liberalization	 n. 自由主义化
fuse	 vt. 融合
intention	 n. 意图，目的
occupant	 n. 占有者，居住者
bug	 n. 细菌，病菌；臭虫；窃听器
testify	 vt. 证明，证实
bogus	 adj. 假的，伪造的
inactive	 adj. 不活动的
bluntly	 adv. 坦率地，率直地
play truant	 逃学
malicious	 adj. 恶意的，心毒的
gossip	 n. 闲言碎语，流言蜚语
exaggerate	 vt. 夸大，夸张
perjury	 n. 伪誓，伪证
forgery	 n. 伪造
hoax	 n. 恶作剧，骗局
unicorn	 n. 独角兽，麒麟
strait-jacket	 n. （尤指束缚精神病患者手臂用的）约束衣
booby	 n. 呆子，傻瓜
tragic	 adj. 悲惨的，不幸的
nook	 n. 角落；僻静处
scramble	 vi&vt. 炒
crop	 vt. 啃吃；剪短
mythical	 adj. 神话的，虚构的
browse	 vi. 吃草
tulip	 n. 郁金香
gravely	 adv. 严肃地，庄重地
rouse	 vt&n. 唤醒，觉醒
lily	 n. 百合，百合花
coldly	 adv. 冷淡地
gloat	 n. 得意洋洋，幸灾乐祸
solemn	 adj. 严肃的，庄重的
subdue	 vt. 制伏
jay	 n. 松鸦
habitual	 adj. 习惯性的，经常的
trustworthy	 adj. 可靠的，信得过的
spit out	 吐出
detector	 n. 探测器，检测器
cheapness	 n. 廉价
reliability	 n. 可靠性
detect	 vt. 发现，察觉，查明
hesitation	 n. 犹豫，踌躇
latency	 n. 潜伏，潜在
instinct	 n. 本能
truthfulness	 n. 真实，正当
surname	 n. 姓
interrogator	 n. 讯问者，质问者
polygraph	 n. 测谎器
duress	 n. 威胁，强迫
electrodermal	 adj. 皮（肤）电活动的
plea	 n. 恳求，请求
CIA	 中央情报局
FBI	 美国联邦调查局
pharmaceutical	 n. 药物
analyser	 n. 分析者，分析计
premise	 n. 前提
screen	 vt. 鉴别，检查
wireless	 adj. 无线的
mic	 abbr. 扩音器，麦克风
inflection	 n. 音调变化
evaluate	 vt&vi. 评价，估计
deceitfulness	 n. 欺骗，不诚实
instantaneous	 adj. 瞬间的，即时的
high-definition	 adj. 高清晰度的
heat-sensing	 adj. 热敏感的
high-profile	 adj. 备受瞩目的
crouch	 vi. 蹲伏，蜷缩
soggy	 adj. 潮湿的；受潮的
crumpled	 adj. 褶皱的，弄皱的
frantically	 adv. 匆忙地；狂乱地
severely	 adv. 严厉地
mar	 vt. 毁损，损坏
tempting	 adj. 吸引人的，诱人的
in the short term	 就眼前来说；在短期内
in the long run	 从长远看来
apparently	 adv. 显然地
presumably	 adv. 可假定，可推测
admittedly	 adv. 公认地，无可否认地
ultimately	 adv. 最后，最终
no wonder	 不足为奇，并不奇怪
dummy	 n. 笨蛋
fool	 vt. 愚弄，欺骗
gesticulation	 n. 姿势，手势
posture	 n. （身体的）姿势，体态
utterance	 n. 话语，语言
syllable	 n. 音节
shift	 vt&vi. 变换位置，改变方向，移动
manipulate	 vt. 操纵，操作
preoccupied	 adj. 心不在焉的，心事重重的
devious	 adj. 不率直的，不坦诚的
adept	 adj. 熟练的，拿手的
leakage	 n. 漏，泄漏，渗漏
suppress	 vt. 抑制；查禁
gesticulate	 vi. 以手势示意
clench	 vt&vi. 握紧（拳头）；咬紧（牙关）
coo	 vt. 柔声地说
flutter	 vi. 迅速而无规则地动
limply	 adv. 柔软地；四肢无力地
intuitively	 adv. 直觉地，直观地
spot	 vi&vt. 看出；认出
compulsion	 n. （难以克制的）强烈冲动
sensation	 n. 知觉，感觉
rub	 vi. 擦，摩擦
stroke	 vt. 轻抚，抚摸
cover-up	 n. 掩饰，掩盖
itch	 n&vi. 发痒；渴望
trivial	 adj. 琐细的，微不足道的
sting	 vi&n. 刺，刺痛，刺激
comparison	 n. 比较，对照
shrug	 n&vi. 耸肩
curl	 vt. （使）卷曲
disclaimer	 n. 否认或放弃的声明
squirm	 vi&n. 扭动；蠕动
urge	 n. 强烈的欲望，冲动
brazen out	 厚着脸对待
eliminate	 vt. 消除，排除
momentarily	 adv. 瞬间地，片刻地；即刻
seethe	 vi. 强压怒火；翻腾
outward	 adj. 外表的，外面的
downright	 adv. 完全地，彻底地
