questionnaire	 n. 问卷；调查表
get on	 融洽相处；进展
relationship	 n. 关系
react	 vi. 反应；起化学反应
divorce	 vi. 离婚
involve	 vt. 涉及；参与
charity	 n. 慈善，施舍
quality	 n. 质量；品质
disabled	 adj. 残疾的
confident	 adj. 自信的
far too	 太…，极为…
come off it	 别胡扯
Olympic	 adj. 奥运会的
badminton	 n. 羽毛球
admire	 vt. 钦佩，羡慕
dead (right)	 adv. 完全地，绝对地
absolutely	 adv. 当然；绝对地
medal	 n. 奖章，勋章
You've got a point there.	 你所说的看来有道理。
dive	 vi&n. 跳水；潜水
graduation	 n. 毕业
scholarship	 n. 奖学金
the Mid Autumn Festival	 中秋节
wedding	 n. 婚礼
Halloween	 n. 万圣节前夕
dragon	 n. 龙
turkey	 n. 火鸡
occasion	 n. 时刻，时机
traditional	 adj. 传统的
bean paste	 豆馅
nowadays	 adv. 现今，现在
lantern	 n. 灯笼
lunar	 adj. 月球的，与月亮有关的
celebration	 n. 庆祝，庆典
power	 n. 控制力；权力
darkness	 n. 黑暗，漆黑
destroy	 vt. 破坏，毁坏
burn down	 烧毁
decorate	 vt. 装饰，布置
battery	 n. 电池
sweet dumpling	 元宵
boil	 vt&vi. 煮沸，沸腾
serve	 vt. 提供(食物)，端上(饭菜)
tradition	 n. 传统，惯例
take part in	 参与，参加
sticky	 adj. 黏的，黏性的
alcohol	 n. 酒；酒精
hot pot	 火锅
snack	 n. 小吃，快餐
reception	 n. 接待；招待会
retire	 vi. 退休
salary	 n. 薪水，工资
apply	 vi. 申请 vt. 应用
opportunity	 n. 机会
teenager	 n. 青少年
depend on	 根据，依据
smartly	 adv. 潇洒地；漂亮地
on time	 准时
bunch	 n. 串，束
congratulation	 n. 祝贺
bride	 n. 新娘
bridegroom	 n. 新郎
best man	 男傧相
ceremony	 n. 典礼，仪式
entrance	 n. 入口
invitation	 n. 请柬；邀请
even if	 即使
attend	 vt. 出席，参加
Indonesian	 adj. 印度尼西亚的
ought	 aux. 应当，应该
contribute	 vt. 捐献，贡献；促成，造成
Greek	 adj. 希腊的，希腊人的
crown	 n. 花冠，王冠
ribbon	 n. 缎带，丝带
link	 vt. 连接
carol	 n. 圣诞节颂歌
stocking	 n. 长筒女袜
seriously	 adv. 认真地；真诚地
pole	 n. 极；棒，竿
envelope	 n. 信封
calendar	 n. 日历
put up	 竖起，建造
decoration	 n. 装饰；装饰品
pudding	 n. 布丁
breast	 n. (鸟的)胸脯肉；胸部
swallow	 vt. 吞下，咽下
adult	 n. 成年人
carry on	 继续，坚持
merry	 adj. 高兴的，愉快的
production	 n. 生产，制造
needle	 n. 针
pillow	 n. 枕头
as well	 也
mat	 n. 垫子
litre	 n. 升，公升
fry	 vt. 用油煎，用油炸
unfortunately	 adv. 不幸地
mess	 n. 混乱，脏乱
