trade	 v. 做买卖；交换
subscription	 n. 订阅（费）；用户费（的缴纳）
prophet	 n. 预言家，先知
prophecy	 n. 预言；预言能力
prediction	 n. 预言，预告；预报
preset	 v. 预先装置
beforehand	 adv. 预先；提前地
budget	 n. 预算；〔政府的〕
foresee	 v. 预见，预知，看穿
prevention	 n. 预防，阻止，妨碍
tulip	 n. 郁金香
intonation	 n. 语调，声调；发声
cosmic	 adj. 宇宙的；广大无边的，极大的
cosmos	 n. 宇宙
overlap	 v. 与…交搭，重叠
excuse	 v. 为…辩解；使免除
senseless	 adj. 愚蠢的，无意义的
amusement	 n. 乐趣；娱乐，消遣
torpedo	 n. 鱼雷，水雷
margin	 n. 余地；（获胜者在时间或票数上领先的）幅度，差额；利润；赚头
roundabout	 adj. 转弯抹角的；迂回的
kidnap	 v. 诱拐，绑架
guilt	 n. 内疚；有罪，犯罪
shadowy	 adj. 有影的；幽暗的
avail	 v. 有益于，有用 n. 效用
ambitious	 adj. 有雄心的；热望的
significant	 adj. 重要的，重大的，影响深远的
validity	 n. （法律上的）有效；符合逻辑，正确
availability	 n. 有效（性）；可得性
finite	 adj. 有限的；有尽的
magnet	 n. 有吸引力的人（或物）
profitable	 adj. 有利的；有益的
advantageous	 adj. 有利的，有助的
courteous	 adj. 有礼貌的，谦恭的
bead	 n. 有孔小珠；水珠；露珠
commonsense	 adj. 有常识的
conservative	 adj. 保守的，守旧的
liable	 adj. 有（法律）责任的
yacht	 n. 游艇，快艇
uranium	 n. 铀
tanker	 n. 油船；空中加油飞机
postal	 adj. 邮政的，邮局的
superiority	 n. 优越（性），优势
elbow	 v. 用肘挤，挤进
paper	 v. 贴壁纸
cutter	 n. 用于切割的器械
net	 v. 用网捕；用网覆盖
head	 v. 用头顶（球）；朝...行进
tug	 v. 用力拖 n. 猛拉，拖
hook	 v. （使）钩住，挂住
formulate	 v. 规划；制定；准备
sniff	 v. 用鼻子吸，嗅
courageous	 adj. 勇敢的，无畏的
emigrate	 v. 永久移居国外
perpetual	 adj. 永久的；四季开花的
everlasting	 adj. 永久的；持久的
eternal	 adj. 永久的；不朽的
stiffness	 n. 硬度
comply	 v. 应允，遵照，照做
bound	 adj. 应当的；必定的
salute	 v. （向…）行军礼，（向…）致敬
cater	 v. 迎合，投合
press	 n. 出版社；印刷所；印刷机
printer	 n. 印刷工；印花工
harbour	 v. 怀着（不好的想法、恐惧或希望）；包含，藏有；窝藏
diet	 n. 日常饮食，日常食物
tempt	 v. 引诱，诱惑，劝诱
cite	 v. 引证；引用；〔法院〕传召，传讯
ignite	 v. 引燃，着火
derivation	 n. 引出；起源；衍生
banker	 n. 银行家
obscure	 adj. 无名的；鲜为人知的
inasmuch	 adv. 因为，由于
through	 prep. 因为，由于
consciousness	 n. 意识；知觉
observation	 n. 意见，短评，按语
cross	 adj. 恼怒的
refrain	 v. 抑制，制止，忍住
restrain	 v. 制止；抑制
singular	 adj. 异常的，奇异的
house	 n. 议院，会议厅
obligation	 n. 义务，职责，责任
formerly	 adv. 以前，从前
veil	 v. 以面纱遮掩；遮盖
desert	 v. 遗弃；擅离（职守）
forsake	 v. 遗弃，抛弃；摒绝，摒弃
transmission	 n. 传播，传染
displace	 v. 移置；取代；置换
displacement	 n. 移置；免职；置换
colonist	 n. 移民；殖民地居民
instrumental	 adj. 器乐的；有帮助的
wardrobe	 n. 衣柜，衣橱，藏衣室
garment	 n. 衣服；服装，衣着
Islam	 n. 伊斯兰教，回教
evenly	 adv. 一致地；平静地
compatible	 adj. 兼容的
stitch	 n. 一针，缝线 v. 缝
troop	 n. 一群，一队，大量
concert	 n. 一齐，一致，协作
chop	 n. 一块排骨，肉块
baby	 n. 一家中年龄最小的人
episode	 n. （人生的）一段经历；（小说的）片段，插曲
cluster	 n. 串，束，簇；群，组 v. 群聚；聚集
generalization	 n. 一般化；概括，综合
burglar	 n. 夜盗，窃贼
amateur	 adj. 业余的 n. 业余爱好者
metallurgy	 n. 冶金学，冶金术
Jesus	 n. 耶稣
fort	 n. 要塞，堡垒
postulate	 v. 假定，假设
prescription	 n. 药方，处方；处方药
cradle	 n. 摇篮；发源地
waver	 v. 犹豫不决；摇摆
wag	 v. （狗） 摇摆 （尾巴）；摇晃 （手指）
oxide	 n. 氧化物
oxidize	 v. 氧化，使生锈
domestic	 adj. 家养的
foster	 v. 培养；抚育，代养
balcony	 n. 阳台；楼厅，楼座
anode	 n. 阳极，正极，板极
proverb	 n. 谚语，格言，箴言
banquet	 n. 宴会，盛会，酒席
scope	 n. （学科、活动、书籍等的）范围；（发挥能力的）机会，施展余地；眼界
cloak	 v. 掩盖，掩饰；覆盖，笼罩
sharply	 adv. 严厉地，苛刻地
prolong	 v. 延长，拉长，拖延
retard	 v. 阻碍；减缓；放慢
pickle	 n. 腌制食品，泡菜
dentist	 n. 牙科医生
opium	 n. 鸦片；麻醉剂
deposit	 n. 押金
squeeze	 v. 压榨；榨取
compression	 n. 压缩，压紧，浓缩
squash	 v. 压碎 n. 果汁饮料
overwhelming	 adj. 压倒的，势不可挡的
overwhelm	 v. 使（某人）感到不能自持，使不知所措；压倒，击败
velocity	 n. 迅速，快速
circulation	 n. 血液循环；（资料、货币等）流通
patrol	 n. 巡逻，巡查
cruise	 v. 巡航，巡航于…
quest	 v. 寻找，追求
cigar	 n. 雪茄烟，叶卷烟
scholarship	 n. 奖学金；学问，学识
radiant	 adj. 容光焕发的；灿烂的
gorgeous	 adj. 极其漂亮的，极其吸引人的；绚丽的，华丽的
option	 n. 选择，取舍
cock	 n. 公鸡
melody	 n. 旋律，曲调；歌曲
overhang	 v. 悬于…之上，悬垂
console	 n. 悬臂，肘托；控制台
propaganda	 n. 宣传
declaration	 n. 宣布，宣言
narration	 n. 叙述；故事；叙述法
sequence	 n. 序列，顺序
warrant	 n. （法院授权警方采取行动的）令状；许可证
requisite	 adj. 需要的，必要的 n. 必需品
embroidery	 n. 绣花，刺绣；绣制品
nun	 n. 修女，尼姑
eloquence	 n. 雄辩；口才，修辞
wind	 n. 风
directory	 n. 姓名地址录
pacific	 adj. 性情温和的
survival	 n. 幸存；残存；幸存者
flush	 n. 脸红；一阵强烈情感；（流露出的）一阵激情
formal	 adj. 正规的；庄重的
constituent	 adj. 构成的 n. 选民
scarlet	 n. 猩红色 adj. 猩红的
religion	 n. 宗教
novelty	 n. 新颖；新奇的事物
regenerative	 adj. 回授的；再生的
bridegroom	 n. 新郎
novel	 adj. 新的，异常的
zinc	 n. 锌 v. 在…上镀锌
appreciation	 n. 欣赏；感激
psychology	 n. 心理学；心理
crab	 n. 蟹；蟹肉 v. 捕蟹
subscript	 adj. 写在下方的 n. 下标
sideways	 adv. 斜向一边地
jean	 n. 斜纹布；牛仔裤
gradient	 n. 斜坡
vicious	 adj. 邪恶的；恶性的
evil	 n. 邪恶，罪恶；祸害
collaborate	 v. 协作，合作；协调
team	 v. 协作，合作
coefficient	 n. 协同因素；系数，率
wedge	 n. 楔 v. 楔入；挤入
calibration	 n. 校准；标定，刻度
paragraph	 n. （文章的）段，段落
cautious	 adj. 小心的，谨慎的
caution	 n. 小心 v. 告诫，警告
suitcase	 n. 手提箱，衣箱
decimal	 adj. 小数的，十进制的
footpath	 n. 小路，人行道
puppy	 n. 小狗；幼小的动物
closet	 n. 小房间；壁碗橱
pamphlet	 n. 小册子
slack	 adj. 萧条的；懈怠的
disappearance	 n. 消失，消散；失踪
recreation	 n. 消遣，娱乐活动
consumer	 n. 消费者，用户
consumption	 n. 消费（量）
depression	 n. 消沉；不景气萧条期
token	 n. 辅币；象征
ivory	 n. 象牙（质）；乳白色
forward	 adv. 向前；向将来 v. 转递
southwards	 adv. 向南方
orientation	 n. 定位；方向
defy	 v. 向…挑战；蔑视
hail	 v. 向…欢呼，招呼
yearn	 v. 渴望，向往
spice	 n. 香料，调味品
pilgrim	 n. 香客，朝圣者
fragrant	 adj. 香的，芬芳的
incense	 n. 香，熏香；香气
uniformly	 adv. 相同地；一贯
resemblance	 n. 相似，相似性
analogy	 n. 相似，类似；比拟
interact	 v. 相互作用
correlation	 n. 相互关系
reciprocal	 adj. 相互的；互利的
coincide	 v. 相巧合；相符合
inversely	 adv. 相反地
devotion	 n. 献身，热诚，专心
linear	 adj. 线的；长度的
qualify	 v. 限制，限定，修饰
realistic	 adj. 现实的；现实主义的
striking	 adj. 显著的，惊人的
microscopic	 adj. 显微镜的；微观的，极小的
apparent	 adj. 显然的
distinctly	 adv. 显然，清楚地
bacon	 n. 咸猪肉，熏猪肉
gossip	 n. 闲谈；碎嘴子；漫笔
ramble	 v. 闲逛，漫步；漫谈，闲聊
precede	 v. 先于…，领先
priority	 n. 先，前；优先，重点
shower	 v. 下阵雨，使湿透
decline	 v. 下倾；偏斜；衰退
descent	 n. 下降；出身；斜坡
subordinate	 adj. 下级的，辅助的
inferior	 n. 下级；晚辈；次品
slim	 adj. 细长的；微小的
taper	 n. 细小的蜡烛；微光
petty	 adj. 细小的；器量小的
nice	 adj. 细微的，微妙的
filament	 n. 细丝；长丝；灯丝
bacterium	 n. 细菌
germ	 n. 细菌，病原菌；幼芽
systematically	 adv. 系统地，有规则地
spectrum	 n. 系列，范围；波谱
lace	 v. 系带，用带子束紧
tape	 v. 系，捆
drama	 n. 戏剧性事件；戏剧性
theatre	 n. 剧场，戏院
comedy	 n. 喜剧；喜剧场面
assault	 v. 袭击 n. 攻击
usage	 n. 习惯用法
quench	 v. 熄灭，扑灭；压制
extinguish	 v. 熄灭，扑灭；消灭
absorption	 n. 吸收；专注
intake	 n. 吸入；输入能量
physically	 adv. 身体上；体格上
substantial	 adj. 大而坚固的
body	 n. 物体
luncheon	 n. 午宴，午餐，便宴
ignorance	 n. 无知，无学，愚昧
insignificant	 adj. 无意义的；低微的
doubtless	 adv. 无疑地；很可能
indefinite	 adj. 无限期的
infinitely	 adv. 无限地，无边地
unlimited	 adj. 无限的；不定的
infinite	 n. 无限；无穷（大）
fearless	 adj. 无畏的，大胆的
innumerable	 adj. 无数的，数不清的
inorganic	 adj. 无生物的；无机的
ruthless	 adj. 无情的，冷酷的
incapable	 adj. 无能力的；无资格的
unique	 adj. 无可匹敌的；极好的
faultless	 adj. 无过失的；无缺点的
foreign	 adj. 外国的，国外的
nought	 n. 无，零
filth	 n. 污秽，污物；淫猥；淫猥
snail	 n. 蜗牛；行动缓慢的人
hum	 n. 嗡嗡声 v. 哼曲子
compliment	 n. 致意，问候 v. 赞美，祝贺
question	 v. 问，询问，讯问
literal	 adj. 文字（上）的；字面的
illiterate	 adj. 文盲的 n. 文盲
stationery	 n. 信笺，信纸；文具
plague	 n. 瘟疫；鼠疫（尤指腺鼠疫）
softness	 n. 温和，柔和；软弱
graze	 v. 喂草；放牧（牲畜）
locality	 n. 位置，地点，发生地
situated	 adj. 位于…的
bachelor	 n. 未婚男子；学士
unpaid	 adj. 未付的；无偿的
stern	 n. 艉，船尾；臀部
commission	 n. 委托，委任；委托状
latitude	 n. 纬度；黄纬
vitamin	 n. 维生素，维他命
Venus	 n. 维纳斯；美人
idealism	 n. 唯心主义；理想主义
mast	 n. 桅杆
enclosure	 n. 围场，围栏；围绕
violation	 n. 违犯；侵犯，妨碍
violate	 v. 违犯，违背；侵犯
towards	 prep. 用于，有助于
plead	 v. 为…辩护，抗辩
catalogue	 v. 为…编目录
microprocessor	 n. 微信息处理机
subtle	 adj. 微妙的；精巧的
atom	 n. 原子
calculus	 n. 微积分；结石
gleam	 n. 微光 v. 发微光
negligible	 adj. 微不足道的
microwave	 n. 微波
awful	 adj. 威严的；令人崇敬的
majesty	 n. 雄伟，威严，庄严；陛下
prestige	 n. 威望，威信，声望
endanger	 v. 危及，危害
crisis	 n. 危机；转折点
peril	 n. 危机；危险的事物
dismiss	 v. 解雇，开除
fro	 adv. 往，去，回，向后
mesh	 n. 网眼，筛孔，网络
network	 n. 网络；广播网
web	 n. 网，网状物
stubborn	 adj. 顽固的；顽强的
trifle	 v. 玩忽；闲混；嬉耍
completion	 n. 完成，结束，完满
crooked	 adj. 弯的，歪的；畸形的
hull	 n. 外壳，豆荚；薄膜
diplomatic	 adj. 外交的；有策略的
alien	 adj. 外国的 n. 外国人
strange	 adj. 陌生的，不熟悉的
distort	 v. 歪曲，曲解；扭曲
twist	 v. 歪曲，曲解
tile	 n. 瓷砖；贴砖；瓦片
watt	 n. 瓦（特）
elliptical	 adj. 椭圆的；省略的
haul	 v. 拖曳；拖运
hip	 n. 臀部，髋
devour	 v. 吞食；吞灭，毁灭
retirement	 n. 退休，引退；退隐
drawback	 n. 妨碍；弊端
inference	 n. 推论；推断的结果
rational	 adj. 合理的；适度的
propulsion	 n. 推进，推进力
propel	 v. 推进，推动
recommendation	 n. 推荐，介绍；建议
overthrow	 v. 推翻 n. 推翻，瓦解
impulse	 n. 冲动；推动
presumably	 adv. 推测起来，大概
gather	 v. 推测，推断
shove	 v. 推，（使劲）推
solidarity	 n. 团结；休戚相关
regiment	 n. 团，军团；一大群
bandit	 n. 土匪，盗匪，歹徒
lever	 n. 途径，工具，手段
overtake	 v. 突然发生；压倒
nose	 n. 突出部分（如船头等）
bald	 adj. 秃头的；无毛的
projector	 n. 投影仪；探照灯
poll	 n. 投票 v. 对…进行民意测验（调查）
dizzy	 adj. 头晕眼花的，眩晕的
steal	 v. 偷偷地做，窃取
misery	 n. 痛苦，悲惨，不幸
torment	 n. 痛苦 v. 折磨
thrash	 v. 痛打，鞭打，打
dominant	 adj. 统治的 n. 主因
dominate	 v. 统治，支配，控制
statistics	 n. 统计，统计数字
even	 adj. 平稳的，均匀的
identical	 adj. 同一的；恒等的
likeness	 n. 同样；类似，相似
simultaneous	 adj. 同时的，同时存在的
accessory	 n. 同谋，帮凶 adj. 附属的
homogeneous	 adj. 同类的
coordinate	 adj. 同等的
whilst	 conj. 同时；然而
notify	 v. 通知，告知；报告
advertise	 v. 登广告
correspondence	 n. 通信；相关；相似
popularity	 n. 通俗性；普及，流行
inflation	 n. 通货膨胀，物价飞涨
currency	 n. 通货；货币
entry	 n. 入口，通道；条目
customary	 adj. 通常的；照惯例的
ordinarily	 adv. 通常，大概
hydrocarbon	 n. 烃，碳氢化合物
resignation	 n. 听从，屈从，顺从
blacksmith	 n. 铁匠，锻工
ferrous	 adj. 铁的；亚铁的
adjoin	 v. 贴近，毗连；靠近
hop	 v. （人）单足跳
skip	 v. 蹦跳着走；跳绳；略过
overlook	 v. 眺望；看漏；宽容
regulate	 v. 调整，调节，校准
modulate	 v. 调整，调节（声音）
settlement	 n. 调停；（尤指拓荒者居住的）定居点，村落
mischief	 n. 调皮，捣蛋，胡闹
accord	 n. 符合；协议
questionnaire	 n. 调查表，征求意见表
sweetness	 n. 甜蜜，芬芳；愉悦，美好
dessert	 n. 甜点心
Catholic	 adj. 天主教的 n. 天主教徒
astronomy	 n. 天文学
embody	 v. 体现；包含，收录
theme	 n. 题目；主题；主旋律；（句子的）主位；词干
nominate	 v. 提名，推荐；任命
finance	 v. 提供资金
nourish	 v. 提供养分，养育
enhance	 v. 提高，增加；改进
elevate	 v. 提拔；抬高
purify	 v. 提纯，精炼（金属）
raise	 v. 提出，发起，发出
introduce	 v. 提出（议案等）
peculiarity	 n. 特性，独特性；怪癖
individual	 adj. 特殊的
essential	 adj. 极其重要的；必不可少的
bore	 n. 讨厌的人；麻烦事
earthenware	 n. 陶器
flee	 v. 逃走，逃避
outlaw	 n. 逃犯，歹徒
wade	 v. 趟（河），跋涉
probe	 n. 探针 v. 用探针探查
expedition	 n. 探险；探险队
charcoal	 n. 炭，木炭；生物炭
plain	 adj. 坦白的；普通的
negotiate	 v. 谈判，交涉，议定
greed	 n. 贪心，贪婪
moss	 n. 苔藓，地衣
pedal	 n. （自行车的）踏脚，踏板，脚蹬；（汽车或机器的）踏板
thereof	 adv. 它的，其；由此
trivial	 adj. 琐碎的；平常的
detail	 n. 琐碎，小事
concern	 n. 所关切的事；商行
what	 adj. 所…的
miniature	 n. 缩影 adj. 缩小的
hurt	 n. （对感情造成的）伤害，创伤
deform	 v. 损坏…的形状
deformation	 n. 损坏；变形；畸形
fringe	 n. 穗，毛边；边缘
scrap	 n. 碎片；废料 v. 废弃
random	 n. 随机 adj. 随机的
garlic	 n. 蒜，大蒜
plastic	 adj. 塑料的；塑性的
shorthand	 n. 速记，速记法
scout	 v. 搜索，侦察
laundry	 n. 送洗衣店去洗的东西
replace	 v. 把...放回原处
loosely	 adv. 松松地，松散地
rear	 v. 饲养，培植；抚养
perish	 v. 死亡，夭折；枯萎
hiss	 n. 嘶嘶声 v. 嘶嘶作声
rip	 v. 撕，扯破，划破
speculate	 v. 猜测，推测；投机
smuggle	 v. 私运，走私
confidence	 n. 私房话，秘密，机密
velvet	 adj. 丝绒制的；柔软光滑的
treasurer	 n. 司库，财务主管
exposition	 n. 说明，解释；展览会，博览会
preach	 v. 说教，布道；鼓吹
observe	 v. 说，评述，评论
momentary	 adj. 瞬息间的，片刻的
instantaneous	 adj. 瞬间的，即刻的
couch	 n. 睡椅，长沙发椅
slumber	 n. 睡眠；沉睡状态
buffalo	 n. 水牛；水陆坦克
hydraulic	 adj. 水力的；水力学的
watery	 adj. 充满水的；与水有关的；湿的；（食物、饮料等）味淡的
rinse	 v. 冲洗；嗽（口）
wrestle	 n. 摔交；斗争，搏斗
numerical	 adj. 数字的，数值的
reckon	 v. 计算；认为
harp	 n. 竖琴；天琴座
erect	 adj. 直立的
terminology	 n. 术语学，术语
proficient	 adj. 熟练的，精通的
proficiency	 n. 熟练，精通
input	 v. 输入 n. 输入
grant	 n. 拨款
dependant	 n. 受赡养者
miser	 n. 守财奴，吝啬鬼
trolley	 n. 手推车；有轨电车
manuscript	 n. 手稿，底稿，原稿
handbook	 n. 手册，便览，指南
adoption	 n. 收养；采纳，采取
revenue	 n. 收入；收入数目
oath	 n. 誓言，誓约，宣誓
vow	 n. 誓言，誓约，许愿
pledge	 n. 誓言 v. 使发誓
indoor	 adj. 室内的；室内进行的
wholesome	 adj. 对健康有益的
moderately	 adv. 适度地，适中
fitting	 adj. 适当的 n. 配件
fitness	 n. 适当，恰当；健康
vision	 n. 视力；眼力，想象力
attendant	 n. 侍者；（要人的）侍从；（病人的）护理人员
occurrence	 n. 发生的事
snob	 n. 势利小人
snobbish	 adj. 势利的，谄上欺下的
influence	 n. 势力，权势
municipal	 adj. 市的，市立的
conform	 v. 使遵守；一致
automate	 v. 使自动化
divert	 v. 使转向；转移
specialize	 v. 使专门化，专业化
hazard	 v. 使遭危险 n. 危险
standardize	 v. 使与标准比较
lengthen	 v. 使延长，变长
shame	 v. 使羞愧；玷辱
freshen	 v. 使显得新鲜
distinguish	 v. 使显出特色，使杰出
evaporate	 v. 使脱水，发散蒸气
ventilate	 v. 使通风，使换气
moor	 v. 使停泊；使固定
resign	 v. 使顺从，使听任于
perfect	 v. 使熟练，使改善
infect	 v. 使受影响
lubricate	 v. 使润滑，加润滑油
soften	 v. 使软化，变温和
facilitate	 v. 使容易；助长
acquaint	 v. 使认识，使了解
tiresome	 adj. 使人厌倦的，讨厌的
sorrowful	 adj. 使人伤心的；悲伤的
blaze	 v. 使燃烧，燃烧
subdue	 v. 使屈服，征服
bend	 v. 使屈从，屈从
suit	 v. 使配合，彼此协调
confront	 v. 使面对；使对证
paralyse	 v. 使麻痹，使瘫痪
deafen	 v. 使聋
subject	 v. 使隶属
terrify	 v. 使恐怖，使惊吓
insulate	 v. 使绝缘，使绝热
integrate	 v. 使结合，使并入
alternate	 v. 使交替 adj. 交替的
degrade	 v. 使降低；使堕落
minimize	 v. 使减到最小
mingle	 vt. 使混合，混合起来
interconnect	 v. 使互相联系
reconcile	 v. 使和好；调停
oblige	 v. 使感激；施恩惠于
enrich	 v. 使富裕；使丰富
embarrass	 v. 使…陷入困境
decay	 v. 使腐朽，使腐烂
contrast	 v. 使对比；形成对比
baffle	 v. 使挫折 n. 迷惑
mature	 v. 使成熟，成熟
ice	 v. 使成冰，结冰
overload	 v. 使超载
tangle	 v. 使缠结，使纠缠
sweeten	 v. 使变甜，变甜
thicken	 v. 使变厚（或粗、密）
establish	 v. 使…被接受
develop	 v. 使（底片）显影
jog	 v. 慢跑（尤作为锻炼）
engage	 v. 使（齿轮等）啮合
vector	 n. 矢量；飞机航线
nourishment	 n. 食物；营养（情况）
pantry	 n. 食品柜，餐具室
experimentally	 adv. 实验上，实验性地
experimentation	 n. 实验；试验
virtual	 adj. 实际上的，实质上的
execution	 n. 实行，执行；处死刑
quartz	 n. 石英
graphite	 n. 石墨，石墨电极
whitewash	 n. 石灰水 v. 粉饰
limestone	 n. 石灰石
humidity	 n. 湿气；湿度
handout	 n. 施舍物，救济品
verse	 n. 诗，韵文；诗节
unemployment	 n. 失业；失业人数
disgrace	 n. 失宠，耻辱，丢脸
residual	 adj. 剩余的；残余的
remainder	 n. 剩余（物）；余数
excel	 v. 胜过，杰出
stiff	 adj. 生硬的
ecology	 n. 生态学；个体生态学
hide	 n. 生皮，兽皮，皮革
vital	 adj. 生命的，生机的
producer	 n. 生产者；舞台监督
productivity	 n. 生产率；多产
productive	 adj. 生产的；出产…的
hoist	 v. 升起，扯起来
kidney	 n. 肾，腰子
deliberately	 adv. 故意地；审慎地
censor	 v. 审查，检查
mystery	 n. 神秘小说，侦探小说
shrine	 n. 神殿，神龛，圣祠
