pharmacy	 n. 药房；配药学，药剂学；制药业；一批备用药品
averaging	 n. 求平均值；拉平价格；为取得更高的平均价格而买进（卖出） adj. 平均的 v. 平均（average的ing形式）
guess	 v. 猜测；认为；推测；猜中 n. 猜测；推测
predict	 v. 预报，预言；预知
library	 n. 图书馆，藏书室；文库
guest	 n. 客人，宾客；顾客 v. 款待，招待 adj. 客人的；特邀的，客座的
advice	 n. 建议；忠告；劝告；通知
abstain	 v. 自制；放弃；避免
reluctant	 adj. 不情愿的；勉强的；顽抗的
paradigm	 n. 范例；词形变化表
treasurer	 n. 会计；司库；财务主管；出纳员
change	 v. 改变；交换 n. 变化；找回的零钱
drop	 v. 滴；使降低；使终止；随口漏出 n. 滴；落下；空投；微量；滴剂
consumption	 n. 消费；消耗；肺痨
exception	 n. 例外；异议
tool	 n. 工具，用具；器械，机床；手段 v. 使用工具；用机床装备工厂
lead	 n. 领导；铅；导线；榜样 v. 领导；致使；引导；指挥 adj. 带头的；最重要的
consumer	 n. 消费者；用户，顾客
capital	 n. 首都，省会；资金；大写字母；资本家 adj. 首都的；重要的；大写的
march	 v. （坚定地向某地）前进；行军，进军；游行示威；进展，进行 n. 行进，前进；行军；游行示威；进行曲
qualification	 n. 资格；条件；限制；赋予资格
compact	 n. 合同，契约；小粉盒 adj. 紧凑的，紧密的；简洁的 v. 使简洁；使紧密结合
diverge	 v. 分歧；偏离；分叉；离题
height	 n. 高地；高度；身高；顶点
personnel	 n. 人事部门；全体人员 adj. 人员的；有关人事的
invalid	 adj. 无效的；有病的；残废的 n. 病人；残废者 v. 使伤残；使退役
basic	 adj. 基本的；基础的 n. 基础；要素
demotivated	 使失去动力
description	 n. 描述，描写；类型；说明书
priority	 n. 优先；优先权；[数] 优先次序；优先考虑的事
reputation	 n. 名声，名誉；声望
composition	 n. 作文，作曲，作品；[材] 构成；合成物；成分
moratorium	 n. 暂停，中止；[金融] 延期偿付
provocative	 adj. 刺激的，挑拨的；气人的 n. 刺激物，挑拨物；兴奋剂
jam	 n. 果酱；拥挤；困境；扣篮 v. 使堵塞；挤进，使塞满；混杂；压碎
salvage	 n. 打捞；海上救助；抢救财货；救难的奖金 v. 抢救；海上救助
partnership	 n. 合伙；[经管] 合伙企业；合作关系；合伙契约
lorry	 n. （英）卡车；[车辆] 货车；运料车
bespoke	 adj. 定做的；预定的 vt. 预约，显示出
apprehend	 v. 理解；逮捕；忧虑
passivity	 n. 被动性；被动结构；无抵抗
rationalize	 v. 使……合理化；使……有理化；为……找借口
verge	 v. 濒临，接近；处在边缘 n. 边缘
execute	 v. 实行；执行；处死
station	 n. 车站；驻地；地位；身份 v. 配置；安置；驻扎
Eurocurrency	 n. 欧洲货币；欧洲债券
automatic	 adj. 自动的；无意识的；必然的 n. 自动机械；自动手枪
align	 v. 使结盟；使成一行；匹配
renovate	 v. 更新；修复；革新；刷新
display	 n. 显示；炫耀 v. 显示；表现；陈列 adj. 展览的；陈列用的
leisure	 n. 闲暇；空闲；安逸 adj. 空闲的；有闲的；业余的
label	 v. 标注；贴标签于 n. 标签；商标；签条
double	 n. 两倍；双精度型 adj. 双重的；两倍的 v. 加倍，加倍努力；快步走 adv. 双重地；两倍地；弓身地
borrow	 v. 借；借用；从其他语言中引入 n. (Borrow)人名；(英)博罗
country	 n. 国家，国土；国民；乡下，农村；乡村；故乡 adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的
seminar	 n. 讨论会，研讨班
speech	 n. 演讲；讲话；[语] 语音；演说
miscellaneous	 adj. 混杂的，各种各样的；多方面的，多才多艺的
tough	 adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的 n. 恶棍 v. 坚持；忍受，忍耐 adv. 强硬地，顽强地
curriculum	 n. 课程
make	 v. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成 n. 制造；构造；性情
room	 n. 房间；空间；余地；机会；房间里所有的人 v. 为…提供住处；租房，合住；投宿，住宿；留…住宿
writ	 n. [法] 令状；文书；法院命令
raw	 adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的 n. 擦伤处 vt. 擦伤
update	 v. 更新；校正，修正；使现代化 n. 更新；现代化
indicator	 n. 指示器；[试剂] 指示剂；[计] 指示符；压力计
justice	 n. 司法，法律制裁；正义；法官，审判员
consultancy	 n. 咨询公司；顾问工作
distant	 adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
workfare	 n. 工作福利制
occasion	 n. 时机，机会；场合；理由 v. 引起，惹起
deduct	 v. 扣除，减去；演绎
organize	 v. 组织；使有系统化；给予生机；组织成立工会等
education	 n. 教育；培养；教育学
disturb	 v. 打扰；妨碍；使不安；弄乱；使恼怒
lavish	 adj. 浪费的；丰富的；大方的 v. 浪费；慷慨给予；滥用
business	 n. 商业；[贸易] 生意；[贸易] 交易；事情
possible	 adj. 可能的；合理的；合适的 n. 可能性；合适的人；可能的事物
wireless	 adj. 无线的；无线电的 n. 无线电 vt. 用无线电报与…联系；用无线电报发送 vi. 打无线电报；打无线电话
trainee	 n. 练习生，实习生；受训者；新兵；训练中的动物
quantum	 n. 量子论；额；美国昆腾公司（世界领先的硬盘生产商）
immigration	 n. 外来移民；移居
fuel	 v. 得到燃料 n. 燃料；刺激因素
dominate	 v. 控制；支配；占优势；在…中占主要地位
alike	 adj. 相似的；相同的 adv. 以同样的方式；类似于
population	 n. 人口；[生物] 种群，[生物] 群体；全体居民
axis	 n. 轴；轴线；轴心国
deskill	 v. 使非技能化
booking	 n. 预订；预约；演出契约
obsolete	 adj. 废弃的；老式的 n. 废词；陈腐的人 vt. 淘汰；废弃
equal	 adj. 平等的；相等的；胜任的 v. 等于；比得上 n. 对手；匹敌；同辈；相等的事物
minimize	 v. 使减到最少；小看，极度轻视
foolproof	 adj. 十分简单的；十分安全的；不会错的 n. 极简单；安全自锁装置
assertion	 n. 断言，声明；主张，要求；坚持；认定
main	 n. 主要部分，要点；体力；总管道 adj. 主要的，最重要的；全力的
confront	 v. 面对；遭遇；比较
tremendous	 adj. 极大的，巨大的；惊人的；极好的
ineptitude	 n. 不适当，不合适；不称职；愚笨
wooden	 adj. 木制的；僵硬的，呆板的
advantage	 n. 优势；利益；有利条件 v. 获利
amusement	 n. 消遣，娱乐；乐趣
female	 adj. 女性的；雌性的；柔弱的，柔和的 n. 女人；[动] 雌性动物
shortlist	 n. （英）供最后挑选用的候选人名单
freeze	 v. 冻结；冷冻；僵硬 n. 冻结；凝固
inside	 n. 里面；内部；内情；内脏 adj. 里面的；内部的；秘密的 adv. 在里面 prep. 少于；在…之内
reimburse	 v. 偿还；赔偿
venture	 v. 敢于 n. 企业；风险；冒险
prominent	 adj. 突出的，显著的；杰出的；卓越的
assessment	 n. 评定；估价
rigor	 n. 严厉；精确；苛刻；僵硬
resentful	 adj. 充满忿恨的；厌恶的
diverse	 adj. 不同的；多种多样的；变化多的
deposit	 n. 存款；押金；订金；保证金；沉淀物 v. 使沉积；存放
rigour	 n. 严格；严厉；苛刻；精确
liability	 n. 责任；债务；倾向；可能性；不利因素
amateur	 n. 爱好者；业余爱好者；外行 adj. 业余的；外行的
headhunt	 v. 出外猎取人头 n. 野蛮人猎取人头的出征
obvious	 adj. 明显的；显著的；平淡无奇的
slogan	 n. 标语；呐喊声
rank	 n. 排；等级；军衔；队列 adj. 讨厌的；恶臭的；繁茂的 v. 排列；把…分等
accommodator	 n. 调解人；适应者；提供方便者
administer	 v. 管理；执行；给予
wholesale	 adj. 批发的；大规模的 n. 批发 adv. 大规模地；以批发方式 v. 批发
outdated	 adj. 过时的；旧式的 v. 使过时（outdate的过去式和过去分词）
report	 n. 报告；报道；成绩单 v. 报告；报导；使报到
carrier	 n. [化学] 载体；运送者；带菌者；货架
discrepancy	 n. 不符；矛盾；相差
border	 n. 边境；边界；国界 v. 接近；与…接壤；在…上镶边
upturn	 n. 情况好转 vt. 使……转朝上；翻转 vi. 向上
accelerate	 v. 使……加快；使……增速
sterling	 adj. 纯正的；英币的；纯银制的 n. 英国货币；标准纯银
liquidity	 n. 流动性；流动资产；[金融] 偿债能力
element	 n. 元素；要素；原理；成分；自然环境
increment	 n. [数] 增量；增加；增额；盈余
elect	 adj. 选出的；当选的；卓越的 n. 被选的人；特殊阶层；上帝的选民 v. 选举；选择；推选
hoarding	 n. [贸易] 囤积；贮藏；临时围墙 v. 贮藏（hoard的ing形式）
support	 v. 支持，支撑，支援；扶持，帮助；赡养，供养 n. 支持，维持；支援，供养；支持者，支撑物
identify	 v. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi确定；认同；一致
recertification	 n. 换发新证
recommendation	 n. 推荐；建议；推荐信
apprehension	 n. 理解；恐惧；逮捕；忧惧
resign	 v. 辞职；放弃；委托；使听从 n. 辞去职务
health	 n. 健康；卫生；保健；兴旺
dominant	 adj. 显性的；占优势的；支配的，统治的 n. 显性
equilibrium	 n. 均衡；平静；保持平衡的能力
epidemic	 adj. 流行的；传染性的 n. 传染病；流行病；风尚等的流行
redundancy	 n. [计][数] 冗余（等于redundance）；裁员；人浮于事
subsidy	 n. 补贴；津贴；补助金
criterion	 n. （批评判断的）标准；准则；规范；准据
vacation	 n. 假期；（房屋）搬出 v. 休假，度假
counterfeits	 n. 仿冒品（counterfeit的复数形式）；[法] 伪造品
interpreter	 n. 解释者；口译者；注释器
session	 n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
doubtful	 adj. 可疑的；令人生疑的；疑心的；不能确定的
branch	 v. 分支；出现分歧 n. 树枝，分枝；分部；支流
antique	 adj. 古老的，年代久远的；过时的，古董的；古风的，古式的 n. 古董，古玩；古风，古希腊和古罗马艺术风格 v. 觅购古玩
lender	 n. 贷方；[金融] 出借人
indeed	 adv. 的确；实在；真正地；甚至 int. 真的（表示惊讶、怀疑、讽刺等）
debasement	 n. 降低；贬质
waiver	 n. 弃权，放弃；弃权证书
concession	 n. 让步；特许（权）；承认；退位
technician	 n. 技师，技术员；技巧纯熟的人
maturity	 n. 成熟；到期；完备
embark	 v. 从事，着手；上船或飞机
memo	 n. 备忘录
broad	 adj. 宽的，辽阔的；显著的；大概的 n. 宽阔部分 adv. 宽阔地
vehicle	 n. [车辆] 车辆；工具；交通工具；运载工具；传播媒介；媒介物
trivial	 adj. 不重要的，琐碎的；琐细的
express	 v. 表达；快递 adj. 明确的；迅速的；专门的 n. 快车，快递，专使；捷运公司
build	 v. 建立；建筑 n. 构造；体形；体格
space	 n. 空间；太空；距离 v. 留间隔
decision	 n. 决定，决心；决议
Euro	 abbr. 欧洲（European）
acquisition	 n. 获得物，获得；收购
jog	 v. 慢跑；轻推；蹒跚行进；使颠簸 n. 慢跑；轻推，轻撞
comprehensiveness	 n. 综合；详尽
shortcoming	 n. 缺点；短处
adjust	 v. 调整，使…适合；校准
foreseeable	 adj. 可预知的；能预测的
publicity	 n. 宣传，宣扬；公开；广告；注意
analyse	 v. 分析；分解；细察
melt	 v. 熔化，溶解；渐混 n. 熔化；熔化物
concentration	 n. 浓度；集中；浓缩；专心；集合
vintage	 n. 葡萄收获期；葡萄酒酿造期 adj. 古老的；最佳的；过时的 vt. 采葡萄；用葡萄酿酒 vi. 采葡萄
marketing	 n. 行销，销售 v. 出售；在市场上进行交易；使…上市（market的ing形式）
ethical	 adj. 伦理的；道德的；凭处方出售的 n. 处方药
enormous	 adj. 庞大的，巨大的；凶暴的，极恶的
landlady	 n. 女房东；女地主；女店主
economize	 v. 节约，节省；有效地利用
diploma	 n. 毕业证书，学位证书；公文，文书；奖状 vt. 发给…毕业文凭
recall	 v. 召回；回想起，记起；取消 n. 召回；回忆；撤消
omit	 v. 省略；遗漏；删除；疏忽
club	 n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花 v. 用棍棒打；募集 adj. 俱乐部的
improvement	 n. 改进，改善；提高
clue	 n. 线索；（故事等的）情节 v. 为…提供线索；为…提供情况
square	 adj. 平方的；正方形的；直角的；正直的 v. 使成方形；与…一致 n. 平方；广场；正方形 adv. 成直角地
dish	 n. 盘；餐具；一盘食物；外貌有吸引力的人 v. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
manufacturing	 adj. 制造的；制造业的 n. 制造业；工业 v. 制造；生产（manufacture的ing形式）
apply	 v. 申请；涂，敷；应用
proviso	 n. 附带条件；附文；限制性条款
synthetic	 adj. 综合的；合成的，人造的 n. 合成物
CAD	 abbr. 计算机辅助设计（Computer - Aided Design）
furniture	 n. 家具；设备；储藏物
correspondent	 n. 通讯记者；客户；通信者；代理商行
sophisticate	 v. 弄复杂；使变得世故；曲解 n. 久经世故的人；精通者
shave	 v. 剃须，剃毛 n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀
endanger	 v. 危及；使遭到危险
almost	 adv. 差不多，几乎
retreat	 n. 撤退；休息寓所；撤退 v. 撤退；退避；向后倾
postpone	 v. 使…延期；把…放在次要地位；把…放在后面
experiment	 v. 尝试；进行实验 n. 实验，试验；尝试
indemnification	 n. 赔偿；保护；赦免；补偿金
wonder	 n. 惊奇；奇迹；惊愕 v. 怀疑；想知道；惊讶 adj. 奇妙的；非凡的
action	 n. 行动；活动；功能；战斗；情节
passbook	 n. 银行存折；赊帐登录本
obscure	 adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的 v. 使…模糊不清，掩盖；隐藏；使难理解 n. 某种模糊的或不清楚的东西
litigation	 n. 诉讼；起诉
nationalization	 n. 国有化；同化，归化
seniority	 n. 长辈；老资格；前任者的特权
penalty	 n. 罚款，罚金；处罚
dirt	 n. 污垢，泥土；灰尘，尘土；下流话
hire	 n. 雇用，租用；租金，工钱 v. 雇用；出租
analyst	 n. 分析者；精神分析医师；分解者
joint	 n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉 adj. 共同的；连接的；联合的，合办的 v. 连接，贴合；接合；使有接头
occupation	 n. 职业；占有；消遣；占有期
hero	 n. 英雄；男主角，男主人公
authentic	 adj. 真正的，真实的；可信的
contract	 v. 收缩；感染；订约 n. 合同；婚约
momentum	 n. 势头；[物] 动量；动力；冲力
infringe	 v. 侵犯；违反；破坏
copywriter	 n. 广告文字撰稿人
dictate	 v. 命令；口述；使听写 n. 命令；指示
economist	 n. 经济学者；节俭的人
arrangement	 n. 布置；整理；准备
corporate	 adj. 法人的；共同的，全体的；社团的；公司的；企业的
restore	 v. 恢复；修复；归还
perquisite	 n. 额外补贴；临时津贴；特权
organise	 v. 组织起来；组织工会
bourse	 n. 交易所
holistic	 adj. 整体的；全盘的
acting	 adj. 代理的；装腔作势的 n. 演技；演戏；假装
quotation	 n. [贸易] 报价单；引用语；引证
scale	 n. 规模；比例；鳞；刻度；天平；数值范围 v. 衡量；攀登；剥落；生水垢
expansion	 n. 膨胀；阐述；扩张物
manipulate	 v. 操纵；操作；巧妙地处理；篡改
security	 n. 安全；保证；证券；抵押品 adj. 安全的；保安的；保密的
disease	 n. 病，[医] 疾病；弊病 vt. 传染；使…有病
uneconomic	 adj. 不经济的；浪费的
investment	 n. 投资；投入；封锁
heyday	 n. 全盛期 int. 嘿！（表喜悦或惊奇等）
super	 adj. 特级的；极好的 n. 特级品，特大号；临时雇员
rate	 n. 比率，率；速度；价格；等级 v. 认为；估价；责骂
distribute	 v. 分配；散布；分开；把…分类
prosperous	 adj. 繁荣的；兴旺的
abrogate	 v. 废除；取消
allotment	 n. 分配；分配物；养家费；命运
below	 adv. 在下面，在较低处；在本页下面 prep. 在…下面 n. (Below)人名；(英、德、芬、瑞典)贝洛
annulment	 n. 取消；废除
distributor	 n. 经销商；批发商；[电] 分配器；分配者；散布者；[电] 配电盘
perishables	 n. 易腐物品
develop	 v. 开发；进步；使成长；使显影
lonely	 adj. 寂寞的；偏僻的 n. 孤独者
relevant	 adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
major	 adj. 主要的；重要的；主修的；较多的 n. [人类] 成年人；主修科目；陆军少校 v. 主修
rumour	 n. 谣言 v. 传闻
CBA	 abbr. 中国篮球协会（China Basketball Association）；成本效益分析（Cost-Benefit Analysis）
hint	 n. 暗示；线索 v. 暗示；示意
problem	 n. 难题；引起麻烦的人 adj. 成问题的；难处理的
spokesman	 n. 发言人；代言人
instrument	 n. 仪器；工具；乐器；手段；器械
offer	 v. 提供；出价；试图 n. 提议；出价；意图；录取通知书
interface	 n. 界面；<计>接口；交界面 v. （使通过界面或接口）接合，连接；[计算机]使联系
morale	 n. 士气，斗志
entertainment	 n. 娱乐；消遣；款待
luxury	 n. 奢侈，奢华；奢侈品；享受 adj. 奢侈的
schedule	 v. 安排，计划；编制目录；将……列入计划表 n. 时间表；计划表；一览表
anxious	 adj. 焦虑的；担忧的；渴望的；急切的
remedy	 v. 补救；治疗；纠正 n. 补救；治疗；赔偿
commodity	 n. 商品，货物；日用品
implementation	 n. [计] 实现；履行；安装启用
cultivate	 v. 培养；陶冶；耕作
tender	 adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的 n. 偿付，清偿；看管人；小船 v. 提供，偿还；使…变嫩；使…变柔软
scientific	 adj. 科学的，系统的
actuals	 n. 实际货物；现货
spread	 v. 传播；伸展 n. 传播；伸展 adj. 伸展的
claimant	 n. 原告；[贸易] 索赔人；提出要求者
embarrassing	 adj. 使人尴尬的；令人为难的
advance	 n. 发展；前进；增长；预付款 v. 提出；预付；使……前进；将……提前 adj. 预先的；先行的
overtime	 n. [劳经] 加班时间；延长时间；加时赛 adj. 超时的；加班的 vt. 使超过时间 adv. 加班地
faint	 adj. 模糊的；头晕的；虚弱的；[医] 衰弱的 v. 昏倒；变得微弱；变得没气力 n. [中医] 昏厥，昏倒
replenish	 v. 补充，再装满；把…装满；给…添加燃料
technique	 n. 技巧，技术；手法
succession	 n. 连续；继位；继承权；[生态] 演替
flop	 v. 笨拙地抛下；扑通放下；拍（翅） n. 失败；砰然落下；拍击声 adv. 扑通一声；恰巧
allowance	 n. 津贴，零用钱；允许；限额 v. 定量供应
appear	 v. 出现；显得；似乎；出庭；登场
clinic	 n. 临床；诊所
treatment	 n. 治疗，疗法；处理；对待
misunderstand	 v. 误解；误会
speculate	 v. 推测；投机；思索
maintain	 v. 维持；继续；维修；主张；供养
impulsive	 adj. 冲动的；受感情驱使的；任性的
flow	 v. 流动，涌流；川流不息；飘扬 n. 流动；流量；涨潮，泛滥
production	 n. 成果；产品；生产；作品
temperature	 n. 温度；体温；气温；发烧
feedback	 n. 反馈；成果，资料；回复
although	 conj. 尽管；虽然；但是；然而
liquidate	 v. 清算；偿付；消除
hide	 v. 隐藏；隐瞒；鞭打 n. 躲藏；兽皮；躲藏处
valuation	 n. 评价，估价；计算
comprehensive	 adj. 综合的；广泛的；有理解力的 n. 综合学校；专业综合测验
appeal	 v. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判 n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
overtake	 v. 赶上；压倒；突然来袭
notepad	 n. 笔记本；记事手册
cheat	 v. 欺骗；骗取 n. 欺骗，作弊；骗子
relatively	 adv. 相当地；相对地，比较地
suggest	 v. 提议，建议；启发；使人想起；显示；暗示
misuse	 v. 滥用；误用；虐待 n. 滥用；误用；虐待
system	 n. 制度，体制；系统；方法
backlog	 n. [管理] 积压的工作；积压待办的事务；大木材 v. 储备；把…积压起来
pastime	 n. 娱乐，消遣
bottom	 n. 底部；末端；臀部；尽头 adj. 底部的 v. 装底；测量深浅；查明真相
advocate	 v. 提倡，主张，拥护 n. 提倡者；支持者；律师
cheap	 adj. 便宜的；小气的；不值钱的 adv. 便宜地
specify	 v. 指定；详细说明；列举；把…列入说明书
deadline	 n. 截止期限，最后期限
abolish	 v. 废除，废止；取消，革除
admire	 v. 钦佩；赞美
behave	 v. 表现；（机器等）运转；举止端正；（事物）起某种作用
bureaucracy	 n. 官僚主义；官僚机构；官僚政治
eliminate	 v. 消除；排除
tournament	 n. 锦标赛，联赛；比赛
press	 v. 压；按；逼迫；紧抱 n. 压；按；新闻；出版社；[印刷] 印刷机
sort	 n. 种类；方式；品质 v. 分类；协调；交往
advert	 v. 注意；谈到 n. 广告
minimum	 n. 最小值；最低限度；最小化；最小量 adj. 最小的；最低的
corridor	 n. 走廊
advise	 v. 建议；劝告，忠告；通知；警告
proprietor	 n. 业主；所有者；经营者
expensive	 adj. 昂贵的；花钱的
run	 v. 经营；奔跑；运转 n. 奔跑；赛跑；趋向；奔跑的路程
laundry	 n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
iron	 n. 熨斗；烙铁；坚强 v. 熨；用铁铸成 adj. 铁的；残酷的；刚强的
absolute	 adj. 绝对的；完全的；专制的 n. 绝对；绝对事物
strike	 v. 打，打击；罢工；敲，敲击；抓；打动；穿透 n. 罢工；打击；殴打
adventure	 n. 冒险；冒险精神；投机活动 v. 冒险；大胆说出
significant	 adj. 重大的；有效的；有意义的；值得注意的；意味深长的 n. 象征；有意义的事物
viability	 n. 生存能力，发育能力；可行性
autonomous	 adj. 自治的；自主的；自发的
relevance	 n. 关联；适当；中肯
pick	 v. 挑选；采摘；挖 n. 选择；鹤嘴锄；挖；掩护
annoy	 v. 骚扰；惹恼；打搅 n. 烦恼（等于annoyance）
scrutiny	 n. 详细审查；监视；细看；选票复查
dubious	 adj. 可疑的；暧昧的；无把握的；半信半疑的
procedure	 n. 程序，手续；步骤
sensitive	 adj. 敏感的；感觉的；[仪] 灵敏的；感光的；易受伤害的；易受影响的 n. 敏感的人；有灵异能力的人
canteen	 n. 食堂，小卖部；水壶
franchise	 n. 特权；公民权；经销权；管辖权 v. 给…以特许（或特权）；赋予公民权
trust	 n. 信任，信赖；责任；托拉斯 v. 信任，信赖；盼望；赊卖给
cancellation	 n. 取消；删除
liable	 adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
cartel	 n. 卡特尔；企业联合；垄断联盟；俘虏交换条约
jail	 n. 监狱；监牢；拘留所 v. 监禁；下狱
admit	 v. 承认；准许进入；可容纳
medium	 adj. 中间的，中等的；半生熟的 n. 方法；媒体；媒介；中间物
printer	 n. [计] 打印机；印刷工；印花工
assignment	 n. 分配；任务；作业；功课
remain	 v. 保持；依然；留下；剩余；逗留；残存 n. 遗迹；剩余物，残骸
admin	 abbr. 管理，行政（administration）
chart	 n. 图表；海图；图纸；排行榜 v. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展
arise	 v. 出现；上升；起立 n. (Arise)人名；(西)阿里塞；(日)在濑(姓)
