disability	 n. 伤残；无力；无能
narrow	 adj. 狭窄的；有限的；狭隘的
flashlight	 n. 闪光信号灯；手电筒；闪光灯
upside down	 上下翻转
suck	 v. 吮吸
sea-slug	 n. 海蛞蝓
turtle	 n. 海龟；龟；甲鱼
eel	 n. 鳗；鳝
sharp	 adj. 锐利的；锋利的；敏捷的
tasty	 adj. 好吃的；可口的
giant	 adj. 巨人的；巨大的 n. 巨人；伟人
clam	 n. 蛤
grey	 adj. 灰色（的） n. 灰色
scare	 v. 恐吓；受惊吓
(be) scared to death	 吓死了
shallow	 adj. 浅的；肤浅的；浅显的
steep	 adj. 陡峭的
boundary	 n. 分界线；界限
Antarctic	 adj. 南极的
the Antarctic	 南极洲
awesome	 adj. 使人敬畏的；令人畏惧的
leap	 v. 跳；跳跃 n. 跳过（障碍）
seal	 n. 海豹；封条；印章
refund	 v. 退还；偿还 n. 退款
pension	 n. 养老金；退休金
pensioner	 n. 领取养老金者
airmail	 n. 航空邮件
Papua	 巴布亚新几内亚
fortnight	 n. 两星期
hear from	 接到……的信
(be) dying to	 极想；渴望
roof	 n. 屋顶；车顶
muddy	 adj. 泥泞的；泥土般的
textbook	 n. 教科书；课本
concept	 n. 观念；概念
bucket	 n. 水桶；吊桶；提桶
the other day	 不久前的一天
weekly	 adj. 每周（的） adv. 每周（的）
bubble	 v. 起泡；沸腾；汩汩地流动
relevant	 adj. 有关的；切题的
remote	 adj. 遥远的；偏僻的
ridge	 n. 山脊；屋脊
weed	 n. 杂草；野草 v. 除杂草
hut	 n. 棚屋；小屋
rectangle	 n. 矩形；长方形
rectangular	 adj. 长方形的；矩形的
adjust	 v. 调整；（使）适合
platform	 n. （火车站的）月台；讲台；台；平台
broom	 n. 扫帚
tin	 n. 锡
jar	 n. 罐；广口瓶
sniff	 v. 用鼻子吸；嗅；闻
participate	 v. 参与；参加
interpreter	 n. 作口译的人
grill	 n. 烤架；大平底锅 v. 烧烤；炙烤
dry out	 （使浸水等之物）完全变干；干透
leftover	 n. 剩饭；剩余物；残留物 adj. 剩余的
evil	 adj. 邪恶的 n. 邪恶；罪恶
dry up	 （指河流、井等）干涸
otherwise	 conj. 否则；不然 adv. 用别的方法；其他方面
privilege	 n. 特权；特别优待
paperwork	 n. 文书工作
arrangement	 n. 安排；排列
toast	 v. 敬酒；烤（面包等） n. 烤面包（片）；吐司面包；干杯
comb	 n. 梳子 v. 梳（发）
astronaut	 n. 宇航员；太空人
angle	 n. 角；角度
catalogue	 n. 目录
donate	 v. 捐赠
voluntary	 adj. 自愿的；志愿的；无偿的
in need	 在困难中；在危急中
purchase	 v. 买 n. 购买
anniversary	 n. 周年纪念（日）
seed	 n. 种子；萌芽
seedling	 n. 秧苗；树苗
vaccination	 n. 接种疫苗
loan	 n. 贷款
sew	 v. （用针线）缝；缝制；缝合
sewing machine	 缝纫机
supplement	 n. 增补的事物；补充；附录；增刊
ox	 n. 公牛
plough	 v. （犁）地；（耕）地
trunk	 n. 树干；躯干；大衣箱
trunk library	 箱式（柜式）图书馆
tractor	 n. 拖拉机；牵引机
Kenya	 n. 肯尼亚（非洲国家）
Bangladesh	 n. 孟加拉国（亚洲国家）
click	 v. （使）发出咔嗒声 n. 咔嗒声
tailor	 n. 裁缝 v. 定做
Tanzania	 n. 坦桑尼亚（东非国家）
economic	 adj. 经济的；经济学的
political	 adj. 政治的；政党的
Nepal	 n. 尼泊尔（亚洲国家）
Uganda	 n. 乌干达（东非国家）
distribute	 v. 分配；分发
distribution	 n. 分配；分发；分布状态
financial	 adj. 财务的；金融的；财政的
security	 n. 安全；保护；保障
operate	 v. 工作；运转；操作
Sudan	 n. 苏丹（非洲国家）
clinic	 n. 门诊部；小诊所
Malawi	 n. 马拉维（非洲国家）
adjust to	 适应；调节
keep it up	 保持优秀成绩；继续干下去
fit in	 相适应；相融合
motherland	 n. 祖国
visa	 n. 签证
queue	 n. 队列；行列 v. 排队
cafeteria	 n. 自助食堂；自助餐厅
lecture	 n. 演讲；讲课 v. 演讲；讲课
qualification	 n. 资格；资历
preparation	 n. 准备；预备
recommend	 v. 建议；推荐
shopkeeper	 n. 店主
idiom	 n. 习语；成语
comfort	 n. 舒适；安慰 v. 安慰
substitute	 n. 代替者；代用品 v. 用……代替……
academic	 adj. 学校的；学术的
requirement	 n. 需要；要求
essay	 n. 文章；散文
tutor	 n. 家庭教师；导师；助教
revise	 v. 复查；修正；复习
revision	 n. 复查；修正；复习
draft	 n. 草稿；草案 v. 草拟；起草
numb	 adj. 麻木的；失去知觉的
acknowledge	 v. 承认；确认；答谢
as far as one is concerned	 就……而言
contradict	 v. 反驳；反斥
autonomous	 adj. 自治的；自主的；独立的
occupy	 v. 占据；占用；占领
be occupied with	 忙着做……；忙于某事物
enterprise	 n. 事业；事业心
apology	 n. 道谦；谢罪
seminar	 n. （专题）研讨会
videophone	 n. 可视电话
Rugby	 n. （英式）橄榄球
bachelor	 n. 未婚男子；获学士学位的人
bachelor’s degree	 学士学位
routine	 n. 常规；日常事务 adj. 通常的；例行的
minibus	 n. 小型公共汽车
optional	 adj. 可选择的；随意的
day in and day out	 日复一日
cage	 n. 鸟笼；兽槛
bark	 v. （指狗等）吠叫；咆哮 n. 犬吠声；树皮
battery	 n. 电池（组）；炮台
site	 n. 地方；地点；现场
Julie	 n. 朱莉（女名）
Abigail	 n. 阿比盖尔（女名）
drill	 v. 钻（孔） n. 钻；钻机
oilfield	 n. 油田
Jamie	 n. 杰米（男名）
Sam	 n. 萨姆（男名）
Lima	 n. 利马（秘鲁首都）
Cuzco	 n. 库斯科（秘鲁南部城市）
the Andes	 安第斯山脉
Peru	 n. 秘鲁（南美国家）
Lia	 n. 莉亚（女名）
agent	 n. 代理人；经纪人
travel agent	 旅行代办人；旅行代理人
geographical	 adj. 地理（学）的
parallel	 adj. 平行的；相同的；类似的
Lake Titicaca	 的的喀喀湖
abundant	 adj. 丰富的；充裕的
Inca	 印加帝国
govern	 v. 统治；支配；管理
onwards	 adv. 向前地；前进地
destination	 n. 目的地
Machu Picchu	 马丘比丘（秘鲁）
inn	 n. 客栈
out of the question	 不可能的；不值得讨论的
hike	 n. 远足；徒步旅行 v. 远足；徒步旅行
Puno	 n. 普诺（秘鲁）
tomb	 n. 坟墓
the Amazon	 亚马孙河热带丛林
settle in	 （迁入新居、更换工作后）安顿下来
