Auckland	 n. 奥克兰（新西兰北岛西北岸港口城市）
extensive	 adj. 广阔的，大量的；广泛的
flexible	 adj. 灵活的，可通融的
pace	 n. 速度；步调
insurance	 n. 保险
insure	 v. （常与 against 连用）保险，确保
theft	 n. 盗窃
handy	 adj. 近便的，便利的，容易取得的
consultant	 n. 顾问，咨询者
guidance	 n. 指导，引导
database	 n. 数据库，基本数据，资料库
cater	 v. 备办酒菜，承办酒席，提供食物（娱乐节目）
cater for sb	 为某人提供，迎合某人的需要
cater for sth	 迎合，考虑到
enquiry	 n. 询问；探究
extension	 n. （电话）分机；延伸
vertical	 adj. 垂直的
axis	 n. 轴，轴线
detect	 v. 侦查，探测，检定
Bahmad	 巴姆德（姓）
jogger	 n. 跑步锻炼的人，慢跑者
forensic	 adj. 法庭科学取证的，法医的
spray	 v. 喷射，喷溅
fingerprint	 n. 指纹，手印
stain	 n. 污点，污处
wrap	 v. 包，裹
bind	 v. 缚，绑
torso	 n. （人体的）躯干
Dempsey	 登普西（姓）
surgeon	 n. 外科医生
X-ray	 v. 照 X 光，照 X 射线
abnormal	 adj. 不正常的，反常的，变态的
Shipley	 希普利（姓）
emergency	 n. 紧急情况，紧急事件
by law	 根据法律
jury	 n. 陪审团，陪审委员会
imprisonment	 n. 关押，监禁
assessment	 n. 评估，评价
widow	 n. 寡妇
compensate	 v. 补偿，赔偿
maximum	 n&adj. 最大量（的），最大限度（的），极大（的）
motive	 n. 动机，目的
savagely	 adv. 野蛮地，残酷地
ward	 n. 病房
lame	 adj. 跛的，瘸的
thriller	 n. 惊险读物（电影）
confidential	 adj. 机密的，秘密的
ministry	 n. （政府的）部门
funeral	 n. 葬礼，丧礼
memorial	 n. 纪念碑；纪念物
trend	 n. 趋势，趋向
unemployment	 n. 失业，失业状态
taxpayer	 n. 纳税人
import	 v. 输入，进口，引进
aluminium	 n. Al 铝
surplus	 adj. 过剩的，剩余的 n. 剩余物，盈余
Arthur Conan Doyle	 亚瑟.柯南道尔（1859-1930，英国医师、小说家、推理小说家，创造了私人侦探福尔摩斯的形象）
Jaez Wilson	 杰贝兹.威尔逊
Sherlock Holmes	 夏洛克.福尔摩斯（英国作家柯南.道尔作品中的名侦探）
flame	 n. 火焰
greengrocer	 n. 蔬菜水果商
greengrocer’s	 蔬菜水果商店
alley	 n. 小巷，胡同
remark	 v. 说，谈论，评论
make of sth	 了解，理解
make of sb	 了解，理解
candidate	 n. 候选人，候补者；应试者
furnish	 n. 陈设，布置
expel	 v. 开除；赶出
allowance	 n. 补助，津贴
every so often	 偶尔，时常
peculiar	 adj. 古怪的，奇怪的；特殊的，罕见的
strategy	 n. 策略
myth	 n. 神话，虚构的理念或者故事
harmony	 n. 和谐，融洽
depressed	 adj. 沮丧的
well-balanced	 adj. 很平衡的，正常的；意识健全的，明智的
prescription	 n. 药方，处方
cope	 v. （妥善地）处理，对付，应付，克服
cope with	 应付，对付，克服
let down	 使失望，辜负
proportion	 n. 比例，比率；均衡
fulfil	 v. 满足，实现，达到
effective	 adj. 有效的
agenda	 n. 议程（表）
interval	 n. 间隔，间歇；幕间（工间）休息
session	 n. 一段（活动的）事件
contradictory	 adj. 矛盾的，同……相反的
revise	 v. 复习
curriculum	 n. 课程
informal	 adj. 非正式的，非正规的
deadline	 n. 最后时间，最后期限
rigid	 adj. 刻板的，严格的；僵硬的
subscribe	 v. （常与 to 连用）同意，赞同
post-graduate	 n. 研究生 adj. 研究生的
academy	 n. 研究院，学术团体；高等专科院校
stead	 n. 代替；用处，好处
stand sb in good stead	 对某人很有用
employer	 n. 雇主，老板
diploma	 n. 文凭，毕业证书
format	 n. 设计，安排
glory	 v. 自豪，得意
glory in	 以……为荣
forgetful	 adj. 健忘的
administration	 n. 管理，行政管理
choir	 n. 合唱团
postcode	 n. 邮政编码，邮编
withdraw	 v. 收回，撤回；变得沉默寡言，冷漠，冷淡
sake	 n. 目的，利益
for one’s own sake	 为了……的缘故
pursuit	 n. 寻求，追求
pursue	 v. 追求，寻求不断努力以取得
pedicab	 n. （人力）三轮车
sleep rough	 露宿
feed on	 从……中得到滋养或者满足
philosophical	 adj. 哲学上的
socialism	 n. 社会主义
receipt	 n. 收据，收条
outweigh	 v. 比……更重要，胜过
ensure	 v. 确保，保证
reproach	 n. 责骂，责备
jealousy	 n. 嫉妒，羡慕
cease	 v. 结束，停息，终止
cease to be	 不再是
count up	 把……加起来
reinforce	 v. 增强，补充
Odysseus	 奥德修斯
Trojan	 adj. （古代小亚细亚）特洛伊（Troy）的
Ithaca	 n. 伊萨卡岛（希腊西部爱奥尼海中亚群岛之一）
Telemachus	 忒勒玛科斯（Odysseus 和 Penelope 之子）
split	 v. 分开，分离
violate	 v. 违犯，违反
temporary	 adj. 临时的，暂时的，一时的
Penelope	 珀涅罗珀（Odysseus 的忠实妻子）
statesman	 n. 政治家，国务活动家
statesmanlike	 adj. 有政治家才干和风度的
unconditional	 adj. 无条件的，无限制的,绝对的
Cyclops	 塞克罗伯斯（希腊神话独眼巨人）
scar	 n. 疤，伤疤；创伤
howl	 v. 嚎叫，呼叫；咆哮
merciful	 adj. 仁慈的，宽容的
at the crack of dawn	 黎明，大清早
quick as a flash	 立刻，马上，一刹那
hatch	 v. 孵化，出壳
whistle	 n. 哨子，口哨
heel	 n. 脚后跟，踵
a wolf in sheep’s clothing	 披着羊皮的狼，伪装好友的敌人
pint	 n. 品脱（等于05 夸脱，英制液量 0568 升，美制液量 0473 升）
dead to the world	 熟睡的
socket	 n. 孔，洞；眼窝
stagger	 n. 蹒跚，摇晃，踉跄
agony	 n. 极度的痛苦
belly	 n. 腹部
wrestle	 v. 与……搏斗，把……摔倒
Circe	 瑟茜（希腊神话女巫，有把人变成猪的法术）
marble	 n. 大理石
arch	 n. 拱门
coarse	 adj. 粗糙的；鲁莽的
pillow	 n. 枕头
quilt	 n. 被褥，被子
trough	 n. 饲料槽
slice	 n. 片，薄片
wear off	 逐渐消失，磨灭，损耗
saucer	 n. 茶托，茶杯碟，碟状物
circus	 n. 马戏团，马戏表演
freeway	 n. 高速公路
plug	 n. 电插头，插销
hydrogen	 n. 氢
clay	 n. 粘土
moustache	 n. 胡子
mustard	 n. 芥末
Theseus	 忒修斯（希腊神话雅典王子）
enlarge	 v. 增大，扩大
tournament	 n. 联赛，集锦塞，锦标赛，比赛
fist	 n. 拳头
combat	 n. 战争，战斗，斗争
walnut	 n. 核桃，胡桃
transparent	 adj. 透明的，显然的，一目了然的
transparently	 adv. 显然地，清楚地
tug	 v. 用力拉或拖（某物）
dismay	 v. 使沮丧，使灰心
pulse	 n. 脉搏
zoom	 v. 飞驰，飞快地掠过
zoom in on	 推近，聚焦于
insignificant	 adj. 无关紧要的
Sinis	 西尼斯（古希腊神话中的一个强盗）
Procrustes	 普罗克拉斯提斯（古希腊神话传说中 Attica 的一个强盗）
Crete	 克里特岛（希腊位于地中海西部的一个岛屿）
fleece	 n. 羊毛
Perseus	 珀尔休斯（希腊主神宙斯之女，杀死怪 Medusa 的英雄）
vice versa	 反之亦然
(be) faced with	 面临
scholarship	 n. 奖学金
in disbelief	 不相信，怀疑
drop into	 进入（某地），顺便拜访
unsettling	 adj. 使人不安的，（消息）混乱的
dozens of	 许多的
now and again	 不时地，有时
expectantly	 adv. 预期地，期望地，期待地
suck	 v. 吸，吮
co-operate	 v. （常与 with 连用）合作
hand out	 拿出，分发
preference	 n. 偏爱，优先选择
pleasureable	 adj. 愉快的，快乐的，高兴的
anticipation	 n. 预期，预想，期待
intellectual	 adj. 有智力的，智力的
arithmetic	 n. 算术学，算术
algebra	 n. 代数，代数学
interpersonal	 adj. 人际的，人与人之间的
complex	 adj. 复杂的
agro-scientifc	 adj. 农业科学的
core	 n. 中心，核心
drop in	 顺便走访
recommendation	 n. 推荐信，介绍，介绍信
call on	 拜访
composer	 n. 作曲家
mathematician	 n. 数学家
stewardess	 n. （轮船，飞机等）女乘务员
diplomat	 n. 外交家，外交官
embassy	 n. 使馆人员，大使馆
referee	 n. 介绍人，裁判
brake	 n. （常用复数）制动装置，刹车
swerve	 v. 突然转向
missile	 n. 导弹，飞弹
bishop	 n. （基督教的）主教
circuit	 n. 环形道路
go on circuit	 巡回
razor	 n. 剃刀，剃须刀
shaver	 n. 剃须刀，电动剃须刀
oval	 adj. 椭圆的，卵形的
orbit	 n. （天体、人造卫星的）轨道
substance	 n. 物质
curriculum vitae	 n. 履历，简历
nickname	 n. 绰号，浑名
presentational	 adj. 表达的，描述性的
fabulous	 adj. 巨大的；绝妙的，精彩的
IELTS	 n. (International English Language Testing Serice)的缩写，国际英语测试，俗称雅思考试（是由英国文化委员会组织，剑桥大学地方考试委员会编制的英语水平测试）
accountancy	 n. 会计工作，会计职务
function	 n. 功能，作用，职责，职能
bureaucratic	 adj. 官僚的，官僚般的
ethos	 n. （集体、社团、文化的）气质、道德观、思想或信仰
minefield	 n. 布雷区；充满隐伏危险的事物或场合
unwary	 adj. 无警惕的，易受欺骗的
autobiography	 n. 自传
build on	 建立于
prosperous	 adj. 成功的，繁荣的，兴旺的
to tell you the truth	 老实说（插入语）
tempt	 v. 诱惑，引诱
appendix	 n. 附录，附言
roundabout	 adj. 迂回的；委婉的
